<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MFA,20180423,7.50,7.51,7.44,7.49,1164373
MFA,20180420,7.50,7.52,7.46,7.47,1164775
MFA,20180419,7.47,7.54,7.44,7.47,1632897
MFA,20180418,7.51,7.56,7.465,7.47,1113150
MFA,20180417,7.47,7.52,7.45,7.52,1001026
MFA,20180416,7.45,7.47,7.40,7.45,1190332
MFA,20180413,7.44,7.4622,7.365,7.41,1267405
MFA,20180412,7.48,7.50,7.43,7.44,1133023
MFA,20180411,7.50,7.53,7.45,7.47,1250038
MFA,20180410,7.51,7.54,7.48,7.49,1385950
MFA,20180409,7.53,7.56,7.47,7.48,2280328
MFA,20180406,7.47,7.55,7.45,7.49,3558968
MFA,20180405,7.53,7.53,7.45,7.47,8214007
MFA,20180404,7.48,7.54,7.47,7.52,2698681
MFA,20180403,7.48,7.545,7.475,7.51,3880990
MFA,20180402,7.53,7.54,7.41,7.47,1895369
MFA,20180329,7.46,7.55,7.46,7.53,2261374
MFA,20180328,7.33,7.47,7.32,7.43,2451417
MFA,20180327,7.53,7.59,7.45,7.55,4066740
MFA,20180326,7.50,7.54,7.44,7.51,4109729
MFA,20180323,7.48,7.51,7.42,7.43,1821522
MFA,20180322,7.45,7.55,7.43,7.45,3387807
MFA,20180321,7.47,7.515,7.44,7.46,3095927
MFA,20180320,7.53,7.57,7.48,7.48,1496003
MFA,20180319,7.62,7.63,7.47,7.51,3407568
MFA,20180316,7.57,7.67,7.55,7.64,2071205
MFA,20180315,7.64,7.65,7.50,7.57,2189983
MFA,20180314,7.64,7.72,7.64,7.64,2433878
MFA,20180313,7.67,7.67,7.59,7.63,2129857
MFA,20180312,7.53,7.68,7.53,7.63,2886013
MFA,20180309,7.46,7.51,7.41,7.51,1685183
MFA,20180308,7.44,7.49,7.41,7.46,1492183
MFA,20180307,7.39,7.47,7.39,7.43,1539901
MFA,20180306,7.39,7.42,7.34,7.40,3184699
MFA,20180305,7.21,7.40,7.20,7.38,2116444
MFA,20180302,7.10,7.24,7.10,7.22,1982348
MFA,20180301,7.13,7.25,7.09,7.14,1901117
