<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MMM,20180423,218.02,218.73,214.75,215.88,1806912
MMM,20180420,218.41,220.28,216.74,217.75,2117108
MMM,20180419,218.04,219.30,217.03,218.85,1062790
MMM,20180418,220.39,221.01,219.16,219.52,1186356
MMM,20180417,219.15,221.69,218.74,220.09,1268165
MMM,20180416,217.20,219.27,216.59,217.70,1635653
MMM,20180413,218.09,218.68,214.46,215.52,1414262
MMM,20180412,215.72,217.68,215.01,216.42,1819864
MMM,20180411,214.201,215.89,213.4982,214.33,1388447
MMM,20180410,215.32,218.71,215.23,216.98,2248490
MMM,20180409,213.75,216.86,212.40,212.81,1588246
MMM,20180406,217.40,218.85,211.00,212.25,1972558
MMM,20180405,218.64,220.31,216.56,218.67,1970360
MMM,20180404,212.39,217.9225,211.12,217.56,1906737
MMM,20180403,213.00,216.46,210.93,216.33,2295038
MMM,20180402,218.05,218.72,209.468,212.62,2817303
MMM,20180329,217.79,221.38,217.46,219.52,2167357
MMM,20180328,217.23,219.66,214.91,216.54,1813971
MMM,20180327,221.02,221.86,214.73,215.87,2025449
MMM,20180326,217.86,220.80,215.18,220.24,2709191
MMM,20180323,223.50,224.27,215.27,215.36,3363314
MMM,20180322,232.04,232.12,222.80,223.17,3288365
MMM,20180321,233.00,237.22,232.31,234.14,1220558
MMM,20180320,232.12,234.39,231.58,232.45,1273970
MMM,20180319,236.01,236.33,230.26,231.56,2039664
MMM,20180316,235.67,238.17,235.67,237.22,3563840
MMM,20180315,235.22,238.08,234.20,235.87,1413426
MMM,20180314,238.80,239.32,233.85,234.29,1769719
MMM,20180313,240.90,242.97,236.891,237.57,1589180
MMM,20180312,242.10,243.0999,239.301,239.80,1669714
MMM,20180309,238.00,241.37,236.17,241.35,1345019
MMM,20180308,236.35,237.69,234.12,236.34,1338356
MMM,20180307,231.22,236.22,230.59,235.64,1445762
MMM,20180306,234.05,235.92,230.80,233.66,1667999
MMM,20180305,230.00,233.71,228.53,232.81,1637245
MMM,20180302,229.75,231.27,226.33,230.37,2296697
MMM,20180301,236.15,236.83,229.53,231.34,2597755
MMM,20180228,241.64,242.28,235.40,235.51,1904447
MMM,20180227,244.61,244.67,240.72,240.72,1183177
MMM,20180226,239.01,244.86,238.51,244.14,2186733
MMM,20180223,236.85,237.89,234.39,237.02,1264923
MMM,20180222,232.43,237.37,232.26,236.00,1818490
MMM,20180221,234.71,237.86,232.10,232.18,1828656
MMM,20180220,234.54,236.67,233.91,235.07,1967380
MMM,20180216,234.97,238.435,233.39,236.67,1741985
MMM,20180215,233.31,234.90,230.88,234.87,1468230
MMM,20180214,229.45,232.87,228.47,232.05,1480071
MMM,20180213,229.71,231.97,228.93,231.35,1788364
MMM,20180212,227.49,230.38,226.10,229.19,2452437
MMM,20180209,224.61,226.96,218.18,225.20,3040685
MMM,20180208,233.16,233.31,222.65,222.92,2384842
MMM,20180207,233.19,237.52,232.821,233.19,2144666
MMM,20180206,227.51,234.57,226.81,233.63,3737917
MMM,20180205,243.50,244.40,226.01,231.44,4897435
MMM,20180202,246.43,248.75,244.88,245.03,2445128
MMM,20180201,247.44,250.09,246.1795,247.94,1992818
MMM,20180131,251.49,253.13,249.60,250.54,1763236
MMM,20180130,255.60,255.69,251.41,251.54,1581815
MMM,20180129,258.51,259.34,255.97,256.01,1581213
MMM,20180126,253.43,259.77,253.39,258.57,2262339
MMM,20180125,250.00,254.80,247.10,252.36,2708875
MMM,20180124,247.99,248.54,246.25,247.69,2306075
MMM,20180123,246.91,247.26,245.12,246.31,1386027
MMM,20180122,247.13,247.89,245.08,247.30,1263170
MMM,20180119,246.63,248.50,245.60,248.18,1586276
MMM,20180118,248.13,249.00,244.92,245.91,1604180
MMM,20180117,246.85,248.53,245.80,248.11,1891997
