<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MNP,20180423,14.14,14.14,14.05,14.05,24716
MNP,20180420,14.14,14.16,14.12,14.13,7105
MNP,20180419,14.10,14.14,14.06,14.14,34220
MNP,20180418,14.16,14.17,14.13,14.13,25181
MNP,20180417,14.18,14.21,14.14,14.14,25794
MNP,20180416,14.25,14.25,14.18,14.18,33781
MNP,20180413,14.22,14.29,14.20,14.24,19456
MNP,20180412,14.27,14.27,14.21,14.24,22276
MNP,20180411,14.34,14.34,14.20,14.20,33154
MNP,20180410,14.33,14.33,14.26,14.27,19519
MNP,20180409,14.38,14.38,14.28,14.29,8505
MNP,20180406,14.35,14.41,14.19,14.37,23395
MNP,20180405,14.32,14.32,14.23,14.29,13975
MNP,20180404,14.34,14.36,14.27,14.33,21258
MNP,20180403,14.33,14.33,14.21,14.28,17672
MNP,20180402,14.36,14.36,14.28,14.30,22478
MNP,20180329,14.27,14.34,14.2201,14.33,27370
MNP,20180328,14.24,14.27,14.20,14.23,33893
MNP,20180327,14.26,14.26,14.20,14.23,25035
MNP,20180326,14.15,14.25,14.08,14.22,38567
MNP,20180323,14.18,14.18,14.10,14.1689,16069
MNP,20180322,14.12,14.16,14.10,14.16,15410
MNP,20180321,14.15,14.16,14.10,14.13,18919
MNP,20180320,14.14,14.18,14.10,14.16,16329
MNP,20180319,14.20,14.21,14.12,14.123,27416
MNP,20180316,14.23,14.25,14.22,14.22,11130
MNP,20180315,14.26,14.2715,14.24,14.25,14049
MNP,20180314,14.30,14.30,14.26,14.27,31762
MNP,20180313,14.34,14.34,14.27,14.30,17602
MNP,20180312,14.36,14.38,14.26,14.31,5855
MNP,20180309,14.21,14.36,14.21,14.32,16902
MNP,20180308,14.25,14.32,14.23,14.23,7280
MNP,20180307,14.30,14.32,14.2698,14.28,6887
MNP,20180306,14.30,14.30,14.23,14.28,19363
MNP,20180305,14.32,14.34,14.27,14.30,19657
MNP,20180302,14.29,14.30,14.23,14.25,18733
MNP,20180301,14.39,14.40,14.29,14.29,28143
MNP,20180228,14.38,14.40,14.33,14.39,14235
MNP,20180227,14.45,14.45,14.3301,14.3617,15185
MNP,20180226,14.38,14.44,14.38,14.40,18755
MNP,20180223,14.28,14.39,14.271,14.39,19145
MNP,20180222,14.31,14.36,14.23,14.24,26889
MNP,20180221,14.43,14.43,14.31,14.31,18880
MNP,20180220,14.41,14.425,14.38,14.41,8615
