<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MON,20180423,124.80,125.05,124.60,125.05,2545915
MON,20180420,124.985,125.39,124.85,125.00,3458676
MON,20180419,124.90,125.075,124.27,124.60,3680641
MON,20180418,125.50,125.56,124.82,124.95,3789648
MON,20180417,125.70,125.90,125.45,125.45,2615534
MON,20180416,125.40,125.75,125.24,125.70,3423300
MON,20180413,125.40,125.6102,125.26,125.40,2743822
MON,20180412,125.20,125.75,125.13,125.31,4901357
MON,20180411,125.56,125.66,124.93,125.20,7514740
MON,20180410,124.99,126.00,124.23,125.01,10575671
MON,20180409,118.00,126.80,117.41,125.15,14502976
MON,20180406,117.75,118.86,117.39,117.86,2060790
MON,20180405,116.60,118.12,116.36,118.05,2946783
MON,20180404,116.60,116.98,116.17,116.75,1658427
MON,20180403,116.85,117.26,116.24,117.00,1345352
MON,20180402,116.86,117.52,116.18,116.60,1864542
MON,20180329,117.11,117.87,116.00,116.70,2008330
MON,20180328,117.79,117.985,116.75,116.75,1774346
MON,20180327,117.76,118.46,117.04,117.58,1629731
MON,20180326,117.86,117.86,116.90,117.69,1639993
MON,20180323,117.80,118.40,116.99,117.15,1819825
MON,20180322,118.75,119.00,117.36,117.53,2289875
MON,20180321,118.68,119.56,118.3812,119.02,4762040
MON,20180320,117.87,119.09,117.45,118.36,2006582
MON,20180319,117.53,118.23,117.01,117.64,2368645
MON,20180316,117.55,119.00,117.47,117.77,4559115
MON,20180315,123.20,123.35,116.25,117.20,13970889
MON,20180314,123.65,123.73,122.90,123.15,3277987
MON,20180313,123.56,123.80,123.27,123.59,1120197
MON,20180312,123.25,123.91,122.91,123.15,1833555
MON,20180309,123.15,123.51,122.74,123.51,2554719
MON,20180308,122.99,123.23,122.73,123.02,3140822
MON,20180307,122.94,123.22,122.84,122.95,3860581
MON,20180306,123.06,123.39,122.61,123.37,2202603
MON,20180305,122.55,123.26,122.38,123.00,1743416
MON,20180302,122.83,123.18,122.46,122.73,2555318
MON,20180301,123.45,123.89,122.35,122.91,3859456
