<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MOV,20180423,38.95,39.30,38.60,38.65,80088
MOV,20180420,39.10,39.20,38.75,38.90,73799
MOV,20180419,39.45,39.65,38.65,39.25,48947
MOV,20180418,39.95,40.25,39.50,39.60,107106
MOV,20180417,40.30,40.30,39.4763,39.80,195278
MOV,20180416,39.80,40.05,39.45,39.95,169241
MOV,20180413,39.85,40.05,39.30,39.40,145483
MOV,20180412,39.25,39.875,38.90,39.60,134955
MOV,20180411,38.95,39.25,38.70,39.00,172993
MOV,20180410,38.60,39.00,38.20,39.00,194556
MOV,20180409,38.95,39.20,38.15,38.20,142708
MOV,20180406,38.95,39.40,37.905,38.55,117972
MOV,20180405,37.95,39.55,37.95,39.10,319400
MOV,20180404,37.35,38.40,37.25,38.00,336528
MOV,20180403,38.50,38.50,36.05,37.55,271692
MOV,20180402,38.35,38.65,37.30,38.50,232756
MOV,20180329,38.00,42.25,37.70,38.40,1182799
MOV,20180328,32.60,33.20,31.90,33.20,281924
MOV,20180327,32.85,33.50,32.50,32.60,103099
MOV,20180326,32.45,32.90,31.95,32.75,58557
MOV,20180323,32.45,32.75,31.90,31.95,129710
MOV,20180322,31.70,32.65,31.70,32.25,98479
MOV,20180321,31.85,32.35,31.85,32.05,28849
MOV,20180320,32.10,32.10,31.75,31.80,61032
MOV,20180319,32.05,32.35,31.255,32.10,65122
MOV,20180316,31.85,32.45,31.55,32.15,211049
MOV,20180315,32.00,32.10,31.40,31.95,214230
MOV,20180314,31.95,32.15,31.80,32.00,173549
MOV,20180313,31.85,32.25,31.80,31.95,79193
MOV,20180312,31.65,32.20,31.45,31.75,100802
MOV,20180309,31.80,31.80,31.25,31.65,173296
MOV,20180308,31.60,31.70,31.05,31.65,49829
MOV,20180307,31.50,31.95,31.40,31.60,61978
MOV,20180306,31.65,31.90,30.95,31.75,46665
MOV,20180305,31.50,31.85,30.95,31.50,51511
MOV,20180302,30.3137,31.90,29.60,31.85,147644
MOV,20180301,31.00,31.15,30.20,30.50,102914
MOV,20180228,31.35,31.5357,30.80,31.00,56092
MOV,20180227,31.95,32.05,31.05,31.15,43256
MOV,20180226,31.90,32.20,31.55,31.95,27782
MOV,20180223,31.40,31.95,31.15,31.85,36701
MOV,20180222,31.15,31.40,30.95,31.15,38597
MOV,20180221,30.95,31.70,30.95,31.20,63574
MOV,20180220,31.85,31.95,30.80,30.90,67331
MOV,20180216,32.35,32.85,32.05,32.20,60351
MOV,20180215,32.20,32.45,31.75,32.45,49268
MOV,20180214,30.90,32.70,30.00,32.30,286684
