<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MUA,20180423,13.16,13.18,13.14,13.16,89224
MUA,20180420,13.15,13.22,13.15,13.22,68459
MUA,20180419,13.24,13.24,13.16,13.20,58715
MUA,20180418,13.24,13.272,13.22,13.23,79166
MUA,20180417,13.30,13.35,13.27,13.29,73665
MUA,20180416,13.42,13.42,13.32,13.33,44705
MUA,20180413,13.43,13.44,13.364,13.375,69174
MUA,20180412,13.60,13.60,13.431,13.46,40973
MUA,20180411,13.54,13.54,13.47,13.48,34372
MUA,20180410,13.50,13.53,13.46,13.48,39224
MUA,20180409,13.51,13.53,13.48,13.50,64686
MUA,20180406,13.50,13.54,13.47,13.50,51352
MUA,20180405,13.44,13.44,13.36,13.44,16825
MUA,20180404,13.32,13.43,13.31,13.40,63845
MUA,20180403,13.37,13.3959,13.33,13.35,54965
MUA,20180402,13.46,13.4756,13.37,13.37,62726
MUA,20180329,13.43,13.49,13.4153,13.49,50241
MUA,20180328,13.40,13.47,13.40,13.41,66389
MUA,20180327,13.42,13.42,13.32,13.40,77820
MUA,20180326,13.36,13.41,13.31,13.35,65244
MUA,20180323,13.39,13.50,13.38,13.43,57805
MUA,20180322,13.39,13.44,13.38,13.385,35931
MUA,20180321,13.45,13.45,13.35,13.40,45251
MUA,20180320,13.46,13.505,13.40,13.41,45416
MUA,20180319,13.46,13.50,13.41,13.50,45654
MUA,20180316,13.55,13.55,13.49,13.51,27981
MUA,20180315,13.64,13.64,13.52,13.55,32379
MUA,20180314,13.60,13.62,13.58,13.60,28785
MUA,20180313,13.68,13.695,13.64,13.67,28412
MUA,20180312,13.72,13.72,13.63,13.68,44267
MUA,20180309,13.67,13.69,13.65,13.65,33945
MUA,20180308,13.67,13.78,13.67,13.67,40023
MUA,20180307,13.71,13.79,13.66,13.69,27828
MUA,20180306,13.66,13.75,13.64,13.71,50467
MUA,20180305,13.66,13.69,13.65,13.69,42146
MUA,20180302,13.57,13.69,13.57,13.67,38450
MUA,20180301,13.76,13.76,13.65,13.68,85928
MUA,20180228,13.72,13.72,13.63,13.69,37120
MUA,20180227,13.80,13.80,13.66,13.68,74237
MUA,20180226,13.74,13.75,13.72,13.73,20565
MUA,20180223,13.63,13.74,13.60,13.73,47883
MUA,20180222,13.62,13.6543,13.57,13.61,73970
MUA,20180221,13.69,13.7099,13.63,13.6575,65927
MUA,20180220,13.73,13.77,13.68,13.72,79090
MUA,20180216,13.77,13.825,13.755,13.76,50462
MUA,20180215,13.7785,13.8274,13.75,13.80,44260
MUA,20180214,13.77,13.79,13.72,13.7299,49194
MUA,20180213,13.77,13.85,13.77,13.84,42522
MUA,20180212,13.88,13.90,13.81,13.81,50718
MUA,20180209,13.90,13.94,13.85,13.86,34378
MUA,20180208,13.96,13.96,13.8577,13.95,42476
MUA,20180207,13.90,13.96,13.85,13.90,77433
MUA,20180206,13.62,13.85,13.62,13.81,105977
MUA,20180205,13.90,13.90,13.70,13.733,109245
MUA,20180202,13.99,14.05,13.86,13.91,98404
MUA,20180201,14.15,14.15,14.05,14.11,106958
MUA,20180131,14.09,14.14,14.05,14.06,39348
MUA,20180130,14.10,14.10,13.95,14.07,151105
