<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
MYD,20180423,13.07,13.13,13.07,13.10,121266
MYD,20180420,13.14,13.17,13.125,13.15,91319
MYD,20180419,13.22,13.22,13.15,13.17,91495
MYD,20180418,13.22,13.22,13.18,13.21,87072
MYD,20180417,13.20,13.26,13.20,13.26,99862
MYD,20180416,13.23,13.27,13.20,13.22,90145
MYD,20180413,13.28,13.34,13.23,13.23,117105
MYD,20180412,13.40,13.42,13.365,13.39,113928
MYD,20180411,13.39,13.43,13.38,13.41,89817
MYD,20180410,13.39,13.43,13.38,13.40,139101
MYD,20180409,13.40,13.40,13.3501,13.39,86874
MYD,20180406,13.40,13.44,13.30,13.37,331652
MYD,20180405,13.32,13.39,13.32,13.38,74233
MYD,20180404,13.40,13.41,13.30,13.37,86715
MYD,20180403,13.49,13.49,13.32,13.34,118370
MYD,20180402,13.43,13.48,13.38,13.47,101262
MYD,20180329,13.36,13.40,13.34,13.37,56220
MYD,20180328,13.30,13.38,13.30,13.36,76257
MYD,20180327,13.29,13.3156,13.2663,13.31,48732
MYD,20180326,13.29,13.30,13.2334,13.25,61863
MYD,20180323,13.36,13.36,13.27,13.31,55283
MYD,20180322,13.32,13.37,13.30,13.36,100939
MYD,20180321,13.30,13.3038,13.27,13.28,91201
MYD,20180320,13.35,13.39,13.31,13.31,68706
MYD,20180319,13.39,13.39,13.31,13.36,105335
MYD,20180316,13.46,13.50,13.36,13.36,118389
MYD,20180315,13.52,13.52,13.4467,13.48,84734
MYD,20180314,13.56,13.60,13.49,13.51,98651
MYD,20180313,13.67,13.70,13.61,13.61,107017
MYD,20180312,13.60,13.69,13.60,13.69,71221
MYD,20180309,13.63,13.65,13.60,13.60,71211
MYD,20180308,13.66,13.70,13.6174,13.67,68228
MYD,20180307,13.65,13.68,13.62,13.64,38936
MYD,20180306,13.63,13.66,13.61,13.66,61364
MYD,20180305,13.64,13.65,13.56,13.63,124474
MYD,20180302,13.53,13.60,13.50,13.60,207254
MYD,20180301,13.74,13.77,13.67,13.67,52895
MYD,20180228,13.73,13.77,13.71,13.73,47751
MYD,20180227,13.77,13.79,13.65,13.74,105269
MYD,20180226,13.73,13.77,13.695,13.72,109952
MYD,20180223,13.72,13.72,13.65,13.71,69319
MYD,20180222,13.74,13.78,13.65,13.69,83982
MYD,20180221,13.70,13.77,13.69,13.70,107883
MYD,20180220,13.75,13.84,13.69,13.72,75288
MYD,20180216,13.83,13.89,13.804,13.81,100468
MYD,20180215,13.83,13.89,13.7846,13.84,109866
MYD,20180214,13.85,13.86,13.74,13.83,101199
