<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NEU,20180423,402.15,409.44,402.15,403.30,6913
NEU,20180420,403.49,404.315,399.74,400.90,9220
NEU,20180419,412.84,412.84,402.53,403.26,13107
NEU,20180418,415.74,417.90,411.41,413.12,8000
NEU,20180417,415.83,417.985,412.67,413.55,9040
NEU,20180416,410.92,415.28,407.31,411.63,12894
NEU,20180413,413.51,415.96,408.04,410.25,10233
NEU,20180412,412.56,414.27,410.50,412.53,19972
NEU,20180411,407.16,413.4895,407.16,412.23,11341
NEU,20180410,409.37,413.64,403.0299,409.64,15758
NEU,20180409,401.21,407.8326,397.6948,405.25,14630
NEU,20180406,408.79,413.35,390.87,398.80,18829
NEU,20180405,408.63,412.01,404.46,411.78,7577
NEU,20180404,396.78,407.24,396.78,406.00,16610
NEU,20180403,397.54,403.44,395.05,400.40,19521
NEU,20180402,399.08,402.759,395.8568,396.60,25499
NEU,20180329,403.20,403.20,399.99,401.68,14289
NEU,20180328,399.28,399.28,396.03,397.72,15445
NEU,20180327,400.86,402.15,397.00,399.13,18360
NEU,20180326,399.24,400.88,395.532,399.01,23539
NEU,20180323,395.24,402.575,392.625,394.71,25981
NEU,20180322,405.08,408.315,394.7201,395.24,18794
NEU,20180321,407.40,413.82,405.8186,408.33,31874
NEU,20180320,414.63,416.885,405.22,407.81,27747
NEU,20180319,412.34,418.20,410.00,414.08,38463
NEU,20180316,411.12,413.81,407.455,413.51,59070
NEU,20180315,418.94,418.94,410.30,412.00,31945
NEU,20180314,422.92,422.92,414.30,417.29,14086
NEU,20180313,432.27,432.87,419.59,422.09,13000
NEU,20180312,434.50,437.2526,429.12,430.33,11719
NEU,20180309,429.12,437.63,429.12,435.54,13990
NEU,20180308,428.38,432.25,423.83,425.93,13763
NEU,20180307,427.60,430.025,424.73,427.96,16457
NEU,20180306,425.17,435.06,422.7135,430.53,16251
NEU,20180305,415.28,426.645,410.82,424.72,16630
NEU,20180302,411.05,416.785,405.87,416.43,10781
NEU,20180301,417.53,420.39,406.59,412.16,13854
NEU,20180228,422.79,422.79,414.985,417.91,12337
NEU,20180227,426.97,427.36,419.17,421.32,18593
NEU,20180226,429.49,429.49,425.15,427.22,16438
NEU,20180223,425.99,430.00,423.5806,429.32,19478
NEU,20180222,425.77,429.99,421.53,425.56,25142
NEU,20180221,422.52,429.20,420.01,423.77,33139
NEU,20180220,422.94,425.45,418.11,421.18,43403
NEU,20180216,423.85,426.37,419.40,424.05,29662
NEU,20180215,418.77,424.86,413.82,424.00,20343
NEU,20180214,406.42,418.63,406.00,416.00,14102
NEU,20180213,403.92,411.50,400.335,408.72,19564
NEU,20180212,394.61,407.88,392.16,405.12,32714
NEU,20180209,391.10,398.81,388.31,392.85,38428
NEU,20180208,395.76,396.78,388.93,388.93,54834
NEU,20180207,384.00,401.08,384.00,396.00,40731
NEU,20180206,380.69,384.38,373.5887,381.01,29022
NEU,20180205,390.42,390.45,382.01,385.45,40372
