<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NIM,20180423,9.60,9.64,9.58,9.64,28809
NIM,20180420,9.61,9.61,9.59,9.60,10527
NIM,20180419,9.64,9.67,9.60,9.61,18743
NIM,20180418,9.70,9.71,9.68,9.68,16587
NIM,20180417,9.73,9.73,9.7086,9.7086,2978
NIM,20180416,9.77,9.77,9.67,9.73,4074
NIM,20180413,9.67,9.83,9.66,9.76,64757
NIM,20180412,9.77,9.77,9.64,9.64,24919
NIM,20180411,9.70,9.80,9.70,9.80,34217
NIM,20180410,9.7199,9.7265,9.68,9.69,15398
NIM,20180409,9.67,9.72,9.67,9.69,14673
NIM,20180406,9.70,9.71,9.68,9.70,23869
NIM,20180405,9.64,9.70,9.63,9.65,25828
NIM,20180404,9.63,9.65,9.62,9.65,3682
NIM,20180403,9.62,9.6242,9.5868,9.61,17294
NIM,20180402,9.65,9.6676,9.60,9.60,26636
NIM,20180329,9.66,9.69,9.64,9.69,5372
NIM,20180328,9.64,9.70,9.59,9.63,36715
NIM,20180327,9.60,9.64,9.58,9.60,40906
NIM,20180326,9.60,9.60,9.57,9.59,14611
NIM,20180323,9.63,9.63,9.59,9.59,18655
NIM,20180322,9.60,9.67,9.60,9.65,16788
NIM,20180321,9.61,9.63,9.541,9.6038,24110
NIM,20180320,9.53,9.622,9.52,9.622,19583
NIM,20180319,9.54,9.605,9.50,9.55,96637
NIM,20180316,9.49,9.55,9.49,9.55,8541
NIM,20180315,9.51,9.5356,9.50,9.50,41151
NIM,20180314,9.52,9.5401,9.50,9.50,29783
NIM,20180313,9.58,9.60,9.53,9.53,43331
NIM,20180312,9.6099,9.6099,9.58,9.58,7419
NIM,20180309,9.60,9.6286,9.57,9.57,14264
NIM,20180308,9.58,9.64,9.58,9.63,20140
NIM,20180307,9.60,9.6216,9.57,9.57,21067
NIM,20180306,9.60,9.65,9.59,9.61,25320
NIM,20180305,9.69,9.69,9.60,9.61,41873
NIM,20180302,9.73,9.73,9.65,9.67,16693
NIM,20180301,9.78,9.78,9.67,9.67,19811
NIM,20180228,9.71,9.75,9.63,9.71,25762
NIM,20180227,9.79,9.7902,9.62,9.67,64018
NIM,20180226,9.73,9.79,9.73,9.7899,33189
NIM,20180223,9.80,9.83,9.69,9.73,37990
NIM,20180222,9.96,9.96,9.74,9.7799,120397
NIM,20180221,9.88,9.98,9.86,9.93,63137
NIM,20180220,9.94,9.94,9.85,9.88,20791
NIM,20180216,9.90,9.90,9.859,9.88,12606
NIM,20180215,9.8601,9.89,9.86,9.87,23343
NIM,20180214,9.87,9.87,9.83,9.85,19364
NIM,20180213,9.87,9.89,9.82,9.84,25952
NIM,20180212,9.89,9.9065,9.8304,9.85,15317
NIM,20180209,9.84,9.89,9.82,9.82,18172
NIM,20180208,9.89,9.89,9.8201,9.85,10455
NIM,20180207,9.91,9.9305,9.8483,9.87,20144
NIM,20180206,9.86,9.92,9.828,9.83,46609
NIM,20180205,9.81,9.84,9.81,9.82,7580
NIM,20180202,9.83,9.83,9.747,9.81,12132
NIM,20180201,9.82,9.84,9.81,9.84,21977
NIM,20180131,9.69,9.82,9.66,9.81,28529
NIM,20180130,9.65,9.76,9.59,9.70,68295
NIM,20180129,9.80,9.80,9.69,9.69,79215
NIM,20180126,9.85,9.85,9.80,9.81,34161
NIM,20180125,9.86,9.88,9.83,9.83,17909
NIM,20180124,9.85,9.9099,9.83,9.85,26494
NIM,20180123,9.86,9.88,9.83,9.88,22343
NIM,20180122,9.88,9.92,9.83,9.84,24018
NIM,20180119,9.84,9.90,9.83,9.89,23416
NIM,20180118,9.86,9.878,9.825,9.83,30298
NIM,20180117,9.87,9.94,9.85,9.86,16580
NIM,20180116,9.86,9.9405,9.85,9.85,26040
NIM,20180112,9.93,9.9604,9.861,9.879,40342
NIM,20180111,9.96,9.98,9.93,9.93,25089
NIM,20180110,10.00,10.01,9.99,9.9948,10684
NIM,20180109,10.04,10.06,10.01,10.02,17393
NIM,20180108,10.05,10.07,10.03,10.03,13415
NIM,20180105,10.05,10.08,10.02,10.02,12918
NIM,20180104,10.03,10.16,10.03,10.05,29384
NIM,20180103,9.99,10.04,9.99,10.02,13445
NIM,20180102,9.97,10.008,9.95,9.97,19801
NIM,20171229,10.00,10.00,9.93,9.96,22858
NIM,20171228,9.92,10.00,9.92,10.00,65141
NIM,20171227,9.93,9.9899,9.92,9.94,43317
NIM,20171226,9.95,9.95,9.90,9.91,24291
NIM,20171222,9.87,9.95,9.87,9.91,40684
NIM,20171221,9.90,9.95,9.85,9.87,78929
NIM,20171220,9.91,9.98,9.9006,9.95,46715
NIM,20171219,9.93,9.96,9.92,9.92,77699
NIM,20171218,9.95,9.9601,9.90,9.93,37712
NIM,20171215,9.98,10.0067,9.90,9.99,36943
NIM,20171214,10.00,10.00,9.9393,9.94,71639
NIM,20171213,10.05,10.07,10.03,10.07,26826
NIM,20171212,10.11,10.1346,10.00,10.07,43731
NIM,20171211,10.13,10.17,10.10,10.10,8278
NIM,20171208,10.11,10.1364,10.10,10.12,21182
NIM,20171207,10.14,10.16,10.10,10.13,21167
NIM,20171206,10.07,10.16,10.07,10.12,36138
NIM,20171205,10.00,10.085,10.00,10.07,41285
NIM,20171204,10.10,10.12,10.00,10.02,36226
NIM,20171201,10.14,10.18,10.08,10.12,22199
NIM,20171130,10.17,10.2096,10.09,10.09,29152
NIM,20171129,10.22,10.2295,10.13,10.17,12510
NIM,20171128,10.25,10.31,10.15,10.22,21014
NIM,20171127,10.25,10.327,10.23,10.26,30490
NIM,20171124,10.25,10.30,10.222,10.25,8833
NIM,20171122,10.26,10.29,10.19,10.24,10672
NIM,20171121,10.20,10.29,10.18,10.29,23396
NIM,20171120,10.20,10.20,10.1656,10.19,14794
NIM,20171117,10.16,10.21,10.13,10.19,13420
NIM,20171116,10.24,10.24,10.11,10.16,29124
NIM,20171115,10.12,10.28,10.12,10.28,38228
