<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NNY,20180423,9.16,9.20,9.16,9.19,31790
NNY,20180420,9.10,9.19,9.0827,9.19,27711
NNY,20180419,9.09,9.11,9.08,9.08,28382
NNY,20180418,9.07,9.125,9.03,9.121,25072
NNY,20180417,9.15,9.15,9.09,9.09,15502
NNY,20180416,9.15,9.19,9.13,9.14,21916
NNY,20180413,9.10,9.17,9.07,9.16,46595
NNY,20180412,9.22,9.28,9.13,9.13,21213
NNY,20180411,9.25,9.35,9.25,9.25,38705
NNY,20180410,9.27,9.28,9.25,9.25,17921
NNY,20180409,9.25,9.30,9.25,9.2999,17294
NNY,20180406,9.26,9.29,9.26,9.28,9957
NNY,20180405,9.27,9.31,9.2501,9.27,26566
NNY,20180404,9.25,9.32,9.25,9.29,14869
NNY,20180403,9.23,9.2799,9.21,9.23,20259
NNY,20180402,9.20,9.26,9.18,9.23,31364
NNY,20180329,9.24,9.26,9.19,9.19,16751
NNY,20180328,9.19,9.30,9.19,9.275,24757
NNY,20180327,9.22,9.22,9.19,9.21,23276
NNY,20180326,9.21,9.29,9.16,9.23,37929
NNY,20180323,9.19,9.23,9.173,9.23,40832
NNY,20180322,9.15,9.19,9.1393,9.18,19265
NNY,20180321,9.12,9.16,9.09,9.16,13747
NNY,20180320,9.16,9.179,9.10,9.11,36220
NNY,20180319,9.14,9.19,9.1178,9.17,52107
NNY,20180316,9.16,9.19,9.111,9.19,13382
NNY,20180315,9.12,9.161,9.11,9.16,17669
NNY,20180314,9.14,9.17,9.10,9.12,48148
NNY,20180313,9.18,9.1899,9.15,9.17,41025
NNY,20180312,9.16,9.21,9.12,9.17,51390
NNY,20180309,9.21,9.24,9.19,9.19,28616
NNY,20180308,9.20,9.25,9.20,9.21,9491
NNY,20180307,9.22,9.23,9.21,9.21,10530
NNY,20180306,9.22,9.26,9.21,9.22,22022
NNY,20180305,9.27,9.29,9.24,9.24,15378
NNY,20180302,9.31,9.311,9.24,9.24,17270
NNY,20180301,9.28,9.34,9.28,9.31,29770
NNY,20180228,9.27,9.32,9.27,9.28,15844
NNY,20180227,9.25,9.30,9.246,9.29,20768
NNY,20180226,9.25,9.2714,9.23,9.24,17109
NNY,20180223,9.24,9.27,9.22,9.23,16791
NNY,20180222,9.27,9.29,9.22,9.22,28589
NNY,20180221,9.24,9.298,9.23,9.27,23967
NNY,20180220,9.31,9.34,9.2499,9.26,49630
NNY,20180216,9.32,9.35,9.3101,9.35,15764
NNY,20180215,9.31,9.32,9.30,9.32,11052
NNY,20180214,9.29,9.34,9.27,9.30,33752
NNY,20180213,9.33,9.33,9.31,9.31,8302
NNY,20180212,9.34,9.35,9.27,9.35,22017
NNY,20180209,9.36,9.37,9.34,9.36,14625
NNY,20180208,9.39,9.39,9.3501,9.36,14685
NNY,20180207,9.41,9.49,9.3702,9.41,29361
NNY,20180206,9.30,9.4242,9.2816,9.38,30388
NNY,20180205,9.33,9.35,9.27,9.27,39323
NNY,20180202,9.35,9.38,9.31,9.36,28300
NNY,20180201,9.38,9.3969,9.35,9.35,30241
NNY,20180131,9.35,9.41,9.34,9.41,47527
NNY,20180130,9.39,9.39,9.32,9.36,46327
NNY,20180129,9.41,9.411,9.3321,9.39,31682
NNY,20180126,9.47,9.49,9.43,9.43,42089
NNY,20180125,9.46,9.51,9.43,9.50,43248
NNY,20180124,9.50,9.51,9.47,9.47,20951
NNY,20180123,9.53,9.53,9.47,9.51,19358
NNY,20180122,9.50,9.535,9.47,9.53,20815
NNY,20180119,9.44,9.53,9.44,9.53,37191
NNY,20180118,9.45,9.4899,9.45,9.47,20087
NNY,20180117,9.52,9.52,9.48,9.48,39101
NNY,20180116,9.50,9.50,9.44,9.45,33259
NNY,20180112,9.48,9.48,9.45,9.45,23436
NNY,20180111,9.51,9.521,9.4999,9.52,14667
NNY,20180110,9.51,9.51,9.50,9.51,9872
NNY,20180109,9.54,9.5699,9.49,9.50,34010
NNY,20180108,9.53,9.555,9.52,9.52,31566
NNY,20180105,9.57,9.58,9.54,9.5455,79174
NNY,20180104,9.57,9.57,9.5319,9.54,24227
NNY,20180103,9.57,9.57,9.5103,9.55,40415
NNY,20180102,9.50,9.522,9.49,9.50,19168
NNY,20171229,9.57,9.57,9.50,9.50,43178
NNY,20171228,9.48,9.56,9.48,9.55,50005
NNY,20171227,9.51,9.52,9.47,9.50,91259
NNY,20171226,9.51,9.51,9.40,9.50,111932
NNY,20171222,9.41,9.56,9.41,9.48,82671
NNY,20171221,9.48,9.57,9.44,9.44,101558
NNY,20171220,9.53,9.59,9.46,9.51,103116
NNY,20171219,9.59,9.61,9.51,9.55,76418
NNY,20171218,9.62,9.66,9.54,9.59,66761
NNY,20171215,9.80,9.87,9.58,9.60,63817
NNY,20171214,9.86,9.89,9.80,9.81,35568
NNY,20171213,9.90,9.91,9.85,9.87,13274
NNY,20171212,9.97,9.97,9.87,9.87,15789
NNY,20171211,9.91,9.955,9.882,9.955,13980
NNY,20171208,9.88,9.94,9.82,9.87,27749
NNY,20171207,9.85,9.929,9.85,9.9273,13498
NNY,20171206,9.77,9.92,9.77,9.85,32035
