<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
NUS,20180423,71.48,72.36,70.59,71.09,587550
NUS,20180420,71.07,71.69,70.71,71.13,367306
NUS,20180419,71.61,71.795,70.56,71.04,330930
NUS,20180418,71.55,72.2999,71.50,71.69,231672
NUS,20180417,71.49,71.87,70.81,71.20,457599
NUS,20180416,71.50,72.96,71.00,71.23,832050
NUS,20180413,74.43,74.43,70.13,71.00,702066
NUS,20180412,75.74,76.15,75.12,75.19,445749
NUS,20180411,74.52,76.16,74.50,75.10,589073
NUS,20180410,74.84,76.24,74.44,75.15,573168
NUS,20180409,73.81,75.55,73.62,73.85,358271
NUS,20180406,74.70,75.82,72.76,73.10,229344
NUS,20180405,75.00,75.24,74.30,75.05,298051
NUS,20180404,73.46,75.13,72.8501,74.86,436805
NUS,20180403,72.67,74.39,72.67,74.11,395734
NUS,20180402,73.15,73.49,71.48,72.17,421208
NUS,20180329,73.51,74.50,73.17,73.71,351465
NUS,20180328,72.50,73.37,72.26,73.05,350700
NUS,20180327,74.00,74.00,71.91,72.31,400072
NUS,20180326,72.49,73.99,72.18,73.88,318921
NUS,20180323,73.09,73.42,71.69,71.84,338603
NUS,20180322,73.88,74.45,73.05,73.12,382438
NUS,20180321,73.18,74.75,72.74,74.35,397175
NUS,20180320,72.38,73.33,72.14,73.21,410435
NUS,20180319,74.13,74.48,71.905,72.08,426379
NUS,20180316,72.73,74.43,72.54,74.25,2770253
NUS,20180315,73.12,73.46,72.47,72.65,861004
NUS,20180314,74.32,74.62,72.97,73.24,408670
NUS,20180313,74.10,75.00,73.72,74.33,457633
NUS,20180312,72.65,74.29,72.50,74.07,456564
NUS,20180309,72.35,73.00,71.74,72.37,346544
NUS,20180308,72.24,72.60,71.48,71.99,347308
NUS,20180307,71.45,72.67,71.32,71.85,534333
NUS,20180306,72.50,73.08,71.79,72.13,538165
NUS,20180305,72.07,73.18,71.54,72.37,353460
NUS,20180302,70.05,72.58,69.71,72.35,355160
NUS,20180301,70.80,71.35,69.711,70.61,377725
NUS,20180228,71.17,71.62,70.06,70.39,368744
NUS,20180227,72.14,72.20,70.8875,71.10,203463
NUS,20180226,72.04,72.88,71.7937,72.37,298447
NUS,20180223,71.43,72.12,70.4126,71.81,264309
NUS,20180222,72.03,72.97,71.10,71.36,386361
NUS,20180221,71.33,72.99,71.11,71.66,650130
NUS,20180220,69.00,71.98,68.84,71.36,566770
NUS,20180216,72.67,72.74,67.725,69.07,883434
NUS,20180215,70.60,72.88,70.01,72.77,589591
NUS,20180214,68.19,70.53,68.12,70.19,209837
NUS,20180213,67.86,68.79,67.71,68.41,152935
NUS,20180212,68.17,68.995,68.01,68.25,193398
NUS,20180209,67.09,67.89,64.94,67.60,363821
NUS,20180208,68.85,69.20,66.64,66.66,281131
NUS,20180207,68.00,69.58,67.6863,68.59,201974
NUS,20180206,66.18,68.85,65.62,68.36,363941
NUS,20180205,69.28,70.31,67.08,67.25,362704
NUS,20180202,71.42,71.57,69.9101,69.98,223046
NUS,20180201,72.10,72.31,71.3102,71.64,266733
NUS,20180131,73.42,73.42,71.78,72.13,237654
NUS,20180130,73.13,74.00,72.78,73.07,182381
NUS,20180129,73.38,74.45,73.38,73.67,222338
NUS,20180126,72.77,73.64,71.81,73.43,183893
NUS,20180125,73.40,73.4075,72.01,72.45,205384
NUS,20180124,72.33,73.49,72.00,73.29,313884
NUS,20180123,71.06,72.24,70.72,72.06,297180
NUS,20180122,69.73,71.00,69.47,70.84,257843
NUS,20180119,68.60,70.10,68.60,69.99,309628
NUS,20180118,68.50,69.17,67.91,68.31,242606
NUS,20180117,68.25,69.42,68.23,68.74,257905
NUS,20180116,68.41,69.56,67.93,68.35,348956
NUS,20180112,67.90,69.21,67.75,68.67,265897
NUS,20180111,67.68,68.17,67.10,67.96,264148
NUS,20180110,68.38,68.42,67.33,67.33,224353
NUS,20180109,68.30,68.96,67.61,68.80,160370
NUS,20180108,68.66,68.73,68.00,68.42,112508
NUS,20180105,68.67,68.84,67.77,68.79,173699
NUS,20180104,68.41,68.77,68.19,68.38,216684
NUS,20180103,68.66,69.25,68.00,68.05,247526
