<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OBE,20180423,1.12,1.14,1.10,1.14,915938
OBE,20180420,1.14,1.14,1.12,1.14,1077646
OBE,20180419,1.13,1.17,1.13,1.15,819303
OBE,20180418,1.12,1.15,1.1199,1.14,1633392
OBE,20180417,1.08,1.12,1.07,1.10,1045937
OBE,20180416,1.09,1.11,1.06,1.09,1030682
OBE,20180413,1.09,1.12,1.08,1.08,1311868
OBE,20180412,1.10,1.11,1.08,1.09,627802
OBE,20180411,1.08,1.12,1.07,1.12,2632462
OBE,20180410,1.06,1.11,1.05,1.08,1052987
OBE,20180409,1.08,1.09,1.05,1.06,840317
OBE,20180406,1.06,1.10,1.05,1.07,1431941
OBE,20180405,1.04,1.10,1.04,1.06,980639
OBE,20180404,1.03,1.06,1.00,1.06,886590
OBE,20180403,1.04,1.04,1.00,1.04,713285
OBE,20180402,1.02,1.13,1.00,1.04,4824297
OBE,20180329,0.92,0.98,0.92,0.9789,1063032
OBE,20180328,0.91,0.9501,0.9017,0.921,1245587
OBE,20180327,0.95,0.9678,0.926,0.926,765167
OBE,20180326,0.975,1.00,0.9313,0.959,620789
OBE,20180323,0.9849,1.02,0.96,0.9709,1216616
OBE,20180322,1.02,1.02,0.9566,0.9861,1934062
OBE,20180321,0.95,1.04,0.935,1.04,4447616
OBE,20180320,0.91,0.9248,0.9001,0.9038,835158
OBE,20180319,0.94,0.94,0.897,0.9156,950384
OBE,20180316,0.925,0.9478,0.9044,0.938,582085
OBE,20180315,0.9269,0.94,0.91,0.9263,823501
OBE,20180314,0.9367,0.9499,0.9101,0.92,931417
OBE,20180313,0.945,0.9773,0.935,0.9407,945235
OBE,20180312,0.95,0.9744,0.9341,0.97,1293512
OBE,20180309,0.96,0.97,0.9122,0.9598,2148090
OBE,20180308,0.95,0.985,0.933,0.9496,2593349
OBE,20180307,0.9558,0.9841,0.8869,0.9616,5872223
OBE,20180306,0.99,0.99,0.9616,0.9721,1313494
OBE,20180305,0.94,0.99,0.9026,0.9786,806783
OBE,20180302,0.90,0.9654,0.882,0.9398,2148527
OBE,20180301,0.925,0.9424,0.89,0.907,2101920
OBE,20180228,0.9704,0.9864,0.9299,0.9314,1336347
OBE,20180227,1.04,1.04,0.9605,0.971,1564724
OBE,20180226,1.00,1.02,0.994,1.02,656015
OBE,20180223,0.98,1.00,0.9618,1.00,743050
OBE,20180222,0.972,1.01,0.9549,0.9775,849375
OBE,20180221,1.01,1.01,0.9501,0.9592,861731
OBE,20180220,1.00,1.025,0.9901,1.00,1206860
OBE,20180216,0.9766,1.01,0.9766,0.99,945444
OBE,20180215,1.01,1.01,0.9457,1.00,1870833
OBE,20180214,0.9461,1.02,0.917,1.01,1870069
OBE,20180213,0.9103,0.9565,0.91,0.9398,1713477
OBE,20180212,0.89,0.963,0.89,0.9103,1296052
OBE,20180209,0.905,0.9145,0.8496,0.8897,3176047
OBE,20180208,0.9475,0.9642,0.91,0.91,2163423
OBE,20180207,0.98,0.9974,0.9368,0.9475,1738023
OBE,20180206,0.95,0.9881,0.94,0.96,1922426
OBE,20180205,1.00,1.015,0.97,0.9735,3749767
OBE,20180202,1.02,1.0452,0.9852,1.01,3166980
OBE,20180201,1.04,1.06,1.03,1.04,1888226
OBE,20180131,1.05,1.07,1.01,1.04,2109365
OBE,20180130,1.10,1.12,1.04,1.05,3932790
OBE,20180129,1.18,1.18,1.10,1.12,2724826
OBE,20180126,1.17,1.19,1.15,1.19,1722899
OBE,20180125,1.16,1.19,1.15,1.16,1739466
OBE,20180124,1.15,1.175,1.13,1.14,2477599
OBE,20180123,1.17,1.17,1.14,1.16,1284725
OBE,20180122,1.17,1.20,1.145,1.15,2094586
OBE,20180119,1.19,1.196,1.17,1.18,2093171
OBE,20180118,1.20,1.2101,1.19,1.21,1754905
OBE,20180117,1.23,1.23,1.20,1.21,2986994
OBE,20180116,1.28,1.28,1.22,1.24,2560769
OBE,20180112,1.26,1.27,1.22,1.24,2613460
OBE,20180111,1.25,1.28,1.24,1.25,1172511
OBE,20180110,1.26,1.2859,1.24,1.25,1204294
OBE,20180109,1.22,1.27,1.22,1.25,1454716
OBE,20180108,1.25,1.27,1.23,1.24,851785
OBE,20180105,1.30,1.32,1.24,1.26,1279423
OBE,20180104,1.33,1.33,1.30,1.31,1523031
OBE,20180103,1.31,1.35,1.31,1.33,1441361
OBE,20180102,1.25,1.31,1.24,1.31,1644030
OBE,20171229,1.24,1.25,1.20,1.24,1761739
OBE,20171228,1.23,1.23,1.20,1.22,1033619
OBE,20171227,1.25,1.25,1.20,1.21,1170985
OBE,20171226,1.19,1.25,1.19,1.24,1136149
OBE,20171222,1.24,1.25,1.21,1.23,1160683
OBE,20171221,1.21,1.25,1.21,1.25,1949413
OBE,20171220,1.18,1.22,1.16,1.21,1671004
OBE,20171219,1.18,1.19,1.16,1.18,1244777
