<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OFG,20180423,13.10,13.25,12.6352,12.70,258076
OFG,20180420,12.05,13.15,12.05,12.95,471274
OFG,20180419,11.65,12.05,11.61,11.80,244537
OFG,20180418,11.90,12.05,11.60,11.60,214559
OFG,20180417,12.10,12.10,11.70,11.85,266390
OFG,20180416,12.15,12.20,11.875,12.05,149406
OFG,20180413,12.25,12.25,11.95,12.05,340317
OFG,20180412,11.85,12.25,11.85,12.10,211624
OFG,20180411,11.45,11.85,11.40,11.80,139747
OFG,20180410,11.55,11.725,11.40,11.45,161555
OFG,20180409,11.45,11.80,11.30,11.35,274274
OFG,20180406,11.45,11.70,11.35,11.45,336561
OFG,20180405,11.40,11.70,11.20,11.55,184891
OFG,20180404,10.80,11.40,10.80,11.30,143052
OFG,20180403,10.65,11.20,10.60,10.95,249075
OFG,20180402,10.45,10.70,10.30,10.60,244484
OFG,20180329,10.80,10.80,10.45,10.45,289825
OFG,20180328,10.55,10.90,10.50,10.70,193997
OFG,20180327,11.10,11.15,10.60,10.60,267704
OFG,20180326,10.85,11.10,10.55,11.05,283306
OFG,20180323,11.40,11.45,10.75,10.75,254201
OFG,20180322,11.45,11.55,11.25,11.35,162746
OFG,20180321,11.60,11.70,11.40,11.50,136021
OFG,20180320,11.95,11.95,11.55,11.60,105863
OFG,20180319,12.00,12.05,11.55,11.95,180560
OFG,20180316,12.00,12.075,11.80,12.05,494054
OFG,20180315,11.70,12.05,11.60,12.00,183368
OFG,20180314,11.80,11.90,11.60,11.65,174302
OFG,20180313,11.85,12.00,11.70,11.75,187724
OFG,20180312,11.90,12.05,11.70,11.85,135944
OFG,20180309,12.05,12.10,11.85,11.90,260281
OFG,20180308,11.75,12.05,11.75,11.95,194925
OFG,20180307,11.50,11.90,11.50,11.65,192384
OFG,20180306,11.35,11.65,11.20,11.60,198479
OFG,20180305,11.20,11.45,10.95,11.35,135934
OFG,20180302,10.90,11.225,10.80,11.20,124884
OFG,20180301,10.80,11.15,10.75,10.95,179934
