<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OLN,20180423,29.52,30.69,29.52,30.33,1649235
OLN,20180420,29.81,30.15,28.95,29.52,3035313
OLN,20180419,30.83,30.84,30.17,30.50,1033833
OLN,20180418,30.93,31.08,30.71,30.77,1127919
OLN,20180417,30.37,30.82,30.37,30.71,754692
OLN,20180416,30.08,30.44,29.805,30.39,765280
OLN,20180413,30.48,30.50,29.90,30.01,1152456
OLN,20180412,29.73,30.39,29.62,30.21,1176368
OLN,20180411,29.69,29.69,29.2975,29.46,1441720
OLN,20180410,30.02,30.33,29.43,29.88,2596477
OLN,20180409,29.60,29.83,29.09,29.52,1532764
OLN,20180406,29.99,30.27,29.14,29.50,1811913
OLN,20180405,29.61,30.325,29.54,30.29,1754666
OLN,20180404,29.42,29.47,28.54,29.44,2220204
OLN,20180403,29.66,30.03,28.94,30.00,1283319
OLN,20180402,30.32,30.55,29.18,29.49,997939
OLN,20180329,30.09,30.54,29.96,30.39,1038291
OLN,20180328,30.04,30.38,29.67,29.82,1224017
OLN,20180327,31.21,31.24,29.78,29.96,1445485
OLN,20180326,30.69,31.19,30.46,31.13,2302984
OLN,20180323,31.10,31.10,30.18,30.35,2606409
OLN,20180322,30.37,31.01,30.21,30.60,2795556
OLN,20180321,29.88,31.235,29.66,30.78,2802440
OLN,20180320,30.08,30.46,29.72,29.78,2589207
OLN,20180319,31.02,31.08,29.91,30.04,3229090
OLN,20180316,31.39,31.68,30.92,31.14,3492590
OLN,20180315,31.63,31.72,31.28,31.30,3003361
OLN,20180314,32.89,32.95,31.38,31.54,3854399
OLN,20180313,33.33,33.51,32.70,32.78,910271
OLN,20180312,33.08,33.58,32.99,33.14,973419
OLN,20180309,32.95,33.30,32.802,33.01,1133610
OLN,20180308,32.84,33.01,32.09,32.43,664639
OLN,20180307,32.71,33.15,32.53,32.85,904219
OLN,20180306,32.44,33.10,32.44,32.96,2402595
OLN,20180305,31.09,32.435,31.09,32.21,1526810
OLN,20180302,31.32,31.48,30.66,31.32,2164531
OLN,20180301,32.58,33.03,31.66,31.68,1954946
OLN,20180228,32.31,32.80,32.20,32.50,3149886
OLN,20180227,33.01,33.16,31.94,32.11,1563825
OLN,20180226,33.18,33.21,32.35,33.11,1313389
OLN,20180223,33.31,33.57,32.96,33.20,836827
OLN,20180222,33.28,33.78,33.07,33.15,749017
OLN,20180221,33.06,33.83,33.06,33.22,1250240
OLN,20180220,32.70,33.57,32.50,33.05,1610846
OLN,20180216,32.98,33.31,32.57,32.67,1440233
OLN,20180215,33.12,33.26,32.40,33.23,1742294
OLN,20180214,31.93,32.85,31.83,32.72,1420793
OLN,20180213,31.32,32.48,31.14,32.27,2396370
OLN,20180212,30.81,31.60,30.60,31.325,3674028
OLN,20180209,31.08,31.229,29.57,30.55,5264097
OLN,20180208,32.89,33.35,30.77,30.97,4890646
OLN,20180207,35.24,35.90,33.15,33.25,4719436
OLN,20180206,34.87,35.95,34.50,35.95,4000824
OLN,20180205,35.86,36.56,34.75,35.40,3179805
OLN,20180202,36.77,37.04,36.03,36.06,2281902
OLN,20180201,37.06,37.73,36.73,36.95,1027020
OLN,20180131,37.25,38.13,36.90,37.28,1719186
OLN,20180130,37.27,37.62,36.88,36.89,910486
OLN,20180129,37.66,37.90,37.25,37.66,2437361
OLN,20180126,38.07,38.40,37.49,37.69,1491897
OLN,20180125,37.69,38.75,37.69,38.07,1179622
OLN,20180124,36.94,38.56,36.75,37.39,1821676
OLN,20180123,36.91,36.91,36.12,36.37,1357206
OLN,20180122,36.70,37.25,36.68,36.94,1172038
OLN,20180119,36.82,37.06,36.19,36.88,1203634
OLN,20180118,36.50,36.92,36.14,36.64,1849296
OLN,20180117,37.98,38.29,36.04,36.50,2940207
OLN,20180116,38.18,38.34,37.29,37.75,1433064
OLN,20180112,38.07,38.13,37.47,38.07,1279962
OLN,20180111,37.49,38.16,37.33,37.95,1672782
OLN,20180110,37.66,37.67,36.72,37.31,1959950
OLN,20180109,38.57,38.61,37.66,37.75,2211485
OLN,20180108,38.70,38.8422,38.26,38.30,1980896
OLN,20180105,37.95,38.80,37.78,38.60,1479388
OLN,20180104,37.74,38.08,37.62,37.73,1427003
OLN,20180103,37.02,37.62,36.62,37.41,1763949
OLN,20180102,35.70,36.75,35.535,36.62,1403052
OLN,20171229,35.80,35.885,35.35,35.58,1136135
OLN,20171228,35.33,35.62,34.93,35.62,707616
OLN,20171227,35.07,35.385,34.91,35.22,878137
OLN,20171226,34.26,34.98,34.12,34.95,779851
OLN,20171222,34.90,34.91,34.51,34.59,782861
OLN,20171221,34.93,35.00,34.59,34.72,1018045
OLN,20171220,34.22,35.25,34.05,34.93,1712917
OLN,20171219,34.23,34.34,33.92,34.03,975834
OLN,20171218,34.08,34.36,34.08,34.23,785330
OLN,20171215,33.76,34.00,33.34,33.86,1595652
OLN,20171214,34.38,34.45,33.57,33.70,1173842
OLN,20171213,34.39,34.69,34.32,34.38,1366274
OLN,20171212,35.05,35.09,34.22,34.29,1803035
OLN,20171211,34.80,35.055,34.44,34.85,1423848
OLN,20171208,35.50,35.57,34.77,34.79,937182
OLN,20171207,35.39,35.69,35.15,35.33,856341
OLN,20171206,34.88,35.435,34.54,35.31,1001035
OLN,20171205,34.58,35.48,34.27,34.96,1441718
OLN,20171204,35.47,35.535,34.39,34.58,1665141
OLN,20171201,35.77,35.81,34.19,34.98,1432064
OLN,20171130,35.50,35.75,35.27,35.64,976275
OLN,20171129,35.94,35.94,34.90,35.33,1338555
OLN,20171128,36.75,36.79,35.91,35.96,1301213
OLN,20171127,36.80,36.88,36.43,36.69,675299
OLN,20171124,37.13,37.14,36.59,36.85,328461
OLN,20171122,37.15,37.26,36.70,36.92,871745
OLN,20171121,36.49,37.22,36.07,37.15,1304481
OLN,20171120,36.23,36.30,35.96,36.24,616324
OLN,20171117,36.06,36.3382,35.64,36.23,1662585
OLN,20171116,35.52,36.53,35.45,36.07,1250879
OLN,20171115,35.34,35.62,34.80,35.36,1908930
OLN,20171114,36.43,36.68,35.56,35.60,1275685
OLN,20171113,36.19,36.63,36.02,36.54,926838
OLN,20171110,36.00,37.33,36.00,36.57,1448875
OLN,20171109,36.21,36.77,35.67,36.19,1012362
