<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
ONDK,20180423,5.47,5.47,5.20,5.31,382308
ONDK,20180420,5.56,5.61,5.44,5.47,348974
ONDK,20180419,5.65,5.69,5.55,5.59,224460
ONDK,20180418,5.58,5.705,5.56,5.63,201206
ONDK,20180417,5.60,5.61,5.56,5.57,199754
ONDK,20180416,5.48,5.60,5.39,5.54,338528
ONDK,20180413,5.47,5.50,5.375,5.45,229116
ONDK,20180412,5.39,5.45,5.3175,5.44,273504
ONDK,20180411,5.28,5.38,5.24,5.37,259047
ONDK,20180410,5.26,5.33,5.185,5.29,271124
ONDK,20180409,5.35,5.35,5.12,5.19,496139
ONDK,20180406,5.27,5.395,5.27,5.34,381411
ONDK,20180405,5.25,5.34,5.13,5.30,482112
ONDK,20180404,5.08,5.225,5.00,5.22,550661
ONDK,20180403,5.18,5.28,5.08,5.14,629391
ONDK,20180402,5.56,5.59,5.13,5.14,558047
ONDK,20180329,5.42,5.63,5.40,5.59,537003
ONDK,20180328,5.54,5.55,5.28,5.36,637715
ONDK,20180327,5.43,5.6748,5.41,5.56,707788
ONDK,20180326,5.35,5.445,5.24,5.41,620304
ONDK,20180323,5.23,5.37,5.13,5.30,468169
ONDK,20180322,5.29,5.40,5.19,5.22,423928
ONDK,20180321,5.18,5.40,5.17,5.32,368015
ONDK,20180320,5.10,5.24,5.09,5.18,404719
ONDK,20180319,5.17,5.21,4.86,5.10,643361
ONDK,20180316,5.22,5.31,5.10,5.19,615113
ONDK,20180315,5.39,5.39,5.22,5.23,521773
ONDK,20180314,5.32,5.41,5.145,5.39,597551
ONDK,20180313,5.60,5.65,5.265,5.32,468066
ONDK,20180312,5.28,5.42,5.18,5.40,773217
ONDK,20180309,5.30,5.36,5.24,5.30,304159
ONDK,20180308,5.27,5.34,5.20,5.25,155439
ONDK,20180307,5.32,5.40,5.22,5.24,319931
ONDK,20180306,5.25,5.40,5.17,5.36,440287
ONDK,20180305,5.17,5.28,5.08,5.25,557571
ONDK,20180302,5.00,5.215,4.92,5.21,444430
ONDK,20180301,5.17,5.25,5.06,5.07,391626
ONDK,20180228,5.20,5.31,5.06,5.19,898141
ONDK,20180227,5.20,5.31,5.14,5.19,1336586
ONDK,20180226,5.35,5.35,5.14,5.27,322987
ONDK,20180223,5.42,5.45,5.27,5.33,221638
ONDK,20180222,5.46,5.50,5.365,5.39,254480
ONDK,20180221,5.24,5.45,5.19,5.43,585545
ONDK,20180220,5.36,5.43,5.14,5.22,503808
ONDK,20180216,5.16,5.50,5.16,5.39,766507
ONDK,20180215,5.09,5.34,4.98,5.17,1454247
ONDK,20180214,4.84,5.21,4.80,5.10,1021736
ONDK,20180213,4.67,5.31,4.67,4.85,1399660
ONDK,20180212,4.28,4.49,4.165,4.48,571862
ONDK,20180209,4.24,4.27,4.11,4.25,471710
ONDK,20180208,4.33,4.33,4.195,4.20,352269
ONDK,20180207,4.30,4.39,4.235,4.32,296276
ONDK,20180206,4.20,4.38,4.20,4.30,403028
ONDK,20180205,4.37,4.45,4.115,4.31,967094
ONDK,20180202,4.66,4.66,4.46,4.53,498904
ONDK,20180201,4.49,4.68,4.38,4.68,334003
ONDK,20180131,4.54,4.60,4.44,4.50,362648
ONDK,20180130,4.39,4.64,4.34,4.54,322958
ONDK,20180129,4.60,4.61,4.41,4.42,463321
ONDK,20180126,4.66,4.70,4.53,4.61,458157
ONDK,20180125,4.69,4.695,4.60,4.63,181365
ONDK,20180124,4.74,4.789,4.65,4.67,318943
ONDK,20180123,4.66,4.74,4.56,4.74,315966
ONDK,20180122,4.72,4.73,4.56,4.69,456912
ONDK,20180119,4.77,4.85,4.71,4.73,286450
ONDK,20180118,4.87,4.89,4.75,4.75,229777
ONDK,20180117,5.01,5.01,4.835,4.89,333219
ONDK,20180116,5.38,5.38,4.9001,4.94,1056620
ONDK,20180112,5.51,5.51,5.275,5.36,445480
ONDK,20180111,5.45,5.60,5.42,5.48,458976
ONDK,20180110,5.33,5.72,5.319,5.46,891247
ONDK,20180109,5.42,5.45,5.24,5.25,1051737
ONDK,20180108,5.67,5.69,5.33,5.42,487206
ONDK,20180105,5.73,5.74,5.65,5.67,174792
ONDK,20180104,5.86,5.86,5.62,5.72,336112
ONDK,20180103,5.96,6.00,5.77,5.81,136624
ONDK,20180102,5.81,5.955,5.71,5.95,218829
ONDK,20171229,5.84,5.84,5.71,5.74,341526
ONDK,20171228,5.73,5.845,5.68,5.82,226557
ONDK,20171227,5.84,5.86,5.68,5.72,266799
ONDK,20171226,5.75,5.85,5.73,5.83,197547
ONDK,20171222,5.80,5.86,5.70,5.79,373217
ONDK,20171221,5.78,5.94,5.75,5.80,315490
ONDK,20171220,5.89,5.95,5.72,5.77,755387
ONDK,20171219,6.29,6.36,5.86,5.89,472846
ONDK,20171218,6.03,6.32,6.03,6.24,1308171
ONDK,20171215,5.69,5.95,5.6775,5.91,713423
ONDK,20171214,5.53,5.68,5.48,5.66,323477
ONDK,20171213,5.40,5.58,5.40,5.54,308142
ONDK,20171212,5.29,5.59,5.28,5.41,428210
ONDK,20171211,5.25,5.27,5.17,5.22,215053
ONDK,20171208,5.21,5.255,5.13,5.23,182631
ONDK,20171207,5.18,5.21,5.09,5.17,258994
ONDK,20171206,5.36,5.38,5.14,5.21,268833
ONDK,20171205,5.31,5.47,5.28,5.36,461583
ONDK,20171204,5.12,5.34,5.07,5.33,479666
ONDK,20171201,5.24,5.27,4.82,5.01,653977
ONDK,20171130,5.27,5.54,5.185,5.29,916064
ONDK,20171129,4.97,5.1675,4.96,5.14,363638
ONDK,20171128,4.89,5.00,4.80,4.93,316548
ONDK,20171127,4.99,5.065,4.85,4.88,198146
ONDK,20171124,4.98,5.07,4.94,5.00,117196
ONDK,20171122,4.96,5.15,4.93,4.98,558988
ONDK,20171121,4.93,5.01,4.86,4.96,259970
ONDK,20171120,4.94,5.02,4.88,4.89,269801
ONDK,20171117,4.93,5.05,4.90,4.94,272958
ONDK,20171116,4.90,5.081,4.86,4.96,490009
ONDK,20171115,4.74,4.86,4.66,4.81,342942
ONDK,20171114,4.77,4.835,4.72,4.75,237145
ONDK,20171113,4.90,4.91,4.77,4.80,290766
ONDK,20171110,4.98,5.17,4.95,4.96,240628
ONDK,20171109,4.97,5.16,4.84,5.01,536805
ONDK,20171108,5.01,5.16,4.96,5.01,777805
ONDK,20171107,5.17,5.21,5.05,5.10,639456
ONDK,20171106,4.81,5.32,4.755,5.20,791657
ONDK,20171103,4.76,5.20,4.73,5.17,950936
ONDK,20171102,4.87,4.98,4.70,4.78,461199
ONDK,20171101,4.99,4.99,4.81,4.90,261651
ONDK,20171031,4.88,4.9699,4.8399,4.93,372770
ONDK,20171030,4.88,4.94,4.7895,4.85,236634
ONDK,20171027,4.76,4.95,4.68,4.88,232483
ONDK,20171026,4.95,4.98,4.73,4.80,213432
ONDK,20171025,5.01,5.04,4.88,4.91,262232
ONDK,20171024,4.95,5.075,4.93,5.01,213502
ONDK,20171023,5.13,5.16,4.82,4.98,291923
ONDK,20171020,5.15,5.17,5.06,5.10,177744
ONDK,20171019,5.06,5.10,5.00,5.06,212750
ONDK,20171018,5.02,5.15,4.94,5.08,395259
ONDK,20171017,5.06,5.18,4.97,5.07,321506
ONDK,20171016,4.88,5.07,4.87,5.05,471466
ONDK,20171013,4.82,4.95,4.76,4.88,212768
ONDK,20171012,4.79,4.86,4.77,4.80,244200
