<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OSB,20180423,41.67,42.00,41.36,41.59,81327
OSB,20180420,41.63,41.70,41.30,41.63,41675
OSB,20180419,41.76,42.53,41.27,41.69,85683
OSB,20180418,42.91,42.91,41.66,41.80,92120
OSB,20180417,40.95,42.9669,40.95,42.76,142483
OSB,20180416,40.80,41.35,40.61,40.88,95906
OSB,20180413,40.68,40.91,39.93,40.74,82474
OSB,20180412,40.14,40.70,40.035,40.61,60961
OSB,20180411,40.02,40.62,39.97,40.18,82891
OSB,20180410,39.43,40.10,39.21,40.04,116458
OSB,20180409,38.64,39.71,38.52,39.08,99350
OSB,20180406,38.74,39.2543,38.35,38.50,65207
OSB,20180405,38.60,39.52,38.57,39.06,84132
OSB,20180404,37.54,38.57,37.12,38.50,113211
OSB,20180403,36.36,38.08,36.36,37.87,115452
OSB,20180402,36.31,36.44,35.3701,36.03,107284
OSB,20180329,35.19,36.41,35.19,36.33,60639
OSB,20180328,35.75,36.02,35.09,35.17,61602
OSB,20180327,36.35,36.53,35.62,35.75,79423
OSB,20180326,36.81,36.81,35.25,36.22,99717
OSB,20180323,36.09,36.69,36.05,36.27,110658
OSB,20180322,36.83,37.08,36.01,36.06,90625
OSB,20180321,36.89,37.74,36.84,37.03,109794
OSB,20180320,36.00,37.02,35.9449,36.80,105533
OSB,20180319,36.19,36.46,35.65,35.90,125561
OSB,20180316,36.45,36.83,36.00,36.19,140596
OSB,20180315,36.01,36.735,36.01,36.42,82156
OSB,20180314,36.12,36.35,35.36,36.06,119994
OSB,20180313,35.72,36.13,35.42,35.99,105122
OSB,20180312,34.89,36.05,34.77,35.46,123228
OSB,20180309,33.54,34.74,33.51,34.64,88876
OSB,20180308,33.34,33.90,33.13,33.33,51840
OSB,20180307,33.21,33.66,32.91,33.23,77896
OSB,20180306,32.90,33.74,32.90,33.38,80344
OSB,20180305,33.73,34.03,32.87,32.98,68172
OSB,20180302,32.80,34.12,32.30,34.01,106794
OSB,20180301,33.82,33.83,32.47,32.89,132617
OSB,20180228,34.99,34.99,33.59,33.77,110798
OSB,20180227,35.26,35.47,34.83,35.17,87684
OSB,20180226,35.69,35.89,34.50,35.16,125381
OSB,20180223,35.52,35.63,35.14,35.61,92366
OSB,20180222,35.47,35.87,35.06,35.16,107420
OSB,20180221,36.06,36.09,35.43,35.46,96072
OSB,20180220,36.85,36.95,35.87,35.91,92008
OSB,20180216,36.72,36.94,36.53,36.87,70928
OSB,20180215,36.84,37.10,36.17,36.72,146453
OSB,20180214,36.03,36.87,35.67,36.83,78953
OSB,20180213,35.71,36.36,35.6301,36.13,82849
OSB,20180212,35.48,35.86,35.26,35.77,131292
OSB,20180209,36.01,36.15,34.25,35.03,197867
OSB,20180208,37.03,37.13,35.62,35.63,135008
OSB,20180207,37.62,38.19,37.07,37.21,141418
OSB,20180206,36.15,38.04,36.15,37.60,136435
OSB,20180205,36.37,37.87,36.341,37.05,155318
