<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OXY,20180423,76.27,77.26,75.665,77.24,2874070
OXY,20180420,75.80,76.88,75.455,76.50,3752494
OXY,20180419,76.21,76.525,75.57,75.99,4847481
OXY,20180418,76.14,76.66,75.71,75.92,3702341
OXY,20180417,74.95,75.49,74.55,75.22,3688191
OXY,20180416,74.45,74.9792,73.78,74.91,4447671
OXY,20180413,72.48,73.82,72.31,73.63,5694361
OXY,20180412,71.77,72.25,71.355,71.78,4240930
OXY,20180411,70.53,71.95,70.49,71.68,4189708
OXY,20180410,69.90,70.84,69.54,70.51,6986090
OXY,20180409,68.08,69.70,67.60,68.93,7277467
OXY,20180406,67.43,68.11,66.67,67.53,6220312
OXY,20180405,66.89,68.03,66.71,67.77,7193619
OXY,20180404,65.75,66.69,65.50,66.62,5764103
OXY,20180403,64.88,66.675,64.46,66.62,5906765
OXY,20180402,64.86,65.16,63.44,64.66,5537026
OXY,20180329,63.58,65.46,63.445,64.96,7294057
OXY,20180328,65.96,65.99,62.98,63.15,9065158
OXY,20180327,67.32,67.62,65.435,65.82,4502263
OXY,20180326,66.22,67.28,65.93,67.20,3519537
OXY,20180323,66.00,67.38,65.365,65.49,5676337
OXY,20180322,65.31,65.98,64.99,65.18,5865234
OXY,20180321,64.24,66.51,64.21,66.04,4275872
OXY,20180320,63.90,64.73,63.61,63.91,4189458
OXY,20180319,64.07,64.21,63.128,63.65,4277796
OXY,20180316,64.00,64.47,63.63,64.45,5281267
OXY,20180315,64.34,64.66,63.21,63.91,2877650
OXY,20180314,64.54,64.81,63.93,64.04,3093745
OXY,20180313,64.18,64.93,63.92,64.20,4216472
OXY,20180312,63.75,64.54,63.50,63.89,6137726
OXY,20180309,63.39,63.76,63.10,63.67,9426393
OXY,20180308,64.39,64.55,62.47,62.96,7488654
OXY,20180307,65.12,65.705,64.20,65.19,3818815
OXY,20180306,66.45,66.51,65.56,65.67,2897805
OXY,20180305,65.17,66.38,65.01,65.92,4300082
OXY,20180302,65.12,65.85,64.24,65.64,3310181
OXY,20180301,65.70,66.39,65.08,65.63,4878457
OXY,20180228,67.25,67.39,65.59,65.60,4052662
OXY,20180227,67.61,67.98,66.75,66.75,5343637
OXY,20180226,68.36,68.42,67.15,67.27,6423254
OXY,20180223,68.34,68.85,67.72,68.32,3408760
OXY,20180222,67.82,68.81,67.36,67.92,3383788
OXY,20180221,67.99,68.70,67.19,67.21,3951482
OXY,20180220,68.88,68.88,67.81,67.99,4362062
OXY,20180216,69.21,69.41,68.07,68.16,5133950
OXY,20180215,69.95,70.05,67.69,69.43,4409688
OXY,20180214,66.62,70.20,66.60,69.85,7058837
OXY,20180213,69.21,70.17,69.12,69.72,4167443
OXY,20180212,68.89,70.53,68.89,69.87,3494067
OXY,20180209,69.04,69.41,65.7128,68.18,4873391
OXY,20180208,69.99,70.16,68.47,68.48,5036289
OXY,20180207,71.48,72.20,69.85,69.87,5029437
OXY,20180206,69.77,71.66,69.40,71.23,4446835
OXY,20180205,72.99,73.87,70.05,70.91,4689774
OXY,20180202,75.20,75.20,73.35,73.58,3416944
OXY,20180201,75.02,76.28,74.99,76.09,2334099
OXY,20180131,74.86,75.25,74.22,74.97,3800732
OXY,20180130,75.48,76.04,74.68,74.76,3525104
OXY,20180129,76.88,77.1867,76.08,76.24,2388521
OXY,20180126,76.80,77.295,76.49,77.18,1803202
OXY,20180125,77.58,77.77,76.6762,76.74,2124717
OXY,20180124,77.76,78.09,77.07,77.56,2508774
OXY,20180123,77.45,77.90,77.22,77.42,2646601
OXY,20180122,75.74,77.63,75.74,77.63,3739084
OXY,20180119,75.45,75.63,75.10,75.55,2903833
OXY,20180118,75.81,76.10,75.37,75.39,2435032
OXY,20180117,75.57,76.19,74.96,75.86,2674951
OXY,20180116,76.78,76.79,75.27,75.27,3402478
OXY,20180112,76.00,76.7628,75.766,76.53,5310145
OXY,20180111,74.64,75.985,74.27,75.82,4388428
OXY,20180110,74.90,74.95,74.14,74.25,3589603
OXY,20180109,75.23,75.44,74.81,74.89,2553602
OXY,20180108,74.60,75.24,74.41,75.19,2737813
OXY,20180105,74.83,74.97,74.25,74.55,2819833
OXY,20180104,74.60,74.99,74.105,74.96,2391163
OXY,20180103,74.04,75.11,74.00,75.00,3063602
OXY,20180102,74.01,74.30,73.485,73.98,2387377
OXY,20171229,73.98,74.0599,73.63,73.66,2169041
OXY,20171228,73.37,73.775,73.22,73.70,1434858
OXY,20171227,73.54,73.66,73.08,73.32,1930504
OXY,20171226,72.97,73.90,72.97,73.54,1937129
OXY,20171222,72.60,73.27,72.44,72.99,2077845
OXY,20171221,71.95,72.66,71.79,72.58,2201984
OXY,20171220,71.17,71.95,70.95,71.88,2500474
OXY,20171219,71.00,71.20,70.62,70.90,3953466
OXY,20171218,70.91,71.22,70.63,70.97,2731997
OXY,20171215,70.87,71.04,70.45,70.61,3840995
OXY,20171214,70.07,70.87,69.87,70.55,4662961
OXY,20171213,69.89,70.119,69.71,69.97,3494870
OXY,20171212,69.92,70.1501,69.36,70.01,3553868
OXY,20171211,68.90,69.84,68.90,69.50,2510922
OXY,20171208,68.68,69.09,68.275,68.87,2610742
OXY,20171207,69.08,69.59,69.01,69.41,2964075
OXY,20171206,69.97,70.04,68.98,69.27,2832014
OXY,20171205,70.17,70.45,69.84,70.00,1919869
OXY,20171204,70.49,71.14,69.99,70.06,3108029
OXY,20171201,70.75,71.0875,69.77,70.23,3896386
OXY,20171130,70.03,70.61,69.83,70.47,4094408
OXY,20171129,68.74,69.95,68.5098,69.90,4696144
OXY,20171128,68.02,68.98,67.86,68.96,4201827
OXY,20171127,68.17,68.419,67.6601,68.08,3886715
OXY,20171124,68.45,68.64,68.40,68.42,1115472
OXY,20171122,68.18,68.41,68.085,68.23,2381385
OXY,20171121,68.07,68.285,67.72,67.88,2675406
OXY,20171120,68.18,68.29,67.77,67.81,3791765
OXY,20171117,67.91,68.79,67.85,68.40,4695977
OXY,20171116,66.56,67.46,66.51,67.17,3135884
OXY,20171115,66.79,67.0769,66.45,66.67,4233734
OXY,20171114,67.81,67.81,67.04,67.32,3341483
OXY,20171113,68.00,68.41,67.78,67.93,2885434
OXY,20171110,68.46,68.81,68.05,68.17,2736400
OXY,20171109,67.95,68.88,67.92,68.70,2354495
