<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PANW,20180423,192.61,192.99,189.44,192.27,981672
PANW,20180420,191.24,194.11,191.24,192.07,771501
PANW,20180419,191.72,192.95,190.57,192.02,741173
PANW,20180418,192.72,193.40,189.78,192.47,837702
PANW,20180417,190.47,193.23,189.35,191.90,1115380
PANW,20180416,188.96,190.44,186.36,189.02,796215
PANW,20180413,191.95,191.96,185.48,187.38,815860
PANW,20180412,188.41,191.70,187.66,190.43,1038057
PANW,20180411,185.89,188.1054,184.70,186.99,1368239
PANW,20180410,189.70,190.82,182.6401,186.82,2116571
PANW,20180409,195.47,197.05,187.54,187.92,1685784
PANW,20180406,193.78,196.299,192.19,193.84,1641080
PANW,20180405,190.00,197.20,189.34,196.40,2510903
PANW,20180404,181.28,189.80,181.10,189.24,1824184
PANW,20180403,181.32,185.96,181.07,184.37,1114862
PANW,20180402,179.96,181.75,177.60,180.14,1029733
PANW,20180329,177.97,182.12,177.97,181.52,986389
PANW,20180328,178.81,181.48,175.52,176.90,1172880
PANW,20180327,189.22,189.22,177.72,179.44,1296244
PANW,20180326,184.90,188.00,182.20,187.45,802850
PANW,20180323,184.82,186.29,181.43,181.76,760769
PANW,20180322,185.86,188.70,184.69,184.83,646758
PANW,20180321,187.87,189.92,186.24,187.97,685161
PANW,20180320,186.51,188.50,186.06,187.86,947627
PANW,20180319,187.17,188.38,183.89,186.12,1101349
PANW,20180316,188.76,189.3799,187.35,187.46,962710
PANW,20180315,189.15,190.40,187.75,189.01,740455
PANW,20180314,188.73,191.415,187.92,188.45,942913
PANW,20180313,189.82,190.87,187.22,188.24,1070664
PANW,20180312,188.78,191.53,187.11,189.73,1580461
PANW,20180309,188.33,189.44,186.44,188.51,1119094
PANW,20180308,186.77,188.14,186.20,187.65,1033408
PANW,20180307,181.69,187.07,181.23,186.27,1758578
PANW,20180306,180.92,183.56,179.01,183.22,1839988
PANW,20180305,176.01,180.84,175.90,180.27,1696399
PANW,20180302,170.26,177.13,169.04,176.76,1221553
PANW,20180301,173.35,175.94,171.12,173.44,1724619
PANW,20180228,174.28,175.34,170.72,173.37,1902178
PANW,20180227,178.80,179.15,172.50,173.24,5305674
PANW,20180226,166.43,169.72,164.75,169.32,3227816
PANW,20180223,163.00,165.58,161.11,165.54,1266823
PANW,20180222,166.70,167.00,161.50,161.98,1647783
PANW,20180221,167.06,167.73,164.27,164.40,1637256
PANW,20180220,160.84,164.1947,160.84,162.92,915126
PANW,20180216,160.98,163.88,160.23,162.08,1080377
PANW,20180215,159.78,161.49,158.77,160.59,989811
PANW,20180214,156.59,159.855,155.75,158.37,999106
PANW,20180213,154.95,157.46,153.43,156.91,816031
PANW,20180212,155.42,157.27,153.74,155.25,823512
PANW,20180209,154.61,155.85,148.41,153.87,870637
PANW,20180208,156.44,157.89,150.23,151.33,1135724
PANW,20180207,155.55,157.24,154.44,156.01,572727
PANW,20180206,149.74,157.73,149.74,156.56,1022384
PANW,20180205,153.93,159.14,153.25,153.54,1051098
PANW,20180202,158.50,158.96,154.965,155.18,633804
PANW,20180201,156.60,160.54,156.46,159.61,804354
PANW,20180131,155.38,158.08,155.13,157.87,1008841
PANW,20180130,155.86,156.68,154.02,154.43,974838
PANW,20180129,159.85,160.83,156.60,156.72,829386
PANW,20180126,157.80,160.22,157.42,159.71,625332
PANW,20180125,159.17,159.22,155.95,157.28,759691
PANW,20180124,159.44,160.50,157.27,158.28,773396
PANW,20180123,157.71,160.00,155.25,159.53,1348139
