<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PCQ,20180423,14.77,14.77,14.68,14.72,89083
PCQ,20180420,14.69,14.84,14.66,14.74,94870
PCQ,20180419,14.69,14.71,14.63,14.708,61066
PCQ,20180418,14.70,14.76,14.69,14.71,82479
PCQ,20180417,14.75,14.77,14.69,14.769,85551
PCQ,20180416,14.75,14.77,14.68,14.77,47800
PCQ,20180413,14.80,14.80,14.7001,14.75,47478
PCQ,20180412,14.77,14.81,14.70,14.74,95602
PCQ,20180411,14.80,14.82,14.76,14.79,35164
PCQ,20180410,14.82,14.86,14.78,14.838,84447
PCQ,20180409,14.77,14.88,14.77,14.88,46532
PCQ,20180406,14.80,14.85,14.7999,14.80,64464
PCQ,20180405,14.85,14.85,14.7462,14.80,57339
PCQ,20180404,14.74,14.81,14.74,14.76,62159
PCQ,20180403,14.70,14.81,14.695,14.79,67768
PCQ,20180402,14.81,14.81,14.69,14.69,105330
PCQ,20180329,14.78,14.81,14.70,14.72,58812
PCQ,20180328,14.69,14.78,14.68,14.78,89171
PCQ,20180327,14.65,14.67,14.60,14.67,53543
PCQ,20180326,14.58,14.65,14.58,14.63,40651
PCQ,20180323,14.67,14.67,14.58,14.58,35690
PCQ,20180322,14.68,14.68,14.61,14.62,52120
PCQ,20180321,14.70,14.73,14.64,14.70,50772
PCQ,20180320,14.66,14.7201,14.66,14.70,25420
PCQ,20180319,14.77,14.77,14.68,14.70,48134
PCQ,20180316,14.71,14.75,14.71,14.72,26666
PCQ,20180315,14.85,14.85,14.71,14.74,35730
PCQ,20180314,14.72,14.81,14.69,14.77,55294
PCQ,20180313,14.75,14.83,14.71,14.75,59033
PCQ,20180312,14.95,14.98,14.75,14.75,101225
PCQ,20180309,15.01,15.01,14.93,14.95,96650
PCQ,20180308,15.01,15.07,15.0099,15.05,34584
PCQ,20180307,14.95,15.09,14.95,15.03,40538
PCQ,20180306,15.10,15.10,14.97,14.99,84226
PCQ,20180305,14.96,15.06,14.96,15.05,80384
PCQ,20180302,14.82,14.99,14.82,14.95,86789
PCQ,20180301,14.74,14.92,14.6711,14.82,138373
PCQ,20180228,14.66,14.72,14.64,14.65,68161
PCQ,20180227,14.80,14.8096,14.65,14.69,69608
PCQ,20180226,14.75,14.88,14.73,14.75,103571
PCQ,20180223,14.60,14.80,14.56,14.80,101099
PCQ,20180222,14.64,14.76,14.43,14.44,112738
PCQ,20180221,14.70,14.91,14.64,14.64,113378
PCQ,20180220,15.24,15.24,14.70,14.70,225453
PCQ,20180216,15.38,15.5072,15.29,15.335,116885
PCQ,20180215,15.59,15.60,15.32,15.35,159070
PCQ,20180214,15.62,15.6799,15.62,15.62,35892
PCQ,20180213,15.74,15.80,15.68,15.70,69565
PCQ,20180212,15.62,15.81,15.601,15.78,60883
PCQ,20180209,15.95,15.95,15.51,15.60,66648
PCQ,20180208,15.83,15.93,15.83,15.83,34208
PCQ,20180207,15.94,16.00,15.86,15.89,43580
PCQ,20180206,15.63,15.91,15.60,15.84,69878
PCQ,20180205,15.88,15.973,15.49,15.68,154110
PCQ,20180202,15.92,15.986,15.88,15.89,92249
PCQ,20180201,16.15,16.23,16.021,16.05,80616
PCQ,20180131,16.02,16.18,16.02,16.12,87059
PCQ,20180130,15.98,16.107,15.92,16.01,99343
PCQ,20180129,16.51,16.57,15.90,15.92,310833
PCQ,20180126,17.14,17.14,16.66,16.67,151112
PCQ,20180125,17.18,17.25,17.04,17.05,35273
PCQ,20180124,17.12,17.17,17.10,17.10,36231
PCQ,20180123,17.15,17.24,17.14,17.1499,36586
PCQ,20180122,17.25,17.26,17.15,17.15,35917
PCQ,20180119,17.19,17.32,17.19,17.30,37928
PCQ,20180118,17.20,17.2155,17.19,17.19,59006
PCQ,20180117,17.27,17.28,17.20,17.20,29052
PCQ,20180116,17.25,17.38,17.19,17.36,66663
PCQ,20180112,17.22,17.262,17.21,17.262,33306
PCQ,20180111,17.25,17.30,17.2147,17.22,11982
PCQ,20180110,17.32,17.38,17.30,17.32,28775
PCQ,20180109,17.44,17.57,17.37,17.405,37366
PCQ,20180108,17.36,17.89,17.33,17.51,42724
PCQ,20180105,17.54,17.54,17.355,17.3894,61975
PCQ,20180104,17.31,17.48,17.31,17.40,75879
PCQ,20180103,17.38,17.51,17.38,17.39,47012
PCQ,20180102,17.30,17.40,17.27,17.35,119379
PCQ,20171229,17.27,17.32,17.27,17.27,63652
PCQ,20171228,17.30,17.3064,17.26,17.27,67043
PCQ,20171227,17.30,17.3699,17.30,17.30,33196
PCQ,20171226,17.29,17.33,17.29,17.30,25282
PCQ,20171222,17.30,17.34,17.28,17.28,122105
PCQ,20171221,17.29,17.36,17.28,17.30,26473
PCQ,20171220,17.28,17.31,17.25,17.28,48910
PCQ,20171219,17.37,17.37,17.33,17.3438,11352
PCQ,20171218,17.32,17.44,17.25,17.44,49643
PCQ,20171215,17.41,17.41,17.31,17.31,39059
PCQ,20171214,17.53,17.53,17.33,17.34,50796
PCQ,20171213,17.30,17.45,17.30,17.44,24831
PCQ,20171212,17.57,17.57,17.26,17.34,50333
PCQ,20171211,17.47,17.89,17.40,17.58,26581
PCQ,20171208,17.30,17.89,17.25,17.44,52431
PCQ,20171207,17.37,17.44,17.30,17.43,48273
PCQ,20171206,17.26,17.35,17.26,17.35,25477
PCQ,20171205,17.32,17.32,17.26,17.27,19907
PCQ,20171204,17.13,17.2792,17.10,17.2792,41374
PCQ,20171201,17.17,17.27,17.11,17.11,33589
PCQ,20171130,17.14,17.20,17.10,17.15,26096
PCQ,20171129,17.17,17.18,17.06,17.18,26057
PCQ,20171128,17.15,17.22,17.11,17.22,63061
PCQ,20171127,17.21,17.22,17.15,17.15,35610
PCQ,20171124,17.22,17.22,17.1656,17.18,9868
PCQ,20171122,17.21,17.22,17.13,17.18,12022
PCQ,20171121,17.13,17.2179,17.13,17.2179,21536
PCQ,20171120,17.14,17.1704,17.12,17.1261,11799
PCQ,20171117,17.20,17.20,17.15,17.16,17970
PCQ,20171116,17.13,17.21,17.13,17.21,17115
PCQ,20171115,17.15,17.15,17.12,17.13,18709
PCQ,20171114,17.09,17.15,17.09,17.13,41495
PCQ,20171113,17.18,17.2093,17.12,17.1347,28545
PCQ,20171110,17.13,17.22,17.12,17.22,26009
PCQ,20171109,17.21,17.265,17.20,17.20,26979
PCQ,20171108,17.25,17.275,17.18,17.2365,52367
PCQ,20171107,17.14,17.249,17.14,17.24,41737
PCQ,20171106,17.18,17.28,17.132,17.1672,74395
PCQ,20171103,17.24,17.24,17.10,17.18,47700
PCQ,20171102,17.20,17.20,17.08,17.13,40244
PCQ,20171101,17.16,17.23,17.03,17.05,97463
PCQ,20171031,17.16,17.2322,17.10,17.14,33641
PCQ,20171030,17.23,17.23,17.1401,17.21,11909
PCQ,20171027,17.04,17.15,17.02,17.10,41386
PCQ,20171026,17.16,17.16,17.111,17.13,41742
PCQ,20171025,17.35,17.35,17.18,17.18,40306
PCQ,20171024,17.32,17.37,17.2514,17.35,29726
PCQ,20171023,17.18,17.25,17.18,17.20,47648
PCQ,20171020,17.26,17.29,17.22,17.23,39728
PCQ,20171019,17.36,17.37,17.31,17.31,12407
PCQ,20171018,17.19,17.35,17.19,17.31,52622
PCQ,20171017,17.17,17.32,17.17,17.20,46641
PCQ,20171016,17.23,17.27,17.23,17.24,9230
PCQ,20171013,17.27,17.34,17.23,17.258,35667
PCQ,20171012,17.33,17.33,17.22,17.24,16363
PCQ,20171011,17.28,17.37,17.28,17.33,11043
PCQ,20171010,17.34,17.3748,17.28,17.29,23623
PCQ,20171009,17.40,17.40,17.30,17.39,21479
PCQ,20171006,17.22,17.27,17.20,17.24,29989
PCQ,20171005,17.29,17.32,17.21,17.2956,37240
PCQ,20171004,17.28,17.46,17.21,17.31,50894
PCQ,20171003,17.13,17.373,17.09,17.32,52760
PCQ,20171002,17.15,17.2799,17.11,17.1788,37540
PCQ,20170929,17.18,17.22,17.12,17.19,44067
PCQ,20170928,17.15,17.21,17.00,17.20,31290
PCQ,20170927,17.33,17.33,17.10,17.18,62627
PCQ,20170926,17.40,17.40,17.33,17.35,32619
