<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PEG,20180423,49.53,49.80,49.02,49.38,2209095
PEG,20180420,50.13,50.21,49.32,49.51,1899960
PEG,20180419,50.18,50.48,49.815,50.03,1934587
PEG,20180418,50.96,51.38,50.43,50.45,1197744
PEG,20180417,50.50,51.03,50.35,50.87,1769955
PEG,20180416,50.30,50.61,50.01,50.41,2675905
PEG,20180413,49.71,50.41,49.67,49.88,2551248
PEG,20180412,50.02,50.10,49.305,49.44,2674565
PEG,20180411,49.76,49.92,49.44,49.86,1633549
PEG,20180410,50.31,50.50,49.74,49.85,2524674
PEG,20180409,50.13,50.75,49.94,50.31,1753052
PEG,20180406,50.77,50.98,49.94,50.08,2716037
PEG,20180405,50.39,50.81,49.73,50.73,1641950
PEG,20180404,50.21,50.53,49.77,50.37,1964458
PEG,20180403,49.85,50.60,49.54,50.30,1946825
PEG,20180402,50.38,50.41,49.505,49.86,2672447
PEG,20180329,49.61,50.41,49.47,50.25,2564186
PEG,20180328,49.47,49.6405,49.24,49.36,2365522
PEG,20180327,48.51,49.97,48.43,49.32,2347598
PEG,20180326,47.98,48.51,47.90,48.43,1460930
PEG,20180323,48.47,48.98,47.84,47.90,2265094
PEG,20180322,48.34,49.19,48.195,48.26,2118453
PEG,20180321,49.02,49.39,48.25,48.39,2771748
PEG,20180320,49.18,49.49,48.81,48.98,3109941
PEG,20180319,49.21,49.75,48.8925,49.30,2441501
PEG,20180316,48.76,49.365,48.59,49.29,5395169
PEG,20180315,48.39,49.10,48.39,48.65,3144779
PEG,20180314,47.52,48.53,47.49,48.45,2901236
PEG,20180313,47.66,48.08,47.20,47.39,2190755
PEG,20180312,47.11,47.69,47.05,47.58,2679006
PEG,20180309,46.91,47.11,46.25,47.05,2039226
PEG,20180308,46.59,47.02,46.36,46.83,2159943
PEG,20180307,46.70,46.84,46.19,46.38,2417310
PEG,20180306,48.02,48.055,47.08,47.19,2882858
PEG,20180305,47.64,48.265,47.25,48.07,3874530
PEG,20180302,48.27,48.58,47.08,47.70,3124945
PEG,20180301,48.47,49.02,47.9264,48.29,3211171
PEG,20180228,48.97,49.28,48.42,48.43,2514080
PEG,20180227,50.28,50.41,48.78,48.78,2880156
PEG,20180226,50.59,50.85,50.14,50.30,2257691
PEG,20180223,49.01,50.56,48.55,50.53,2228880
PEG,20180222,48.68,49.46,48.42,49.18,2421514
PEG,20180221,49.31,49.61,48.495,48.53,1802276
PEG,20180220,49.19,49.50,48.86,49.29,3391422
PEG,20180216,48.72,49.67,48.53,49.43,2248126
PEG,20180215,47.88,48.61,47.61,48.61,2378106
PEG,20180214,47.63,48.11,47.37,47.62,2087634
PEG,20180213,47.46,48.15,47.08,48.04,2193630
PEG,20180212,47.33,47.85,46.79,47.62,3973800
PEG,20180209,46.68,47.61,46.20,47.24,4611207
PEG,20180208,47.48,48.14,46.68,46.73,4280809
PEG,20180207,47.59,48.48,47.54,47.70,2884134
PEG,20180206,48.27,48.33,46.58,47.63,4074660
PEG,20180205,49.50,50.16,48.84,48.84,4199976
PEG,20180202,50.37,50.68,50.04,50.04,2709996
PEG,20180201,51.90,51.95,50.52,50.67,3889120
PEG,20180131,51.03,51.94,50.82,51.875,3130528
PEG,20180130,50.65,51.19,50.50,51.01,2780917
PEG,20180129,50.91,50.94,50.21,50.67,2394757
PEG,20180126,51.21,51.34,50.69,51.20,2098615
PEG,20180125,50.37,51.135,50.26,51.12,1935807
PEG,20180124,50.59,50.65,50.115,50.43,1846452
PEG,20180123,50.19,51.10,50.10,50.73,1866608
PEG,20180122,50.19,50.43,49.88,50.04,2778695
PEG,20180119,49.92,50.16,49.61,49.80,2432508
PEG,20180118,50.40,50.43,49.57,49.74,2206486
PEG,20180117,49.71,50.415,49.65,50.27,2271012
PEG,20180116,50.21,50.385,49.36,49.55,2810969
PEG,20180112,49.885,50.21,49.53,50.10,2581543
PEG,20180111,49.46,50.2907,49.21,50.00,4277981
PEG,20180110,49.40,49.55,49.05,49.40,3222269
PEG,20180109,49.83,49.94,49.25,49.63,4909834
PEG,20180108,49.72,49.91,49.52,49.81,2766464
PEG,20180105,49.41,49.78,49.26,49.66,5408086
