<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
POL,20180423,44.37,44.64,44.20,44.42,126968
POL,20180420,44.40,44.83,44.10,44.30,238590
POL,20180419,44.92,45.01,44.32,44.54,175768
POL,20180418,44.67,45.70,44.57,45.10,215227
POL,20180417,44.50,44.76,44.06,44.50,215230
POL,20180416,43.54,44.25,43.42,44.12,275442
POL,20180413,44.04,44.04,43.13,43.35,159878
POL,20180412,43.53,43.98,43.475,43.75,164288
POL,20180411,42.98,43.43,42.18,43.37,194875
POL,20180410,42.54,43.4016,42.26,43.26,139170
POL,20180409,42.33,42.62,41.76,41.93,155357
POL,20180406,42.71,43.15,41.61,41.92,175766
POL,20180405,42.41,43.06,42.41,42.99,210685
POL,20180404,41.15,42.18,40.89,42.11,176545
POL,20180403,41.22,41.78,40.50,41.73,623349
POL,20180402,42.49,42.49,40.74,41.12,219469
POL,20180329,42.10,43.08,41.875,42.52,318296
POL,20180328,41.98,42.30,41.68,41.88,202821
POL,20180327,42.52,42.52,41.605,41.84,220766
POL,20180326,42.29,42.455,41.82,42.36,201414
POL,20180323,42.60,43.135,41.49,41.49,271869
POL,20180322,43.00,43.93,42.45,42.48,355825
POL,20180321,43.01,44.02,42.92,43.41,259121
POL,20180320,42.90,43.48,42.82,42.99,184708
POL,20180319,43.00,43.06,42.32,42.95,167210
POL,20180316,42.80,43.52,42.53,43.23,533302
POL,20180315,43.63,43.63,42.57,42.84,524538
POL,20180314,44.72,44.72,43.44,43.58,244322
POL,20180313,44.73,44.97,44.23,44.39,330465
POL,20180312,44.92,45.17,44.31,44.55,235005
POL,20180309,43.65,44.78,43.65,44.75,198162
POL,20180308,43.94,43.94,43.12,43.44,159754
POL,20180307,42.94,44.06,42.94,43.86,288100
POL,20180306,42.75,43.91,42.38,43.33,244500
POL,20180305,41.43,42.86,41.33,42.56,300257
POL,20180302,40.93,41.86,40.55,41.75,259546
POL,20180301,41.35,41.61,40.84,41.18,219235
POL,20180228,42.61,42.61,41.28,41.31,259603
POL,20180227,42.55,42.88,42.15,42.55,308872
POL,20180226,42.50,42.57,41.88,42.56,255043
POL,20180223,42.27,42.45,41.97,42.24,328157
POL,20180222,41.89,42.39,41.75,41.87,219594
POL,20180221,42.20,42.49,41.66,41.67,267104
POL,20180220,41.96,42.37,41.64,42.04,316291
POL,20180216,42.04,42.315,41.87,42.06,364347
POL,20180215,42.29,42.69,41.39,42.14,471376
POL,20180214,40.74,42.04,40.69,41.90,198036
POL,20180213,40.63,41.12,40.54,41.10,370886
POL,20180212,40.58,41.07,39.80,40.79,496052
POL,20180209,40.83,41.24,39.75,40.42,593996
POL,20180208,41.82,41.82,40.29,40.32,379573
POL,20180207,41.39,42.12,41.231,41.71,262024
POL,20180206,40.22,41.98,39.68,41.66,390242
POL,20180205,42.62,43.09,41.02,41.05,687707
POL,20180202,43.11,43.47,42.79,42.88,393168
POL,20180201,43.40,43.59,43.04,43.49,333913
POL,20180131,43.73,43.89,43.03,43.46,383490
POL,20180130,42.97,43.8699,42.78,43.53,275696
POL,20180129,43.77,44.58,43.29,43.30,527855
POL,20180126,46.00,47.4775,43.04,43.70,911641
POL,20180125,44.89,45.52,44.52,45.52,572773
POL,20180124,45.23,45.37,44.77,44.94,162389
POL,20180123,44.67,45.33,44.08,45.08,267486
POL,20180122,44.74,45.24,44.58,45.01,218187
POL,20180119,43.62,44.80,43.62,44.77,314951
POL,20180118,44.23,44.56,43.68,43.73,267727
POL,20180117,44.22,44.66,43.99,44.42,584651
POL,20180116,45.21,45.40,43.62,43.91,541066
POL,20180112,46.41,46.68,45.61,45.65,258992
POL,20180111,45.20,46.31,45.07,46.23,200834
POL,20180110,45.44,45.49,45.03,45.16,162134
POL,20180109,45.77,45.875,45.49,45.52,308168
POL,20180108,45.45,45.83,44.96,45.75,314651
POL,20180105,44.85,45.57,44.805,45.55,239738
POL,20180104,44.66,45.19,44.59,44.61,239683
POL,20180103,44.33,44.66,44.16,44.35,291048
POL,20180102,43.61,44.31,43.585,44.12,324255
POL,20171229,43.98,44.16,43.49,43.50,358443
POL,20171228,43.82,43.99,43.56,43.98,201794
POL,20171227,43.66,44.17,43.49,43.81,155064
POL,20171226,43.57,43.87,43.42,43.59,216221
POL,20171222,43.61,44.13,43.45,43.50,141706
POL,20171221,44.12,44.19,43.74,43.82,204299
POL,20171220,44.09,44.31,43.85,43.97,216975
POL,20171219,44.51,44.80,43.82,43.88,354802
POL,20171218,44.41,44.93,44.3501,44.42,220521
POL,20171215,43.60,44.56,43.60,44.23,447438
POL,20171214,44.70,44.87,43.34,43.46,276884
POL,20171213,44.69,45.24,44.67,44.72,480848
POL,20171212,44.32,44.825,44.04,44.70,420720
POL,20171211,44.24,44.62,44.04,44.16,316735
POL,20171208,44.55,44.70,44.21,44.23,226243
POL,20171207,44.66,45.01,44.40,44.50,292022
POL,20171206,44.78,44.84,43.31,44.54,218481
POL,20171205,45.03,45.4075,44.68,44.97,239521
POL,20171204,46.19,46.21,44.92,45.06,440037
POL,20171201,46.29,46.42,44.29,45.65,396454
POL,20171130,46.60,46.79,45.915,46.21,344650
POL,20171129,46.36,46.73,46.13,46.48,220463
POL,20171128,45.58,46.40,45.58,46.40,245780
POL,20171127,45.38,45.75,45.26,45.51,293921
POL,20171124,45.40,45.66,45.225,45.43,86350
POL,20171122,45.64,45.81,45.09,45.14,208130
POL,20171121,45.33,45.59,45.24,45.49,450940
POL,20171120,44.84,45.09,44.64,45.00,478575
POL,20171117,44.59,44.93,44.22,44.81,238042
POL,20171116,44.37,44.88,44.08,44.74,255855
POL,20171115,44.76,44.83,44.08,44.16,388968
POL,20171114,45.32,45.53,44.99,45.15,184565
POL,20171113,44.85,45.69,44.85,45.64,251631
POL,20171110,45.46,45.85,45.14,45.20,270500
POL,20171109,45.75,45.995,45.33,45.62,250951
POL,20171108,45.94,46.22,45.68,46.13,264890
POL,20171107,46.50,46.55,45.945,46.18,340425
POL,20171106,46.53,46.53,46.06,46.48,211270
POL,20171103,45.98,46.59,45.49,46.46,233198
POL,20171102,46.14,46.35,45.69,46.15,485840
POL,20171101,46.42,46.54,46.01,46.32,413285
POL,20171031,45.14,46.15,45.03,46.07,505683
POL,20171030,45.02,45.63,44.56,44.73,355419
POL,20171027,45.19,45.32,44.63,45.18,711888
POL,20171026,45.00,46.22,44.75,45.27,1078092
POL,20171025,42.41,44.60,41.64,44.45,1139934
POL,20171024,41.75,42.20,41.68,42.05,527320
