<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PSXP,20180423,50.25,51.99,50.0913,51.35,346959
PSXP,20180420,51.01,51.16,50.06,50.11,104749
PSXP,20180419,52.18,52.18,50.735,51.00,103806
PSXP,20180418,52.19,52.70,51.36,51.87,224701
PSXP,20180417,51.74,53.58,51.50,52.02,393446
PSXP,20180416,49.29,51.625,49.04,51.33,359674
PSXP,20180413,48.92,49.49,48.42,49.04,236937
PSXP,20180412,49.16,49.60,47.89,48.93,179282
PSXP,20180411,48.49,49.07,48.11,48.92,146914
PSXP,20180410,47.97,49.30,47.90,48.75,185951
PSXP,20180409,47.58,47.88,46.805,47.71,136003
PSXP,20180406,48.29,48.80,47.10,47.63,143751
PSXP,20180405,47.93,48.94,47.19,48.67,95641
PSXP,20180404,47.75,48.33,47.15,47.77,68649
PSXP,20180403,47.62,48.25,46.5001,48.05,94829
PSXP,20180402,47.67,48.25,46.97,47.64,98714
PSXP,20180329,47.76,48.40,47.30,47.78,151776
PSXP,20180328,46.10,47.66,45.51,47.21,229986
PSXP,20180327,47.35,47.40,45.89,46.57,140021
PSXP,20180326,47.41,47.41,46.25,47.06,197722
PSXP,20180323,46.92,47.305,45.94,47.00,365976
PSXP,20180322,48.32,48.52,46.39,46.60,346025
PSXP,20180321,47.41,48.74,46.88,48.67,263868
PSXP,20180320,48.42,48.50,46.89,47.42,300507
PSXP,20180319,50.04,50.6008,48.155,48.38,244244
PSXP,20180316,49.50,50.95,49.13,50.13,1366519
PSXP,20180315,50.98,51.50,46.24,49.08,535407
PSXP,20180314,52.11,52.31,50.64,51.09,124376
PSXP,20180313,51.95,52.29,51.24,51.91,176128
PSXP,20180312,50.92,52.085,50.90,51.90,303172
PSXP,20180309,50.58,51.36,50.43,50.80,164747
PSXP,20180308,50.96,50.9803,49.67,50.23,104316
PSXP,20180307,50.56,51.405,50.50,50.72,146377
PSXP,20180306,50.37,51.065,49.96,50.50,267184
PSXP,20180305,49.01,50.79,49.01,50.12,173480
PSXP,20180302,49.46,50.005,48.495,49.15,205784
PSXP,20180301,49.14,50.19,48.97,49.63,147940
PSXP,20180228,50.12,50.78,49.14,49.14,205447
PSXP,20180227,50.01,50.39,49.73,49.81,293830
PSXP,20180226,50.66,50.67,49.75,50.21,227205
PSXP,20180223,49.70,50.59,49.20,50.42,151679
PSXP,20180222,50.30,50.555,48.81,49.47,204956
PSXP,20180221,50.80,51.89,49.80,49.92,106195
PSXP,20180220,50.50,51.77,50.12,50.56,236871
PSXP,20180216,49.84,50.81,49.291,50.25,221917
PSXP,20180215,51.2336,51.36,49.67,50.16,240996
PSXP,20180214,50.40,51.61,50.27,50.87,153726
PSXP,20180213,50.18,51.15,49.96,50.82,237539
PSXP,20180212,49.76,50.34,48.70,50.29,114311
PSXP,20180209,50.46,50.46,47.14,49.26,553614
