<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
RBS,20180423,7.80,7.825,7.7839,7.80,242627
RBS,20180420,7.80,7.825,7.78,7.80,355697
RBS,20180419,7.78,7.86,7.78,7.80,654110
RBS,20180418,7.81,7.83,7.75,7.78,800061
RBS,20180417,7.72,7.80,7.71,7.78,872344
RBS,20180416,7.67,7.68,7.64,7.66,349480
RBS,20180413,7.73,7.73,7.61,7.64,450623
RBS,20180412,7.62,7.68,7.61,7.66,393694
RBS,20180411,7.61,7.62,7.57,7.57,399030
RBS,20180410,7.54,7.61,7.54,7.57,553152
RBS,20180409,7.47,7.54,7.44,7.45,525942
RBS,20180406,7.45,7.48,7.37,7.41,768965
RBS,20180405,7.40,7.49,7.40,7.46,481721
RBS,20180404,7.35,7.435,7.345,7.43,649602
RBS,20180403,7.37,7.42,7.32,7.39,706192
RBS,20180402,7.40,7.43,7.275,7.32,565028
RBS,20180329,7.42,7.46,7.365,7.40,688646
RBS,20180328,7.33,7.40,7.29,7.36,813235
RBS,20180327,7.49,7.49,7.26,7.30,1052429
RBS,20180326,7.50,7.55,7.43,7.52,1039592
RBS,20180323,7.32,7.34,7.20,7.21,966609
RBS,20180322,7.36,7.415,7.295,7.31,991985
RBS,20180321,7.49,7.54,7.415,7.48,862358
RBS,20180320,7.50,7.53,7.47,7.48,755245
RBS,20180319,7.44,7.46,7.31,7.37,722140
RBS,20180316,7.33,7.405,7.33,7.37,658214
RBS,20180315,7.26,7.34,7.24,7.29,1345615
RBS,20180314,7.38,7.415,7.29,7.39,1927849
RBS,20180313,7.43,7.44,7.33,7.33,525469
RBS,20180312,7.40,7.46,7.40,7.41,576151
RBS,20180309,7.33,7.41,7.325,7.38,1142039
RBS,20180308,7.40,7.46,7.38,7.42,784472
RBS,20180307,7.36,7.41,7.33,7.39,708705
RBS,20180306,7.41,7.43,7.335,7.40,1239712
RBS,20180305,7.28,7.445,7.26,7.41,915960
RBS,20180302,7.29,7.365,7.11,7.34,2844436
RBS,20180301,7.42,7.45,7.31,7.39,1581743
RBS,20180228,7.56,7.57,7.45,7.45,975669
RBS,20180227,7.66,7.68,7.61,7.62,1042938
RBS,20180226,7.66,7.70,7.59,7.66,899376
RBS,20180223,7.68,7.70,7.57,7.64,1964066
RBS,20180222,7.93,8.01,7.88,7.94,1057089
RBS,20180221,7.83,7.955,7.815,7.84,888791
RBS,20180220,7.87,7.87,7.795,7.82,736039
RBS,20180216,7.83,7.91,7.82,7.87,738174
RBS,20180215,7.91,7.94,7.80,7.92,821975
RBS,20180214,7.74,7.94,7.74,7.93,849074
RBS,20180213,7.81,7.83,7.77,7.83,638728
RBS,20180212,7.80,7.875,7.73,7.82,911930
RBS,20180209,7.79,7.845,7.565,7.77,1890560
RBS,20180208,8.20,8.21,7.89,7.90,1996878
RBS,20180207,7.90,7.99,7.865,7.88,1157713
RBS,20180206,7.75,7.94,7.72,7.92,2147720
RBS,20180205,8.01,8.09,7.73,7.80,1543397
RBS,20180202,8.28,8.30,8.16,8.17,752821
RBS,20180201,8.28,8.39,8.27,8.39,1110083
RBS,20180131,8.29,8.37,8.28,8.33,821652
RBS,20180130,8.43,8.43,8.35,8.39,855315
RBS,20180129,8.59,8.61,8.56,8.57,555638
RBS,20180126,8.73,8.74,8.67,8.70,720524
RBS,20180125,8.68,8.69,8.61,8.63,746072
RBS,20180124,8.59,8.615,8.56,8.60,676672
RBS,20180123,8.44,8.47,8.40,8.46,639874
RBS,20180122,8.40,8.49,8.39,8.48,788448
RBS,20180119,8.35,8.4099,8.35,8.40,451788
RBS,20180118,8.35,8.42,8.34,8.40,435434
RBS,20180117,8.25,8.36,8.23,8.33,541953
RBS,20180116,8.34,8.37,8.29,8.30,1297403
RBS,20180112,8.37,8.44,8.35,8.44,867237
RBS,20180111,8.13,8.19,8.12,8.18,615317
RBS,20180110,8.01,8.08,8.01,8.03,891326
RBS,20180109,7.70,7.73,7.695,7.73,485365
RBS,20180108,7.66,7.71,7.66,7.68,511491
RBS,20180105,7.68,7.68,7.6137,7.63,635905
