<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
RRD,20180423,9.29,9.35,9.16,9.25,563433
RRD,20180420,9.38,9.45,9.25,9.28,371448
RRD,20180419,9.38,9.46,9.21,9.38,434123
RRD,20180418,9.31,9.56,9.29,9.41,590936
RRD,20180417,9.15,9.39,9.12,9.31,633026
RRD,20180416,9.01,9.17,8.90,9.06,679884
RRD,20180413,8.98,9.04,8.85,8.90,507612
RRD,20180412,8.98,9.05,8.85,8.98,571673
RRD,20180411,8.75,8.979,8.75,8.92,494176
RRD,20180410,8.71,8.96,8.61,8.81,606677
RRD,20180409,8.72,8.79,8.54,8.55,464839
RRD,20180406,8.54,8.86,8.54,8.62,572299
RRD,20180405,8.72,8.74,8.465,8.64,447150
RRD,20180404,8.00,8.67,7.95,8.65,1272421
RRD,20180403,8.16,8.31,8.055,8.16,1703761
RRD,20180402,8.63,8.675,8.06,8.08,902761
RRD,20180329,8.67,8.94,8.60,8.73,670110
RRD,20180328,8.59,8.73,8.55,8.61,768733
RRD,20180327,8.72,8.85,8.565,8.59,545100
RRD,20180326,8.75,8.80,8.47,8.67,655020
RRD,20180323,8.95,9.06,8.54,8.54,717563
RRD,20180322,8.98,9.155,8.88,8.89,874166
RRD,20180321,8.92,9.13,8.88,9.08,671699
RRD,20180320,8.86,9.03,8.80,8.96,791568
RRD,20180319,8.88,9.08,8.80,8.83,1074736
RRD,20180316,8.66,8.98,8.48,8.94,6614467
RRD,20180315,8.46,8.7351,8.28,8.66,1143261
RRD,20180314,8.36,8.55,8.25,8.43,1217812
RRD,20180313,8.22,8.32,8.14,8.29,986539
RRD,20180312,8.10,8.34,8.00,8.14,1334082
RRD,20180309,8.21,8.24,8.03,8.09,1055345
RRD,20180308,8.12,8.22,8.06,8.13,836871
RRD,20180307,7.82,8.16,7.80,8.08,1470325
RRD,20180306,7.38,7.93,7.30,7.92,1657659
RRD,20180305,7.31,7.46,7.23,7.34,1099936
RRD,20180302,7.14,7.34,6.96,7.31,1458826
RRD,20180301,7.56,7.59,7.15,7.19,1426937
RRD,20180228,7.86,7.86,7.20,7.54,2453861
RRD,20180227,7.28,7.52,6.98,6.98,923149
RRD,20180226,7.29,7.35,7.06,7.24,849620
RRD,20180223,7.07,7.30,7.05,7.24,697025
RRD,20180222,7.01,7.16,6.95,7.00,974631
