<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SCG,20180423,36.00,37.23,35.954,36.42,856398
SCG,20180420,36.03,36.80,35.75,35.92,828638
SCG,20180419,36.00,36.37,35.45,35.99,2043418
SCG,20180418,36.25,38.32,36.25,37.21,2025671
SCG,20180417,36.64,37.47,36.10,36.21,1354111
SCG,20180416,36.11,37.17,36.07,36.61,938223
SCG,20180413,36.10,36.37,35.75,35.90,789586
SCG,20180412,36.51,36.61,35.68,35.91,601444
SCG,20180411,36.30,36.84,36.21,36.37,527488
SCG,20180410,37.21,37.22,36.1316,36.29,668306
SCG,20180409,37.65,37.72,37.02,37.09,466066
SCG,20180406,38.72,38.75,37.26,37.4793,799385
SCG,20180405,37.83,38.98,37.04,38.69,1340841
SCG,20180404,38.12,38.21,36.77,37.915,950072
SCG,20180403,38.23,38.65,37.15,38.30,1737916
SCG,20180402,37.74,38.54,37.20,38.04,1728431
SCG,20180329,36.41,37.75,35.36,37.55,3466108
SCG,20180328,36.88,37.39,36.08,37.33,1616073
SCG,20180327,37.01,38.25,36.88,37.22,1014583
SCG,20180326,37.41,37.455,36.7593,36.99,636857
SCG,20180323,38.03,38.40,37.10,37.26,642430
SCG,20180322,37.54,38.90,37.27,37.74,1306125
SCG,20180321,38.75,38.8892,37.39,37.42,1058136
SCG,20180320,39.35,39.41,38.40,38.68,631428
SCG,20180319,40.28,40.43,38.27,39.12,1089276
SCG,20180316,40.25,40.565,39.725,40.21,3417387
SCG,20180315,39.48,40.68,39.41,40.38,1004929
SCG,20180314,39.05,39.91,38.93,39.42,755659
SCG,20180313,39.31,39.45,38.62,39.00,894608
SCG,20180312,39.31,39.35,38.24,39.08,1228460
SCG,20180309,40.28,40.625,38.87,39.12,1334342
SCG,20180308,41.83,41.95,41.04,41.20,1085208
SCG,20180307,40.57,41.78,40.49,41.69,961187
SCG,20180306,40.71,40.99,39.61,40.96,905764
SCG,20180305,39.61,40.96,39.60,40.72,1026325
SCG,20180302,39.48,39.97,39.00,39.62,838740
SCG,20180301,39.70,40.43,38.92,39.06,892821
SCG,20180228,40.01,40.25,39.50,39.67,738106
SCG,20180227,39.98,40.48,39.51,39.93,755384
SCG,20180226,38.82,40.33,38.76,39.96,734624
SCG,20180223,39.78,39.78,38.77,39.30,866930
SCG,20180222,36.95,40.10,36.59,39.93,2259883
SCG,20180221,36.86,37.39,36.28,36.31,984421
SCG,20180220,37.52,37.72,36.60,36.94,768644
SCG,20180216,37.05,38.00,36.87,37.71,1238112
SCG,20180215,36.9121,37.27,36.08,37.21,796818
SCG,20180214,35.80,36.73,35.51,36.48,1160041
SCG,20180213,35.49,36.23,34.8386,36.03,1440485
SCG,20180212,36.48,36.65,34.76,35.65,2178553
SCG,20180209,36.22,36.74,35.041,36.31,1378044
SCG,20180208,36.66,37.28,35.50,35.60,1251117
SCG,20180207,37.59,38.77,35.93,36.68,1713658
SCG,20180206,37.11,38.26,35.31,37.60,2813406
SCG,20180205,39.13,39.81,37.50,37.50,1741246
SCG,20180202,38.72,39.65,38.26,39.19,1721436
SCG,20180201,40.56,40.85,38.80,39.07,3649592
SCG,20180131,40.82,41.13,39.22,40.65,4112465
SCG,20180130,43.16,43.53,40.36,40.77,1776086
SCG,20180129,43.30,43.90,42.98,43.31,1383706
SCG,20180126,41.81,43.45,41.18,43.43,1599537
SCG,20180125,40.58,42.00,40.53,41.88,2279576
SCG,20180124,41.29,41.50,40.35,40.72,2937532
SCG,20180123,43.14,43.99,40.64,41.16,3357953
SCG,20180122,43.40,43.694,43.14,43.34,1742951
SCG,20180119,42.63,43.35,41.87,43.34,1789479
SCG,20180118,42.48,42.95,41.51,42.47,1685322
SCG,20180117,42.25,42.93,42.11,42.53,1643115
SCG,20180116,44.05,44.30,42.02,42.305,2254976
SCG,20180112,44.46,44.67,43.99,44.045,1079256
SCG,20180111,44.60,45.26,44.28,44.515,1480125
SCG,20180110,44.30,45.00,43.62,44.25,1752528
SCG,20180109,45.46,45.74,44.68,44.82,1729350
SCG,20180108,45.04,45.60,44.87,45.52,2433146
SCG,20180105,46.32,46.44,44.51,45.00,4765038
SCG,20180104,47.65,48.26,46.01,46.35,7394806
SCG,20180103,47.75,49.3995,47.12,47.66,15829368
SCG,20180102,39.93,39.98,38.07,38.87,2552331
SCG,20171229,39.77,40.00,39.48,39.80,822762
SCG,20171228,39.61,39.815,39.135,39.72,1143315
SCG,20171227,39.26,39.95,39.26,39.48,1136869
SCG,20171226,39.17,40.30,38.99,39.09,1533519
SCG,20171222,37.35,39.26,37.095,39.01,2992620
SCG,20171221,41.20,41.40,37.37,37.39,5185889
SCG,20171220,41.90,42.03,40.80,41.33,1665282
SCG,20171219,43.07,43.47,41.81,41.8899,1662923
SCG,20171218,44.42,44.45,42.45,42.99,2562115
SCG,20171215,43.11,45.50,43.11,44.42,6448340
SCG,20171214,42.54,43.87,42.15,42.78,1674608
SCG,20171213,42.75,42.885,42.08,42.53,1859704
SCG,20171212,42.30,43.83,42.30,42.79,2657891
SCG,20171211,44.93,44.99,41.85,42.38,3210621
SCG,20171208,44.31,45.78,44.21,45.78,2175138
SCG,20171207,43.57,44.36,43.51,44.35,1321522
SCG,20171206,43.62,43.91,42.91,43.78,1629652
SCG,20171205,44.31,44.46,42.36,43.50,1792755
SCG,20171204,44.45,44.48,43.69,44.33,1574374
