<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SCI,20180423,38.77,38.87,38.51,38.60,683935
SCI,20180420,38.81,38.92,38.59,38.61,673203
SCI,20180419,38.86,39.045,38.62,38.88,583405
SCI,20180418,38.84,39.09,38.84,38.84,646650
SCI,20180417,38.96,39.13,38.58,38.70,801117
SCI,20180416,38.30,38.93,38.30,38.64,870361
SCI,20180413,38.42,38.44,37.97,38.20,638875
SCI,20180412,38.17,38.37,38.11,38.20,517625
SCI,20180411,38.05,38.28,37.89,38.05,616684
SCI,20180410,38.11,38.73,38.11,38.36,999177
SCI,20180409,37.90,38.13,37.63,37.68,833777
SCI,20180406,37.905,38.25,37.48,37.70,1089156
SCI,20180405,37.61,38.3099,37.47,38.15,973540
SCI,20180404,36.81,37.56,36.56,37.42,1159477
SCI,20180403,36.88,37.37,36.66,37.15,1075605
SCI,20180402,37.71,37.81,36.6201,36.71,1223461
SCI,20180329,37.78,38.02,37.53,37.74,912754
SCI,20180328,37.40,37.75,37.38,37.57,597758
SCI,20180327,37.91,38.17,37.32,37.43,818699
SCI,20180326,37.50,37.84,37.23,37.72,1049816
SCI,20180323,37.78,38.02,37.01,37.03,654583
SCI,20180322,38.46,38.57,37.67,37.67,800599
SCI,20180321,38.70,38.87,38.46,38.65,493739
SCI,20180320,38.86,39.15,38.63,38.66,849951
SCI,20180319,38.79,38.89,38.45,38.74,489397
SCI,20180316,38.74,39.11,38.74,38.84,1090229
SCI,20180315,38.83,39.00,38.65,38.67,360390
SCI,20180314,38.97,39.07,38.7414,38.81,529519
SCI,20180313,39.34,39.47,38.90,38.97,469317
SCI,20180312,39.37,39.78,39.12,39.23,830547
SCI,20180309,38.82,39.35,38.76,39.30,1119532
SCI,20180308,38.78,38.86,38.37,38.63,540725
SCI,20180307,38.44,38.75,38.25,38.58,1088620
SCI,20180306,38.27,38.65,37.97,38.64,879392
SCI,20180305,37.62,38.40,37.50,38.21,919895
SCI,20180302,37.26,37.89,36.95,37.82,667794
SCI,20180301,37.53,37.78,37.09,37.41,846015
SCI,20180228,38.07,38.23,37.41,37.43,749878
SCI,20180227,38.46,38.67,37.99,37.99,740340
SCI,20180226,38.16,38.63,37.90,38.35,784114
SCI,20180223,37.81,38.13,37.76,38.13,645100
SCI,20180222,38.15,38.1574,37.60,37.77,996772
SCI,20180221,38.50,38.80,37.94,37.95,1016637
SCI,20180220,38.75,38.96,38.38,38.45,718375
