<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SFE,20180423,12.50,12.50,12.10,12.25,54014
SFE,20180420,12.30,12.50,12.25,12.50,60705
SFE,20180419,12.35,12.40,12.20,12.30,27290
SFE,20180418,12.15,12.40,12.15,12.30,57835
SFE,20180417,12.10,12.35,12.00,12.15,74755
SFE,20180416,12.30,12.30,12.05,12.05,45698
SFE,20180413,12.25,12.30,12.00,12.25,113279
SFE,20180412,12.30,12.50,12.15,12.20,55535
SFE,20180411,12.05,12.30,11.95,12.25,66634
SFE,20180410,12.35,12.35,12.00,12.05,88017
SFE,20180409,12.40,12.50,12.30,12.30,34855
SFE,20180406,12.45,12.55,12.30,12.40,64985
SFE,20180405,12.50,12.60,12.30,12.50,89927
SFE,20180404,12.15,12.525,12.10,12.45,88548
SFE,20180403,12.30,12.30,12.15,12.25,74978
SFE,20180402,12.10,12.40,12.10,12.30,135569
SFE,20180329,12.60,12.60,12.25,12.25,127492
SFE,20180328,12.55,12.65,12.45,12.55,34944
SFE,20180327,12.60,12.80,12.45,12.55,41175
SFE,20180326,12.60,12.65,12.475,12.55,41568
SFE,20180323,12.55,12.55,12.35,12.45,63229
SFE,20180322,12.45,12.65,12.35,12.50,110470
SFE,20180321,12.50,12.80,12.45,12.50,52561
SFE,20180320,12.35,12.65,12.35,12.45,140793
SFE,20180319,12.50,12.55,12.15,12.30,101563
SFE,20180316,12.60,12.70,12.45,12.50,113740
SFE,20180315,12.75,12.85,12.50,12.55,70510
SFE,20180314,12.85,12.85,12.60,12.70,109738
SFE,20180313,12.95,12.95,12.65,12.80,36960
SFE,20180312,12.80,13.10,12.795,12.90,92861
SFE,20180309,12.75,13.00,12.70,12.85,59364
SFE,20180308,13.00,13.10,12.725,12.75,49593
SFE,20180307,12.95,13.10,12.85,12.90,84415
SFE,20180306,12.95,13.05,12.769,12.95,68294
SFE,20180305,12.65,12.90,12.50,12.85,81492
SFE,20180302,12.45,12.60,12.35,12.60,72101
SFE,20180301,12.10,12.55,12.10,12.45,117036
SFE,20180228,12.30,12.40,12.10,12.20,124703
SFE,20180227,12.10,12.4811,12.10,12.30,105510
SFE,20180226,11.60,12.15,11.45,12.10,148781
SFE,20180223,11.40,11.675,11.35,11.60,46373
SFE,20180222,11.25,11.50,11.20,11.40,57191
SFE,20180221,11.15,11.54,11.15,11.25,54004
SFE,20180220,11.55,11.60,11.10,11.15,115240
SFE,20180216,12.00,12.125,11.60,11.65,97572
SFE,20180215,12.15,12.15,11.95,12.05,62605
SFE,20180214,12.15,12.40,11.85,12.10,132996
SFE,20180213,12.40,12.50,12.05,12.25,69388
SFE,20180212,12.60,12.85,12.40,12.50,141496
SFE,20180209,12.45,12.70,12.30,12.60,145387
SFE,20180208,12.60,12.60,12.35,12.40,113661
SFE,20180207,12.35,12.65,12.30,12.60,166399
SFE,20180206,12.20,12.50,12.20,12.35,183124
SFE,20180205,12.45,12.50,12.25,12.40,210760
SFE,20180202,12.55,12.55,12.35,12.50,144993
SFE,20180201,12.50,12.60,12.40,12.60,98315
SFE,20180131,12.40,12.60,12.40,12.50,135460
SFE,20180130,12.50,12.60,12.35,12.40,149249
SFE,20180129,12.50,12.60,12.35,12.35,88502
SFE,20180126,12.55,12.75,12.55,12.65,76476
SFE,20180125,12.35,12.60,12.25,12.50,159406
SFE,20180124,12.55,12.70,12.30,12.35,58165
SFE,20180123,12.75,12.80,12.40,12.55,79195
SFE,20180122,12.40,12.85,12.40,12.80,87827
SFE,20180119,12.15,12.70,12.05,12.45,204530
SFE,20180118,11.30,12.30,11.20,12.20,503888
SFE,20180117,11.00,11.10,10.825,10.85,100103
SFE,20180116,11.15,11.20,11.00,11.00,150413
SFE,20180112,11.00,11.20,11.00,11.15,56188
SFE,20180111,11.15,11.1823,11.00,11.00,88696
SFE,20180110,11.05,11.15,11.00,11.10,81013
SFE,20180109,11.05,11.15,11.00,11.05,170205
SFE,20180108,11.20,11.25,11.05,11.05,194098
SFE,20180105,11.30,11.40,11.20,11.25,58421
SFE,20180104,11.15,11.40,11.00,11.30,44773
SFE,20180103,11.20,11.35,11.15,11.15,88372
SFE,20180102,11.15,11.35,11.05,11.20,69224
SFE,20171229,11.45,11.4672,11.20,11.20,101456
SFE,20171228,11.30,11.50,11.30,11.50,62319
SFE,20171227,11.35,11.50,11.15,11.35,118664
SFE,20171226,11.35,11.55,11.275,11.35,74992
SFE,20171222,11.35,11.50,11.30,11.35,57000
SFE,20171221,10.90,11.45,10.75,11.40,150107
SFE,20171220,11.15,11.40,11.05,11.20,59796
SFE,20171219,11.30,11.45,11.05,11.05,197643
SFE,20171218,11.50,11.95,11.30,11.30,227246
SFE,20171215,11.25,11.65,11.15,11.45,317225
SFE,20171214,11.70,11.85,11.25,11.25,89796
SFE,20171213,11.80,11.95,11.65,11.65,85013
SFE,20171212,12.00,12.00,11.65,11.75,99200
SFE,20171211,12.05,12.25,11.90,11.95,97575
SFE,20171208,12.15,12.20,11.80,12.10,78542
SFE,20171207,11.80,12.25,11.50,12.15,95098
SFE,20171206,12.00,12.00,11.85,11.90,29610
SFE,20171205,12.25,12.25,11.95,12.00,84485
SFE,20171204,12.40,12.425,12.20,12.20,102784
SFE,20171201,12.35,12.40,12.125,12.35,90753
SFE,20171130,12.55,12.65,12.30,12.40,118204
SFE,20171129,12.60,12.75,12.45,12.60,65349
SFE,20171128,12.60,12.65,12.30,12.60,69723
SFE,20171127,12.60,12.80,12.40,12.55,111802
SFE,20171124,12.75,12.85,12.60,12.70,36016
SFE,20171122,13.00,13.00,12.75,12.75,64389
SFE,20171121,12.65,12.95,12.65,12.90,38814
SFE,20171120,12.70,12.70,12.50,12.55,44931
SFE,20171117,12.55,12.90,12.40,12.70,24252
SFE,20171116,12.20,12.75,12.20,12.60,39960
SFE,20171115,12.20,12.30,12.15,12.20,62959
SFE,20171114,12.60,12.70,12.15,12.25,74645
SFE,20171113,13.00,13.05,12.70,12.75,65678
SFE,20171110,13.10,13.2499,13.05,13.10,156564
SFE,20171109,13.25,13.35,13.10,13.20,106904
SFE,20171108,13.25,13.40,13.20,13.25,50048
SFE,20171107,14.05,14.05,13.25,13.25,35290
SFE,20171106,14.15,14.35,13.975,14.00,51230
SFE,20171103,14.20,14.20,13.95,14.15,59908
SFE,20171102,14.10,14.20,14.01,14.20,43659
SFE,20171101,14.10,14.25,14.00,14.10,209677
SFE,20171031,14.15,14.25,14.00,14.10,66153
SFE,20171030,13.95,14.20,13.70,14.15,105504
SFE,20171027,13.90,14.40,13.90,14.05,62870
SFE,20171026,13.30,13.95,13.30,13.90,71057
SFE,20171025,13.60,13.60,13.25,13.35,66961
SFE,20171024,13.30,14.00,13.30,13.40,58832
SFE,20171023,13.55,13.60,13.30,13.30,25975
SFE,20171020,13.40,13.60,13.25,13.50,100220
SFE,20171019,14.00,14.00,13.25,13.25,78574
SFE,20171018,14.10,14.25,14.05,14.10,45868
SFE,20171017,14.15,14.20,14.05,14.10,23178
SFE,20171016,14.25,14.35,14.0456,14.15,86498
SFE,20171013,14.05,14.30,14.00,14.15,49663
SFE,20171012,13.60,14.00,13.60,14.00,71923
SFE,20171011,13.55,13.70,13.275,13.60,55279
SFE,20171010,13.40,13.60,13.30,13.60,43303
SFE,20171009,13.35,13.45,13.30,13.40,17765
SFE,20171006,13.50,13.60,13.25,13.40,42181
SFE,20171005,13.50,13.625,13.40,13.50,39266
SFE,20171004,13.45,13.55,13.35,13.45,24366
SFE,20171003,13.60,13.675,13.40,13.45,46821
SFE,20171002,13.40,13.55,13.35,13.55,54835
SFE,20170929,13.40,13.50,13.30,13.35,36970
SFE,20170928,13.55,13.60,13.35,13.45,49246
SFE,20170927,13.10,13.70,13.00,13.50,157009
SFE,20170926,13.05,13.50,12.95,13.05,73792
SFE,20170925,12.95,13.10,12.90,13.00,67366
SFE,20170922,13.05,13.15,12.95,13.00,60922
SFE,20170921,13.00,13.075,12.85,13.00,86617
SFE,20170920,12.90,13.05,12.90,12.95,32347
SFE,20170919,12.80,12.90,12.60,12.85,34275
SFE,20170918,12.95,13.05,12.80,12.80,38303
SFE,20170915,13.05,13.10,12.80,13.00,152605
SFE,20170914,13.00,13.10,12.90,13.10,20645
SFE,20170913,13.10,13.15,12.85,13.00,49818
SFE,20170912,12.80,13.05,12.75,13.00,24843
SFE,20170911,12.70,12.80,12.45,12.75,35124
SFE,20170908,12.15,12.60,12.10,12.60,27788
SFE,20170907,12.05,12.25,12.05,12.20,17128
SFE,20170906,12.25,12.275,12.05,12.10,20420
SFE,20170905,12.05,12.30,12.00,12.25,20030
SFE,20170901,12.15,12.15,11.90,12.10,39928
SFE,20170831,12.40,12.50,12.15,12.20,43900
SFE,20170830,12.30,12.45,12.20,12.40,16838
SFE,20170829,12.05,12.35,11.90,12.35,12837
SFE,20170828,12.30,12.30,12.0962,12.20,18513
SFE,20170825,11.80,12.35,11.80,12.30,74381
SFE,20170824,11.70,11.85,11.65,11.80,14467
SFE,20170823,11.80,11.85,11.65,11.85,22060
SFE,20170822,11.90,11.90,11.75,11.90,13169
SFE,20170821,11.90,11.90,11.75,11.80,13489
SFE,20170818,11.80,12.00,11.80,11.95,38366
SFE,20170817,11.80,11.90,11.65,11.90,35847
SFE,20170816,11.75,11.925,11.45,11.85,43822
SFE,20170815,12.00,12.00,11.60,11.75,41871
SFE,20170814,11.80,11.95,11.70,11.95,25031
SFE,20170811,11.65,11.95,11.65,11.80,63258
SFE,20170810,12.00,12.00,11.75,11.85,50972
SFE,20170809,12.00,12.05,11.75,12.00,46010
SFE,20170808,11.95,12.10,11.85,12.00,31371
SFE,20170807,11.90,12.00,11.775,11.90,66161
