<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SKT,20180423,21.55,21.75,21.34,21.39,1000015
SKT,20180420,22.15,22.45,21.51,21.52,975094
SKT,20180419,22.74,22.89,21.96,22.09,1242895
SKT,20180418,22.85,22.96,22.72,22.77,684244
SKT,20180417,22.71,22.985,22.57,22.81,1012687
SKT,20180416,22.78,22.9804,22.62,22.67,781522
SKT,20180413,22.64,22.70,22.44,22.68,952044
SKT,20180412,22.89,22.96,22.60,22.64,1173446
SKT,20180411,23.01,23.30,22.90,22.92,504671
SKT,20180410,22.76,23.01,22.55,23.00,685555
SKT,20180409,22.80,22.87,22.47,22.62,747360
SKT,20180406,23.23,23.31,22.74,22.78,641654
SKT,20180405,23.02,23.20,22.84,23.19,479074
SKT,20180404,22.43,23.20,22.38,23.03,2228029
SKT,20180403,22.19,22.86,22.16,22.55,1285145
SKT,20180402,22.03,22.73,21.95,22.16,1862879
SKT,20180329,22.75,22.80,21.81,22.00,1879755
SKT,20180328,22.33,23.00,22.26,22.75,1544311
SKT,20180327,22.07,22.41,21.49,22.20,2389462
SKT,20180326,21.93,22.26,21.79,22.16,3038477
SKT,20180323,21.82,22.06,21.69,21.69,1162636
SKT,20180322,21.65,22.11,21.62,21.77,1043269
SKT,20180321,21.50,21.91,21.30,21.63,909067
SKT,20180320,21.49,21.68,21.32,21.50,968848
SKT,20180319,21.78,21.84,21.345,21.49,818442
SKT,20180316,21.60,21.90,21.55,21.76,2279522
SKT,20180315,22.04,22.19,21.50,21.60,1184763
SKT,20180314,22.07,22.35,21.97,22.07,1487705
SKT,20180313,21.80,22.12,21.66,21.94,1374150
SKT,20180312,21.47,21.78,21.4388,21.76,1242351
SKT,20180309,22.18,22.20,21.16,21.48,2440755
SKT,20180308,22.99,23.03,22.12,22.20,1518210
SKT,20180307,22.88,23.13,22.765,22.95,512744
SKT,20180306,22.88,23.01,22.58,22.96,705845
SKT,20180305,22.61,23.11,22.61,22.92,858320
SKT,20180302,22.35,22.72,21.99,22.70,907319
SKT,20180301,22.25,23.0401,22.17,22.49,1884028
SKT,20180228,22.35,22.73,22.31,22.31,1034395
SKT,20180227,23.21,23.435,22.20,22.20,1100480
SKT,20180226,22.61,23.11,22.52,23.11,1276888
SKT,20180223,22.48,22.80,22.38,22.57,981040
SKT,20180222,22.02,22.72,22.02,22.39,1211960
SKT,20180221,22.46,22.59,21.875,21.93,1446084
SKT,20180220,22.55,23.045,22.50,22.52,1818412
SKT,20180216,21.99,22.71,21.99,22.54,1817344
SKT,20180215,22.04,22.29,21.70,21.93,2922415
SKT,20180214,23.12,23.3299,21.1399,21.81,7435566
SKT,20180213,23.30,23.57,22.94,23.44,951600
SKT,20180212,22.97,23.34,22.20,23.26,1523662
SKT,20180209,22.93,23.03,22.26,22.82,1745447
SKT,20180208,23.46,23.64,22.72,22.74,1289557
SKT,20180207,23.57,24.28,23.54,23.54,1275545
SKT,20180206,23.17,23.70,22.85,23.55,2598852
SKT,20180205,23.66,24.34,23.44,23.60,1850174
SKT,20180202,24.01,24.04,23.55,23.79,1193675
SKT,20180201,25.07,25.20,24.05,24.07,1683588
SKT,20180131,24.98,25.34,24.69,25.18,2911092
SKT,20180130,24.92,25.13,24.59,24.77,798172
SKT,20180129,25.55,25.68,25.10,25.40,905940
SKT,20180126,25.45,25.68,25.22,25.65,853615
SKT,20180125,25.06,25.48,24.84,25.46,1405300
SKT,20180124,25.53,25.68,24.93,25.05,1246449
SKT,20180123,26.00,26.16,25.49,25.64,1425747
SKT,20180122,25.16,25.89,25.1098,25.83,1412029
SKT,20180119,24.83,25.07,24.48,25.04,817331
SKT,20180118,24.97,25.10,24.76,24.89,831704
SKT,20180117,24.81,25.34,24.69,25.14,962379
SKT,20180116,25.25,25.38,24.72,24.73,979412
SKT,20180112,24.85,25.15,24.73,25.13,1029503
SKT,20180111,24.62,24.92,24.56,24.87,800589
SKT,20180110,24.55,24.75,24.19,24.60,1400163
SKT,20180109,26.00,26.058,24.705,24.75,1596949
SKT,20180108,26.01,26.075,25.61,26.04,905932
SKT,20180105,25.70,26.00,25.50,25.92,977889
SKT,20180104,26.19,26.275,25.52,25.63,1329100
SKT,20180103,26.30,26.45,25.92,26.23,1498335
SKT,20180102,26.59,26.65,26.12,26.27,1402850
SKT,20171229,26.57,26.73,26.40,26.51,860665
SKT,20171228,26.29,26.53,26.07,26.50,660123
SKT,20171227,26.00,26.425,25.98,26.31,993264
SKT,20171226,25.50,26.04,25.48,25.89,1160150
SKT,20171222,25.49,25.51,25.18,25.41,1348692
SKT,20171221,25.40,25.55,25.12,25.45,639798
SKT,20171220,25.74,26.07,25.305,25.32,955738
SKT,20171219,26.16,26.464,25.93,26.04,920384
SKT,20171218,26.29,26.54,26.08,26.20,1228659
SKT,20171215,25.93,26.26,25.93,26.22,1554076
SKT,20171214,25.92,26.25,25.76,25.78,1056086
SKT,20171213,25.52,25.97,25.40,25.85,1033364
SKT,20171212,25.16,25.82,25.0096,25.53,1801694
SKT,20171211,25.24,25.45,24.959,24.97,1086674
SKT,20171208,24.52,25.142,24.26,25.07,601835
SKT,20171207,24.35,24.66,24.16,24.46,546710
SKT,20171206,25.03,25.13,24.275,24.42,899113
SKT,20171205,25.31,25.45,24.90,24.99,820730
SKT,20171204,24.86,25.34,24.80,25.17,1492963
SKT,20171201,25.00,25.26,24.50,24.84,1032866
SKT,20171130,25.13,25.39,24.985,25.03,952911
SKT,20171129,24.54,25.26,24.4463,25.11,1262379
SKT,20171128,24.22,24.67,24.13,24.59,884525
SKT,20171127,24.40,24.45,24.03,24.29,990554
SKT,20171124,24.46,24.50,24.21,24.40,341876
SKT,20171122,24.14,24.74,24.06,24.40,1058411
SKT,20171121,24.155,24.24,23.95,24.14,932537
SKT,20171120,24.50,24.51,24.01,24.17,1029653
SKT,20171117,24.98,25.30,24.49,24.52,1357856
SKT,20171116,24.54,24.965,24.44,24.94,1869708
SKT,20171115,24.75,24.80,24.41,24.50,1368056
SKT,20171114,24.54,24.775,24.07,24.72,1704010
SKT,20171113,24.50,24.67,23.74,24.49,1912739
SKT,20171110,23.75,24.60,23.75,24.27,1800938
SKT,20171109,22.98,24.71,22.94,23.75,3688811
SKT,20171108,23.54,23.54,22.02,22.73,3331508
SKT,20171107,22.16,22.98,22.16,22.30,3050398
SKT,20171106,22.46,22.582,21.99,22.19,2076707
SKT,20171103,23.34,23.41,21.8099,22.46,4256636
SKT,20171102,23.16,23.69,23.08,23.66,1186202
SKT,20171101,22.82,23.25,22.66,23.12,1169451
SKT,20171031,23.16,23.225,22.41,22.75,5454852
SKT,20171030,22.76,23.32,22.67,23.18,2824775
SKT,20171027,24.15,24.20,22.65,23.06,4408010
SKT,20171026,24.52,24.73,23.92,24.13,2612819
SKT,20171025,25.00,25.07,24.31,24.48,1469128
SKT,20171024,25.34,25.45,25.00,25.08,936505
SKT,20171023,25.15,25.59,25.15,25.36,1069082
SKT,20171020,25.46,25.50,25.11,25.20,722272
SKT,20171019,25.24,25.584,25.15,25.46,968930
SKT,20171018,25.27,25.61,25.18,25.19,725043
SKT,20171017,24.85,25.32,24.85,25.27,580636
SKT,20171016,25.21,25.31,24.88,24.91,858499
SKT,20171013,25.02,25.60,25.02,25.21,591035
SKT,20171012,25.29,25.38,24.82,24.94,1110924
SKT,20171011,25.31,25.58,25.22,25.30,1057245
SKT,20171010,25.03,25.49,25.03,25.31,570059
