<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SQNS,20180423,1.68,1.69,1.64,1.67,68187
SQNS,20180420,1.70,1.70,1.61,1.64,109794
SQNS,20180419,1.71,1.7366,1.68,1.69,71084
SQNS,20180418,1.76,1.83,1.68,1.70,246223
SQNS,20180417,1.66,1.76,1.66,1.73,266705
SQNS,20180416,1.65,1.66,1.63,1.63,20994
SQNS,20180413,1.61,1.65,1.59,1.65,117205
SQNS,20180412,1.67,1.67,1.61,1.61,99380
SQNS,20180411,1.71,1.75,1.65,1.66,95397
SQNS,20180410,1.65,1.72,1.62,1.71,119552
SQNS,20180409,1.61,1.66,1.61,1.62,40595
SQNS,20180406,1.68,1.70,1.61,1.63,78232
SQNS,20180405,1.66,1.69,1.65,1.67,68360
SQNS,20180404,1.64,1.70,1.61,1.66,90482
SQNS,20180403,1.67,1.69,1.63,1.66,60218
SQNS,20180402,1.67,1.75,1.60,1.64,193882
SQNS,20180329,1.66,1.72,1.64,1.68,198483
SQNS,20180328,1.689,1.69,1.58,1.68,160876
SQNS,20180327,1.60,1.68,1.58,1.62,132501
SQNS,20180326,1.67,1.6709,1.58,1.59,130161
SQNS,20180323,1.55,1.71,1.55,1.68,320235
SQNS,20180322,1.55,1.60,1.55,1.57,216029
SQNS,20180321,1.56,1.61,1.55,1.58,231660
SQNS,20180320,1.70,1.71,1.54,1.56,417542
SQNS,20180319,1.72,1.76,1.61,1.61,89299
SQNS,20180316,1.75,1.799,1.71,1.72,143574
SQNS,20180315,1.85,1.88,1.76,1.83,100459
SQNS,20180314,1.81,1.86,1.78,1.82,125939
SQNS,20180313,1.88,1.90,1.78,1.81,132888
SQNS,20180312,1.86,1.92,1.84,1.88,307431
SQNS,20180309,1.90,1.91,1.80,1.84,162450
SQNS,20180308,1.83,1.88,1.83,1.84,161476
SQNS,20180307,1.82,1.85,1.80,1.83,156311
SQNS,20180306,1.75,1.90,1.75,1.82,355183
SQNS,20180305,1.68,1.72,1.65,1.72,287438
SQNS,20180302,1.60,1.66,1.55,1.65,135644
SQNS,20180301,1.65,1.68,1.55,1.60,261830
SQNS,20180228,1.66,1.73,1.65,1.65,156906
SQNS,20180227,1.65,1.69,1.65,1.65,256972
SQNS,20180226,1.66,1.70,1.62,1.65,193420
SQNS,20180223,1.71,1.82,1.64,1.68,703092
SQNS,20180222,1.69,1.75,1.6698,1.70,114540
SQNS,20180221,1.65,1.73,1.63,1.67,95543
SQNS,20180220,1.60,1.67,1.57,1.65,228480
SQNS,20180216,1.55,1.69,1.55,1.60,271472
SQNS,20180215,1.5624,1.63,1.51,1.55,207252
SQNS,20180214,1.54,1.58,1.46,1.57,413878
SQNS,20180213,1.63,1.65,1.46,1.49,988587
SQNS,20180212,1.56,1.65,1.48,1.56,562254
SQNS,20180209,1.59,1.59,1.4411,1.52,1008246
SQNS,20180208,1.74,1.7401,1.55,1.55,863810
SQNS,20180207,1.72,1.77,1.70,1.75,380300
SQNS,20180206,1.70,1.79,1.70,1.73,391235
SQNS,20180205,1.75,1.79,1.72,1.74,266643
SQNS,20180202,1.77,1.79,1.72,1.76,167671
SQNS,20180201,1.74,1.81,1.72,1.78,198720
SQNS,20180131,1.75,1.80,1.72,1.76,339817
SQNS,20180130,1.78,1.79,1.75,1.76,438694
SQNS,20180129,1.88,1.90,1.78,1.81,413848
SQNS,20180126,1.83,1.969,1.81,1.84,499148
SQNS,20180125,1.90,1.9351,1.81,1.84,210438
SQNS,20180124,1.91,1.9572,1.84,1.88,548279
SQNS,20180123,1.79,1.90,1.76,1.80,552747
SQNS,20180122,1.85,1.99,1.75,1.78,685196
SQNS,20180119,1.80,1.84,1.75,1.82,926660
SQNS,20180118,1.85,1.85,1.78,1.79,340279
SQNS,20180117,1.80,1.92,1.74,1.82,1495465
SQNS,20180116,2.11,2.11,2.04,2.05,160996
SQNS,20180112,2.12,2.16,1.92,2.05,675774
SQNS,20180111,2.20,2.21,2.14,2.15,469324
SQNS,20180110,2.27,2.27,2.11,2.18,196994
SQNS,20180109,2.20,2.37,2.19,2.25,336493
SQNS,20180108,2.10,2.25,2.10,2.18,278457
SQNS,20180105,2.42,2.50,2.04,2.08,930728
SQNS,20180104,2.11,2.61,2.09,2.5999,858275
SQNS,20180103,1.94,2.10,1.94,2.03,388125
SQNS,20180102,1.91,1.95,1.90,1.94,136590
SQNS,20171229,1.89,1.95,1.84,1.91,327844
SQNS,20171228,1.87,1.94,1.83,1.89,108543
SQNS,20171227,1.85,1.89,1.83,1.88,69386
SQNS,20171226,1.88,1.89,1.83,1.86,100748
SQNS,20171222,1.8752,1.92,1.85,1.88,63999
SQNS,20171221,1.91,1.95,1.85,1.88,120853
SQNS,20171220,1.84,1.94,1.84,1.91,206465
SQNS,20171219,1.85,1.87,1.81,1.84,54783
SQNS,20171218,1.84,1.91,1.81,1.86,326500
SQNS,20171215,1.86,1.879,1.80,1.83,97707
SQNS,20171214,1.84,1.91,1.77,1.86,413784
SQNS,20171213,1.77,1.90,1.77,1.83,206285
SQNS,20171212,1.77,1.85,1.77,1.78,109816
SQNS,20171211,1.76,1.83,1.73,1.78,164885
SQNS,20171208,1.79,1.87,1.75,1.76,237512
SQNS,20171207,1.72,1.90,1.71,1.78,552872
SQNS,20171206,1.82,1.82,1.68,1.71,561945
SQNS,20171205,1.82,1.86,1.80,1.81,169486
SQNS,20171204,1.88,1.88,1.82,1.83,186081
SQNS,20171201,1.84,1.90,1.82,1.88,201804
SQNS,20171130,1.97,1.97,1.85,1.86,385351
SQNS,20171129,2.07,2.09,1.90,1.96,424313
SQNS,20171128,2.11,2.15,2.01,2.05,303367
SQNS,20171127,2.00,2.16,2.00,2.10,459769
SQNS,20171124,1.93,2.015,1.92,2.00,294636
SQNS,20171122,1.88,1.98,1.85,1.92,241423
SQNS,20171121,1.83,2.03,1.80,1.86,1855871
SQNS,20171120,1.85,1.8661,1.81,1.84,450477
SQNS,20171117,1.83,1.91,1.83,1.84,159188
SQNS,20171116,1.86,1.90,1.83,1.85,127951
SQNS,20171115,1.84,1.92,1.80,1.86,143045
SQNS,20171114,1.84,1.88,1.80,1.84,219245
SQNS,20171113,1.83,1.86,1.80,1.84,142607
SQNS,20171110,1.80,1.8463,1.80,1.83,201376
SQNS,20171109,1.82,1.89,1.80,1.81,216207
SQNS,20171108,1.89,1.95,1.82,1.82,578869
SQNS,20171107,1.89,1.93,1.85,1.88,375593
SQNS,20171106,1.89,1.97,1.84,1.89,491240
SQNS,20171103,1.84,1.93,1.8377,1.86,309372
SQNS,20171102,1.81,1.84,1.75,1.82,222375
SQNS,20171101,1.80,2.004,1.78,1.79,463515
SQNS,20171031,2.01,2.04,1.79,1.81,649155
SQNS,20171030,1.96,2.04,1.91,1.93,424244
SQNS,20171027,1.84,2.02,1.8399,1.99,562153
SQNS,20171026,1.87,1.94,1.82,1.83,545602
SQNS,20171025,1.85,1.92,1.85,1.86,272220
SQNS,20171024,1.90,1.94,1.81,1.84,452110
SQNS,20171023,1.84,1.96,1.81,1.88,660666
SQNS,20171020,1.79,1.88,1.7604,1.84,244371
SQNS,20171019,1.83,1.85,1.73,1.79,605789
SQNS,20171018,1.87,1.90,1.79,1.82,532426
SQNS,20171017,1.90,1.9599,1.82,1.88,477259
SQNS,20171016,1.94,1.95,1.87,1.91,266512
SQNS,20171013,1.92,1.965,1.7299,1.93,1194098
SQNS,20171012,2.05,2.05,1.90,1.94,764380
SQNS,20171011,1.83,2.0417,1.80,2.01,2131383
SQNS,20171010,1.93,1.93,1.82,1.85,636858
SQNS,20171009,1.99,2.00,1.88,1.93,820208
SQNS,20171006,2.03,2.05,1.87,1.98,1284627
SQNS,20171005,2.01,2.05,1.88,2.00,1300709
SQNS,20171004,2.31,2.40,1.84,1.93,7969826
SQNS,20171003,3.12,3.15,2.98,3.06,254666
SQNS,20171002,3.11,3.202,2.97,3.08,376037
