<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SRC,20180423,7.87,7.895,7.775,7.82,3565009
SRC,20180420,7.97,8.00,7.84,7.86,5538804
SRC,20180419,8.07,8.08,7.92,7.97,3940654
SRC,20180418,8.06,8.15,8.04,8.07,3157392
SRC,20180417,8.04,8.13,8.00,8.06,3424854
SRC,20180416,8.00,8.07,7.975,8.005,3221822
SRC,20180413,7.98,8.01,7.91,7.98,4405085
SRC,20180412,8.06,8.06,7.94,7.97,5317615
SRC,20180411,8.06,8.16,8.05,8.05,3099850
SRC,20180410,8.09,8.14,8.02,8.09,4054016
SRC,20180409,8.05,8.16,8.03,8.08,5820148
SRC,20180406,8.00,8.17,8.00,8.05,7171958
SRC,20180405,7.99,8.05,7.96,7.98,4110152
SRC,20180404,7.82,8.005,7.77,7.99,6470211
SRC,20180403,7.81,7.93,7.76,7.86,5059693
SRC,20180402,7.74,7.87,7.73,7.81,6885644
SRC,20180329,7.82,7.875,7.73,7.76,6223075
SRC,20180328,7.55,7.83,7.53,7.76,7542401
SRC,20180327,7.68,7.795,7.64,7.69,5756049
SRC,20180326,7.71,7.71,7.58,7.67,4139722
SRC,20180323,7.80,7.84,7.66,7.66,4173003
SRC,20180322,7.89,7.98,7.81,7.82,4869184
SRC,20180321,7.96,7.97,7.825,7.90,4416209
SRC,20180320,7.96,8.04,7.895,7.94,6169607
SRC,20180319,8.01,8.02,7.96,7.99,4216024
SRC,20180316,7.98,8.04,7.955,8.00,4371584
SRC,20180315,8.00,8.04,7.94,7.99,3279013
SRC,20180314,7.97,8.05,7.97,7.99,4226013
SRC,20180313,7.98,8.04,7.94,7.96,5297583
SRC,20180312,7.98,8.04,7.96,7.97,2594249
SRC,20180309,8.04,8.08,7.92,8.00,5221325
SRC,20180308,8.13,8.13,8.00,8.06,3816220
SRC,20180307,7.95,8.03,7.94,8.00,2019926
SRC,20180306,7.93,8.025,7.90,7.96,2628665
SRC,20180305,7.93,8.06,7.90,7.95,5395883
SRC,20180302,7.80,7.95,7.80,7.94,4918970
SRC,20180301,7.79,7.92,7.75,7.82,4843010
SRC,20180228,7.61,7.83,7.58,7.80,7790659
SRC,20180227,7.68,7.79,7.53,7.53,7195718
SRC,20180226,7.60,7.79,7.60,7.75,5811314
SRC,20180223,7.65,7.65,7.54,7.61,2675696
SRC,20180222,7.55,7.685,7.50,7.60,4452860
SRC,20180221,7.61,7.80,7.595,7.62,5896179
SRC,20180220,7.76,7.80,7.58,7.59,3723413
SRC,20180216,7.68,7.81,7.675,7.78,3270154
SRC,20180215,7.665,7.765,7.64,7.65,3809524
SRC,20180214,7.48,7.68,7.41,7.62,6665401
SRC,20180213,7.60,7.63,7.38,7.54,6669820
SRC,20180212,7.61,7.63,7.34,7.57,8185236
SRC,20180209,7.46,7.67,7.38,7.59,6025522
SRC,20180208,7.69,7.72,7.42,7.42,8055695
SRC,20180207,7.78,7.95,7.53,7.69,15619355
SRC,20180206,7.61,7.89,7.46,7.78,10359590
SRC,20180205,7.83,7.94,7.70,7.70,5138552
SRC,20180202,7.97,8.04,7.845,7.91,4291033
SRC,20180201,8.17,8.25,7.96,8.035,5870851
SRC,20180131,8.20,8.31,8.073,8.17,6366308
SRC,20180130,8.19,8.24,8.09,8.16,4957924
SRC,20180129,8.42,8.45,8.19,8.22,3770750
SRC,20180126,8.56,8.58,8.35,8.43,4703060
SRC,20180125,8.44,8.58,8.42,8.56,4000406
SRC,20180124,8.61,8.66,8.41,8.45,6359224
SRC,20180123,8.55,8.57,8.40,8.51,5978093
SRC,20180122,8.48,8.53,8.39,8.51,5612663
SRC,20180119,8.21,8.33,8.12,8.33,4902864
SRC,20180118,8.14,8.22,8.07,8.16,6868261
SRC,20180117,8.09,8.215,8.08,8.18,7136410
SRC,20180116,8.12,8.21,8.07,8.07,5363729
SRC,20180112,8.10,8.17,8.055,8.10,5415270
SRC,20180111,8.14,8.19,8.05,8.13,3417032
SRC,20180110,8.12,8.145,7.98,8.12,5992968
SRC,20180109,8.27,8.27,8.145,8.15,5761734
SRC,20180108,8.19,8.27,8.14,8.23,3252876
SRC,20180105,8.17,8.205,8.14,8.18,5906685
SRC,20180104,8.37,8.395,8.17,8.17,5125650
SRC,20180103,8.39,8.47,8.35,8.39,3054652
SRC,20180102,8.60,8.605,8.38,8.38,5197226
SRC,20171229,8.57,8.60,8.51,8.58,3315723
SRC,20171228,8.46,8.58,8.44,8.57,4102583
SRC,20171227,8.69,8.705,8.60,8.64,3185135
SRC,20171226,8.63,8.74,8.59,8.66,3547024
SRC,20171222,8.53,8.67,8.51,8.63,3968422
SRC,20171221,8.61,8.63,8.54,8.57,4179909
SRC,20171220,8.62,8.69,8.58,8.58,7447151
SRC,20171219,8.67,8.74,8.625,8.67,12365425
SRC,20171218,8.64,8.71,8.62,8.65,9371389
