<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SXCP,20180423,18.45,18.55,18.25,18.25,67630
SXCP,20180420,18.30,18.45,18.155,18.45,80106
SXCP,20180419,18.20,18.35,18.20,18.30,26319
SXCP,20180418,18.05,18.50,18.05,18.20,108131
SXCP,20180417,17.90,18.10,17.85,17.95,112310
SXCP,20180416,17.85,18.10,17.70,17.85,125346
SXCP,20180413,17.75,17.835,17.65,17.65,67094
SXCP,20180412,17.75,17.75,17.65,17.75,58847
SXCP,20180411,17.65,17.75,17.65,17.70,51865
SXCP,20180410,17.80,17.876,17.70,17.70,96137
SXCP,20180409,17.95,17.95,17.65,17.70,82721
SXCP,20180406,18.00,18.10,17.60,17.80,182714
SXCP,20180405,17.95,18.10,17.855,18.10,107434
SXCP,20180404,17.80,18.00,17.70,17.85,88145
SXCP,20180403,18.05,18.25,17.85,17.90,107671
SXCP,20180402,17.95,18.00,17.55,17.80,124967
SXCP,20180329,18.00,18.10,17.80,17.80,133372
SXCP,20180328,18.00,18.10,17.55,17.70,157961
SXCP,20180327,18.15,18.166,17.85,18.00,171895
SXCP,20180326,18.20,18.30,17.805,17.95,213198
SXCP,20180323,18.25,18.60,17.7732,18.10,173819
SXCP,20180322,18.30,18.50,18.205,18.25,115227
SXCP,20180321,18.40,18.70,18.30,18.60,139163
SXCP,20180320,18.45,18.50,18.20,18.40,183408
SXCP,20180319,18.75,18.75,18.305,18.45,102941
SXCP,20180316,18.85,19.05,18.65,18.70,227947
SXCP,20180315,19.25,19.30,18.45,18.85,216102
SXCP,20180314,19.35,19.55,18.95,19.15,213072
SXCP,20180313,19.60,19.70,19.30,19.35,154120
SXCP,20180312,19.60,19.70,19.35,19.50,100286
SXCP,20180309,19.75,19.80,19.45,19.50,227547
SXCP,20180308,19.75,19.75,19.35,19.65,131653
SXCP,20180307,19.40,19.75,19.35,19.65,113871
SXCP,20180306,19.30,19.80,19.15,19.55,210215
SXCP,20180305,19.20,19.45,19.05,19.20,228406
SXCP,20180302,18.90,19.40,18.70,19.25,554662
SXCP,20180301,18.65,19.10,18.65,18.85,371823
SXCP,20180228,18.85,19.00,18.50,18.60,147232
SXCP,20180227,18.65,19.00,18.65,18.75,234309
SXCP,20180226,18.40,18.70,18.1399,18.60,273659
SXCP,20180223,18.25,18.45,18.15,18.15,115938
SXCP,20180222,18.45,18.70,18.15,18.20,135386
SXCP,20180221,18.40,18.60,18.214,18.45,123368
SXCP,20180220,18.45,18.70,18.15,18.35,140494
SXCP,20180216,18.15,18.50,18.00,18.35,182005
SXCP,20180215,18.40,18.425,18.10,18.40,104695
SXCP,20180214,18.00,18.55,17.955,18.40,245661
SXCP,20180213,18.85,18.95,18.55,18.75,303070
SXCP,20180212,19.10,19.10,18.65,18.70,212449
SXCP,20180209,18.60,18.80,17.90,18.40,324650
SXCP,20180208,19.05,19.10,18.30,18.35,249600
SXCP,20180207,18.75,19.20,18.75,18.95,227630
SXCP,20180206,18.25,19.10,18.15,18.75,294829
SXCP,20180205,19.25,19.80,18.505,18.70,274501
SXCP,20180202,19.90,19.945,19.35,19.40,233513
