<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
SYY,20180423,61.30,61.60,61.10,61.34,1187462
SYY,20180420,61.70,61.80,60.73,61.15,2438958
SYY,20180419,61.66,61.875,61.0701,61.58,2065660
SYY,20180418,62.81,63.04,61.77,61.85,2331664
SYY,20180417,61.65,62.60,61.32,62.50,2387681
SYY,20180416,60.62,61.315,60.57,61.26,2351071
SYY,20180413,60.48,60.63,60.19,60.42,2281677
SYY,20180412,60.80,61.01,60.30,60.51,1439196
SYY,20180411,60.39,60.96,60.26,60.52,1574005
SYY,20180410,60.40,60.93,59.9741,60.62,2370594
SYY,20180409,59.95,60.37,59.26,59.85,2035677
SYY,20180406,60.05,60.85,59.43,59.72,2979655
SYY,20180405,61.04,61.26,60.14,60.31,3398900
SYY,20180404,59.06,61.47,59.06,61.21,3263976
SYY,20180403,58.56,59.52,58.50,59.44,1949400
SYY,20180402,59.88,59.93,58.12,58.36,2892609
SYY,20180329,59.54,60.20,59.49,59.96,2110126
SYY,20180328,59.32,59.74,59.22,59.37,2935697
SYY,20180327,60.20,60.20,58.97,59.36,3633114
SYY,20180326,59.89,60.06,59.18,59.96,2656221
SYY,20180323,59.88,60.14,59.22,59.32,3390132
SYY,20180322,60.24,60.31,59.595,59.77,8125902
SYY,20180321,60.41,60.63,60.12,60.30,4089809
SYY,20180320,60.38,60.50,60.20,60.43,2716478
SYY,20180319,60.11,60.31,59.92,60.18,3886377
SYY,20180316,59.53,60.43,59.42,60.12,3748462
SYY,20180315,59.80,59.89,59.18,59.38,2736747
SYY,20180314,60.63,60.7299,59.71,59.88,5827426
SYY,20180313,60.80,61.24,60.58,60.70,1288208
SYY,20180312,61.39,61.44,60.42,60.52,1610589
SYY,20180309,60.69,61.29,60.475,61.28,1352248
SYY,20180308,60.24,60.485,60.09,60.48,1764428
SYY,20180307,60.27,60.41,59.93,60.13,1968694
SYY,20180306,60.04,60.88,59.89,60.87,1833825
SYY,20180305,59.56,60.16,59.09,60.04,1866284
SYY,20180302,59.27,59.97,59.27,59.66,2085302
SYY,20180301,59.59,60.371,59.12,59.46,2646602
SYY,20180228,60.05,60.70,59.64,59.65,2276676
SYY,20180227,60.28,60.97,59.85,59.85,1764348
SYY,20180226,59.79,60.29,59.73,60.28,1616923
SYY,20180223,58.94,59.68,58.86,59.68,1137332
SYY,20180222,58.86,59.34,58.76,58.86,1316447
SYY,20180221,58.94,59.55,58.55,58.55,1532379
SYY,20180220,59.47,59.50,58.72,58.88,2105533
SYY,20180216,59.25,60.25,59.08,60.00,1825064
SYY,20180215,58.56,59.37,58.15,59.37,1803002
SYY,20180214,58.27,58.51,58.01,58.35,2286146
SYY,20180213,58.04,58.56,57.92,58.42,1817488
SYY,20180212,58.74,59.105,58.03,58.13,2819928
SYY,20180209,57.57,58.79,56.77,58.33,2607856
SYY,20180208,58.63,58.65,56.96,57.00,2969724
SYY,20180207,59.42,60.01,58.40,58.43,3021707
SYY,20180206,56.42,59.9666,56.01,59.64,3911526
SYY,20180205,60.57,60.58,57.70,57.82,4529150
SYY,20180202,61.89,62.27,61.00,61.18,3533778
SYY,20180201,62.57,62.62,61.62,61.99,2150880
SYY,20180131,63.48,64.165,62.66,62.87,3526508
SYY,20180130,63.26,64.09,63.23,63.30,1738040
SYY,20180129,64.20,64.27,63.39,63.39,1344480
SYY,20180126,63.92,64.12,63.47,64.12,1166648
SYY,20180125,63.86,64.16,63.76,63.99,1203408
SYY,20180124,63.57,64.19,63.28,63.75,1310894
SYY,20180123,63.46,63.77,63.13,63.34,1310473
SYY,20180122,63.17,63.65,63.10,63.59,1367746
SYY,20180119,62.52,63.30,62.41,63.21,1993997
SYY,20180118,62.25,62.50,62.03,62.22,1595506
SYY,20180117,62.08,62.58,61.87,62.20,1655845
SYY,20180116,61.90,62.21,61.61,61.72,1911155
SYY,20180112,61.39,61.92,61.09,61.38,2605348
SYY,20180111,61.48,61.49,60.61,61.22,1444680
SYY,20180110,60.85,61.52,60.36,61.35,2332131
SYY,20180109,61.63,61.93,61.36,61.38,1918487
SYY,20180108,61.49,61.86,61.10,61.58,1731247
SYY,20180105,61.00,61.50,60.93,61.45,2209259
SYY,20180104,60.24,61.08,59.93,60.84,2654851
SYY,20180103,60.80,60.97,60.31,60.63,2174419
SYY,20180102,60.69,61.34,60.46,60.50,2352668
SYY,20171229,61.06,61.25,60.72,60.73,928105
SYY,20171228,60.93,61.07,60.76,61.06,646710
SYY,20171227,60.91,61.00,60.75,60.86,1012645
SYY,20171226,60.87,61.06,60.64,60.76,843794
SYY,20171222,60.74,60.89,60.46,60.72,1298927
SYY,20171221,61.06,61.14,60.52,60.59,1469368
