<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
T,20180423,34.71,34.89,34.59,34.89,17395278
T,20180420,34.86,35.06,34.15,34.67,29125436
T,20180419,35.24,35.27,34.81,34.82,22017290
T,20180418,35.48,35.54,35.16,35.21,19980494
T,20180417,35.69,35.765,35.31,35.36,19219116
T,20180416,35.37,35.82,35.215,35.64,20911336
T,20180413,35.21,35.37,35.02,35.14,12690296
T,20180412,35.42,35.47,35.06,35.16,19181893
T,20180411,35.66,35.73,35.18,35.25,19041878
T,20180410,35.32,36.39,35.05,35.81,36681512
T,20180409,35.24,35.70,35.06,35.17,18550493
T,20180406,36.01,36.20,35.42,35.63,22428577
T,20180405,35.93,36.21,35.6834,36.14,15279397
T,20180404,35.04,35.94,34.98,35.88,18624464
T,20180403,35.16,35.42,34.85,35.37,19754148
T,20180402,35.58,35.66,34.8299,35.10,25984907
T,20180329,35.68,35.89,35.02,35.65,24466110
T,20180328,35.29,35.85,35.24,35.56,24833305
T,20180327,34.85,35.20,34.69,34.90,29948106
T,20180326,35.06,35.2866,34.44,34.69,28901045
T,20180323,35.37,35.99,34.55,34.70,31354423
T,20180322,35.95,36.04,35.36,35.37,26115999
T,20180321,36.34,36.50,36.00,36.00,15057026
T,20180320,36.68,36.82,36.18,36.34,17919968
T,20180319,36.98,37.095,36.47,36.58,17922931
T,20180316,37.09,37.34,36.90,37.00,27525771
T,20180315,37.09,37.29,37.01,37.04,19204010
T,20180314,37.59,37.59,36.96,37.03,17027493
T,20180313,37.55,37.81,37.26,37.39,17755435
T,20180312,37.05,37.565,37.04,37.36,20752604
T,20180309,37.17,37.22,36.82,37.05,16856196
T,20180308,36.91,37.11,36.56,37.11,16904029
T,20180307,36.59,37.025,36.56,36.91,15474256
T,20180306,36.83,36.90,36.50,36.87,14033018
T,20180305,36.20,36.82,36.10,36.70,17293557
T,20180302,36.00,36.40,35.95,36.35,18967114
T,20180301,36.31,36.75,35.865,36.00,24579912
T,20180228,37.18,37.18,36.30,36.30,22455072
T,20180227,37.42,37.64,36.87,36.87,19601784
T,20180226,36.93,37.51,36.81,37.46,17913160
T,20180223,36.55,36.75,36.29,36.72,16395132
T,20180222,36.47,36.99,36.41,36.47,16754108
T,20180221,36.77,37.0388,36.28,36.31,18610781
T,20180220,36.88,37.09,36.67,36.77,18052854
T,20180216,36.98,37.39,36.8601,37.14,18433986
T,20180215,36.47,37.00,36.23,37.00,22023576
T,20180214,36.40,36.769,36.11,36.41,22391241
T,20180213,36.29,36.71,35.97,36.60,20058761
T,20180212,36.33,36.60,35.97,36.37,24440720
T,20180209,35.83,36.35,35.03,36.05,46567387
T,20180208,36.89,36.95,35.57,35.57,40046951
T,20180207,36.81,37.45,36.74,36.93,32437338
T,20180206,36.08,37.07,35.50,36.83,56496310
T,20180205,37.81,38.31,36.63,36.63,41594847
T,20180202,39.03,39.04,37.81,38.07,42459337
T,20180201,38.51,39.29,38.401,39.16,54525626
T,20180131,37.42,37.9248,37.33,37.45,32946273
T,20180130,37.36,37.80,37.30,37.44,24240736
T,20180129,37.13,37.68,36.98,37.26,26111208
T,20180126,37.46,37.82,37.36,37.82,16615088
T,20180125,37.09,37.45,36.84,37.45,21865141
T,20180124,37.29,37.385,36.98,37.02,22641525
T,20180123,37.95,38.22,37.03,37.19,27603906
T,20180122,37.20,37.90,36.98,37.87,28210822
T,20180119,37.37,37.37,36.94,37.21,25585350
T,20180118,36.84,37.38,36.81,37.15,24141315
T,20180117,36.77,36.95,36.485,36.85,19491105
T,20180116,36.90,37.02,36.54,36.72,21337790
T,20180112,36.48,36.99,36.32,36.90,26602173
T,20180111,36.67,36.77,36.37,36.48,35265185
T,20180110,37.39,37.39,36.54,36.62,37651984
T,20180109,37.63,37.99,37.48,37.49,24454251
T,20180108,38.15,38.48,37.85,38.25,23828002
T,20180105,38.14,38.16,37.80,38.14,20355982
T,20180104,37.75,38.19,37.26,38.00,26089150
T,20180103,38.47,38.49,37.53,37.65,35356754
T,20180102,39.06,39.06,38.36,38.54,28751149
T,20171229,39.22,39.32,38.88,38.88,19342640
T,20171228,39.00,39.20,38.88,39.18,14017759
T,20171227,39.08,39.14,38.71,38.89,14308562
T,20171226,38.95,39.325,38.95,39.06,12623943
T,20171222,38.78,39.11,38.70,38.94,15661769
T,20171221,38.56,39.29,38.471,38.88,25818938
T,20171220,38.27,38.84,38.18,38.55,24207859
T,20171219,38.46,38.6785,38.03,38.05,24035394
T,20171218,38.50,38.89,38.385,38.46,26801783
T,20171215,38.14,38.29,37.93,38.24,36583746
T,20171214,37.86,38.1556,37.68,37.74,24580503
