<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TAP,20180423,70.35,71.95,70.23,71.92,2177157
TAP,20180420,72.86,73.11,70.05,70.38,4071814
TAP,20180419,73.08,73.405,72.32,73.06,1691214
TAP,20180418,73.50,73.87,73.17,73.23,972983
TAP,20180417,73.09,73.78,72.34,73.71,1269934
TAP,20180416,73.55,73.93,73.08,73.55,893839
TAP,20180413,73.82,74.00,72.80,72.98,1455191
TAP,20180412,73.95,74.25,73.40,73.61,1223372
TAP,20180411,73.61,74.12,73.52,73.89,839665
TAP,20180410,73.59,74.12,73.17,73.99,981704
TAP,20180409,73.32,74.23,72.78,73.18,1257315
TAP,20180406,73.50,74.5275,72.77,73.17,1100091
TAP,20180405,74.57,74.72,73.73,73.88,1840604
TAP,20180404,72.81,74.34,72.30,74.10,2740219
TAP,20180403,73.18,74.10,72.63,73.65,1784439
TAP,20180402,75.31,75.46,72.92,73.09,1169945
TAP,20180329,76.10,76.45,75.31,75.33,977877
TAP,20180328,74.63,76.53,74.40,75.41,2108748
TAP,20180327,74.03,75.05,73.35,74.23,1618229
TAP,20180326,73.00,74.25,72.53,73.91,2333174
TAP,20180323,74.58,74.58,72.07,72.16,2746140
TAP,20180322,75.56,76.0899,74.17,74.39,2019958
TAP,20180321,76.86,77.06,75.80,76.05,1710192
TAP,20180320,79.59,79.83,76.80,76.88,2295349
TAP,20180319,79.98,80.27,79.105,79.47,1263844
TAP,20180316,81.68,81.78,79.13,80.19,2974873
TAP,20180315,80.90,81.50,80.90,81.41,1538428
TAP,20180314,80.81,81.22,80.31,81.10,1309217
TAP,20180313,81.41,81.41,80.28,80.46,1309597
TAP,20180312,81.25,81.96,80.57,80.96,1301406
TAP,20180309,80.76,81.14,80.31,81.09,1393204
TAP,20180308,78.69,80.69,78.54,80.55,1383057
TAP,20180307,78.01,78.46,77.74,78.26,961680
TAP,20180306,78.34,78.91,77.82,78.77,887655
TAP,20180305,78.09,78.56,76.88,78.03,1776524
TAP,20180302,76.62,78.40,76.311,78.34,1726683
TAP,20180301,76.55,77.52,75.8575,76.74,1585422
TAP,20180228,77.02,77.07,75.97,76.25,1657054
TAP,20180227,77.78,78.165,76.57,76.59,1000678
TAP,20180226,78.78,79.48,76.73,77.93,1473767
TAP,20180223,78.64,78.97,77.46,78.66,910720
TAP,20180222,78.95,79.74,78.00,78.45,1500572
TAP,20180221,79.64,80.36,78.72,78.75,1614468
TAP,20180220,81.06,81.27,79.71,79.75,1315975
TAP,20180216,81.71,82.29,80.89,81.47,1499465
TAP,20180215,80.49,81.86,79.15,81.74,1882711
TAP,20180214,77.25,80.69,77.00,80.45,3533690
TAP,20180213,75.62,76.09,74.11,75.70,1512969
TAP,20180212,75.53,76.68,75.16,75.77,1782650
TAP,20180209,74.84,75.27,72.71,74.25,1961567
TAP,20180208,76.79,76.89,74.50,74.51,2306297
TAP,20180207,77.61,78.21,75.79,76.16,2195960
TAP,20180206,76.98,78.4797,76.76,77.98,1929285
TAP,20180205,80.44,81.58,77.35,77.68,1510717
TAP,20180202,82.96,83.09,80.80,81.02,853625
TAP,20180201,83.85,83.91,83.11,83.55,672219
TAP,20180131,83.69,84.18,83.18,84.03,635510
TAP,20180130,83.45,84.22,83.43,83.48,771356
TAP,20180129,84.13,84.63,83.47,83.48,688933
TAP,20180126,83.67,84.44,83.25,84.39,812752
TAP,20180125,83.90,84.17,83.30,83.79,706823
TAP,20180124,83.58,84.10,83.17,83.89,743430
TAP,20180123,84.08,84.09,83.19,83.26,756133
TAP,20180122,83.71,84.12,83.36,84.06,1193285
TAP,20180119,83.51,83.9685,83.2542,83.77,673641
TAP,20180118,84.66,84.66,83.10,83.25,681888
TAP,20180117,85.00,85.37,84.50,84.66,681116
TAP,20180116,85.04,85.08,84.39,84.72,1471632
TAP,20180112,84.89,85.1733,84.50,84.88,972641
TAP,20180111,85.44,85.86,84.37,84.49,731935
TAP,20180110,83.79,85.76,83.69,85.21,1490127
TAP,20180109,83.88,84.23,82.56,83.63,1208721
TAP,20180108,82.86,84.23,82.56,83.82,1328844
TAP,20180105,82.43,83.07,82.05,82.93,991481
TAP,20180104,81.82,82.45,81.58,82.00,785642
TAP,20180103,81.91,82.30,81.25,81.46,912802
TAP,20180102,82.24,82.61,81.64,81.85,664614
TAP,20171229,82.21,82.55,82.01,82.07,674508
