<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TD,20180423,55.06,55.24,54.86,55.04,797509
TD,20180420,54.76,55.40,54.66,55.04,1076734
TD,20180419,55.47,55.61,54.75,54.88,1195138
TD,20180418,55.82,56.11,55.39,55.41,1241796
TD,20180417,55.71,55.92,55.54,55.74,1089922
TD,20180416,55.79,55.81,55.20,55.49,1141612
TD,20180413,56.21,56.21,55.36,55.44,901924
TD,20180412,55.93,56.00,55.46,55.83,957698
TD,20180411,55.97,56.41,55.85,55.88,843626
TD,20180410,56.56,56.60,56.0938,56.19,1206517
TD,20180409,55.65,56.21,55.39,55.87,999871
TD,20180406,56.29,56.51,55.525,55.87,1361944
TD,20180405,56.30,56.745,56.12,56.65,1014923
TD,20180404,55.27,56.20,55.025,56.05,1680399
TD,20180403,56.61,56.78,55.70,56.10,1436197
TD,20180402,56.85,56.91,55.69,56.24,1630504
TD,20180329,56.65,56.91,55.895,56.85,1400130
TD,20180328,56.20,56.83,56.01,56.10,1883746
TD,20180327,57.18,57.34,56.01,56.27,1317615
TD,20180326,57.31,57.46,56.51,57.09,1717233
TD,20180323,58.20,58.41,56.80,56.85,1607890
TD,20180322,58.86,58.94,57.62,57.93,1366250
TD,20180321,58.70,59.44,58.60,59.18,1296790
TD,20180320,57.95,58.47,57.83,58.36,1019989
TD,20180319,58.12,58.13,57.53,57.92,813910
TD,20180316,58.23,58.605,58.02,58.03,921250
TD,20180315,58.46,58.49,58.03,58.28,737253
TD,20180314,58.65,58.73,58.28,58.50,1113560
TD,20180313,59.06,59.13,58.22,58.33,1214370
TD,20180312,59.24,59.27,58.84,58.98,1033247
TD,20180309,59.15,59.28,58.63,59.20,1386208
TD,20180308,58.90,59.06,58.515,58.84,1442923
TD,20180307,58.25,58.83,58.16,58.82,998014
TD,20180306,58.46,58.89,58.29,58.67,1594196
TD,20180305,57.16,58.12,57.04,58.02,1366210
TD,20180302,57.89,57.99,57.25,57.89,2385692
TD,20180301,58.44,58.67,57.97,58.41,2234867
TD,20180228,58.97,59.17,57.97,57.97,1708997
TD,20180227,58.61,59.36,58.41,58.96,1669815
