<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TDW,20180423,33.30,34.33,32.62,34.27,90194
TDW,20180420,32.38,33.656,32.04,33.52,68680
TDW,20180419,32.86,33.11,32.40,32.57,56182
TDW,20180418,32.58,33.16,32.30,32.82,136255
TDW,20180417,31.84,32.47,31.375,32.26,148747
TDW,20180416,32.21,32.50,31.47,31.58,44649
TDW,20180413,32.47,32.75,31.85,32.55,104225
TDW,20180412,32.78,32.78,32.0575,32.29,57725
TDW,20180411,31.82,32.79,31.64,32.43,101280
TDW,20180410,30.90,32.12,30.81,31.88,129613
TDW,20180409,30.66,30.91,30.30,30.50,56433
TDW,20180406,30.33,30.82,29.85,30.43,75447
TDW,20180405,29.69,30.60,29.64,30.50,173930
TDW,20180404,29.27,29.76,29.09,29.50,85700
TDW,20180403,28.71,29.59,28.16,29.51,192987
TDW,20180402,28.78,28.91,27.99,28.63,40116
TDW,20180329,28.92,29.00,28.55,28.61,57325
TDW,20180328,28.79,29.45,28.75,28.89,87101
TDW,20180327,28.94,29.30,28.51,28.84,76982
TDW,20180326,28.92,28.93,27.68,28.81,53502
TDW,20180323,29.12,29.42,28.48,28.57,59065
TDW,20180322,27.29,30.00,27.29,29.07,205768
TDW,20180321,27.06,27.75,26.80,27.54,118087
TDW,20180320,26.18,27.00,26.15,26.94,228939
TDW,20180319,26.02,26.23,25.92,26.04,125261
TDW,20180316,24.93,26.19,24.93,26.02,368605
TDW,20180315,25.72,25.86,24.86,24.93,109675
TDW,20180314,26.00,26.02,25.64,25.83,85330
TDW,20180313,26.00,26.05,25.31,25.85,48668
TDW,20180312,25.63,26.20,25.63,25.88,65469
TDW,20180309,25.30,25.90,25.16,25.90,106680
TDW,20180308,25.00,25.30,24.76,25.22,53880
TDW,20180307,25.30,25.50,24.73,25.12,64994
TDW,20180306,25.71,25.75,25.21,25.66,62281
TDW,20180305,25.10,25.84,25.03,25.36,58530
TDW,20180302,24.80,25.314,24.58,25.05,81085
TDW,20180301,25.07,25.43,24.85,24.98,87637
TDW,20180228,25.13,25.20,24.90,25.02,160843
TDW,20180227,25.42,25.86,25.08,25.11,41919
TDW,20180226,26.20,26.20,25.45,25.47,31112
TDW,20180223,26.02,26.15,25.50,25.99,39170
TDW,20180222,25.00,26.199,24.95,25.77,284804
TDW,20180221,25.09,25.15,24.97,24.99,59659
TDW,20180220,25.21,25.40,25.02,25.12,39899
TDW,20180216,24.88,25.40,24.66,25.24,59314
TDW,20180215,25.33,25.33,24.82,25.10,238213
TDW,20180214,25.03,25.37,24.58,25.15,122671
TDW,20180213,25.39,25.50,24.95,25.39,22546
TDW,20180212,25.60,25.77,24.61,25.56,48443
TDW,20180209,24.77,25.63,24.44,25.51,180378
TDW,20180208,25.20,25.485,23.82,24.40,179995
TDW,20180207,26.61,26.95,25.18,25.22,59578
TDW,20180206,26.44,26.97,26.00,26.45,209866
TDW,20180205,26.87,27.95,26.62,26.72,68608
TDW,20180202,28.11,28.11,26.80,27.15,81988
TDW,20180201,27.90,28.76,27.4253,28.25,127266
TDW,20180131,26.98,27.95,26.9108,27.95,84731
TDW,20180130,27.00,27.31,26.64,26.89,50772
TDW,20180129,27.59,27.73,27.09,27.31,123922
TDW,20180126,27.52,27.92,27.52,27.75,52916
TDW,20180125,28.00,28.005,27.04,27.53,96601
TDW,20180124,27.63,28.20,27.50,28.00,209348
TDW,20180123,28.14,28.165,27.18,27.67,107253
TDW,20180122,28.06,28.185,27.83,28.00,71252
TDW,20180119,27.95,28.15,27.78,27.99,109088
TDW,20180118,27.56,28.29,27.45,27.95,208874
TDW,20180117,27.68,28.38,27.39,27.66,156620
TDW,20180116,28.77,28.77,27.51,27.63,127637
TDW,20180112,28.39,29.21,28.39,28.80,227321
TDW,20180111,28.69,28.69,28.11,28.36,120100
TDW,20180110,28.07,28.56,28.01,28.45,175291
TDW,20180109,28.52,28.68,27.40,27.85,215995
TDW,20180108,27.31,28.64,27.23,28.40,105085
TDW,20180105,26.92,27.46,26.3801,27.38,126864
TDW,20180104,26.49,26.94,26.00,26.85,123634
TDW,20180103,25.44,26.47,25.06,26.18,127955
TDW,20180102,24.61,25.40,24.415,25.36,36192
TDW,20171229,25.00,25.13,24.37,24.40,63382
TDW,20171228,25.03,25.44,24.41,25.03,60373
TDW,20171227,24.19,25.035,23.52,24.91,150622
TDW,20171226,24.85,25.265,23.80,24.19,213081
TDW,20171222,25.01,25.54,24.55,24.66,132744
TDW,20171221,24.95,25.665,24.95,25.02,103145
TDW,20171220,25.24,25.81,24.82,24.99,81323
TDW,20171219,25.40,25.80,24.94,25.01,165971
TDW,20171218,25.40,25.75,25.21,25.34,137889
TDW,20171215,24.60,25.68,24.60,25.55,281472
TDW,20171214,25.05,25.21,24.42,24.66,342442
TDW,20171213,26.03,26.03,24.97,25.07,233710
TDW,20171212,25.05,26.24,25.05,25.93,74155
TDW,20171211,26.70,26.70,24.99,25.05,190806
TDW,20171208,26.53,27.38,26.03,26.91,63554
TDW,20171207,26.27,26.51,25.73,26.48,57035
TDW,20171206,26.88,26.8814,25.69,26.48,50570
TDW,20171205,27.19,27.65,26.77,26.90,53961
TDW,20171204,26.80,27.68,26.48,27.29,138930
TDW,20171201,25.70,26.935,25.70,26.68,63240
TDW,20171130,25.81,26.59,25.37,25.78,46415
TDW,20171129,25.15,25.60,24.975,25.50,28715
TDW,20171128,25.00,25.27,24.48,25.13,71611
TDW,20171127,24.66,25.10,24.26,25.00,49256
TDW,20171124,24.51,24.65,24.2225,24.42,63999
TDW,20171122,25.01,25.01,24.225,24.68,30730
TDW,20171121,24.92,25.20,24.68,24.96,105866
TDW,20171120,24.87,25.09,24.6202,25.03,66402
TDW,20171117,25.02,25.16,24.82,24.97,44305
TDW,20171116,24.96,25.2399,24.48,25.04,1253749
TDW,20171115,24.97,25.44,24.85,25.02,60218
TDW,20171114,25.56,25.56,24.255,24.91,121263
TDW,20171113,26.67,26.67,25.36,25.66,74390
TDW,20171110,27.00,27.22,26.195,26.57,43342
TDW,20171109,26.62,27.00,25.92,26.90,58825
TDW,20171108,27.23,27.23,26.65,26.88,21597
TDW,20171107,27.75,27.75,27.22,27.33,43303
TDW,20171106,27.50,27.92,27.00,27.41,67075
TDW,20171103,27.29,27.60,27.235,27.43,54670
TDW,20171102,27.18,27.84,27.18,27.37,58261
TDW,20171101,27.30,27.40,26.86,27.18,167718
TDW,20171031,27.21,27.35,26.85,27.25,50232
TDW,20171030,27.32,28.04,26.76,27.26,20792
TDW,20171027,27.80,27.95,27.37,27.49,39811
TDW,20171026,27.60,28.40,27.60,27.90,19408
TDW,20171025,27.25,27.80,27.25,27.51,18468
TDW,20171024,27.10,27.845,26.995,27.22,82304
TDW,20171023,27.22,27.87,26.75,27.22,74706
TDW,20171020,27.00,27.31,26.68,27.07,38926
TDW,20171019,26.82,27.51,26.79,26.90,37822
TDW,20171018,26.96,27.38,26.512,27.17,31649
TDW,20171017,26.81,27.60,26.51,26.92,19444
TDW,20171016,26.20,27.30,26.20,26.86,34127
TDW,20171013,26.30,26.90,26.30,26.53,28555
TDW,20171012,26.57,27.13,26.57,26.71,40080
TDW,20171011,26.82,27.00,26.57,26.79,40792
TDW,20171010,27.24,27.58,26.69,26.88,19970
TDW,20171009,27.12,27.12,26.74,27.03,33926
TDW,20171006,26.68,27.20,26.50,27.06,42023
TDW,20171005,27.11,27.26,26.83,27.00,72164
TDW,20171004,26.84,27.30,26.59,27.21,107614
TDW,20171003,27.20,27.29,26.86,27.06,60965
TDW,20171002,28.79,29.08,27.40,27.48,362591
TDW,20170929,28.76,29.21,28.31,29.08,54496
TDW,20170928,27.50,29.11,27.195,29.00,644112
TDW,20170927,27.12,27.59,26.77,27.45,144605
TDW,20170926,27.92,28.55,27.04,27.11,63032
TDW,20170925,27.67,27.9934,27.52,27.92,48729
TDW,20170922,27.57,28.20,27.42,27.52,46634
TDW,20170921,28.52,28.75,27.39,27.62,94114
TDW,20170920,28.48,29.31,28.39,28.49,69371
TDW,20170919,28.93,28.93,28.03,28.75,304426
TDW,20170918,29.25,29.75,28.56,29.16,160108
TDW,20170915,28.93,30.35,28.39,29.77,331999
TDW,20170914,29.11,30.06,28.855,29.12,344192
TDW,20170913,28.72,29.33,28.60,28.89,628179
TDW,20170912,28.74,29.18,28.20,28.75,249509
TDW,20170911,29.37,29.45,28.57,28.59,312370
TDW,20170908,28.95,29.25,28.6055,28.95,278162
TDW,20170907,29.07,29.758,27.66,28.76,408843
TDW,20170906,27.33,29.15,26.51,28.78,256233
TDW,20170905,24.21,27.49,24.1769,27.31,368726
TDW,20170901,23.68,23.87,23.00,23.60,57756
TDW,20170831,24.54,25.13,23.07,23.65,26647
TDW,20170830,24.37,24.83,24.30,24.41,43647
TDW,20170829,24.59,25.20,24.21,24.71,79661
TDW,20170828,24.57,25.19,24.39,24.83,42464
TDW,20170825,24.69,24.75,23.94,24.49,44991
TDW,20170824,22.43,24.67,21.8401,24.49,60495
TDW,20170823,21.35,23.36,21.01,22.59,66632
TDW,20170822,23.15,24.00,21.20,21.46,24605
TDW,20170821,23.94,24.36,22.99,23.06,27065
TDW,20170818,21.86,24.80,21.241,24.15,47994
TDW,20170817,23.86,23.86,22.00,22.15,71034
TDW,20170816,25.44,25.44,23.83,23.90,76270
TDW,20170815,23.91,24.83,23.68,24.49,131860
TDW,20170814,23.31,25.05,22.66,23.83,108261
TDW,20170811,24.27,24.27,23.21,23.29,31826
TDW,20170810,24.10,24.34,23.45,24.34,107399
TDW,20170809,25.06,25.53,24.46,24.54,60290
TDW,20170808,25.00,25.44,24.94,25.06,145587
TDW,20170807,24.96,25.50,24.78,25.14,69635
TDW,20170804,24.94,26.50,24.92,25.16,52373
TDW,20170803,26.85,27.00,24.84,25.20,185689
TDW,20170802,25.58,29.14,25.58,27.10,549931
TDW,20170801,21.00,26.38,20.37,25.00,535805
TDW,20170731,0.97,1.05,0.8836,0.93,1761902
TDW,20170728,0.885,0.9888,0.88,0.96,1787853
TDW,20170727,0.93,0.931,0.893,0.90,419354
TDW,20170726,0.917,0.9498,0.8635,0.93,279113
TDW,20170725,0.88,0.9203,0.86,0.915,320398
TDW,20170724,0.93,0.93,0.8618,0.88,260764
TDW,20170721,0.92,0.92,0.89,0.91,553016
TDW,20170720,0.95,0.955,0.9101,0.92,228577
TDW,20170719,0.91,0.9561,0.89,0.93,279292
TDW,20170718,0.92,0.9299,0.90,0.911,287355
TDW,20170717,0.939,0.9516,0.90,0.92,554353
TDW,20170714,0.95,1.03,0.92,0.9631,2387043
TDW,20170713,0.81,0.94,0.7737,0.92,1586308
TDW,20170712,0.7252,0.86,0.7252,0.8567,975162
TDW,20170711,0.725,0.7385,0.72,0.72,230738
TDW,20170710,0.73,0.74,0.72,0.72,279660
TDW,20170707,0.7443,0.7443,0.712,0.72,286832
TDW,20170706,0.7531,0.756,0.72,0.721,202206
TDW,20170705,0.73,0.75,0.72,0.7401,243395
TDW,20170703,0.756,0.756,0.712,0.73,218423
TDW,20170630,0.7471,0.7615,0.72,0.72,344151
TDW,20170629,0.728,0.76,0.728,0.74,419294
TDW,20170628,0.7615,0.7615,0.73,0.74,527567
TDW,20170627,0.77,0.8162,0.7519,0.76,540536
TDW,20170626,0.85,0.85,0.76,0.7701,1417808
TDW,20170623,0.90,0.95,0.7202,0.8125,6794455
TDW,20170622,0.8093,0.92,0.809,0.9052,412479
TDW,20170621,0.83,0.8432,0.80,0.8085,334428
TDW,20170620,0.90,0.9014,0.80,0.8084,481383
