<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TEX,20180423,39.58,39.77,39.25,39.51,444479
TEX,20180420,39.84,39.99,39.08,39.41,829124
TEX,20180419,40.15,40.33,39.38,39.66,968099
TEX,20180418,40.51,40.79,39.91,40.29,1278494
TEX,20180417,39.23,40.13,39.23,39.64,1213535
TEX,20180416,38.77,39.32,38.56,39.06,1167756
TEX,20180413,39.12,39.12,38.27,38.62,2003881
TEX,20180412,37.66,38.55,37.41,38.17,1381716
TEX,20180411,37.03,37.73,36.94,37.30,978456
TEX,20180410,36.88,37.60,36.70,37.40,1013419
TEX,20180409,36.36,36.86,36.02,36.105,775724
TEX,20180406,37.05,37.35,35.58,36.11,1019089
TEX,20180405,37.15,37.95,37.09,37.46,1250439
TEX,20180404,35.90,37.10,35.55,36.95,616049
TEX,20180403,36.05,36.88,35.96,36.70,826480
TEX,20180402,37.32,37.53,35.45,35.84,685060
TEX,20180329,36.99,37.80,36.77,37.41,980140
TEX,20180328,36.85,37.18,36.00,36.63,1147658
TEX,20180327,37.13,37.67,36.33,36.90,1366277
TEX,20180326,36.61,37.10,35.91,37.00,1118299
TEX,20180323,37.00,37.12,35.77,35.85,1413790
TEX,20180322,38.34,38.49,36.77,36.83,1357743
TEX,20180321,38.75,39.335,38.20,39.02,1563552
TEX,20180320,38.80,39.48,38.68,38.83,943685
TEX,20180319,38.24,38.86,38.13,38.68,1128256
TEX,20180316,38.79,39.68,38.5116,38.83,2006121
TEX,20180315,39.22,39.55,38.76,38.81,687136
TEX,20180314,39.90,39.93,38.88,39.00,896339
TEX,20180313,39.90,40.52,39.56,39.75,1313484
TEX,20180312,40.85,41.14,39.91,39.91,1487190
TEX,20180309,40.15,41.47,40.13,41.06,1472827
TEX,20180308,39.32,40.23,38.72,39.87,1753085
TEX,20180307,39.73,40.099,38.48,39.22,1854068
TEX,20180306,39.75,41.22,39.71,40.48,2120781
TEX,20180305,38.69,39.91,38.48,39.53,1607041
TEX,20180302,36.62,39.42,36.35,39.09,3464696
TEX,20180301,41.38,42.16,39.821,40.03,3106389
TEX,20180228,42.90,43.29,41.43,41.52,1550034
TEX,20180227,42.56,43.84,42.56,42.85,1370050
TEX,20180226,43.87,43.89,41.95,42.52,2173030
TEX,20180223,43.01,43.865,42.88,43.70,1061695
TEX,20180222,43.66,44.54,42.77,42.84,1683078
TEX,20180221,42.21,44.12,42.21,43.51,1880181
TEX,20180220,40.72,42.85,40.72,42.24,1680213
TEX,20180216,43.22,43.68,40.97,41.03,2104154
TEX,20180215,42.12,43.40,41.96,43.24,1845911
TEX,20180214,43.34,43.50,39.78,41.92,4256895
TEX,20180213,42.91,43.76,42.71,42.96,1364680
TEX,20180212,42.91,43.75,42.52,43.23,1252078
TEX,20180209,42.09,43.19,41.08,42.47,1825437
TEX,20180208,43.28,43.46,41.48,41.49,1565486
TEX,20180207,43.83,44.63,43.12,43.20,1088173
TEX,20180206,42.38,44.34,42.07,44.03,1312118
TEX,20180205,44.42,45.55,43.26,43.49,1361290
TEX,20180202,46.65,46.97,45.17,45.25,1128728
TEX,20180201,46.84,47.70,46.76,47.02,824884
TEX,20180131,48.11,48.66,46.78,47.02,1127088
TEX,20180130,47.38,47.97,46.71,47.64,649636
TEX,20180129,49.29,49.83,47.91,48.00,815721
TEX,20180126,48.24,49.37,47.63,49.33,895939
TEX,20180125,49.58,50.17,47.08,48.22,1769102
TEX,20180124,49.73,49.88,48.59,49.10,611928
TEX,20180123,49.26,49.53,48.51,49.34,606161
TEX,20180122,49.71,49.80,48.59,49.31,848651
TEX,20180119,49.24,49.8834,49.01,49.79,638670
TEX,20180118,49.28,49.90,48.69,48.86,621176
TEX,20180117,48.85,49.295,48.07,49.05,630119
TEX,20180116,49.10,49.90,48.14,48.59,864573
TEX,20180112,48.55,48.83,48.25,48.80,773137
TEX,20180111,48.16,48.40,47.74,48.22,670944
TEX,20180110,47.37,47.89,46.80,47.58,616084
TEX,20180109,47.49,47.85,46.73,47.42,972657
TEX,20180108,47.00,47.52,46.73,47.29,914970
TEX,20180105,47.74,47.90,46.74,46.95,666445
TEX,20180104,48.63,48.90,47.41,47.41,630031
TEX,20180103,48.65,48.92,48.13,48.43,433856
TEX,20180102,48.43,48.82,48.06,48.59,524296
TEX,20171229,48.53,48.78,48.11,48.22,342043
TEX,20171228,48.90,48.90,48.15,48.49,545857
TEX,20171227,48.50,48.87,48.18,48.59,288619
TEX,20171226,48.62,48.62,48.02,48.38,339178
TEX,20171222,48.18,48.58,47.48,48.51,467285
TEX,20171221,47.70,48.26,47.30,48.04,478564
TEX,20171220,47.54,48.07,46.95,47.53,845449
TEX,20171219,47.18,47.43,46.67,47.06,525247
TEX,20171218,46.46,47.66,46.31,47.24,1120328
TEX,20171215,46.37,46.98,45.835,45.93,1091834
TEX,20171214,47.97,47.97,46.001,46.23,1310462
TEX,20171213,46.29,48.24,46.13,48.04,1065368
TEX,20171212,47.00,47.00,46.28,46.53,760020
TEX,20171211,46.39,46.92,45.84,46.85,886508
TEX,20171208,46.41,46.62,46.05,46.32,586457
TEX,20171207,45.23,46.03,45.1501,45.91,697489
TEX,20171206,45.85,46.30,45.10,45.32,708326
TEX,20171205,46.55,46.93,45.91,46.08,714399
TEX,20171204,46.58,47.80,46.32,46.33,1125096
TEX,20171201,46.73,46.73,43.67,45.81,1104818
TEX,20171130,46.29,47.94,46.29,46.75,1571393
TEX,20171129,45.32,46.91,45.26,46.70,1252118
TEX,20171128,45.41,45.54,44.03,45.38,1277295
TEX,20171127,45.50,46.02,45.215,45.31,760438
TEX,20171124,45.50,45.94,45.25,45.57,364040
TEX,20171122,45.51,45.78,45.05,45.29,570791
TEX,20171121,46.12,46.39,45.085,45.13,818893
TEX,20171120,44.88,46.45,44.88,45.64,1087769
TEX,20171117,43.77,45.2499,43.77,44.82,971612
TEX,20171116,43.04,44.19,43.04,44.02,1060453
TEX,20171115,42.63,42.70,41.68,42.55,1426450
TEX,20171114,44.31,44.93,42.75,42.84,1488547
TEX,20171113,44.30,45.14,44.12,44.62,1426741
TEX,20171110,44.28,44.98,44.03,44.55,625840
TEX,20171109,44.58,45.07,44.02,44.28,1059756
TEX,20171108,46.43,46.64,44.77,45.07,981228
TEX,20171107,46.82,47.10,46.41,46.78,754594
TEX,20171106,46.10,46.77,45.61,46.61,918385
TEX,20171103,45.59,46.21,45.59,46.16,1104916
TEX,20171102,45.01,46.00,44.99,45.33,1520674
TEX,20171101,46.01,46.245,43.36,44.85,2398103
TEX,20171031,47.43,48.86,46.84,47.11,1619705
TEX,20171030,46.67,46.795,46.24,46.65,602632
TEX,20171027,46.70,47.22,46.5112,47.03,541039
TEX,20171026,46.48,47.0424,46.12,46.76,777172
TEX,20171025,46.62,46.66,45.92,46.30,587122
TEX,20171024,46.78,47.28,46.571,46.89,634972
TEX,20171023,45.89,46.38,45.59,46.03,622511
TEX,20171020,46.13,46.2043,45.54,45.84,515649
TEX,20171019,45.87,45.87,44.94,45.75,769368
TEX,20171018,46.30,46.49,45.94,46.11,439667
TEX,20171017,46.41,46.43,45.95,46.03,525560
TEX,20171016,46.22,46.80,46.08,46.40,1466977
TEX,20171013,46.13,46.29,45.49,45.695,604900
TEX,20171012,45.57,46.155,45.57,45.84,730761
TEX,20171011,45.93,46.68,45.77,45.82,891342
TEX,20171010,45.71,45.93,45.35,45.51,847888
TEX,20171009,45.82,45.82,44.87,45.15,644236
TEX,20171006,45.20,45.81,44.96,45.70,1075763
TEX,20171005,44.99,45.58,44.89,45.43,640574
TEX,20171004,45.09,45.52,44.85,44.91,516133
TEX,20171003,45.25,45.45,44.80,45.10,719437
TEX,20171002,45.02,45.45,44.75,45.25,661311
TEX,20170929,44.77,45.10,44.51,45.02,1042377
TEX,20170928,44.50,44.98,44.10,44.87,777974
TEX,20170927,44.18,44.92,43.94,44.56,670087
TEX,20170926,43.74,44.17,43.64,43.85,672869
TEX,20170925,42.89,43.78,42.82,43.69,768441
TEX,20170922,43.16,43.34,42.76,42.96,1005171
TEX,20170921,43.03,43.45,42.34,43.42,1411223
TEX,20170920,44.47,44.47,43.68,43.81,1478816
TEX,20170919,44.28,44.80,44.09,44.34,796003
TEX,20170918,43.70,44.48,43.56,44.23,1110182
TEX,20170915,42.83,43.67,42.7947,43.48,1095446
TEX,20170914,42.73,43.20,42.07,42.80,1649272
TEX,20170913,42.54,42.91,41.17,42.73,2426052
TEX,20170912,40.40,41.89,40.06,41.73,1386060
TEX,20170911,39.92,40.36,39.70,40.05,1588034
TEX,20170908,38.01,39.64,37.78,39.56,1135074
TEX,20170907,38.31,38.49,37.60,38.15,813499
TEX,20170906,38.70,38.86,38.24,38.25,404850
TEX,20170905,39.20,39.20,37.98,38.29,1011441
TEX,20170901,38.70,39.37,38.70,39.06,670706
TEX,20170831,39.14,39.1799,38.48,38.55,708180
TEX,20170830,38.36,39.06,38.21,38.85,686002
TEX,20170829,37.37,38.73,37.22,38.38,898917
TEX,20170828,38.03,38.13,37.55,37.79,751676
TEX,20170825,37.87,38.34,37.65,37.86,923006
TEX,20170824,38.22,38.37,37.59,37.62,764942
TEX,20170823,38.19,38.76,37.96,37.97,851709
TEX,20170822,37.66,38.77,37.485,38.71,909849
TEX,20170821,37.38,37.772,37.345,37.38,855946
TEX,20170818,37.27,38.10,37.01,37.53,1329721
TEX,20170817,38.51,38.98,37.70,37.71,1118918
TEX,20170816,38.92,39.10,38.53,38.70,810370
TEX,20170815,39.12,39.14,38.74,38.85,562227
TEX,20170814,38.33,39.31,38.20,39.16,1447587
TEX,20170811,37.63,38.31,37.42,38.08,1891111
TEX,20170810,38.40,38.67,37.86,37.90,1202443
TEX,20170809,38.75,39.06,38.36,38.75,924158
TEX,20170808,39.30,39.99,39.04,39.19,793988
TEX,20170807,39.37,39.53,38.62,39.29,1058856
TEX,20170804,39.22,39.7999,39.08,39.43,1022590
TEX,20170803,37.81,39.34,37.77,39.00,1701991
TEX,20170802,39.68,40.24,36.85,37.60,2705141
TEX,20170801,38.99,39.56,38.73,38.89,1902140
TEX,20170731,38.87,39.67,38.87,39.37,1614565
TEX,20170728,38.43,38.77,38.31,38.69,846008
TEX,20170727,38.37,38.73,38.10,38.72,792247
TEX,20170726,39.21,39.27,38.03,38.145,1225997
TEX,20170725,39.56,39.90,39.03,39.14,1274153
TEX,20170724,38.48,38.94,38.43,38.84,985918
TEX,20170721,38.37,38.57,37.84,38.43,785846
TEX,20170720,39.01,39.565,38.515,38.66,1070912
TEX,20170719,38.34,39.00,38.235,38.84,729858
TEX,20170718,38.64,38.68,38.03,38.17,930582
TEX,20170717,38.60,38.92,38.37,38.72,1090115
TEX,20170714,38.56,39.04,38.45,38.71,587971
TEX,20170713,37.87,38.54,37.76,38.48,931985
TEX,20170712,38.11,38.78,37.90,37.92,1174570
TEX,20170711,37.36,37.91,37.06,37.83,1115259
TEX,20170710,37.15,37.65,36.87,37.17,1106862
TEX,20170707,36.62,37.29,35.79,37.21,1258025
TEX,20170706,37.55,37.72,36.59,36.60,1157692
TEX,20170705,37.23,37.82,37.12,37.68,1220443
TEX,20170703,37.65,37.99,37.18,37.61,1075293
TEX,20170630,36.63,37.90,36.63,37.50,1185622
TEX,20170629,36.53,37.41,35.63,36.42,1304813
TEX,20170628,35.93,36.77,35.58,36.45,749347
TEX,20170627,36.29,36.51,35.46,35.51,856006
TEX,20170626,35.58,36.375,35.18,36.21,1545581
TEX,20170623,34.87,35.59,34.55,35.33,1165426
TEX,20170622,34.60,35.06,34.21,34.77,1242251
TEX,20170621,35.76,35.76,34.52,34.60,1316863
TEX,20170620,36.34,36.40,35.76,35.83,944675
TEX,20170619,36.13,36.95,35.89,36.83,1932234
TEX,20170616,35.31,35.65,35.02,35.43,1033903
TEX,20170615,34.85,36.24,34.73,35.30,1875730
TEX,20170614,37.20,37.43,35.80,36.20,1603553
TEX,20170613,36.86,37.53,36.8126,37.19,1281041
TEX,20170612,36.05,36.87,35.48,36.75,2196955
TEX,20170609,34.79,37.16,34.79,36.09,2275743
TEX,20170608,33.76,35.00,33.67,34.66,1263022
TEX,20170607,33.74,34.31,33.57,33.87,1229401
TEX,20170606,33.16,33.98,32.86,33.76,1351177
TEX,20170605,33.44,33.77,33.28,33.45,914259
TEX,20170602,33.79,34.10,33.42,33.57,880100
TEX,20170601,33.14,34.15,32.88,33.85,1213396
TEX,20170531,33.77,33.93,32.48,32.77,1097913
TEX,20170530,33.00,33.995,32.99,33.80,1572166
TEX,20170526,32.79,33.02,32.50,32.91,859341
TEX,20170525,33.92,34.02,32.77,32.81,637979
TEX,20170524,33.81,34.03,33.51,33.74,1381559
TEX,20170523,33.18,33.85,32.51,33.80,2178777
TEX,20170522,33.00,33.43,32.7601,33.15,1548550
TEX,20170519,32.28,33.06,32.04,32.72,1541977
TEX,20170518,31.70,32.19,31.29,31.84,2253369
TEX,20170517,32.52,32.82,31.885,31.92,1338770
TEX,20170516,33.56,33.56,32.85,33.27,1228561
TEX,20170515,32.85,33.86,32.85,33.45,1593912
TEX,20170512,32.36,32.58,32.13,32.56,2237910
TEX,20170511,32.60,32.93,31.25,32.62,2715050
TEX,20170510,32.91,33.4175,32.78,33.35,1073481
TEX,20170509,32.90,33.16,32.48,32.96,1315021
TEX,20170508,33.28,33.33,32.17,32.86,1751385
TEX,20170505,33.45,33.58,33.04,33.33,1753613
TEX,20170504,33.26,33.41,32.65,33.28,1468343
TEX,20170503,35.50,35.50,33.00,33.09,2645588
TEX,20170502,35.53,35.99,34.5301,34.72,1961842
TEX,20170501,35.06,35.6187,34.80,35.15,1208409
TEX,20170428,34.85,35.26,34.41,34.97,1742762
TEX,20170427,35.60,35.92,35.45,35.61,1272240
TEX,20170426,35.57,36.12,35.50,35.63,1930476
TEX,20170425,34.87,36.43,34.50,35.66,3399616
TEX,20170424,32.95,33.27,32.71,33.09,1639071
TEX,20170421,32.23,32.59,31.945,32.45,1086716
TEX,20170420,32.28,32.57,31.89,32.45,1245079
TEX,20170419,32.07,32.65,31.93,32.11,1228798
TEX,20170418,31.39,31.92,31.11,31.87,887954
TEX,20170417,31.26,31.87,30.92,31.71,2061635
TEX,20170413,31.60,31.725,30.89,31.06,1028865
TEX,20170412,32.64,32.784,31.65,31.77,1217388
TEX,20170411,32.76,33.02,32.32,33.01,940818
TEX,20170410,32.56,33.18,32.56,32.82,1076185
TEX,20170407,32.40,32.91,32.235,32.54,988656
TEX,20170406,31.26,32.6825,31.14,32.38,1841042
TEX,20170405,31.01,31.97,30.99,31.09,2077966
TEX,20170404,30.50,30.73,30.25,30.68,788667
TEX,20170403,31.42,31.62,30.48,30.56,1128438
TEX,20170331,31.28,31.60,31.15,31.40,1057878
TEX,20170330,30.78,31.555,30.64,31.39,1569522
TEX,20170329,29.90,30.98,29.77,30.78,1445508
TEX,20170328,29.55,30.02,29.55,29.94,1591096
TEX,20170327,29.11,29.71,28.67,29.57,1222152
TEX,20170324,30.08,30.31,29.62,30.00,1127247
TEX,20170323,29.65,30.13,29.48,29.93,835359
TEX,20170322,29.69,30.02,29.42,29.71,1058316
TEX,20170321,31.11,31.28,29.59,29.86,1393147
TEX,20170320,31.01,31.20,30.55,30.82,1043210
TEX,20170317,30.56,31.62,30.545,31.15,2346807
TEX,20170316,31.16,31.42,30.315,30.37,974089
TEX,20170315,30.36,31.53,30.22,31.09,1494200
TEX,20170314,29.99,30.17,29.31,30.03,1166565
TEX,20170313,30.22,30.4484,29.89,30.20,924450
