<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TFX,20180423,270.66,273.54,268.38,271.70,198873
TFX,20180420,269.50,271.79,267.60,271.03,173150
TFX,20180419,267.93,270.045,266.52,269.64,101143
TFX,20180418,266.21,270.46,264.43,268.70,115791
TFX,20180417,264.00,267.37,260.22,266.46,141499
TFX,20180416,260.17,264.47,257.80,262.52,147254
TFX,20180413,259.34,259.34,255.73,257.52,186416
TFX,20180412,256.93,258.92,255.495,258.22,161243
TFX,20180411,253.68,255.96,253.145,255.30,148144
TFX,20180410,251.74,257.25,249.97,255.62,183293
TFX,20180409,246.87,252.79,245.95,248.26,143896
TFX,20180406,250.40,251.96,242.7878,246.68,142207
TFX,20180405,253.77,256.04,251.98,252.06,165421
TFX,20180404,247.92,253.34,244.59,252.64,191776
TFX,20180403,251.00,252.94,246.64,251.34,192394
TFX,20180402,254.51,254.97,246.62,250.04,269519
TFX,20180329,254.23,257.54,251.30,254.98,220769
TFX,20180328,257.48,257.71,252.96,253.10,247084
TFX,20180327,260.50,262.77,256.54,257.65,294136
TFX,20180326,254.53,259.59,253.04,259.13,192124
TFX,20180323,257.00,258.36,252.57,252.86,304436
TFX,20180322,257.14,261.84,256.81,256.81,522551
TFX,20180321,265.28,265.28,259.46,260.05,191013
TFX,20180320,262.03,266.47,255.23,265.28,239172
TFX,20180319,264.03,264.03,258.88,262.14,194724
TFX,20180316,266.38,268.1499,263.19,264.76,607832
TFX,20180315,265.70,269.17,265.15,265.93,225945
TFX,20180314,267.85,269.985,264.97,265.69,218803
TFX,20180313,267.26,269.65,264.33,267.35,248457
TFX,20180312,268.53,269.7374,264.07,266.38,313651
TFX,20180309,263.53,270.85,263.52,269.26,227867
TFX,20180308,258.66,262.41,257.005,261.41,290789
TFX,20180307,252.67,259.93,252.67,257.65,277064
TFX,20180306,251.23,254.71,248.04,254.32,194753
TFX,20180305,244.80,251.36,241.98,250.51,177762
TFX,20180302,241.65,246.00,240.88,245.61,290106
TFX,20180301,249.36,250.77,241.26,242.67,287514
TFX,20180228,253.72,254.3695,249.78,249.83,375431
TFX,20180227,255.96,258.74,253.64,253.72,373905
TFX,20180226,255.34,257.445,251.2901,256.26,325995
TFX,20180223,250.36,256.10,244.80,255.27,423673
TFX,20180222,261.10,261.10,244.1257,249.82,766158
TFX,20180221,268.70,274.74,268.70,270.00,254688
TFX,20180220,266.19,270.80,266.19,269.07,190884
TFX,20180216,265.94,269.90,263.805,267.89,143693
TFX,20180215,263.70,266.58,259.01,265.61,171858
TFX,20180214,253.13,262.03,251.80,260.96,121974
TFX,20180213,253.85,257.33,252.81,254.95,123947
TFX,20180212,254.11,257.84,250.25,255.20,141982
TFX,20180209,251.53,254.98,245.1901,252.75,189593
TFX,20180208,263.30,263.52,249.11,249.14,270788
TFX,20180207,261.68,268.31,260.68,263.09,228230
TFX,20180206,257.83,263.22,253.79,261.95,348560
TFX,20180205,271.00,274.30,259.47,261.45,219321
TFX,20180202,276.41,278.80,272.34,272.36,141262
TFX,20180201,276.44,280.71,274.60,278.68,249055
TFX,20180131,282.62,282.93,276.89,277.75,155898
TFX,20180130,284.87,287.00,280.03,281.56,222424
TFX,20180129,283.11,288.78,282.06,287.65,229431
TFX,20180126,278.86,287.18,276.74,284.59,263280
TFX,20180125,276.84,281.14,274.87,278.07,195868
TFX,20180124,275.04,276.28,273.47,275.08,353539
TFX,20180123,275.04,275.845,273.23,273.90,293051
TFX,20180122,276.90,277.10,274.06,274.75,154865
TFX,20180119,276.11,279.12,275.30,276.42,269576
TFX,20180118,269.70,276.67,269.59,275.30,489784
TFX,20180117,265.11,272.46,263.23,272.31,265922
TFX,20180116,263.38,266.63,261.96,262.93,262371
TFX,20180112,260.26,264.21,258.38,263.18,143874
TFX,20180111,258.54,260.77,256.75,260.66,171574
TFX,20180110,261.75,262.72,256.79,257.92,250412
TFX,20180109,260.00,262.635,258.72,262.14,107049
TFX,20180108,257.20,259.41,254.77,258.68,182969
TFX,20180105,255.26,258.365,253.08,257.73,134658
TFX,20180104,257.75,259.40,254.01,254.01,178599
TFX,20180103,255.05,257.63,254.64,256.64,137639
TFX,20180102,248.96,255.69,248.96,254.73,239247
TFX,20171229,251.49,253.28,248.48,248.82,124622
TFX,20171228,250.13,251.59,247.99,251.51,97130
TFX,20171227,248.01,250.91,247.65,249.65,60070
TFX,20171226,248.94,250.67,247.291,247.89,66687
TFX,20171222,249.71,252.63,248.91,249.44,121970
TFX,20171221,255.77,255.905,249.78,249.92,160677
TFX,20171220,254.01,256.84,253.41,255.77,131898
TFX,20171219,251.20,255.50,250.53,254.27,191644
TFX,20171218,253.07,255.00,251.465,252.01,82603
TFX,20171215,250.36,255.14,249.84,252.09,155762
TFX,20171214,252.66,253.9199,248.65,249.35,293014
TFX,20171213,249.16,254.52,249.16,251.98,108545
TFX,20171212,253.23,255.88,249.38,249.86,310823
TFX,20171211,252.02,252.55,250.52,252.31,133261
TFX,20171208,252.11,255.13,250.79,252.76,278851
TFX,20171207,250.24,253.84,250.17,251.19,222563
TFX,20171206,251.86,253.48,248.95,250.10,302108
TFX,20171205,253.86,255.47,250.61,251.75,264704
TFX,20171204,268.56,269.545,252.77,252.98,246240
TFX,20171201,265.32,266.70,259.16,265.58,194583
TFX,20171130,265.80,267.66,262.8925,265.53,142312
TFX,20171129,270.29,270.945,262.44,264.41,199705
TFX,20171128,268.58,271.23,266.34,270.19,209247
TFX,20171127,267.91,269.72,266.46,267.94,134520
TFX,20171124,266.95,268.33,264.45,267.71,39068
TFX,20171122,266.83,268.50,264.71,266.55,213254
TFX,20171121,268.24,269.78,266.64,267.60,228553
TFX,20171120,266.21,268.78,263.02,266.64,127042
TFX,20171117,263.01,266.45,261.35,266.21,177837
TFX,20171116,255.74,266.39,255.74,263.44,275930
TFX,20171115,254.63,259.01,253.62,255.44,149854
TFX,20171114,253.60,256.70,251.30,256.55,189636
TFX,20171113,252.83,258.49,251.42,256.94,127337
TFX,20171110,257.27,257.27,248.72,252.89,297410
TFX,20171109,258.30,259.59,251.16,257.14,153573
TFX,20171108,259.52,260.67,257.31,259.59,151085
TFX,20171107,256.53,260.37,255.44,260.31,203979
TFX,20171106,256.27,257.89,254.16,256.58,126812
TFX,20171103,255.79,259.90,253.37,256.41,333250
TFX,20171102,253.80,263.97,247.40,254.80,467067
TFX,20171101,237.18,242.94,235.29,241.71,218637
TFX,20171031,237.02,238.55,236.03,236.98,344851
TFX,20171030,242.69,242.975,235.79,236.76,180831
TFX,20171027,241.39,243.105,239.16,242.79,139410
