<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
TWLO,20180423,41.41,41.7992,40.871,41.40,881494
TWLO,20180420,41.80,42.39,41.00,41.22,1543524
TWLO,20180419,42.25,42.31,41.61,42.11,1664142
TWLO,20180418,41.41,42.505,40.96,42.34,1731477
TWLO,20180417,39.88,41.3535,39.82,41.17,1499299
TWLO,20180416,39.36,39.76,38.82,39.51,800450
TWLO,20180413,39.88,40.18,38.65,39.21,975647
TWLO,20180412,39.50,39.79,38.65,39.70,1612924
TWLO,20180411,38.24,40.15,38.00,38.97,1640375
TWLO,20180410,38.00,38.83,37.125,38.21,1577048
TWLO,20180409,37.48,38.39,36.78,36.87,1147920
TWLO,20180406,37.63,38.3664,36.68,37.04,1176797
TWLO,20180405,38.80,39.09,37.66,38.09,1363908
TWLO,20180404,36.24,38.47,36.07,38.29,1434659
TWLO,20180403,37.13,37.56,36.33,37.32,1139155
TWLO,20180402,37.85,38.51,36.45,36.65,1320601
TWLO,20180329,37.64,38.67,37.01,38.18,1643335
TWLO,20180328,38.61,38.97,36.76,37.43,3150442
TWLO,20180327,42.37,42.5389,35.89,38.73,2754587
TWLO,20180326,40.58,42.14,39.94,42.06,1716852
TWLO,20180323,41.73,41.73,39.93,39.93,1873209
TWLO,20180322,40.73,42.41,40.301,41.65,2171523
TWLO,20180321,40.89,42.23,40.521,41.30,1483621
TWLO,20180320,40.34,41.22,39.90,40.89,1304220
TWLO,20180319,40.56,41.29,39.5252,40.31,2339944
TWLO,20180316,40.67,41.38,40.40,41.02,1209152
TWLO,20180315,41.00,41.20,39.93,40.78,1211574
TWLO,20180314,40.00,40.8904,39.35,40.79,1691114
TWLO,20180313,41.08,41.94,38.95,39.57,2955663
TWLO,20180312,39.67,41.38,39.6501,41.01,2719449
TWLO,20180309,39.41,39.93,38.84,39.51,1984728
TWLO,20180308,39.43,39.50,38.66,38.85,1655220
TWLO,20180307,37.40,39.65,37.255,39.23,2609154
TWLO,20180306,38.23,38.58,36.86,38.32,2265585
TWLO,20180305,37.15,38.99,36.73,38.23,4066380
TWLO,20180302,34.69,37.63,34.31,37.33,6838702
TWLO,20180301,34.80,35.30,34.23,34.96,1865022
TWLO,20180228,34.56,35.45,34.09,34.16,2118005
TWLO,20180227,33.60,34.68,33.34,34.44,1872792
TWLO,20180226,33.50,34.28,32.76,33.88,1804130
TWLO,20180223,32.68,33.5399,32.64,33.52,1211575
TWLO,20180222,33.33,33.57,32.25,32.44,1491221
TWLO,20180221,33.00,33.78,32.59,33.06,1654162
TWLO,20180220,32.86,33.88,32.65,33.01,2171136
TWLO,20180216,31.55,33.45,30.89,33.09,4337147
TWLO,20180215,30.80,32.58,30.70,32.13,4384245
TWLO,20180214,29.09,32.00,28.59,30.72,12381298
TWLO,20180213,25.83,26.7052,25.54,26.44,3164602
TWLO,20180212,24.73,25.88,24.63,25.79,2168098
TWLO,20180209,24.15,24.70,23.25,24.52,2342946
TWLO,20180208,24.81,24.82,23.90,23.91,1573125
TWLO,20180207,24.60,24.97,24.25,24.36,1333012
TWLO,20180206,23.72,24.83,23.44,24.64,1604272
TWLO,20180205,25.20,25.57,24.32,24.44,1703397
TWLO,20180202,25.95,26.01,25.40,25.55,1968801
TWLO,20180201,26.00,26.33,25.77,26.06,918579
TWLO,20180131,26.28,26.73,26.08,26.24,820588
TWLO,20180130,26.03,26.34,25.779,26.10,807203
TWLO,20180129,26.54,26.78,26.26,26.39,927054
TWLO,20180126,26.68,26.98,26.32,26.53,1076222
TWLO,20180125,27.05,27.14,26.27,26.52,993400
TWLO,20180124,26.78,27.46,26.30,26.91,1708272
TWLO,20180123,26.29,26.755,26.01,26.63,966779
TWLO,20180122,25.72,26.24,25.59,26.24,847154
TWLO,20180119,25.68,25.90,25.3787,25.71,902097
TWLO,20180118,25.39,25.87,25.21,25.68,800153
TWLO,20180117,25.69,25.69,25.10,25.40,1041495
TWLO,20180116,26.47,26.86,25.16,25.33,1680120
TWLO,20180112,26.07,26.20,25.70,26.16,834600
TWLO,20180111,25.76,26.1778,25.71,26.03,1114566
TWLO,20180110,25.71,25.95,25.52,25.64,658036
TWLO,20180109,26.32,26.83,25.71,25.75,1476117
TWLO,20180108,25.76,26.25,25.58,26.17,1451024
TWLO,20180105,25.82,25.98,25.585,25.76,941750
TWLO,20180104,25.95,26.30,25.55,25.68,1147822
TWLO,20180103,25.18,25.92,25.05,25.69,1494689
TWLO,20180102,24.13,25.26,24.10,25.10,1794782
TWLO,20171229,24.41,24.60,23.60,23.60,2562970
TWLO,20171228,24.61,24.87,24.26,24.38,1423243
TWLO,20171227,24.65,24.86,24.36,24.51,1161151
TWLO,20171226,24.80,25.03,24.56,24.72,943675
TWLO,20171222,24.41,24.98,24.26,24.81,1395159
TWLO,20171221,25.10,25.17,24.25,24.33,1822759
TWLO,20171220,24.96,25.29,24.6601,25.09,811420
TWLO,20171219,25.40,25.54,24.73,25.01,1176719
TWLO,20171218,25.61,25.73,25.32,25.40,1262085
TWLO,20171215,25.27,25.48,25.02,25.38,1251729
TWLO,20171214,25.32,25.55,25.16,25.17,944180
TWLO,20171213,25.26,25.5797,25.14,25.33,918723
TWLO,20171212,24.94,25.43,24.66,25.14,1664451
TWLO,20171211,24.80,25.28,24.80,24.82,1220878
TWLO,20171208,25.12,25.2492,24.59,24.74,1254301
TWLO,20171207,24.07,25.005,24.07,24.80,1987583
TWLO,20171206,25.00,25.1338,23.54,24.07,4387400
TWLO,20171205,25.90,25.9367,24.945,24.99,1479386
TWLO,20171204,26.32,26.7458,25.42,25.71,2702289
TWLO,20171201,26.68,26.98,25.98,26.07,2021908
TWLO,20171130,26.26,27.18,26.15,26.66,1871059
TWLO,20171129,26.45,26.55,25.40,26.23,1756668
TWLO,20171128,25.85,26.445,25.00,26.42,1792018
TWLO,20171127,26.17,26.57,25.80,25.82,1343965
TWLO,20171124,26.26,26.61,26.09,26.29,771900
TWLO,20171122,25.84,26.1999,25.77,26.13,1096564
TWLO,20171121,26.07,26.26,25.75,25.91,1596402
TWLO,20171120,25.68,26.20,25.5319,26.07,1540829
TWLO,20171117,26.09,26.38,25.60,25.68,1571875
TWLO,20171116,25.57,26.20,25.38,26.11,1658115
TWLO,20171115,25.29,25.75,25.23,25.29,1565271
TWLO,20171114,26.18,26.2494,25.36,25.82,2515348
TWLO,20171113,25.30,26.40,25.21,26.40,2413752
TWLO,20171110,25.84,26.25,25.16,25.55,3181159
TWLO,20171109,28.50,28.50,25.52,25.93,7092746
TWLO,20171108,28.38,28.47,27.16,27.83,5258061
TWLO,20171107,29.80,29.8902,28.05,28.38,2534400
TWLO,20171106,30.13,30.42,29.755,29.88,1017495
TWLO,20171103,30.35,30.74,29.63,30.24,1565073
TWLO,20171102,31.51,31.51,29.82,30.34,2008702
TWLO,20171101,32.08,32.199,31.42,31.51,942948
TWLO,20171031,32.00,32.2475,31.79,31.95,888438
TWLO,20171030,31.90,32.48,31.70,31.88,905843
TWLO,20171027,31.76,32.10,31.29,31.99,1117579
TWLO,20171026,31.44,31.77,31.13,31.39,829956
TWLO,20171025,31.75,32.09,31.22,31.27,1392070
TWLO,20171024,32.17,32.20,31.75,31.90,962337
TWLO,20171023,32.62,33.06,31.83,31.85,1207961
TWLO,20171020,31.86,33.069,31.47,32.62,2702783
TWLO,20171019,31.20,31.7974,30.73,31.44,942605
TWLO,20171018,31.90,31.90,31.17,31.61,808532
TWLO,20171017,31.87,32.12,31.63,31.74,494065
TWLO,20171016,32.60,32.78,31.8801,31.94,788183
TWLO,20171013,32.21,32.68,31.85,32.58,762905
TWLO,20171012,32.67,32.87,31.98,32.12,593569
TWLO,20171011,32.13,32.75,31.91,32.67,1011991
TWLO,20171010,32.47,32.88,31.79,32.13,900343
TWLO,20171009,32.35,32.95,32.20,32.23,720769
TWLO,20171006,31.89,32.85,31.731,32.35,1113760
TWLO,20171005,31.67,32.22,31.61,32.16,1238261
TWLO,20171004,31.63,31.97,31.261,31.37,1001042
TWLO,20171003,31.02,31.76,30.87,31.57,1170955
TWLO,20171002,29.87,30.99,29.85,30.87,1359074
TWLO,20170929,29.60,30.00,29.52,29.85,777821
TWLO,20170928,29.03,29.70,28.60,29.68,1021593
TWLO,20170927,30.03,30.38,28.76,29.14,4275814
TWLO,20170926,29.63,29.90,26.86,27.52,3978184
TWLO,20170925,30.89,30.89,29.0601,29.47,1597348
TWLO,20170922,30.25,31.16,30.25,30.83,820658
TWLO,20170921,30.58,30.97,30.0501,30.50,834440
TWLO,20170920,30.97,30.9714,30.315,30.51,832049
TWLO,20170919,31.47,31.5424,30.95,31.04,503570
TWLO,20170918,30.87,31.66,30.85,31.14,1248373
TWLO,20170915,30.94,31.63,30.53,30.88,1776151
TWLO,20170914,30.58,31.28,30.53,31.04,816077
TWLO,20170913,30.29,31.11,30.29,30.62,1075160
TWLO,20170912,30.72,31.04,30.09,30.23,1303050
TWLO,20170911,30.06,30.75,30.027,30.65,1199325
TWLO,20170908,29.64,30.28,29.5228,29.77,882158
TWLO,20170907,29.91,30.28,29.50,29.73,1044065
TWLO,20170906,29.26,30.194,29.17,29.88,1553863
TWLO,20170905,28.78,29.43,28.43,29.35,1317470
TWLO,20170901,29.35,29.695,28.80,28.96,1120841
TWLO,20170831,29.25,29.74,28.95,29.27,1279724
TWLO,20170830,29.10,29.39,28.8515,29.23,764034
TWLO,20170829,28.32,29.27,28.25,28.99,981969
TWLO,20170828,29.05,29.1651,28.44,28.59,752085
TWLO,20170825,29.30,29.45,28.52,28.93,902676
TWLO,20170824,29.33,29.60,28.95,29.32,1304891
TWLO,20170823,28.80,29.20,28.6902,28.98,742789
TWLO,20170822,29.22,29.265,28.21,29.05,1656850
TWLO,20170821,29.83,30.04,28.83,29.21,1130028
TWLO,20170818,30.20,30.50,29.68,29.91,1309491
TWLO,20170817,31.03,31.24,30.25,30.32,1256635
TWLO,20170816,31.06,31.69,31.00,31.06,1057355
TWLO,20170815,31.27,31.49,30.78,31.00,1224139
TWLO,20170814,31.80,32.00,31.06,31.41,1611440
TWLO,20170811,30.20,31.89,29.76,31.38,3192328
TWLO,20170810,32.33,32.40,30.07,30.28,4261530
TWLO,20170809,33.58,33.62,32.93,33.00,1882041
TWLO,20170808,34.19,34.74,32.41,33.58,11708443
TWLO,20170807,29.52,30.67,29.50,30.53,3220153
TWLO,20170804,28.99,29.39,28.73,29.21,1041839
TWLO,20170803,28.40,29.21,28.26,28.85,1603490
TWLO,20170802,29.04,29.04,27.93,28.40,1323917
TWLO,20170801,29.31,29.66,28.70,28.99,1302870
TWLO,20170731,30.00,30.35,28.55,29.17,1466758
TWLO,20170728,29.95,30.48,29.7723,29.91,1174063
TWLO,20170727,31.51,31.63,29.70,30.15,1492753
TWLO,20170726,31.49,31.75,31.28,31.50,734664
TWLO,20170725,31.04,31.9703,31.00,31.40,1098047
TWLO,20170724,31.08,31.2399,30.6778,30.99,1008888
TWLO,20170721,31.14,31.779,30.48,30.93,1518635
TWLO,20170720,31.58,32.23,30.83,31.06,2135393
TWLO,20170719,30.75,31.76,30.5301,31.49,1557284
TWLO,20170718,30.45,31.023,30.02,30.41,1799627
TWLO,20170717,29.18,30.62,29.11,30.45,1484490
TWLO,20170714,29.62,29.68,28.88,29.23,1098122
TWLO,20170713,29.67,30.05,29.17,29.48,1370555
TWLO,20170712,29.68,29.75,29.36,29.46,1036539
TWLO,20170711,29.27,29.63,29.02,29.32,1799895
TWLO,20170710,28.35,29.05,28.29,28.75,689690
TWLO,20170707,28.43,28.82,28.18,28.43,1025929
TWLO,20170706,28.67,28.87,28.09,28.31,1033155
TWLO,20170705,28.95,29.24,28.31,29.05,1237195
