<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UFI,20180423,35.00,35.00,34.51,34.65,46052
UFI,20180420,34.64,35.1201,34.63,34.95,85522
UFI,20180419,34.77,34.90,34.51,34.77,107110
UFI,20180418,35.16,35.26,34.73,34.79,84387
UFI,20180417,34.66,35.1685,34.54,35.11,125724
UFI,20180416,35.74,36.54,34.2725,34.59,301257
UFI,20180413,38.01,38.02,37.28,37.97,39035
UFI,20180412,37.57,38.65,37.32,38.10,31253
UFI,20180411,37.46,37.69,36.97,37.39,31331
UFI,20180410,37.38,37.94,37.29,37.76,25342
UFI,20180409,37.77,37.77,36.90,37.08,42018
UFI,20180406,37.58,38.23,37.04,37.60,29016
UFI,20180405,36.89,37.83,36.84,37.77,28972
UFI,20180404,36.00,36.92,36.00,36.73,50225
UFI,20180403,35.89,36.33,35.76,36.29,50176
UFI,20180402,36.27,36.82,35.21,35.61,36902
UFI,20180329,36.46,36.82,35.92,36.25,54028
UFI,20180328,36.14,36.81,35.955,36.37,29163
UFI,20180327,36.25,36.59,35.91,36.06,36277
UFI,20180326,36.2916,36.61,35.75,36.53,27911
UFI,20180323,36.10,36.34,35.73,36.10,68346
UFI,20180322,35.92,36.47,35.68,36.10,40257
UFI,20180321,36.70,36.84,36.14,36.18,19326
UFI,20180320,36.88,37.07,36.28,36.63,18334
UFI,20180319,37.10,37.23,36.21,36.81,22852
UFI,20180316,36.77,37.49,36.50,37.32,133187
UFI,20180315,36.58,36.72,36.07,36.64,45194
UFI,20180314,36.58,36.735,36.31,36.48,22532
UFI,20180313,36.58,36.93,36.42,36.50,25888
UFI,20180312,36.27,36.62,36.061,36.47,25415
UFI,20180309,35.39,36.22,35.24,36.20,23391
UFI,20180308,35.61,35.61,35.00,35.18,24985
UFI,20180307,35.91,35.97,35.20,35.71,45462
UFI,20180306,35.94,36.17,35.20,36.11,24194
UFI,20180305,35.63,36.39,35.46,35.82,23274
UFI,20180302,35.00,36.02,35.00,35.90,25469
UFI,20180301,34.91,35.55,34.631,35.22,36112
UFI,20180228,35.44,35.809,35.00,35.00,54716
UFI,20180227,35.94,35.94,34.92,35.26,38251
