<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
UIS,20180423,11.15,11.25,10.95,11.00,343970
UIS,20180420,11.35,11.45,11.10,11.15,336487
UIS,20180419,11.40,11.45,11.10,11.35,420233
UIS,20180418,11.10,11.50,11.00,11.40,665796
UIS,20180417,10.85,11.10,10.55,11.05,707167
UIS,20180416,10.75,10.90,10.65,10.85,235650
UIS,20180413,10.85,10.95,10.50,10.70,334996
UIS,20180412,10.75,10.90,10.65,10.85,281408
UIS,20180411,10.60,10.80,10.50,10.65,206558
UIS,20180410,10.55,10.80,10.50,10.65,282490
UIS,20180409,10.50,10.70,10.35,10.40,201065
UIS,20180406,10.50,10.80,10.40,10.40,340073
UIS,20180405,10.70,10.80,10.55,10.60,312578
UIS,20180404,10.25,10.65,10.15,10.60,433499
UIS,20180403,10.15,10.55,10.15,10.40,456387
UIS,20180402,10.70,10.75,9.70,10.20,654374
UIS,20180329,10.55,10.85,10.45,10.75,469015
UIS,20180328,10.45,10.60,10.25,10.50,365292
UIS,20180327,10.90,11.00,10.40,10.45,361526
UIS,20180326,10.55,10.90,10.45,10.85,408020
UIS,20180323,10.90,11.05,10.40,10.40,780156
UIS,20180322,11.30,11.40,10.85,10.90,459300
UIS,20180321,11.40,11.70,11.35,11.45,343931
UIS,20180320,11.20,11.60,11.15,11.35,450866
UIS,20180319,11.25,11.45,11.075,11.15,358076
UIS,20180316,11.25,11.525,11.20,11.35,681402
UIS,20180315,11.45,11.50,11.10,11.20,340385
UIS,20180314,11.35,11.55,11.25,11.35,392005
UIS,20180313,11.40,11.55,11.325,11.35,453260
UIS,20180312,11.40,11.525,11.275,11.40,362676
UIS,20180309,11.40,11.50,11.20,11.30,510336
UIS,20180308,11.50,11.55,11.25,11.35,301761
UIS,20180307,11.20,11.55,11.101,11.40,386197
UIS,20180306,11.80,11.82,11.075,11.30,658456
UIS,20180305,11.30,11.90,11.30,11.80,876430
UIS,20180302,11.10,11.475,11.05,11.25,484290
UIS,20180301,11.15,11.55,11.05,11.20,527960
UIS,20180228,11.40,11.65,11.15,11.20,487513
UIS,20180227,11.10,11.55,11.10,11.30,624079
UIS,20180226,11.45,11.60,11.10,11.15,830465
UIS,20180223,11.50,11.55,11.2501,11.45,626730
UIS,20180222,11.55,11.80,11.50,11.50,554380
UIS,20180221,11.75,12.20,11.45,11.55,1093592
UIS,20180220,11.15,11.85,11.00,11.70,1267349
UIS,20180216,11.15,11.40,10.90,11.15,719193
UIS,20180215,11.20,11.30,11.00,11.10,791345
UIS,20180214,10.80,11.20,10.5501,11.10,967429
UIS,20180213,10.30,10.85,10.30,10.80,1291646
UIS,20180212,9.55,10.50,9.40,10.25,1392383
UIS,20180209,10.10,10.175,9.55,9.90,2205786
UIS,20180208,8.30,8.45,8.20,8.35,542600
UIS,20180207,8.35,8.50,8.25,8.35,402715
UIS,20180206,8.15,8.40,8.00,8.35,524773
UIS,20180205,8.30,8.40,8.05,8.25,361651
UIS,20180202,8.75,8.80,8.25,8.35,318023
UIS,20180201,8.85,8.90,8.70,8.75,195541
UIS,20180131,8.95,8.95,8.75,8.90,268032
UIS,20180130,8.95,9.00,8.65,8.90,341836
UIS,20180129,8.90,9.05,8.875,9.05,325359
UIS,20180126,8.95,9.10,8.875,9.05,128948
UIS,20180125,8.85,9.00,8.825,8.90,184208
UIS,20180124,8.95,9.00,8.775,8.80,136943
UIS,20180123,8.90,9.00,8.80,8.90,108185
UIS,20180122,8.90,9.00,8.75,8.95,161214
UIS,20180119,8.90,9.05,8.75,9.00,264083
UIS,20180118,8.95,9.05,8.85,8.95,165713
UIS,20180117,8.90,9.05,8.75,9.00,172679
UIS,20180116,9.00,9.15,8.75,8.90,252786
UIS,20180112,9.00,9.05,8.85,8.90,315469
UIS,20180111,8.75,9.00,8.55,9.00,330562
UIS,20180110,8.45,8.70,8.45,8.65,147846
UIS,20180109,8.65,8.70,8.40,8.50,284171
UIS,20180108,8.50,8.70,8.35,8.625,210551
UIS,20180105,8.65,8.75,8.50,8.525,177664
UIS,20180104,8.40,8.65,8.30,8.60,249662
UIS,20180103,8.35,8.40,8.15,8.35,413586
UIS,20180102,8.20,8.40,8.10,8.40,221404
UIS,20171229,8.15,8.30,8.10,8.15,334969
UIS,20171228,8.15,8.25,8.109,8.20,224823
UIS,20171227,8.20,8.30,8.15,8.20,121720
UIS,20171226,8.30,8.30,8.15,8.15,130751
UIS,20171222,8.20,8.40,8.125,8.35,206897
UIS,20171221,8.10,8.35,8.10,8.20,157289
UIS,20171220,8.10,8.35,8.075,8.10,174592
UIS,20171219,8.35,8.35,8.05,8.10,139745
UIS,20171218,8.45,8.45,8.15,8.30,262273
