<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VLT,20180423,13.78,13.80,13.76,13.80,41147
VLT,20180420,13.89,13.89,13.75,13.75,15056
VLT,20180419,13.94,13.94,13.84,13.87,35701
VLT,20180418,13.96,13.96,13.92,13.94,16351
VLT,20180417,13.97,13.98,13.94,13.95,13165
VLT,20180416,13.92,13.92,13.889,13.92,9930
VLT,20180413,13.89,13.97,13.83,13.93,23530
VLT,20180412,13.87,13.93,13.87,13.90,10200
VLT,20180411,13.80,13.87,13.80,13.87,28376
VLT,20180410,13.85,13.86,13.83,13.86,20835
VLT,20180409,13.79,13.89,13.76,13.81,33815
VLT,20180406,13.80,13.80,13.76,13.78,29110
VLT,20180405,13.81,13.82,13.80,13.80,7878
VLT,20180404,13.75,13.83,13.75,13.82,12528
VLT,20180403,13.79,13.83,13.79,13.80,12938
VLT,20180402,13.85,14.00,13.79,13.8085,19816
VLT,20180329,13.75,13.87,13.75,13.87,16542
VLT,20180328,13.82,13.82,13.77,13.7867,4600
VLT,20180327,13.74,13.82,13.73,13.79,8318
VLT,20180326,13.77,13.96,13.72,13.792,13233
VLT,20180323,13.79,13.79,13.72,13.72,5713
VLT,20180322,13.73,13.78,13.73,13.73,6272
VLT,20180321,13.83,13.84,13.75,13.77,15073
VLT,20180320,13.83,13.858,13.8299,13.8399,11723
VLT,20180319,13.88,13.9014,13.83,13.84,5645
VLT,20180316,13.91,13.9372,13.9001,13.935,4817
VLT,20180315,13.91,13.99,13.91,13.92,8735
VLT,20180314,13.94,13.9796,13.93,13.93,2462
VLT,20180313,14.06,14.08,14.0101,14.0101,8896
VLT,20180312,14.14,14.14,14.03,14.04,10418
VLT,20180309,14.06,14.15,14.06,14.10,10224
VLT,20180308,14.02,14.06,14.02,14.06,7860
VLT,20180307,14.00,14.03,14.00,14.0213,3980
VLT,20180306,14.00,14.05,13.9701,14.03,11599
VLT,20180305,13.96,13.99,13.93,13.93,14348
VLT,20180302,13.96,14.05,13.95,14.04,11415
VLT,20180301,14.03,14.04,14.02,14.04,5426
VLT,20180228,14.06,14.09,14.032,14.06,5993
