<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VMO,20180423,11.63,11.65,11.61,11.64,133603
VMO,20180420,11.64,11.67,11.635,11.66,284945
VMO,20180419,11.64,11.68,11.61,11.64,138139
VMO,20180418,11.68,11.69,11.64,11.69,177171
VMO,20180417,11.68,11.69,11.67,11.68,145749
VMO,20180416,11.68,11.71,11.67,11.68,102034
VMO,20180413,11.75,11.7733,11.72,11.765,117115
VMO,20180412,11.75,11.77,11.74,11.74,74369
VMO,20180411,11.76,11.79,11.73,11.75,118053
VMO,20180410,11.77,11.80,11.76,11.76,76057
VMO,20180409,11.79,11.81,11.7301,11.78,110347
VMO,20180406,11.81,11.84,11.77,11.79,111995
VMO,20180405,11.73,11.81,11.73,11.81,258300
VMO,20180404,11.68,11.78,11.68,11.78,144773
VMO,20180403,11.71,11.75,11.68,11.68,104005
VMO,20180402,11.75,11.76,11.7101,11.74,111694
VMO,20180329,11.73,11.74,11.69,11.72,124402
VMO,20180328,11.68,11.72,11.66,11.71,189041
VMO,20180327,11.67,11.70,11.62,11.68,167794
VMO,20180326,11.58,11.67,11.5566,11.67,169349
VMO,20180323,11.65,11.65,11.57,11.61,122750
VMO,20180322,11.64,11.67,11.61,11.64,87751
VMO,20180321,11.61,11.66,11.59,11.65,118402
VMO,20180320,11.65,11.66,11.605,11.64,104129
VMO,20180319,11.67,11.675,11.64,11.64,64143
VMO,20180316,11.67,11.71,11.67,11.70,104206
VMO,20180315,11.72,11.733,11.68,11.70,106689
VMO,20180314,11.74,11.7599,11.7011,11.75,57082
VMO,20180313,11.79,11.8091,11.75,11.80,101129
VMO,20180312,11.82,11.8237,11.76,11.78,98873
VMO,20180309,11.75,11.83,11.75,11.805,88638
VMO,20180308,11.81,11.82,11.77,11.77,106572
VMO,20180307,11.79,11.81,11.79,11.81,64799
VMO,20180306,11.78,11.80,11.76,11.80,48498
VMO,20180305,11.80,11.83,11.76,11.77,116578
VMO,20180302,11.78,11.82,11.75,11.81,120186
VMO,20180301,11.82,11.829,11.7676,11.82,90558
VMO,20180228,11.80,11.82,11.7702,11.81,87096
VMO,20180227,11.84,11.84,11.76,11.80,101340
VMO,20180226,11.81,11.8472,11.81,11.84,119773
VMO,20180223,11.74,11.80,11.74,11.80,116891
VMO,20180222,11.82,11.8499,11.73,11.73,207328
VMO,20180221,11.83,11.85,11.83,11.84,193716
VMO,20180220,11.85,11.85,11.82,11.85,139473
VMO,20180216,11.84,11.88,11.83,11.85,153894
VMO,20180215,11.84,11.86,11.80,11.85,112862
VMO,20180214,11.88,11.88,11.82,11.85,131588
VMO,20180213,11.84,11.95,11.82,11.95,172506
VMO,20180212,11.84,11.86,11.8084,11.86,152223
VMO,20180209,11.84,11.84,11.79,11.82,102462
VMO,20180208,11.83,11.86,11.77,11.84,320157
VMO,20180207,11.77,11.89,11.77,11.83,274120
VMO,20180206,11.68,11.775,11.66,11.77,405165
VMO,20180205,11.77,11.77,11.66,11.72,584314
VMO,20180202,11.77,11.81,11.74,11.77,322965
VMO,20180201,11.90,11.94,11.8261,11.84,267236
VMO,20180131,11.85,11.9007,11.83,11.87,279460
VMO,20180130,11.84,11.8999,11.77,11.84,260158
VMO,20180129,12.02,12.03,11.90,11.92,370056
VMO,20180126,12.09,12.10,12.06,12.07,238092
VMO,20180125,12.10,12.15,12.09,12.10,445726
VMO,20180124,12.22,12.23,12.13,12.13,220601
VMO,20180123,12.23,12.25,12.205,12.215,167254
VMO,20180122,12.30,12.3125,12.24,12.27,170802
VMO,20180119,12.30,12.30,12.25,12.27,181353
VMO,20180118,12.27,12.31,12.25,12.28,173525
VMO,20180117,12.31,12.3105,12.28,12.28,109077
VMO,20180116,12.36,12.36,12.31,12.31,176603
VMO,20180112,12.38,12.40,12.29,12.34,211466
VMO,20180111,12.38,12.42,12.37,12.38,139287
VMO,20180110,12.38,12.40,12.34,12.35,196630
VMO,20180109,12.44,12.48,12.395,12.41,264323
VMO,20180108,12.47,12.49,12.44,12.48,158260
VMO,20180105,12.44,12.49,12.43,12.46,155310
VMO,20180104,12.50,12.50,12.44,12.45,192770
VMO,20180103,12.44,12.51,12.41,12.51,208231
VMO,20180102,12.40,12.41,12.35,12.38,186013
VMO,20171229,12.36,12.41,12.35,12.40,458905
VMO,20171228,12.38,12.42,12.37,12.37,301737
VMO,20171227,12.35,12.43,12.35,12.40,348526
VMO,20171226,12.31,12.38,12.27,12.36,657264
VMO,20171222,12.36,12.36,12.28,12.34,315624
VMO,20171221,12.24,12.36,12.23,12.34,346569
VMO,20171220,12.25,12.27,12.23,12.24,334199
VMO,20171219,12.29,12.32,12.27,12.30,298255
VMO,20171218,12.33,12.40,12.33,12.33,223917
VMO,20171215,12.42,12.43,12.33,12.36,355324
VMO,20171214,12.42,12.42,12.36,12.42,294274
VMO,20171213,12.35,12.44,12.30,12.42,422995
VMO,20171212,12.32,12.37,12.3116,12.35,271416
VMO,20171211,12.38,12.44,12.38,12.43,186462
VMO,20171208,12.51,12.51,12.37,12.40,313598
VMO,20171207,12.50,12.53,12.46,12.52,201651
VMO,20171206,12.41,12.53,12.405,12.53,262010
VMO,20171205,12.26,12.43,12.26,12.42,479974
VMO,20171204,12.25,12.28,12.22,12.27,458174
VMO,20171201,12.31,12.32,12.25,12.27,416869
VMO,20171130,12.24,12.265,12.20,12.26,353196
VMO,20171129,12.21,12.25,12.18,12.23,223403
VMO,20171128,12.29,12.31,12.24,12.28,223698
VMO,20171127,12.43,12.43,12.29,12.30,182748
VMO,20171124,12.40,12.42,12.39,12.42,41810
VMO,20171122,12.43,12.43,12.36,12.40,109124
VMO,20171121,12.42,12.45,12.41,12.44,170861
VMO,20171120,12.47,12.47,12.40,12.41,476485
VMO,20171117,12.47,12.4893,12.40,12.485,180168
VMO,20171116,12.40,12.48,12.40,12.46,160711
VMO,20171115,12.36,12.42,12.34,12.42,216014
VMO,20171114,12.39,12.42,12.33,12.34,224557
VMO,20171113,12.41,12.45,12.41,12.42,85962
VMO,20171110,12.40,12.43,12.3793,12.41,162143
VMO,20171109,12.52,12.54,12.46,12.46,270145
VMO,20171108,12.57,12.61,12.52,12.53,203154
VMO,20171107,12.54,12.59,12.52,12.56,212642
VMO,20171106,12.52,12.54,12.47,12.54,190483
VMO,20171103,12.53,12.55,12.48,12.50,106594
VMO,20171102,12.53,12.56,12.51,12.56,139353
VMO,20171101,12.55,12.55,12.50,12.54,112801
VMO,20171031,12.55,12.5704,12.52,12.54,99034
VMO,20171030,12.52,12.55,12.5065,12.52,85110
VMO,20171027,12.51,12.59,12.46,12.49,222225
VMO,20171026,12.62,12.66,12.51,12.52,185432
VMO,20171025,12.72,12.72,12.63,12.64,132857
VMO,20171024,12.75,12.77,12.74,12.75,61234
VMO,20171023,12.72,12.77,12.72,12.77,123417
VMO,20171020,12.78,12.78,12.69,12.75,150026
VMO,20171019,12.91,12.92,12.81,12.84,139231
VMO,20171018,12.89,12.90,12.835,12.89,106647
VMO,20171017,12.90,12.92,12.88,12.91,112595
VMO,20171016,12.97,12.99,12.91,12.92,143362
VMO,20171013,12.95,13.03,12.94,12.97,77247
VMO,20171012,12.95,12.96,12.92,12.945,52251
VMO,20171011,13.00,13.0101,12.97,12.98,91989
VMO,20171010,13.01,13.01,12.97,13.01,87581
VMO,20171009,13.00,13.03,12.98,13.01,79772
VMO,20171006,12.94,13.00,12.92,13.00,143405
VMO,20171005,12.96,12.96,12.92,12.96,74398
VMO,20171004,12.93,12.97,12.89,12.96,123638
VMO,20171003,12.97,12.988,12.92,12.96,275762
VMO,20171002,13.04,13.07,12.96,13.00,138763
VMO,20170929,13.13,13.13,13.01,13.01,76678
VMO,20170928,13.01,13.08,13.01,13.08,78346
VMO,20170927,13.08,13.1126,13.02,13.04,110927
VMO,20170926,13.21,13.21,13.11,13.11,57731
VMO,20170925,13.14,13.19,13.14,13.19,56686
VMO,20170922,13.11,13.15,13.11,13.11,79015
VMO,20170921,13.17,13.17,13.09,13.10,101506
VMO,20170920,13.19,13.24,13.15,13.16,52938
VMO,20170919,13.22,13.239,13.19,13.19,68214
VMO,20170918,13.24,13.27,13.20,13.25,81151
VMO,20170915,13.29,13.30,13.23,13.24,78352
VMO,20170914,13.28,13.29,13.24,13.26,97991
VMO,20170913,13.24,13.31,13.22,13.25,87196
VMO,20170912,13.18,13.27,13.18,13.23,49688
VMO,20170911,13.28,13.3162,13.24,13.24,128826
VMO,20170908,13.31,13.336,13.27,13.27,71440
VMO,20170907,13.30,13.36,13.28,13.32,80017
VMO,20170906,13.27,13.33,13.27,13.29,93588
VMO,20170905,13.30,13.3231,13.24,13.27,121076
VMO,20170901,13.29,13.31,13.27,13.30,54570
VMO,20170831,13.34,13.36,13.24,13.26,131798
VMO,20170830,13.32,13.34,13.27,13.31,145206
VMO,20170829,13.29,13.37,13.29,13.37,68848
VMO,20170828,13.25,13.29,13.23,13.29,46050
VMO,20170825,13.29,13.3001,13.2293,13.25,60243
VMO,20170824,13.32,13.33,13.2601,13.29,46162
VMO,20170823,13.36,13.365,13.30,13.30,53710
VMO,20170822,13.31,13.36,13.29,13.32,107369
VMO,20170821,13.23,13.31,13.211,13.31,110589
VMO,20170818,13.22,13.24,13.17,13.22,106884
VMO,20170817,13.22,13.24,13.20,13.24,136861
VMO,20170816,13.17,13.24,13.15,13.24,104655
VMO,20170815,13.19,13.23,13.14,13.19,173406
VMO,20170814,13.22,13.24,13.131,13.24,84101
VMO,20170811,13.09,13.24,13.02,13.20,300936
VMO,20170810,13.20,13.20,13.08,13.10,182576
VMO,20170809,13.33,13.33,13.14,13.18,126696
VMO,20170808,13.30,13.33,13.27,13.33,161994
