<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VNO,20180423,65.57,65.775,65.00,65.30,676439
VNO,20180420,66.31,66.51,65.38,65.42,875451
VNO,20180419,66.64,66.79,65.40,66.20,670426
VNO,20180418,67.31,67.69,66.76,66.90,538333
VNO,20180417,67.24,67.76,66.84,67.21,658367
VNO,20180416,66.65,67.47,66.34,67.25,546876
VNO,20180413,66.19,66.54,65.695,66.50,433725
VNO,20180412,66.88,66.91,65.69,66.00,730438
VNO,20180411,66.96,67.62,66.66,66.75,527662
VNO,20180410,66.99,67.67,66.52,67.29,467869
VNO,20180409,66.83,67.24,66.355,66.61,502100
VNO,20180406,67.47,68.09,66.48,66.74,487868
VNO,20180405,67.46,67.85,67.04,67.77,839951
VNO,20180404,66.72,67.70,66.52,67.43,1281951
VNO,20180403,66.74,67.52,66.21,67.15,940118
VNO,20180402,67.41,67.71,66.35,66.80,1051589
VNO,20180329,67.60,67.97,67.03,67.32,519989
VNO,20180328,66.30,67.69,66.30,67.52,1040807
VNO,20180327,65.11,67.08,64.1345,65.96,943893
VNO,20180326,65.70,66.01,64.47,65.16,843175
VNO,20180323,67.27,67.39,64.80,65.15,1351594
VNO,20180322,67.41,68.43,67.10,67.16,1559857
VNO,20180321,68.09,68.36,67.33,67.64,615971
VNO,20180320,68.61,68.92,67.45,68.08,1382497
VNO,20180319,69.24,69.24,68.02,68.43,675180
VNO,20180316,68.69,69.66,68.45,69.51,1133133
VNO,20180315,68.42,68.76,67.995,68.62,571667
VNO,20180314,68.43,68.50,67.69,68.22,582314
VNO,20180313,68.44,68.765,67.85,68.22,648498
VNO,20180312,68.09,68.89,67.92,68.36,1948083
VNO,20180309,67.84,68.25,66.61,68.21,739560
VNO,20180308,67.98,67.98,67.28,67.62,652690
VNO,20180307,67.14,67.79,66.90,67.64,549343
VNO,20180306,67.34,67.69,66.68,67.60,783294
VNO,20180305,66.00,67.69,65.97,67.22,1180468
VNO,20180302,66.00,66.46,65.41,66.39,833005
VNO,20180301,66.17,67.30,65.90,66.30,831081
VNO,20180228,66.88,67.45,66.42,66.46,799715
VNO,20180227,68.14,68.48,66.21,66.40,997538
VNO,20180226,67.68,68.18,67.27,68.10,569834
VNO,20180223,66.91,67.69,66.17,67.67,474559
VNO,20180222,65.52,67.07,65.52,66.53,1018226
VNO,20180221,67.03,67.41,65.16,65.19,1279662
VNO,20180220,67.36,68.44,67.15,67.29,1219625
VNO,20180216,67.03,68.03,66.80,67.67,701534
VNO,20180215,66.34,67.26,66.23,67.15,997929
VNO,20180214,66.80,66.88,65.29,66.05,1759544
VNO,20180213,67.54,67.975,66.15,67.46,1890192
VNO,20180212,67.79,68.01,65.49,67.60,1367686
VNO,20180209,66.49,68.26,65.64,67.69,1395822
