<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
VZ,20180423,48.20,48.72,47.97,48.66,12361194
VZ,20180420,48.31,48.62,47.21,47.90,16812388
VZ,20180419,48.60,48.96,48.38,48.43,10237915
VZ,20180418,49.00,49.06,48.57,48.62,7267366
VZ,20180417,48.59,49.035,48.31,48.85,10424368
VZ,20180416,47.95,48.46,47.86,48.39,7905107
VZ,20180413,47.91,47.98,47.51,47.66,6487561
VZ,20180412,47.87,48.14,47.44,47.73,7562592
VZ,20180411,47.93,47.99,47.48,47.58,8894647
VZ,20180410,47.20,48.97,46.985,48.27,20985233
VZ,20180409,47.03,47.50,46.8032,46.93,8186392
VZ,20180406,48.10,48.28,47.27,47.48,12939285
VZ,20180405,47.98,48.345,47.6762,48.24,9202072
VZ,20180404,47.16,47.99,46.90,47.92,9062887
VZ,20180403,47.22,47.53,46.71,47.50,9662569
VZ,20180402,47.62,47.9399,46.72,47.16,15151445
VZ,20180329,48.20,48.73,47.57,47.83,13507852
VZ,20180328,47.89,48.56,47.83,48.00,15064612
VZ,20180327,47.10,47.9024,46.84,47.31,12843065
VZ,20180326,46.78,47.17,46.585,47.07,14116110
VZ,20180323,47.06,47.455,46.20,46.29,14347490
VZ,20180322,47.10,47.5199,46.77,46.88,12764852
VZ,20180321,47.69,47.96,47.27,47.28,10086120
VZ,20180320,48.40,48.59,47.58,47.69,9713896
VZ,20180319,48.53,48.61,48.12,48.31,10315466
VZ,20180316,48.41,48.775,48.215,48.56,20651737
VZ,20180315,48.53,48.765,48.14,48.29,8826388
VZ,20180314,48.93,49.10,48.355,48.45,10871318
VZ,20180313,49.00,49.26,48.50,48.65,11799813
VZ,20180312,49.03,49.26,48.67,48.80,11127221
VZ,20180309,49.20,49.23,48.35,49.01,12883621
VZ,20180308,48.89,49.03,48.32,49.01,13625231
VZ,20180307,48.54,49.21,48.46,48.84,11784264
VZ,20180306,48.75,48.88,48.30,48.87,9330889
VZ,20180305,48.15,48.94,48.02,48.71,11062730
VZ,20180302,47.83,48.325,47.76,48.26,15787847
VZ,20180301,47.69,48.60,47.51,47.96,24954416
VZ,20180228,48.76,48.96,47.72,47.74,17070598
VZ,20180227,49.02,49.17,48.04,48.04,20869554
VZ,20180226,48.72,49.15,48.45,49.09,18444107
VZ,20180223,48.09,48.30,47.535,48.29,23447145
VZ,20180222,48.25,48.70,47.78,47.87,16526967
VZ,20180221,48.80,48.86,47.94,47.96,19548935
VZ,20180220,49.84,49.89,48.76,48.92,18955606
VZ,20180216,49.69,50.455,49.69,50.15,11098147
VZ,20180215,49.51,49.78,48.95,49.74,17157531
VZ,20180214,49.76,50.10,49.32,49.51,15660220
VZ,20180213,49.91,50.26,49.17,50.08,11018921
VZ,20180212,50.22,50.66,49.58,50.11,14925421
VZ,20180209,49.60,50.30,48.37,49.88,25956686
VZ,20180208,50.89,51.08,49.00,49.04,19963888
VZ,20180207,50.63,51.93,50.50,51.01,14524486
VZ,20180206,49.44,51.00,49.07,50.83,31547987
VZ,20180205,52.52,53.19,50.50,50.515,18069152
VZ,20180202,54.27,54.27,52.90,52.98,12684259
VZ,20180201,54.49,54.75,54.01,54.30,14469923
VZ,20180131,53.99,54.4199,53.53,54.07,15257097
VZ,20180130,54.30,54.50,53.79,53.90,13202198
VZ,20180129,53.58,54.58,53.40,54.11,13603042
VZ,20180126,54.49,54.75,54.34,54.71,9485020
VZ,20180125,54.28,54.77,54.01,54.29,16862859
VZ,20180124,53.82,54.44,53.50,54.22,16065551
VZ,20180123,54.60,54.60,52.81,53.23,27410519
VZ,20180122,52.05,53.49,52.01,53.46,24525218
VZ,20180119,51.74,51.92,51.155,51.91,19639487
VZ,20180118,51.90,53.30,51.385,51.55,26057821
VZ,20180117,51.81,51.90,51.21,51.72,10396215
VZ,20180116,51.68,52.02,51.42,51.66,10951827
VZ,20180112,51.94,52.24,51.7801,51.86,14889570
VZ,20180111,51.89,52.175,51.64,52.11,13839199
VZ,20180110,51.39,51.73,51.15,51.70,10123977
VZ,20180109,52.12,52.435,51.55,51.61,12548894
VZ,20180108,52.56,52.75,52.04,52.39,13123605
VZ,20180105,52.80,52.88,52.35,52.48,11837725
VZ,20180104,52.37,52.89,51.83,52.60,11132403
VZ,20180103,53.30,53.34,52.18,52.43,14898185
VZ,20180102,53.16,53.57,52.80,53.52,11060353
VZ,20171229,53.37,53.46,52.962,53.05,6684371
VZ,20171228,53.41,53.55,53.16,53.43,5350730
VZ,20171227,53.41,53.50,53.09,53.27,5105352
VZ,20171226,53.13,53.69,53.13,53.22,5573919
VZ,20171222,53.11,53.63,53.06,53.19,9677964
VZ,20171221,52.81,53.60,52.605,53.01,11530059
VZ,20171220,53.11,53.35,52.68,52.76,8929282
VZ,20171219,53.27,53.59,52.695,52.83,11490805
VZ,20171218,52.94,53.39,52.66,53.25,14543113
VZ,20171215,52.57,52.89,52.39,52.63,13396887
VZ,20171214,52.60,52.74,52.085,52.34,15846835
VZ,20171213,52.99,53.19,52.28,52.89,14969237
VZ,20171212,52.35,53.34,52.33,53.19,19184927
VZ,20171211,51.22,51.93,50.97,51.84,11400232
VZ,20171208,50.50,51.175,50.36,51.09,11933503
VZ,20171207,50.59,50.74,50.20,50.42,10324210
VZ,20171206,50.65,50.8399,50.24,50.69,14590799
VZ,20171205,51.75,51.89,50.78,50.92,16000395
