<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
WDR,20180423,20.27,20.52,20.25,20.35,358480
WDR,20180420,20.63,20.65,20.14,20.30,671645
WDR,20180419,20.62,20.85,20.47,20.58,576795
WDR,20180418,20.74,20.98,20.60,20.72,788768
WDR,20180417,20.42,20.83,20.33,20.73,749859
WDR,20180416,20.14,20.32,19.87,20.10,502069
WDR,20180413,20.80,20.81,19.88,19.94,1172129
WDR,20180412,19.51,20.73,19.44,20.63,1317318
WDR,20180411,19.25,19.55,19.25,19.30,772036
WDR,20180410,19.20,19.62,19.19,19.46,1177339
WDR,20180409,19.20,19.26,18.75,18.98,1454605
WDR,20180406,19.51,19.69,19.1052,19.30,1167356
WDR,20180405,20.13,20.28,19.61,19.82,1949864
WDR,20180404,19.48,20.36,19.4667,20.34,825329
WDR,20180403,19.50,19.87,19.40,19.86,1027544
WDR,20180402,20.14,20.21,19.185,19.46,1642122
WDR,20180329,19.93,20.33,19.93,20.21,965498
WDR,20180328,19.75,19.82,19.44,19.74,1216772
WDR,20180327,20.09,20.13,19.68,19.75,1239245
WDR,20180326,19.69,19.99,19.45,19.94,972098
WDR,20180323,19.84,19.95,19.33,19.33,1177978
WDR,20180322,20.13,20.27,19.72,19.75,1351341
WDR,20180321,19.80,20.66,19.7765,20.40,1047296
WDR,20180320,19.92,20.10,19.76,19.81,1437074
WDR,20180319,20.02,20.06,19.43,19.87,1866637
WDR,20180316,19.64,20.11,19.54,20.07,12176803
WDR,20180315,19.01,19.64,18.96,19.56,2200028
WDR,20180314,19.85,19.93,18.81,18.87,3512436
WDR,20180313,20.13,20.2049,19.70,19.82,1832444
WDR,20180312,20.59,20.77,19.83,20.07,2147340
WDR,20180309,20.21,20.67,20.12,20.60,962396
WDR,20180308,20.16,20.16,19.68,20.08,1223725
WDR,20180307,19.93,20.19,19.76,20.05,903214
WDR,20180306,20.16,20.36,19.68,20.17,682708
WDR,20180305,19.83,20.14,19.58,20.06,844921
WDR,20180302,19.57,20.14,19.42,20.05,771909
WDR,20180301,19.97,20.25,19.56,19.85,830126
WDR,20180228,20.38,20.61,19.98,20.00,983153
WDR,20180227,20.97,21.36,20.30,20.32,703031
WDR,20180226,20.82,21.06,20.67,21.04,432777
WDR,20180223,20.73,20.765,20.465,20.66,514073
WDR,20180222,20.86,21.00,20.58,20.59,707190
WDR,20180221,20.91,21.47,20.76,20.78,740098
WDR,20180220,21.01,21.125,20.74,20.87,1267227
WDR,20180216,20.70,21.34,20.70,21.20,593037
WDR,20180215,21.005,21.13,20.45,20.84,810645
WDR,20180214,20.22,20.865,19.87,20.82,1693242
WDR,20180213,20.49,20.83,20.27,20.40,898814
WDR,20180212,20.46,20.85,20.376,20.51,1168558
WDR,20180209,20.67,20.81,19.85,20.28,1511057
WDR,20180208,21.48,21.50,20.39,20.40,1200817
WDR,20180207,21.23,21.95,21.13,21.44,1263300
WDR,20180206,20.46,21.58,20.23,21.41,1809786
WDR,20180205,21.49,22.32,20.82,20.97,1806729
WDR,20180202,23.09,23.19,21.55,21.77,1671091
WDR,20180201,23.03,23.40,22.90,23.39,712066
WDR,20180131,23.34,23.66,22.93,23.00,1753987
WDR,20180130,22.79,23.82,22.33,22.60,2017053
WDR,20180129,22.87,23.30,22.77,23.18,1902789
WDR,20180126,22.32,23.00,22.19,22.98,963552
WDR,20180125,22.56,22.68,22.06,22.27,730917
WDR,20180124,22.94,22.97,22.25,22.53,561397
WDR,20180123,22.93,22.995,22.73,22.75,522916
WDR,20180122,23.04,23.08,22.6638,22.92,508882
WDR,20180119,22.70,23.09,22.68,22.98,702798
WDR,20180118,23.32,23.48,22.64,22.73,853857
WDR,20180117,23.02,23.47,22.89,23.41,728535
WDR,20180116,23.28,23.45,22.82,22.85,1088686
WDR,20180112,22.83,23.13,22.61,23.08,1043986
WDR,20180111,22.29,22.73,22.18,22.65,805515
WDR,20180110,21.70,22.30,21.66,22.17,1074300
WDR,20180109,22.13,22.31,21.97,21.97,713329
WDR,20180108,21.91,22.21,21.80,21.99,706306
WDR,20180105,21.92,21.92,21.35,21.86,808558
WDR,20180104,21.91,22.23,21.80,21.82,504080
WDR,20180103,21.90,21.97,21.66,21.74,702745
WDR,20180102,22.46,22.46,21.67,21.80,737564
WDR,20171229,22.55,22.61,22.31,22.34,523006
WDR,20171228,22.51,22.56,22.32,22.49,365279
WDR,20171227,22.72,22.72,22.38,22.43,388970
WDR,20171226,22.47,22.76,22.47,22.70,379490
WDR,20171222,22.48,22.54,22.21,22.49,569666
WDR,20171221,22.64,22.71,22.30,22.35,533476
WDR,20171220,22.73,22.79,22.37,22.56,598240
WDR,20171219,22.55,22.88,22.52,22.64,1399478
WDR,20171218,21.96,22.44,21.8425,22.44,949663
WDR,20171215,21.33,21.94,21.27,21.74,1641724
WDR,20171214,21.25,21.38,21.11,21.25,882691
WDR,20171213,21.12,21.43,20.96,21.16,885390
WDR,20171212,21.06,21.16,20.91,21.06,556656
WDR,20171211,21.65,21.67,20.925,20.97,1018238
WDR,20171208,21.62,21.85,21.17,21.62,918957
WDR,20171207,21.17,21.785,20.97,21.46,1099741
