<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
WELL,20180423,51.11,51.24,50.37,50.68,1828150
WELL,20180420,52.09,52.27,51.09,51.18,1930841
WELL,20180419,52.71,53.00,51.27,51.92,1759729
WELL,20180418,53.40,53.58,52.70,52.84,1290612
WELL,20180417,52.75,53.66,52.57,53.38,2059603
WELL,20180416,52.66,52.77,51.93,52.53,2060271
WELL,20180413,52.35,52.63,51.815,52.63,1722075
WELL,20180412,53.95,53.95,52.27,52.54,2273073
WELL,20180411,53.71,54.86,53.71,53.99,1426935
WELL,20180410,54.62,54.71,53.88,54.00,1817042
WELL,20180409,55.01,55.01,53.9601,54.49,1821294
WELL,20180406,54.97,55.87,54.72,55.01,2495413
WELL,20180405,55.01,55.01,53.91,54.73,2237930
WELL,20180404,53.57,55.5135,53.39,55.16,2217067
WELL,20180403,54.16,54.16,52.80,53.75,2471764
WELL,20180402,54.37,54.54,53.645,53.97,1961155
WELL,20180329,54.85,54.86,54.03,54.43,2433194
WELL,20180328,53.46,55.42,53.41,54.86,3279133
WELL,20180327,52.14,53.95,51.72,53.28,1736750
WELL,20180326,52.38,52.50,51.90,52.14,1384953
WELL,20180323,52.85,53.06,51.87,52.03,2061392
WELL,20180322,52.42,54.1499,52.33,52.75,2280324
WELL,20180321,52.94,53.20,51.87,52.45,2658429
WELL,20180320,53.29,53.84,52.99,53.15,1907357
WELL,20180319,53.88,54.09,52.835,53.25,1504449
WELL,20180316,53.62,54.18,53.39,54.00,3109362
WELL,20180315,53.64,53.95,53.50,53.75,1713212
WELL,20180314,53.79,54.11,53.1186,53.53,1550134
WELL,20180313,55.13,55.24,53.65,53.76,2109880
WELL,20180312,53.51,54.82,53.30,54.73,2397145
WELL,20180309,53.71,53.71,53.06,53.56,1743718
WELL,20180308,53.93,54.09,53.34,53.57,1819262
WELL,20180307,52.78,54.07,52.65,53.97,2070571
WELL,20180306,53.63,53.92,52.28,52.86,2681834
WELL,20180305,52.65,54.21,52.65,54.07,2718701
WELL,20180302,52.48,53.01,52.10,52.93,2121906
WELL,20180301,52.05,53.4382,51.63,52.65,2386699
