<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
WGL,20180423,85.48,85.63,85.29,85.40,153053
WGL,20180420,85.50,85.62,85.11,85.33,221621
WGL,20180419,84.98,85.54,84.86,85.45,172727
WGL,20180418,85.13,85.55,84.86,84.98,177219
WGL,20180417,85.22,85.28,84.94,85.05,114843
WGL,20180416,84.75,85.28,84.75,85.14,118660
WGL,20180413,84.73,84.86,84.36,84.69,135243
WGL,20180412,84.79,84.89,84.35,84.61,166392
WGL,20180411,84.49,84.91,84.38,84.66,198466
WGL,20180410,84.71,84.71,84.21,84.53,191032
WGL,20180409,84.92,85.15,84.17,84.58,267489
WGL,20180406,84.58,85.24,84.39,84.94,281609
WGL,20180405,84.43,85.09,83.81,84.68,304213
WGL,20180404,84.14,85.76,83.78,84.43,412574
WGL,20180403,83.60,84.56,83.58,84.51,149916
WGL,20180402,83.72,84.50,83.30,83.58,162369
WGL,20180329,84.36,84.6435,83.53,83.65,213342
WGL,20180328,83.74,84.73,82.82,84.41,179749
WGL,20180327,83.18,84.45,82.43,83.73,183883
WGL,20180326,82.18,83.3736,82.18,83.21,186338
WGL,20180323,82.49,83.21,81.65,82.00,205543
WGL,20180322,82.72,83.95,82.44,82.51,139305
WGL,20180321,82.60,83.79,82.56,82.91,111126
WGL,20180320,84.25,84.63,82.47,82.65,148513
WGL,20180319,84.13,84.515,83.77,84.23,93808
WGL,20180316,84.33,84.61,84.00,84.10,384670
WGL,20180315,84.15,84.48,83.57,84.18,90795
WGL,20180314,83.88,84.45,83.78,84.20,84205
WGL,20180313,83.47,84.15,83.47,83.80,134860
WGL,20180312,82.75,83.44,82.10,83.39,128273
WGL,20180309,82.07,82.86,81.70,82.75,278310
WGL,20180308,82.33,82.55,81.88,82.03,109618
WGL,20180307,81.18,82.89,80.91,82.29,380169
WGL,20180306,81.40,81.96,80.97,81.22,349515
WGL,20180305,81.69,82.00,81.31,81.40,250833
WGL,20180302,82.37,82.61,81.45,81.71,462186
WGL,20180301,83.30,83.79,82.34,82.38,287809
WGL,20180228,83.10,83.79,82.89,83.26,415253
WGL,20180227,83.81,83.99,82.77,83.01,227899
WGL,20180226,83.37,83.79,83.0578,83.73,135648
WGL,20180223,83.47,83.47,83.06,83.25,118055
WGL,20180222,82.73,83.63,82.49,83.33,181145
WGL,20180221,83.79,83.94,82.365,82.58,234307
WGL,20180220,84.15,84.26,83.60,83.60,147912
WGL,20180216,84.15,84.63,84.14,84.25,243227
WGL,20180215,84.49,84.54,83.965,84.24,159973
WGL,20180214,84.00,84.47,83.74,84.10,237893
WGL,20180213,84.17,84.50,84.07,84.23,182227
WGL,20180212,84.70,84.70,83.61,84.33,273199
WGL,20180209,84.70,85.20,84.31,84.80,306193
WGL,20180208,85.59,86.28,84.29,84.29,488970
WGL,20180207,84.50,85.48,84.50,85.41,381426
WGL,20180206,83.55,85.11,83.55,84.66,543362
WGL,20180205,84.31,84.99,83.685,83.76,409528
WGL,20180202,84.33,84.73,84.33,84.54,247294
WGL,20180201,84.38,84.78,84.09,84.56,210325
WGL,20180131,84.02,84.36,83.87,84.20,221528
WGL,20180130,84.04,84.48,83.84,84.02,361326
WGL,20180129,84.22,84.35,83.44,83.98,290049
WGL,20180126,84.58,84.617,84.13,84.31,181346
WGL,20180125,84.45,84.755,84.30,84.66,136277
WGL,20180124,84.50,84.67,84.25,84.40,176379
WGL,20180123,84.52,84.87,84.385,84.50,128526
WGL,20180122,84.96,84.96,84.20,84.52,183756
WGL,20180119,84.68,84.82,84.371,84.57,184206
WGL,20180118,85.07,85.185,84.72,84.72,378330
WGL,20180117,85.30,85.50,85.15,85.23,208394
WGL,20180116,85.20,85.45,85.02,85.15,341748
WGL,20180112,85.70,85.70,84.95,85.39,328482
WGL,20180111,85.40,85.83,85.40,85.79,152941
WGL,20180110,85.19,85.70,85.19,85.51,216753
WGL,20180109,86.10,86.27,85.28,85.58,277581
WGL,20180108,85.92,86.67,85.85,86.45,181495
WGL,20180105,85.93,86.16,85.81,86.05,302613
WGL,20180104,85.90,86.00,85.83,85.88,168644
WGL,20180103,85.95,86.48,85.865,86.00,250372
WGL,20180102,85.77,86.14,85.61,86.08,249666
WGL,20171229,85.99,86.16,85.81,85.84,145358
WGL,20171228,85.80,85.99,85.66,85.99,71607
WGL,20171227,85.78,85.93,85.585,85.64,102226
WGL,20171226,85.74,85.85,85.53,85.68,65971
WGL,20171222,85.63,85.81,85.55,85.65,77712
WGL,20171221,85.64,85.945,85.37,85.65,246520
WGL,20171220,85.85,86.00,85.54,85.65,146078
WGL,20171219,85.90,85.90,85.30,85.79,184086
WGL,20171218,85.99,86.00,85.50,85.75,315394
WGL,20171215,85.27,86.00,85.20,85.86,359518
WGL,20171214,85.83,86.015,85.22,85.50,254580
WGL,20171213,85.81,86.05,85.76,85.86,176029
WGL,20171212,85.86,86.19,85.73,85.81,96078
WGL,20171211,85.67,85.84,85.57,85.75,100538
WGL,20171208,85.65,85.82,85.45,85.79,146254
WGL,20171207,85.45,85.75,85.005,85.75,254869
WGL,20171206,85.25,85.46,85.16,85.40,293735
WGL,20171205,85.26,85.45,84.80,85.25,203827
WGL,20171204,85.36,85.77,84.85,85.20,299980
WGL,20171201,84.49,85.50,83.66,84.99,643207
WGL,20171130,84.50,84.63,84.38,84.54,212479
WGL,20171129,84.91,85.1099,84.27,84.45,184460
