<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
WNS,20180423,47.62,47.87,47.18,47.28,171369
WNS,20180420,47.18,47.745,47.1525,47.48,152282
WNS,20180419,46.91,47.49,46.70,47.31,139957
WNS,20180418,46.55,47.41,46.01,47.16,130252
WNS,20180417,46.10,46.51,45.61,46.22,194967
WNS,20180416,45.60,46.37,45.46,45.83,146460
WNS,20180413,46.06,46.49,45.35,45.66,69366
WNS,20180412,45.65,46.28,45.47,45.83,90232
WNS,20180411,45.92,46.50,45.44,45.50,134297
WNS,20180410,46.70,46.81,45.79,46.05,153702
WNS,20180409,45.68,46.64,45.47,46.28,158964
WNS,20180406,46.19,46.46,45.60,45.76,209390
WNS,20180405,45.30,46.62,45.30,46.40,157818
WNS,20180404,44.65,45.10,44.37,45.06,105194
WNS,20180403,44.54,45.2699,44.40,44.90,182743
WNS,20180402,45.38,46.0999,44.43,44.73,228672
WNS,20180329,45.31,45.72,44.66,45.33,241386
WNS,20180328,45.14,45.49,44.74,45.05,119868
WNS,20180327,46.61,46.61,44.93,45.11,195263
WNS,20180326,46.34,46.83,45.65,46.61,147445
WNS,20180323,47.19,48.26,45.78,45.99,306508
WNS,20180322,47.65,48.00,47.025,47.10,190688
WNS,20180321,47.23,48.25,47.11,48.13,275858
WNS,20180320,46.45,47.35,46.45,47.02,144311
WNS,20180319,46.53,46.73,45.57,46.43,102341
WNS,20180316,46.01,46.56,45.815,46.55,181228
WNS,20180315,46.24,46.69,45.85,45.92,95567
WNS,20180314,45.82,46.53,45.60,46.25,185396
WNS,20180313,45.81,46.13,45.63,45.86,147979
WNS,20180312,45.61,46.12,45.17,45.79,114765
WNS,20180309,46.11,46.11,45.08,45.49,144107
WNS,20180308,45.39,45.99,45.245,45.84,123143
WNS,20180307,44.98,46.21,44.98,45.69,192298
WNS,20180306,45.03,45.16,44.22,45.06,95246
WNS,20180305,44.95,45.10,44.41,44.84,113441
WNS,20180302,44.44,45.165,44.31,44.99,95091
