<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
WPP,20180423,78.59,78.74,77.78,78.60,180479
WPP,20180420,80.70,80.73,80.113,80.20,82043
WPP,20180419,82.05,82.45,81.19,81.41,107251
WPP,20180418,78.70,79.79,78.70,79.64,97638
WPP,20180417,80.42,80.49,78.83,78.90,229230
WPP,20180416,80.52,80.79,78.458,80.56,397319
WPP,20180413,84.75,84.95,84.40,84.53,74165
WPP,20180412,84.42,84.67,83.86,84.12,83849
WPP,20180411,84.91,85.60,84.28,84.59,130726
WPP,20180410,83.66,84.93,83.45,84.43,165338
WPP,20180409,83.57,84.15,83.09,83.14,249195
WPP,20180406,81.89,82.305,80.885,81.16,126282
WPP,20180405,79.61,79.88,79.09,79.63,103908
WPP,20180404,77.00,78.78,76.98,78.39,252080
WPP,20180403,78.58,78.94,78.27,78.81,73680
WPP,20180402,79.64,79.75,78.254,78.53,142284
WPP,20180329,80.17,80.26,79.00,79.41,111277
WPP,20180328,80.02,80.38,79.537,79.68,140395
WPP,20180327,79.09,79.5059,78.40,78.57,128879
WPP,20180326,78.13,78.79,77.26,78.74,122812
WPP,20180323,77.58,77.87,76.68,76.68,141064
WPP,20180322,77.27,77.79,76.89,77.15,337438
WPP,20180321,78.50,78.95,77.85,78.13,273939
WPP,20180320,82.21,82.21,80.04,80.28,163997
WPP,20180319,82.91,83.07,81.56,82.12,172271
WPP,20180316,80.75,81.71,80.70,81.14,250458
WPP,20180315,81.17,81.4845,80.26,81.19,208864
WPP,20180314,81.18,81.425,80.55,80.75,87667
WPP,20180313,81.12,82.25,80.88,81.03,224627
WPP,20180312,82.815,83.431,82.80,83.02,183314
WPP,20180309,83.46,83.88,83.27,83.79,266005
WPP,20180308,85.11,85.69,84.95,85.53,158157
WPP,20180307,84.99,85.20,83.56,84.28,242875
WPP,20180306,86.71,87.67,86.55,87.29,220896
WPP,20180305,86.91,87.805,86.51,87.65,205579
WPP,20180302,88.38,88.44,87.15,87.83,196839
WPP,20180301,85.05,88.355,85.04,87.18,552919
WPP,20180228,95.97,96.52,95.08,95.11,150356
WPP,20180227,96.06,96.13,95.03,95.25,98083
WPP,20180226,96.55,96.83,96.15,96.81,84329
WPP,20180223,94.455,95.35,94.35,95.30,73462
WPP,20180222,94.69,95.16,94.22,94.33,169837
WPP,20180221,96.06,96.4272,95.20,95.22,118039
WPP,20180220,98.24,98.47,96.87,97.02,213057
WPP,20180216,102.88,103.53,102.18,102.44,196252
WPP,20180215,99.28,99.545,98.67,99.18,196621
WPP,20180214,95.25,97.78,95.24,97.16,230872
WPP,20180213,92.11,93.27,92.06,93.06,134697
WPP,20180212,88.68,89.84,88.65,89.43,112623
WPP,20180209,89.42,89.49,86.85,88.89,168933
WPP,20180208,90.52,91.0343,88.90,88.92,170947
WPP,20180207,86.87,88.10,86.70,87.00,115954
WPP,20180206,84.92,86.82,84.65,86.51,265969
WPP,20180205,88.15,88.3701,86.00,86.14,222267
WPP,20180202,92.16,92.18,90.45,90.57,129999
WPP,20180201,91.80,92.92,91.58,92.63,219531
WPP,20180131,90.59,90.83,90.04,90.40,178290
WPP,20180130,91.43,91.64,90.95,91.01,142472
WPP,20180129,90.95,91.20,90.45,91.00,240964
WPP,20180126,92.16,92.16,91.39,91.71,202722
WPP,20180125,93.22,93.28,91.46,91.80,395467
WPP,20180124,92.64,93.07,92.44,92.98,191594
WPP,20180123,93.00,93.3496,92.20,92.95,152101
WPP,20180122,94.30,95.35,94.23,95.31,174994
WPP,20180119,95.83,95.83,95.22,95.53,135771
WPP,20180118,94.70,95.415,94.41,94.96,169824
WPP,20180117,93.09,94.83,92.96,94.51,257094
WPP,20180116,95.55,95.75,93.90,94.02,382900
WPP,20180112,92.33,93.40,91.80,93.05,230523
WPP,20180111,89.97,90.17,89.6503,90.08,143872
WPP,20180110,90.02,90.05,89.52,89.62,102163
WPP,20180109,90.47,90.84,90.28,90.66,98832
WPP,20180108,90.07,90.71,90.05,90.62,159948
WPP,20180105,90.50,91.28,90.1164,91.16,108738
WPP,20180104,88.83,89.87,88.66,89.64,301919
WPP,20180103,89.49,89.52,87.95,88.25,203889
WPP,20180102,89.63,91.1947,89.56,91.13,138023
WPP,20171229,90.87,91.03,90.56,90.56,75382
WPP,20171228,90.97,91.0756,90.28,91.06,198718
WPP,20171227,90.38,90.5199,89.76,90.39,199976
WPP,20171226,90.70,91.25,90.57,90.72,113526
WPP,20171222,90.87,91.035,90.33,90.55,80481
WPP,20171221,89.89,90.50,89.58,90.34,156360
WPP,20171220,90.40,90.719,90.31,90.43,112351
WPP,20171219,89.76,90.79,89.66,90.63,173306
WPP,20171218,92.69,92.89,91.00,91.25,296807
WPP,20171215,91.10,93.63,91.10,93.21,581456
WPP,20171214,90.81,92.17,90.75,92.01,412427
WPP,20171213,91.24,91.32,90.84,91.19,107482
WPP,20171212,91.03,91.13,90.82,90.84,79701
WPP,20171211,92.33,92.69,91.49,91.81,208618
WPP,20171208,89.38,89.679,89.23,89.58,80041
WPP,20171207,88.91,89.13,88.63,89.01,169964
WPP,20171206,88.47,88.76,88.19,88.51,113893
WPP,20171205,89.08,89.30,87.96,88.11,108981
WPP,20171204,88.03,88.64,87.80,88.26,170830
WPP,20171201,87.96,88.73,87.55,88.26,165111
WPP,20171130,89.01,89.10,87.74,87.99,201063
WPP,20171129,87.33,87.98,87.12,87.679,120899
