<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
YPF,20180423,22.88,23.23,22.53,22.77,731010
YPF,20180420,22.91,22.93,22.49,22.59,738194
YPF,20180419,22.98,23.26,22.69,23.01,539484
YPF,20180418,22.87,23.10,22.70,22.79,528461
YPF,20180417,22.01,22.79,21.96,22.65,959725
YPF,20180416,22.38,22.44,21.84,22.03,705713
YPF,20180413,22.37,22.50,22.18,22.39,353394
YPF,20180412,22.18,22.41,22.11,22.33,691364
YPF,20180411,21.98,22.22,21.78,22.18,746870
YPF,20180410,21.61,22.00,20.90,21.91,643303
YPF,20180409,21.19,21.48,21.1571,21.31,452684
YPF,20180406,21.27,21.35,21.00,21.13,290203
YPF,20180405,21.49,21.62,21.29,21.38,394311
YPF,20180404,21.17,21.40,20.96,21.27,549129
YPF,20180403,21.50,21.715,21.30,21.58,761903
YPF,20180402,21.62,21.80,20.89,21.27,731833
YPF,20180329,21.46,21.87,21.28,21.68,292020
YPF,20180328,21.38,22.20,21.38,21.41,624191
YPF,20180327,21.93,21.995,21.349,21.51,624361
YPF,20180326,21.21,21.94,21.12,21.92,1285580
YPF,20180323,21.30,21.50,20.83,20.89,621870
YPF,20180322,21.67,21.76,21.26,21.27,533259
YPF,20180321,21.45,22.11,21.292,21.91,856637
YPF,20180320,21.29,21.475,21.22,21.33,627803
YPF,20180319,21.44,21.44,21.08,21.21,587779
YPF,20180316,21.89,21.89,21.50,21.54,510916
YPF,20180315,21.70,21.95,21.47,21.63,774082
YPF,20180314,22.14,22.30,21.59,21.61,1059383
YPF,20180313,22.00,22.37,21.88,22.04,956269
YPF,20180312,22.50,22.52,21.77,22.03,812078
YPF,20180309,22.60,22.98,22.21,22.48,624294
YPF,20180308,22.45,22.64,22.17,22.36,209273
YPF,20180307,22.32,22.62,22.13,22.45,478658
YPF,20180306,22.86,22.88,22.30,22.50,818742
YPF,20180305,22.45,22.75,22.22,22.37,930690
YPF,20180302,22.56,22.66,21.94,22.52,889230
YPF,20180301,23.16,23.35,22.6993,22.85,892523
YPF,20180228,23.51,23.56,23.03,23.095,558988
YPF,20180227,23.95,23.99,23.19,23.46,1096610
YPF,20180226,23.83,23.99,23.56,23.99,565597
YPF,20180223,23.96,24.145,23.49,23.73,424830
YPF,20180222,23.36,23.85,23.23,23.75,970603
YPF,20180221,23.26,23.50,23.01,23.19,552503
YPF,20180220,23.05,23.49,23.00,23.26,552928
YPF,20180216,22.66,23.44,22.66,23.16,910806
YPF,20180215,23.083,23.27,22.73,22.86,976019
YPF,20180214,22.30,23.08,22.06,22.895,967348
YPF,20180213,22.14,22.79,22.10,22.79,924486
YPF,20180212,21.41,22.31,21.20,22.14,915244
YPF,20180209,21.42,21.63,20.68,21.12,1213287
YPF,20180208,22.18,22.50,21.43,21.43,1323821
YPF,20180207,22.95,23.10,22.07,22.07,968395
YPF,20180206,22.08,23.09,21.70,22.95,1061991
YPF,20180205,22.88,23.00,22.26,22.52,1099174
YPF,20180202,23.74,24.26,23.19,23.19,961437
YPF,20180201,24.24,24.65,24.01,24.60,1069862
YPF,20180131,24.08,24.345,23.92,24.15,1148379
YPF,20180130,24.27,24.27,23.70,23.90,1375802
YPF,20180129,25.53,25.53,23.68,24.36,3104686
YPF,20180126,26.18,26.18,25.7901,25.90,625503
YPF,20180125,26.50,26.70,26.12,26.18,870357
YPF,20180124,25.72,26.28,25.72,26.26,1164484
