<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
YUMC,20180423,40.67,40.71,39.44,39.75,2121693
YUMC,20180420,40.36,40.89,40.31,40.73,1325087
YUMC,20180419,40.27,40.91,40.21,40.68,1135287
YUMC,20180418,40.76,40.99,40.00,40.34,1310315
YUMC,20180417,40.15,40.80,40.00,40.73,1293440
YUMC,20180416,40.53,40.59,39.935,40.09,1301600
YUMC,20180413,41.21,41.25,40.17,40.27,986093
YUMC,20180412,41.41,41.73,40.78,41.09,1277092
YUMC,20180411,40.87,41.60,40.53,41.23,2243191
YUMC,20180410,40.36,41.20,40.15,40.92,3051578
YUMC,20180409,39.17,39.81,38.81,39.23,1917139
YUMC,20180406,39.76,40.02,38.445,38.55,3888340
YUMC,20180405,40.00,40.36,39.78,40.00,1062175
YUMC,20180404,38.72,39.95,38.00,39.87,3615546
YUMC,20180403,40.14,40.63,39.13,39.56,2310177
YUMC,20180402,41.30,41.36,39.2664,39.63,1503571
YUMC,20180329,40.90,41.86,40.80,41.50,1815207
YUMC,20180328,40.76,41.12,40.44,40.72,2251636
YUMC,20180327,41.21,41.32,40.57,40.76,2500007
YUMC,20180326,40.83,41.31,40.53,41.28,2156786
YUMC,20180323,40.24,40.50,39.75,40.10,2658442
YUMC,20180322,40.91,41.13,39.93,40.00,2313142
YUMC,20180321,41.28,42.35,41.135,41.55,2529129
YUMC,20180320,40.82,41.41,40.79,41.17,2653759
YUMC,20180319,41.40,41.46,40.46,40.69,1651108
YUMC,20180316,41.37,41.66,41.20,41.53,2121369
YUMC,20180315,41.85,41.95,41.155,41.28,1180417
YUMC,20180314,41.61,41.85,40.97,41.62,1129484
YUMC,20180313,42.22,42.53,41.26,41.26,1711109
YUMC,20180312,41.44,42.19,41.25,41.99,1609278
YUMC,20180309,41.68,41.87,41.295,41.43,2067865
YUMC,20180308,42.11,42.16,40.96,41.43,2642566
YUMC,20180307,42.42,42.48,41.43,41.90,1474546
YUMC,20180306,42.53,43.02,42.36,42.78,1041485
YUMC,20180305,42.24,42.68,41.76,42.21,1637790
YUMC,20180302,41.45,42.53,40.84,42.46,1130515
YUMC,20180301,43.20,43.61,41.94,42.02,1609747
YUMC,20180228,43.64,44.02,43.32,43.35,1614827
YUMC,20180227,43.84,44.23,43.13,43.47,1448952
YUMC,20180226,44.13,44.61,43.51,43.95,1892885
YUMC,20180223,42.19,43.77,42.19,43.77,2338289
YUMC,20180222,41.35,41.94,41.22,41.80,2744039
YUMC,20180221,40.38,42.03,40.38,41.27,1886874
YUMC,20180220,40.18,41.02,40.18,40.39,1492628
YUMC,20180216,40.31,40.93,40.17,40.44,1688421
YUMC,20180215,40.81,40.81,39.75,40.29,2041564
YUMC,20180214,39.92,40.51,39.67,40.34,2760236
YUMC,20180213,39.86,40.71,39.78,40.07,1916443
YUMC,20180212,40.79,41.12,39.72,39.80,3200437
YUMC,20180209,41.28,41.65,39.38,40.23,3715090
YUMC,20180208,41.90,44.065,40.97,41.00,6298541
YUMC,20180207,43.96,45.30,42.78,44.30,2207469
YUMC,20180206,43.50,44.20,42.50,43.89,2302952
YUMC,20180205,45.37,45.86,44.32,44.38,1317421
YUMC,20180202,46.73,46.73,45.51,45.55,1105901
YUMC,20180201,46.34,46.79,45.61,46.72,1127763
YUMC,20180131,47.15,47.345,46.32,46.46,987646
YUMC,20180130,46.90,46.98,45.94,46.79,1315206
YUMC,20180129,47.91,48.10,47.00,47.04,1919721
YUMC,20180126,47.81,48.21,47.35,48.18,1387546
YUMC,20180125,46.60,47.79,46.37,47.50,1299973
YUMC,20180124,48.32,48.75,47.14,47.39,2053489
YUMC,20180123,47.61,48.05,47.32,47.94,1828314
YUMC,20180122,46.47,47.59,46.46,47.58,2384650
YUMC,20180119,45.39,46.01,45.27,46.01,1530843
YUMC,20180118,45.55,45.90,45.11,45.15,1316937
YUMC,20180117,46.24,47.17,45.25,45.54,2066773
YUMC,20180116,46.15,47.82,45.80,46.24,2779643
YUMC,20180112,44.34,46.15,44.34,45.86,3034051
YUMC,20180111,42.80,43.85,42.68,43.85,4115335
YUMC,20180110,43.47,43.50,42.30,42.68,1861197
YUMC,20180109,42.96,43.55,42.77,43.29,3117769
YUMC,20180108,42.75,42.84,42.50,42.70,581821
YUMC,20180105,42.66,42.80,42.30,42.75,1735820
YUMC,20180104,42.50,43.09,42.365,42.50,1922095
YUMC,20180103,41.54,42.54,41.31,42.24,2207403
YUMC,20180102,40.14,40.91,39.95,40.63,1226497
