<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BIOTEC,20180503,6.04,6.04,5.50,5.50,83643
BIOTEC,20180502,5.90,6.00,5.70,5.70,38875
BIOTEC,20180430,5.94,6.00,5.76,5.80,53621
BIOTEC,20180427,6.00,6.00,5.62,5.70,56232
BIOTEC,20180426,6.30,6.30,5.30,6.00,204504
BIOTEC,20180425,6.62,6.62,6.40,6.50,10314
BIOTEC,20180424,6.40,6.62,6.30,6.62,2744
BIOTEC,20180423,6.50,6.50,6.40,6.44,38598
BIOTEC,20180420,6.50,6.50,6.46,6.46,4710
BIOTEC,20180419,6.50,6.60,6.46,6.46,20198
BIOTEC,20180418,6.40,6.46,6.32,6.36,15631
BIOTEC,20180417,6.40,6.40,6.32,6.40,13932
BIOTEC,20180416,6.50,6.60,6.38,6.38,56882
BIOTEC,20180413,6.48,6.54,6.22,6.26,25275
BIOTEC,20180412,6.40,6.48,6.40,6.48,2290
BIOTEC,20180411,6.58,6.58,6.30,6.50,22081
BIOTEC,20180410,6.38,6.50,6.36,6.50,28726
BIOTEC,20180409,6.32,6.48,6.12,6.38,19217
BIOTEC,20180406,6.50,6.50,6.32,6.32,16439
BIOTEC,20180405,6.14,6.68,6.14,6.52,26953
BIOTEC,20180404,6.04,6.20,6.04,6.14,24311
BIOTEC,20180403,6.50,6.50,6.42,6.42,15105
BIOTEC,20180328,6.70,6.70,6.22,6.38,51367
BIOTEC,20180327,6.30,6.74,6.24,6.74,3409
BIOTEC,20180326,6.40,6.62,6.20,6.22,3797
BIOTEC,20180323,6.30,6.38,6.20,6.38,44206
BIOTEC,20180322,6.40,6.50,6.30,6.30,3089
BIOTEC,20180321,6.50,6.50,6.30,6.30,35043
BIOTEC,20180320,6.58,6.90,6.40,6.40,34949
BIOTEC,20180319,6.70,6.70,6.54,6.56,19547
BIOTEC,20180316,6.70,6.70,6.46,6.70,56944
BIOTEC,20180315,6.78,6.78,6.60,6.70,70473
BIOTEC,20180314,6.70,6.70,6.42,6.44,37942
BIOTEC,20180313,6.74,6.74,6.42,6.64,5796
BIOTEC,20180312,6.70,6.80,6.70,6.72,27051
BIOTEC,20180309,6.70,6.70,6.50,6.60,6964
BIOTEC,20180308,6.84,6.84,6.34,6.50,77864
BIOTEC,20180307,6.90,7.08,6.50,6.84,63530
BIOTEC,20180306,7.18,7.24,6.60,6.90,112322
BIOTEC,20180305,7.22,7.44,7.02,7.06,136416
BIOTEC,20180302,7.16,7.80,6.94,6.96,1151182
BIOTEC,20180301,6.02,6.46,5.80,6.02,19956
BIOTEC,20180228,6.38,6.38,6.20,6.20,3526
BIOTEC,20180227,6.12,6.34,6.10,6.34,22400
BIOTEC,20180226,6.30,6.30,6.18,6.18,12069
BIOTEC,20180223,6.32,6.48,6.26,6.26,6600
BIOTEC,20180222,6.30,6.46,6.12,6.46,11081
BIOTEC,20180221,6.22,6.46,6.22,6.30,4085
BIOTEC,20180220,6.22,6.24,6.12,6.22,9812
BIOTEC,20180219,6.48,6.48,6.20,6.30,11560
BIOTEC,20180216,6.32,6.90,6.32,6.50,25735
BIOTEC,20180215,6.28,6.32,6.24,6.30,39504
BIOTEC,20180214,6.32,6.54,6.10,6.52,15005
BIOTEC,20180213,6.90,6.90,6.24,6.36,5156
BIOTEC,20180212,6.34,6.56,6.20,6.22,60103
