<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
BULL-YAR-X3-DNM,20180503,17.50,17.50,16.77,16.77,79150
BULL-YAR-X3-DNM,20180502,16.88,16.88,16.88,16.88,3680
BULL-YAR-X3-DNM,20180430,15.69,15.86,15.67,15.86,41880
BULL-YAR-X3-DNM,20180427,15.92,16.07,15.67,16.07,77800
BULL-YAR-X3-DNM,20180426,14.70,16.55,14.70,16.55,76800
BULL-YAR-X3-DNM,20180425,14.44,14.44,14.44,14.44,4500
BULL-YAR-X3-DNM,20180424,14.72,14.85,14.69,14.69,52536
BULL-YAR-X3-DNM,20180423,14.38,14.38,14.27,14.27,50536
BULL-YAR-X3-DNM,20180420,15.38,15.38,14.70,14.89,28156
BULL-YAR-X3-DNM,20180419,15.53,16.10,15.53,16.09,85040
BULL-YAR-X3-DNM,20180418,15.23,15.42,15.23,15.42,20880
BULL-YAR-X3-DNM,20180416,14.64,14.64,14.40,14.40,26170
BULL-YAR-X3-DNM,20180413,14.16,15.00,14.16,15.00,42413
BULL-YAR-X3-DNM,20180412,13.60,13.60,13.49,13.49,26300
BULL-YAR-X3-DNM,20180411,13.90,14.10,13.90,14.10,43200
BULL-YAR-X3-DNM,20180409,15.50,15.50,14.63,14.63,32663
BULL-YAR-X3-DNM,20180405,14.83,14.83,14.83,14.83,700
BULL-YAR-X3-DNM,20180404,13.89,13.89,13.89,13.89,725
BULL-YAR-X3-DNM,20180403,14.69,14.69,14.66,14.66,13550
BULL-YAR-X3-DNM,20180327,15.04,15.04,15.04,15.04,13700
BULL-YAR-X3-DNM,20180326,14.27,15.00,14.27,14.58,44150
BULL-YAR-X3-DNM,20180323,14.11,14.34,14.04,14.04,28500
BULL-YAR-X3-DNM,20180322,14.40,14.40,13.90,14.16,6400
BULL-YAR-X3-DNM,20180321,14.58,14.58,14.58,14.58,7550
BULL-YAR-X3-DNM,20180319,14.63,15.14,14.63,15.14,1050
BULL-YAR-X3-DNM,20180316,15.83,15.83,15.15,15.15,7725
BULL-YAR-X3-DNM,20180315,16.29,16.29,16.29,16.29,100
BULL-YAR-X3-DNM,20180308,18.03,18.03,18.03,18.03,500
BULL-YAR-X3-DNM,20180306,17.50,18.30,17.50,18.30,19050
BULL-YAR-X3-DNM,20180302,16.82,16.82,15.37,15.37,21875
BULL-YAR-X3-DNM,20180301,17.61,17.61,16.93,16.93,1125
BULL-YAR-X3-DNM,20180228,19.33,19.33,19.33,19.33,5170
BULL-YAR-X3-DNM,20180227,19.93,19.93,19.93,19.93,14900
BULL-YAR-X3-DNM,20180226,20.04,20.04,20.04,20.04,3000
BULL-YAR-X3-DNM,20180223,20.00,20.71,20.00,20.44,53800
BULL-YAR-X3-DNM,20180222,19.69,20.41,19.69,20.41,14000
BULL-YAR-X3-DNM,20180221,19.56,19.56,19.56,19.56,3000
BULL-YAR-X3-DNM,20180220,18.49,19.34,18.49,19.34,29500
BULL-YAR-X3-DNM,20180216,17.81,18.70,17.81,18.65,17930
BULL-YAR-X3-DNM,20180215,17.80,18.19,17.70,18.19,73600
BULL-YAR-X3-DNM,20180214,17.35,17.51,17.02,17.04,83000
BULL-YAR-X3-DNM,20180213,17.29,17.55,16.62,17.55,4200
BULL-YAR-X3-DNM,20180212,18.66,18.66,17.76,17.76,30730
BULL-YAR-X3-DNM,20180209,18.99,18.99,18.99,18.99,15800
BULL-YAR-X3-DNM,20180208,17.50,18.93,17.33,18.93,60960
BULL-YAR-X3-DNM,20180206,20.38,20.38,20.38,20.38,1000
BULL-YAR-X3-DNM,20180201,23.51,23.51,22.46,22.46,3520
BULL-YAR-X3-DNM,20180131,22.58,22.61,22.31,22.34,30000
BULL-YAR-X3-DNM,20180129,23.56,23.56,23.56,23.56,10500
BULL-YAR-X3-DNM,20180125,23.75,23.75,23.75,23.75,10000
BULL-YAR-X3-DNM,20180123,24.68,24.68,24.64,24.64,10100
BULL-YAR-X3-DNM,20180122,25.25,25.26,25.25,25.26,4750
BULL-YAR-X3-DNM,20180119,25.70,25.71,25.70,25.71,20000
BULL-YAR-X3-DNM,20180118,24.32,26.14,24.32,26.14,7120
BULL-YAR-X3-DNM,20180117,25.47,25.47,23.82,23.82,7120
BULL-YAR-X3-DNM,20180116,26.25,26.25,26.25,26.25,500
BULL-YAR-X3-DNM,20180112,26.60,26.61,26.60,26.61,5800
BULL-YAR-X3-DNM,20180111,25.74,25.74,25.38,25.51,11132
BULL-YAR-X3-DNM,20180109,27.18,27.18,25.92,26.66,3650
BULL-YAR-X3-DNM,20180105,25.53,25.81,25.53,25.81,15100
BULL-YAR-X3-DNM,20180104,24.77,24.77,24.63,24.63,15100
BULL-YAR-X3-DNM,20180103,25.15,25.15,25.15,25.15,450
BULL-YAR-X3-DNM,20171227,24.51,24.51,24.51,24.51,2150
BULL-YAR-X3-DNM,20171218,24.25,24.25,24.25,24.25,1500
BULL-YAR-X3-DNM,20171214,22.92,22.92,22.92,22.92,1500
BULL-YAR-X3-DNM,20171204,23.15,23.15,23.15,23.15,700
BULL-YAR-X3-DNM,20171129,23.86,23.86,23.84,23.84,7000
BULL-YAR-X3-DNM,20171128,23.74,23.80,23.58,23.58,21000
BULL-YAR-X3-DNM,20171127,23.99,23.99,23.82,23.82,12000
BULL-YAR-X3-DNM,20171124,24.23,24.23,24.23,24.23,3000
BULL-YAR-X3-DNM,20171122,24.68,24.82,24.68,24.80,14000
BULL-YAR-X3-DNM,20171116,24.03,24.41,24.03,24.38,4000
BULL-YAR-X3-DNM,20171115,22.67,22.67,22.67,22.67,1000
BULL-YAR-X3-DNM,20171114,24.41,24.41,24.19,24.19,8400
BULL-YAR-X3-DNM,20171113,24.15,24.15,24.15,24.15,156
BULL-YAR-X3-DNM,20171110,23.82,24.12,23.82,24.12,18800
BULL-YAR-X3-DNM,20171109,25.46,25.46,25.44,25.44,11930
BULL-YAR-X3-DNM,20171108,25.15,25.38,24.71,25.38,39080
BULL-YAR-X3-DNM,20171107,27.26,27.28,26.30,26.33,29300
BULL-YAR-X3-DNM,20171106,27.71,27.71,27.71,27.71,3500
BULL-YAR-X3-DNM,20171103,27.83,27.83,27.83,27.83,2800
BULL-YAR-X3-DNM,20171101,27.55,28.21,27.55,28.21,23495
BULL-YAR-X3-DNM,20171031,27.40,27.40,27.34,27.34,4000
BULL-YAR-X3-DNM,20171025,24.07,24.69,24.07,24.69,27100
BULL-YAR-X3-DNM,20171023,23.65,23.65,23.43,23.43,15100
BULL-YAR-X3-DNM,20171020,23.12,23.61,23.05,23.61,10970
BULL-YAR-X3-DNM,20171019,22.02,24.50,21.42,21.46,79251
BULL-YAR-X3-DNM,20171018,22.34,22.36,22.34,22.36,12450
BULL-YAR-X3-DNM,20171017,22.82,22.82,22.70,22.70,12100
BULL-YAR-X3-DNM,20171013,22.99,23.02,22.99,23.02,22900
BULL-YAR-X3-DNM,20171011,21.69,21.73,21.69,21.73,12860
BULL-YAR-X3-DNM,20171009,21.43,21.43,21.37,21.37,12860
BULL-YAR-X3-DNM,20171003,22.35,22.35,22.17,22.20,18000
BULL-YAR-X3-DNM,20171002,21.91,22.00,21.91,21.91,22000
BULL-YAR-X3-DNM,20170929,20.77,21.50,20.77,21.50,16000
BULL-YAR-X3-DNM,20170928,22.58,22.70,22.32,22.65,30000
