<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
EIOF,20180503,6.65,6.80,6.65,6.80,2893
EIOF,20180502,6.85,6.85,6.80,6.80,6330
EIOF,20180430,6.80,6.85,6.65,6.80,1437
EIOF,20180427,6.65,6.80,6.65,6.80,5690
EIOF,20180426,6.60,6.75,6.60,6.75,16589
EIOF,20180425,6.80,6.85,6.55,6.60,30419
EIOF,20180424,6.90,6.95,6.70,6.70,63983
EIOF,20180423,6.70,6.95,6.70,6.90,36441
EIOF,20180420,6.95,6.95,6.75,6.85,18205
EIOF,20180419,6.80,6.85,6.75,6.75,34601
EIOF,20180418,6.70,6.95,6.50,6.85,48151
EIOF,20180417,6.50,7.10,6.50,6.70,101139
EIOF,20180416,6.30,6.50,6.30,6.50,22387
EIOF,20180413,6.05,6.30,6.05,6.30,126329
EIOF,20180412,6.05,6.10,6.05,6.05,15058
EIOF,20180411,5.95,6.10,5.95,6.05,121356
EIOF,20180410,5.90,5.95,5.90,5.95,46115
EIOF,20180409,5.75,5.90,5.75,5.90,5286
EIOF,20180406,5.90,5.95,5.75,5.85,55227
EIOF,20180405,5.70,5.95,5.70,5.90,64373
EIOF,20180404,5.60,5.70,5.50,5.60,116525
EIOF,20180403,5.75,5.75,5.60,5.60,27318
EIOF,20180328,5.70,5.70,5.65,5.70,13946
EIOF,20180327,5.80,5.85,5.65,5.70,44683
EIOF,20180326,6.00,6.00,5.65,5.70,36459
EIOF,20180323,5.85,5.95,5.65,5.95,47830
EIOF,20180322,5.95,6.00,5.75,5.90,52604
EIOF,20180321,5.60,5.75,5.50,5.75,92031
EIOF,20180320,5.65,5.65,5.30,5.60,227161
EIOF,20180319,5.80,5.80,5.70,5.70,47718
EIOF,20180316,6.10,6.10,5.50,5.75,95386
EIOF,20180315,6.20,6.20,6.15,6.15,12013
EIOF,20180314,6.20,6.20,6.20,6.20,10000
EIOF,20180313,6.20,6.20,6.15,6.15,8692
EIOF,20180312,6.30,6.30,6.15,6.20,21295
EIOF,20180309,6.35,6.40,6.30,6.30,15000
EIOF,20180308,6.40,6.40,6.30,6.35,12150
EIOF,20180307,6.60,6.60,6.40,6.40,9491
EIOF,20180306,6.60,6.60,6.50,6.60,7400
EIOF,20180305,6.75,6.75,6.65,6.65,10782
EIOF,20180302,6.80,6.95,6.75,6.75,11201
EIOF,20180301,6.75,6.75,6.75,6.75,228
EIOF,20180228,7.05,7.10,6.85,7.00,18300
EIOF,20180227,6.85,7.20,6.85,7.20,20822
EIOF,20180226,7.00,7.00,6.75,6.75,21130
EIOF,20180223,6.60,6.95,6.60,6.95,24149
EIOF,20180222,6.75,6.80,6.60,6.65,25274
EIOF,20180221,6.60,6.80,6.60,6.80,20144
EIOF,20180220,6.55,6.60,6.55,6.60,6000
EIOF,20180219,6.20,6.65,6.20,6.40,20310
EIOF,20180216,6.30,6.35,6.30,6.30,12946
EIOF,20180215,6.30,6.35,6.15,6.15,8484
EIOF,20180214,6.15,6.15,6.15,6.15,315
EIOF,20180213,6.55,6.55,6.20,6.25,24554
EIOF,20180212,6.60,6.65,6.60,6.65,1000
EIOF,20180209,6.50,6.50,6.50,6.50,2500
EIOF,20180207,6.50,6.60,6.45,6.60,11614
EIOF,20180206,6.55,6.70,6.40,6.50,26971
EIOF,20180205,6.85,6.85,6.70,6.70,7300
EIOF,20180202,7.05,7.10,6.85,6.85,11620
EIOF,20180201,6.80,7.25,6.00,7.15,22591
EIOF,20180131,6.80,6.80,6.55,6.70,32645
EIOF,20180130,6.85,6.85,6.85,6.85,4096
EIOF,20180129,7.00,7.20,6.85,6.95,28512
EIOF,20180126,7.05,7.05,7.00,7.00,29323
EIOF,20180125,7.25,7.25,7.10,7.10,4150
EIOF,20180124,7.30,7.30,7.10,7.10,20120
EIOF,20180123,7.65,7.65,7.40,7.45,15194
EIOF,20180122,7.50,7.65,7.50,7.65,5255
EIOF,20180119,7.30,7.50,7.30,7.50,20899
EIOF,20180118,7.65,7.70,6.70,7.70,192117
EIOF,20180117,7.75,7.75,7.75,7.75,1957
EIOF,20180116,8.00,8.00,7.85,7.90,14332
EIOF,20180115,7.75,7.95,7.75,7.95,22697
EIOF,20180112,7.20,7.80,7.20,7.75,25121
EIOF,20180111,7.55,7.55,7.10,7.10,103161
EIOF,20180110,7.85,7.95,7.25,7.70,66645
EIOF,20180109,8.55,8.55,7.85,7.90,126154
EIOF,20180108,9.50,9.50,8.20,8.60,214666
EIOF,20180105,9.60,14.50,8.50,9.50,182317
EIOF,20180104,8.90,9.60,8.90,9.60,29138
EIOF,20180103,8.50,8.85,8.50,8.85,6355
EIOF,20180102,8.50,8.50,8.30,8.50,9207
EIOF,20171229,8.45,8.70,8.31,8.70,49511
EIOF,20171228,8.50,8.50,8.50,8.50,814
EIOF,20171227,8.25,8.50,8.25,8.50,8506
EIOF,20171222,8.20,8.23,8.00,8.23,6042
EIOF,20171221,8.46,8.46,8.12,8.12,13520
EIOF,20171220,8.49,8.50,8.49,8.50,17657
EIOF,20171219,8.23,8.23,8.22,8.22,880
EIOF,20171218,8.24,8.24,8.24,8.24,200
EIOF,20171215,8.24,8.49,8.20,8.49,9394
EIOF,20171214,7.96,8.50,7.96,8.49,36888
EIOF,20171211,7.95,7.95,7.67,7.67,3794
EIOF,20171208,7.90,7.90,7.90,7.90,4000
EIOF,20171207,7.90,7.90,7.90,7.90,448
EIOF,20171206,7.85,7.94,7.85,7.94,406
EIOF,20171205,7.90,7.90,7.85,7.85,5900
EIOF,20171204,8.00,8.00,7.85,7.96,11739
EIOF,20171201,8.10,8.10,8.10,8.10,500
EIOF,20171128,8.00,8.05,8.00,8.05,119
EIOF,20171127,8.06,8.06,7.95,7.95,7855
EIOF,20171124,8.35,8.45,8.30,8.30,7714
EIOF,20171123,8.20,8.50,8.20,8.39,12706
EIOF,20171121,8.18,8.18,8.16,8.17,3190
EIOF,20171120,7.90,8.18,7.90,8.18,500
EIOF,20171117,7.90,7.90,7.90,7.90,302
EIOF,20171116,8.03,8.18,7.95,8.00,6153
EIOF,20171115,8.30,8.33,8.03,8.20,13245
EIOF,20171114,7.93,8.20,7.93,8.20,23254
EIOF,20171113,7.61,7.82,7.61,7.82,16387
EIOF,20171110,7.61,7.62,7.52,7.52,5379
EIOF,20171109,7.62,7.62,7.62,7.62,250
EIOF,20171108,7.40,7.62,7.40,7.62,2100
EIOF,20171107,7.36,7.40,7.36,7.40,2400
EIOF,20171106,7.54,7.54,7.54,7.54,5570
EIOF,20171103,7.70,7.70,7.70,7.70,3000
EIOF,20171102,7.71,7.71,7.71,7.71,250
EIOF,20171101,7.83,7.83,7.80,7.80,1350
EIOF,20171031,7.60,7.83,7.60,7.83,9055
EIOF,20171030,7.60,7.60,7.60,7.60,50
EIOF,20171026,7.60,7.60,7.50,7.50,6291
EIOF,20171025,7.50,7.60,7.39,7.60,4187
EIOF,20171024,7.67,7.74,7.61,7.70,30346
EIOF,20171023,7.65,7.65,7.65,7.65,600
EIOF,20171020,7.55,7.64,7.50,7.50,6100
EIOF,20171019,7.74,7.83,7.74,7.74,3101
EIOF,20171018,7.41,7.74,7.41,7.74,16220
EIOF,20171017,7.68,7.68,7.68,7.68,30
EIOF,20171016,7.20,7.74,7.20,7.68,18835
EIOF,20171013,7.22,7.22,7.10,7.10,1700
EIOF,20171006,7.26,7.26,7.26,7.26,200
EIOF,20171005,7.26,7.26,7.26,7.26,100
EIOF,20171004,7.18,7.18,7.17,7.17,5330
EIOF,20171003,7.17,7.25,7.17,7.25,4165
EIOF,20171002,7.28,7.28,7.23,7.23,14782
EIOF,20170929,7.35,7.55,7.25,7.28,11436
EIOF,20170928,7.55,7.55,7.55,7.55,12225
EIOF,20170927,7.33,7.55,7.25,7.55,16883
EIOF,20170926,7.13,7.50,6.87,7.34,28895
EIOF,20170925,7.02,7.02,7.02,7.02,50
EIOF,20170922,7.03,7.03,7.03,7.03,5000
EIOF,20170921,6.90,6.90,6.79,6.79,1754
EIOF,20170920,6.99,6.99,6.90,6.90,2900
EIOF,20170918,7.00,7.00,6.80,6.80,4500
EIOF,20170914,7.15,7.15,6.90,6.90,13000
EIOF,20170913,7.00,7.10,6.90,7.10,19893
EIOF,20170912,6.90,6.95,6.90,6.90,3002
EIOF,20170911,6.95,6.95,6.95,6.95,7000
EIOF,20170908,6.94,6.94,6.91,6.91,1540
EIOF,20170907,6.93,6.93,6.93,6.93,6151
EIOF,20170906,6.90,6.91,6.90,6.90,844237
EIOF,20170905,6.80,6.88,6.80,6.87,7063
EIOF,20170904,6.50,6.90,6.50,6.87,4233
EIOF,20170901,7.10,7.10,6.80,7.02,31543
EIOF,20170831,7.20,7.41,7.18,7.25,36888
EIOF,20170830,7.01,7.22,6.90,7.20,36903
EIOF,20170829,7.84,7.84,6.95,6.99,39452
EIOF,20170828,7.00,8.60,6.95,7.56,207840
EIOF,20170825,5.81,7.40,5.81,6.95,146193
EIOF,20170822,5.60,5.60,5.60,5.60,18027
EIOF,20170818,5.80,5.80,5.80,5.80,500
EIOF,20170816,5.70,5.70,5.70,5.70,2000
EIOF,20170814,5.60,5.60,5.60,5.60,200
EIOF,20170808,5.80,5.80,5.80,5.80,1506
EIOF,20170804,5.79,5.79,5.75,5.75,613
EIOF,20170802,5.59,5.59,5.59,5.59,500
EIOF,20170728,5.59,5.59,5.59,5.59,100
EIOF,20170727,5.78,5.79,5.78,5.79,1029
EIOF,20170724,5.68,5.68,5.68,5.68,5500
EIOF,20170718,5.63,5.64,5.59,5.59,8348
EIOF,20170714,5.50,5.50,5.43,5.43,7936
EIOF,20170711,5.30,5.30,5.30,5.30,200
EIOF,20170710,5.40,5.40,5.40,5.40,766
EIOF,20170707,5.50,5.50,5.32,5.32,200
EIOF,20170706,5.35,5.35,5.35,5.35,4330
EIOF,20170705,5.37,5.37,5.37,5.37,1270
EIOF,20170703,5.30,5.30,5.30,5.30,75
EIOF,20170627,5.42,5.42,5.30,5.30,8775
EIOF,20170623,5.42,5.42,5.42,5.42,420
EIOF,20170622,5.59,5.59,5.56,5.56,4041
EIOF,20170620,5.59,5.59,5.59,5.59,2150
EIOF,20170619,5.67,5.67,5.30,5.30,20113
EIOF,20170614,5.81,5.81,5.80,5.80,16633
EIOF,20170608,5.97,5.97,5.97,5.97,700
EIOF,20170606,6.02,6.02,6.02,6.02,500
EIOF,20170602,5.92,5.92,5.92,5.92,6021
EIOF,20170531,6.21,6.21,6.02,6.02,4434
