<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
EMGS,20180504,2.94,2.94,2.77,2.82,67467
EMGS,20180503,2.94,2.94,2.77,2.82,67467
EMGS,20180502,2.71,3.0,2.71,2.82,156464
EMGS,20180430,2.69,2.75,2.65,2.65,25598
EMGS,20180427,2.78,2.78,2.65,2.69,85748
EMGS,20180426,2.75,2.78,2.68,2.78,120288
EMGS,20180425,2.72,2.87,2.72,2.72,98231
EMGS,20180424,2.7,2.83,2.66,2.72,106287
EMGS,20180423,2.81,2.81,2.69,2.71,106258
EMGS,20180420,2.85,2.95,2.72,2.8,169742
EMGS,20180419,2.65,3.0,2.65,2.78,619467
EMGS,20180418,2.64,2.69,2.62,2.65,193210
EMGS,20180417,2.68,2.75,2.63,2.73,265380
EMGS,20180416,2.82,2.99,2.68,2.75,240649
EMGS,20180413,2.75,2.95,2.75,2.9,124468
EMGS,20180412,2.85,2.96,2.8,2.8,93272
EMGS,20180411,2.97,2.97,2.85,2.85,16696
EMGS,20180410,2.86,2.9,2.7,2.9,299121
EMGS,20180409,2.92,2.92,2.8,2.81,188212
EMGS,20180406,3.04,3.17,2.87,3.01,176922
EMGS,20180405,3.25,3.25,2.85,3.05,124492
EMGS,20180404,3.29,3.29,2.78,3.1,153537
EMGS,20180403,3.15,3.25,3.0,3.2,297365
EMGS,20180328,3.29,3.29,3.1,3.29,12093
EMGS,20180327,3.3,3.39,3.15,3.33,209111
EMGS,20180326,3.4,3.61,3.1,3.13,297435
EMGS,20180323,3.94,3.97,3.51,3.61,937245
EMGS,20180322,2.76,4.39,2.75,4.09,2999420
EMGS,20180321,2.75,2.77,2.68,2.77,28589
EMGS,20180320,2.72,2.8,2.72,2.8,18739
EMGS,20180319,2.8,2.83,2.71,2.71,21088
EMGS,20180316,2.76,2.83,2.74,2.81,39260
EMGS,20180315,2.87,2.87,2.75,2.75,25231
EMGS,20180314,2.74,2.87,2.74,2.81,23791
EMGS,20180313,2.84,2.84,2.74,2.75,79497
EMGS,20180312,2.88,2.88,2.71,2.87,7432
EMGS,20180309,2.77,2.9,2.75,2.81,234608
EMGS,20180308,2.78,2.95,2.78,2.83,72307
EMGS,20180307,2.81,2.87,2.77,2.77,94479
EMGS,20180306,2.77,2.88,2.76,2.85,103928
EMGS,20180305,2.74,2.89,2.7,2.72,163144
EMGS,20180302,3.5,3.5,2.7,2.74,1377151
EMGS,20180301,4.14,4.14,3.87,3.95,10219
EMGS,20180228,3.95,4.14,3.9,4.14,48735
EMGS,20180227,4.0,4.06,4.0,4.04,4500
EMGS,20180226,4.0,4.09,3.98,4.0,52480
EMGS,20180223,4.09,4.2,3.94,4.2,51016
EMGS,20180222,4.0,4.05,4.0,4.05,5180
EMGS,20180221,4.06,4.1,3.9,3.9,18225
EMGS,20180220,3.9,4.07,3.9,4.0,27445
EMGS,20180219,3.89,4.1,3.88,3.9,17020
EMGS,20180216,4.18,4.18,3.75,3.88,17311
EMGS,20180215,4.1,4.24,4.1,4.1,24158
EMGS,20180214,3.81,4.09,3.81,4.09,9716
EMGS,20180213,3.9,4.1,3.82,3.92,88851
EMGS,20180212,4.19,4.19,3.92,3.92,56288
EMGS,20180209,3.97,4.14,3.95,4.14,5629
EMGS,20180208,4.2,4.2,4.04,4.14,34448
EMGS,20180207,4.12,4.19,4.08,4.14,155360
EMGS,20180206,4.1,4.1,3.71,3.91,356623
EMGS,20180205,4.38,4.46,4.17,4.3,69342
EMGS,20180202,4.5,4.67,4.4,4.46,157212
EMGS,20180201,4.68,4.7,4.4,4.68,68043
EMGS,20180131,4.69,4.72,4.6,4.7,13389
EMGS,20180130,4.95,4.95,4.6,4.72,74397
EMGS,20180129,4.75,4.97,4.66,4.97,52310
EMGS,20180126,4.8,4.9,4.73,4.73,77849
EMGS,20180125,4.77,4.85,4.77,4.8,13938
EMGS,20180124,4.87,4.91,4.66,4.7,84621
EMGS,20180123,5.0,5.02,4.81,4.91,63409
EMGS,20180122,4.91,4.92,4.82,4.9,43106
EMGS,20180119,4.9,4.95,4.68,4.95,146478
EMGS,20180118,5.12,5.26,5.0,5.0,375797
EMGS,20180117,4.74,5.0,4.6,5.0,455057
EMGS,20180116,4.26,4.58,4.17,4.58,177334
EMGS,20180115,4.1,4.3,4.03,4.26,134038
EMGS,20180112,4.13,4.13,4.04,4.05,38236
EMGS,20180111,3.91,4.14,3.91,4.14,170235
EMGS,20180110,4.03,4.19,3.9,3.9,161426
EMGS,20180109,4.02,4.23,4.02,4.03,66695
EMGS,20180108,4.1,4.19,3.96,4.04,183566
EMGS,20180105,4.25,4.25,4.0,4.12,314641
EMGS,20180104,4.29,4.54,4.28,4.4,94947
EMGS,20180103,4.38,4.4,4.29,4.35,127976
EMGS,20180102,4.59,4.59,4.35,4.38,149253
EMGS,20171229,4.3,4.51,4.25,4.49,477075
EMGS,20171228,4.05,4.4,4.0,4.25,477358
EMGS,20171227,3.9,4.1,3.8,3.98,191646
EMGS,20171222,3.8,3.95,3.73,3.95,227109
EMGS,20171221,3.7,3.84,3.66,3.79,76276
EMGS,20171220,3.76,3.89,3.55,3.55,91331
EMGS,20171219,3.55,3.86,3.55,3.75,124353
EMGS,20171218,3.66,3.7,3.6,3.6,49181
EMGS,20171215,3.7,3.8,3.66,3.66,22100
EMGS,20171214,3.8,3.94,3.7,3.7,104852
EMGS,20171213,3.77,3.9,3.58,3.7,185516
EMGS,20171212,3.55,3.8,3.5,3.77,19625
EMGS,20171211,3.59,3.6,3.5,3.6,49289
EMGS,20171208,3.5,3.69,3.5,3.6,62195
EMGS,20171207,3.41,3.73,3.41,3.61,82709
EMGS,20171206,3.4,3.54,3.4,3.41,14552
EMGS,20171205,3.54,3.6,3.4,3.4,202621
EMGS,20171204,3.51,3.65,3.41,3.58,68775
EMGS,20171201,3.7,3.74,3.5,3.66,80200
EMGS,20171130,3.66,3.74,3.63,3.66,7949
EMGS,20171129,3.79,3.8,3.6,3.66,24056
EMGS,20171128,3.76,3.8,3.57,3.8,19651
EMGS,20171127,3.75,3.77,3.57,3.77,40902
EMGS,20171124,3.88,3.88,3.75,3.75,13412
EMGS,20171123,3.75,3.87,3.75,3.87,9551
EMGS,20171122,3.71,4.0,3.71,3.74,76590
EMGS,20171121,3.84,3.85,3.71,3.71,63826
EMGS,20171120,3.87,3.89,3.7,3.73,121932
EMGS,20171117,3.85,3.9,3.81,3.86,28766
EMGS,20171116,3.77,3.99,3.77,3.85,12687
EMGS,20171115,3.88,4.0,3.7,3.7,48456
EMGS,20171114,3.98,4.05,3.83,3.85,92387
EMGS,20171113,4.0,4.1,4.0,4.05,134811
EMGS,20171110,4.0,4.2,4.0,4.0,185492
EMGS,20171109,3.78,3.95,3.7,3.9,100043
EMGS,20171108,3.95,3.95,3.65,3.78,176059
EMGS,20171107,4.14,4.29,3.65,3.89,738841
EMGS,20171106,3.3,4.09,3.28,4.09,1462519
EMGS,20171103,3.3,3.3,3.17,3.17,113327
EMGS,20171102,3.15,3.46,3.0,3.32,808351
EMGS,20171101,2.85,2.93,2.7,2.91,69618
EMGS,20171031,2.92,2.95,2.85,2.85,42176
EMGS,20171030,3.03,3.03,2.9,2.95,43875
EMGS,20171027,3.05,3.14,2.94,3.03,20780
EMGS,20171026,3.13,3.14,2.95,3.03,43744
EMGS,20171025,3.1,3.13,3.02,3.04,56717
EMGS,20171024,3.1,3.12,3.1,3.1,45227
EMGS,20171023,3.06,3.2,3.06,3.15,140175
EMGS,20171020,3.1,3.2,3.05,3.14,73038
EMGS,20171019,3.2,3.2,3.02,3.2,167246
EMGS,20171018,3.2,3.36,3.1,3.21,492120
EMGS,20171017,2.98,3.05,2.8,3.05,84158
EMGS,20171016,2.85,3.0,2.78,2.95,26515
EMGS,20171013,2.95,3.1,2.86,2.86,173961
EMGS,20171012,2.91,2.91,2.65,2.83,86678
EMGS,20171011,3.0,3.0,2.85,2.87,53356
EMGS,20171010,3.11,3.11,2.85,2.94,144184
EMGS,20171009,3.13,3.26,3.01,3.11,243003
EMGS,20171006,2.94,3.1,2.85,3.09,143614
EMGS,20171005,2.95,2.95,2.81,2.94,189790
EMGS,20171004,2.76,2.9,2.71,2.9,118758
EMGS,20171003,2.7,2.84,2.6,2.76,100495
EMGS,20171002,2.87,3.04,2.65,2.67,234651
EMGS,20170929,2.88,2.94,2.8,2.87,84102
EMGS,20170928,2.93,2.95,2.81,2.88,154398
EMGS,20170927,3.26,3.28,2.8,2.92,573838
EMGS,20170926,2.99,3.44,2.99,3.26,1444482
EMGS,20170925,2.47,3.17,2.47,2.87,1313762
EMGS,20170922,2.2,2.5,2.2,2.4,318971
EMGS,20170921,2.27,2.36,2.24,2.31,75177
EMGS,20170920,2.35,2.35,2.26,2.27,24380
EMGS,20170919,2.19,2.44,2.19,2.3,48980
EMGS,20170918,2.21,2.3,2.21,2.3,73779
EMGS,20170915,2.12,2.24,2.12,2.24,12960
EMGS,20170914,2.1,2.21,2.1,2.11,22309
EMGS,20170913,2.2,2.2,2.1,2.1,83387
EMGS,20170912,2.2,2.29,2.15,2.22,105077
EMGS,20170911,2.18,2.33,2.15,2.2,151334
EMGS,20170908,2.16,2.18,2.15,2.18,64087
EMGS,20170907,2.13,2.18,2.12,2.14,32576
EMGS,20170906,2.15,2.16,2.14,2.14,73264
EMGS,20170905,2.09,2.18,2.01,2.15,47232
EMGS,20170904,2.08,2.15,2.08,2.15,1805
EMGS,20170901,2.22,2.22,1.8,2.09,215640
EMGS,20170831,2.15,2.18,2.15,2.18,28622
EMGS,20170830,2.18,2.23,2.05,2.15,130678
EMGS,20170829,2.19,2.23,2.17,2.18,52666
EMGS,20170828,2.22,2.22,2.17,2.17,15780
EMGS,20170825,2.15,2.22,2.15,2.21,95584
EMGS,20170824,2.18,2.2,2.07,2.17,17288
EMGS,20170823,2.11,2.19,2.05,2.19,40082
EMGS,20170822,2.19,2.22,2.13,2.13,44307
EMGS,20170821,2.2,2.23,2.05,2.18,191261
EMGS,20170818,2.25,2.29,2.08,2.23,107377
EMGS,20170817,2.22,2.26,2.22,2.26,11883
EMGS,20170816,2.28,2.3,2.21,2.22,68043
EMGS,20170815,2.21,2.33,2.2,2.26,100824
EMGS,20170814,2.3,2.48,2.28,2.33,84954
EMGS,20170811,2.32,2.32,2.2,2.27,211625
EMGS,20170810,2.39,2.4,2.36,2.36,68391
EMGS,20170809,2.39,2.47,2.39,2.39,94319
EMGS,20170808,2.47,2.5,2.35,2.35,259657
EMGS,20170807,2.47,2.52,2.45,2.45,49257
EMGS,20170804,2.47,2.52,2.46,2.49,58351
EMGS,20170803,2.49,2.53,2.49,2.51,77059
EMGS,20170802,2.59,2.59,2.49,2.49,80430
EMGS,20170801,2.55,2.68,2.52,2.59,542517
EMGS,20170731,2.55,2.62,2.4,2.54,93166
EMGS,20170728,2.44,2.55,2.43,2.55,112878
EMGS,20170727,2.5,2.55,2.43,2.44,236932
EMGS,20170726,2.44,2.46,2.44,2.45,15858
EMGS,20170725,2.47,2.5,2.44,2.44,92755
EMGS,20170724,2.5,2.5,2.49,2.5,50688
EMGS,20170721,2.49,2.5,2.45,2.45,119691
EMGS,20170720,2.5,2.5,2.45,2.5,12000
EMGS,20170719,2.48,2.5,2.44,2.5,118067
EMGS,20170718,2.43,2.47,2.41,2.43,175626
EMGS,20170717,2.73,2.73,2.43,2.46,415636
EMGS,20170714,2.7,2.7,2.51,2.57,39508
EMGS,20170713,2.79,2.79,2.6,2.68,24845
EMGS,20170712,2.68,2.75,2.48,2.64,89166
EMGS,20170711,2.79,2.79,2.68,2.68,15526
EMGS,20170710,2.59,2.74,2.59,2.69,18320
EMGS,20170707,3.1,3.1,2.6,2.69,187637
EMGS,20170706,3.0,3.0,2.71,2.92,48921
EMGS,20170705,2.75,3.12,2.66,3.0,161103
