<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
GSF,20180516,87.15,89.2,86.75,88.3,295534
GSF,20180515,87.15,89.2,86.75,88.3,295534
GSF,20180514,87.15,89.2,86.75,88.3,295534
GSF,20180511,87.15,89.2,86.75,88.3,295534
GSF,20180509,87.15,89.2,86.75,88.3,295534
GSF,20180508,87.15,89.2,86.75,88.3,295534
GSF,20180507,87.15,89.2,86.75,88.3,295534
GSF,20180504,87.15,89.2,86.75,88.3,295534
GSF,20180503,87.15,89.2,86.75,88.3,295534
GSF,20180502,86.15,87.1,84.15,87.1,471770
GSF,20180430,89.65,89.65,83.5,86.25,630255
GSF,20180427,88.95,90.0,88.3,90.0,472691
GSF,20180426,87.4,88.95,86.55,88.95,269078
GSF,20180425,85.75,87.85,84.9,87.4,449723
GSF,20180424,86.45,86.8,85.0,85.75,270618
GSF,20180423,85.0,87.5,84.85,86.35,355837
GSF,20180420,86.0,86.45,84.75,85.5,778622
GSF,20180419,87.75,88.5,85.75,86.0,547637
GSF,20180418,86.5,89.8,86.05,87.3,581104
GSF,20180417,87.75,88.0,85.25,86.55,649582
GSF,20180416,86.9,88.7,86.8,88.0,587508
GSF,20180413,86.4,89.3,84.0,86.9,1039215
GSF,20180412,85.0,86.45,83.55,86.4,750739
GSF,20180411,84.0,86.4,82.75,85.5,918428
GSF,20180410,82.0,84.0,81.0,84.0,1565867
GSF,20180409,75.7,78.7,75.5,78.3,607544
GSF,20180406,72.5,76.0,72.4,75.85,972892
GSF,20180405,72.3,73.45,71.05,72.4,558053
GSF,20180404,74.3,74.5,70.65,71.2,673764
GSF,20180403,72.35,74.9,71.6,74.55,572349
GSF,20180328,71.2,72.9,71.15,72.2,403875
GSF,20180327,70.6,72.1,70.6,72.0,377246
GSF,20180326,69.5,70.7,68.85,70.6,474914
GSF,20180323,68.2,70.35,66.2,69.7,730876
GSF,20180322,69.8,70.05,68.3,68.6,392157
GSF,20180321,71.35,71.8,69.75,70.05,263122
GSF,20180320,69.3,72.35,69.3,71.35,491509
GSF,20180319,69.6,70.6,68.6,69.5,427403
GSF,20180316,70.4,71.7,68.5,69.7,803933
GSF,20180315,71.8,72.05,70.05,70.3,734146
GSF,20180314,73.5,74.6,71.65,71.8,704719
GSF,20180313,75.2,75.35,73.1,73.3,719391
GSF,20180312,74.0,75.65,72.8,75.2,894387
GSF,20180309,74.0,75.4,73.15,73.7,1076742
GSF,20180308,72.5,74.5,71.0,74.0,727201
GSF,20180307,70.2,72.95,69.85,72.45,870776
GSF,20180306,71.0,72.15,70.1,70.2,482875
GSF,20180305,68.1,70.6,68.0,69.9,863483
GSF,20180302,68.5,69.05,67.1,67.5,492059
GSF,20180301,69.25,69.55,67.9,69.0,467074
GSF,20180228,68.8,70.0,67.9,69.75,525292
GSF,20180227,71.25,71.35,68.5,68.85,567283
GSF,20180226,72.35,72.8,70.65,71.35,665010
GSF,20180223,71.5,72.9,70.35,71.9,702097
GSF,20180222,67.45,71.9,67.3,71.5,1299300
GSF,20180221,67.7,68.2,66.8,67.75,546822
GSF,20180220,69.9,70.2,67.3,67.4,553105
GSF,20180219,69.5,71.65,69.35,70.05,374864
GSF,20180216,67.0,69.5,66.5,69.15,951060
GSF,20180215,68.9,69.85,66.85,67.0,1183738
GSF,20180214,73.2,74.0,70.6,71.5,331569
GSF,20180213,70.1,73.85,69.9,73.7,348810
GSF,20180212,72.7,72.7,70.0,70.6,339558
GSF,20180209,71.0,72.7,70.85,72.4,519413
GSF,20180208,68.5,72.9,68.5,72.65,587134
GSF,20180207,68.65,69.1,67.4,69.0,432706
GSF,20180206,68.5,68.75,65.95,67.75,533621
GSF,20180205,71.15,71.15,69.1,70.7,445785
GSF,20180202,69.3,71.95,69.3,70.9,520066
GSF,20180201,68.05,69.8,66.5,69.8,728155
GSF,20180131,67.45,68.9,67.4,68.2,408028
GSF,20180130,66.1,68.2,66.0,67.6,380993
GSF,20180129,68.95,68.95,66.1,66.2,190012
GSF,20180126,67.2,68.9,66.6,68.55,327218
GSF,20180125,68.15,68.7,67.55,67.9,295317
GSF,20180124,69.8,70.15,67.6,68.15,402308
GSF,20180123,70.5,71.0,69.25,70.1,257249
GSF,20180122,68.3,70.9,68.3,70.4,385252
GSF,20180119,67.4,68.95,66.85,68.3,245508
GSF,20180118,68.4,68.6,66.75,67.7,282293
GSF,20180117,70.7,70.8,68.0,68.3,660963
GSF,20180116,70.0,70.9,69.55,70.75,249527
GSF,20180115,71.2,71.3,69.0,69.35,528990
GSF,20180112,72.0,72.6,70.35,71.2,295103
GSF,20180111,72.65,72.75,71.2,71.55,318623
GSF,20180110,72.0,73.15,71.5,72.5,454605
GSF,20180109,71.95,72.35,70.9,72.0,352024
GSF,20180108,74.15,74.35,70.55,71.4,528964
GSF,20180105,70.5,74.5,70.5,73.75,580651
GSF,20180104,69.8,70.9,69.3,70.3,278432
GSF,20180103,70.8,71.25,69.4,69.5,441652
GSF,20180102,72.5,72.5,70.0,70.8,329077
GSF,20171229,72.3,72.6,71.35,72.25,192064
GSF,20171228,71.2,72.8,69.7,72.1,346447
GSF,20171227,69.0,70.85,69.0,70.75,182999
GSF,20171222,67.95,69.0,67.75,68.85,271328
GSF,20171221,68.0,68.55,66.65,67.95,463159
GSF,20171220,70.0,70.5,67.55,68.35,704910
GSF,20171219,70.45,71.15,69.5,70.35,465164
GSF,20171218,71.3,72.35,70.05,71.1,384637
GSF,20171215,71.0,72.75,69.6,71.1,751760
GSF,20171214,76.35,76.35,70.05,70.3,1459719
GSF,20171213,75.8,77.5,75.4,77.4,537476
GSF,20171212,74.6,75.85,73.55,75.8,307973
GSF,20171211,73.5,75.0,72.75,74.6,249191
GSF,20171208,75.75,76.0,73.0,73.25,458044
GSF,20171207,76.0,76.2,74.8,75.5,199703
GSF,20171206,74.9,76.25,73.6,76.0,296850
GSF,20171205,76.4,76.4,74.45,75.0,265467
GSF,20171204,77.0,78.0,75.6,76.3,335910
GSF,20171201,75.9,76.45,74.45,76.0,377000
GSF,20171130,74.75,75.75,73.5,75.75,555842
GSF,20171129,76.3,76.75,74.0,74.7,611685
GSF,20171128,75.75,76.75,75.45,76.3,477004
GSF,20171127,75.55,76.8,74.65,75.75,436631
GSF,20171124,78.6,79.95,74.75,75.3,839664
GSF,20171123,79.85,79.85,78.5,78.6,336347
GSF,20171122,80.1,82.2,78.95,79.45,504112
