<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
HAVI,20180504,9.72,9.8,9.72,9.8,5332
HAVI,20180503,9.72,9.8,9.72,9.8,5332
HAVI,20180502,9.79,9.8,9.69,9.72,14088
HAVI,20180430,9.61,9.79,9.61,9.79,10564
HAVI,20180427,9.64,9.85,9.6,9.8,31915
HAVI,20180426,9.5,9.64,9.5,9.64,15928
HAVI,20180425,9.48,9.59,9.48,9.5,13674
HAVI,20180424,9.55,9.7,9.45,9.65,106242
HAVI,20180423,9.4,9.64,9.4,9.55,82906
HAVI,20180420,9.49,9.5,9.35,9.4,80345
HAVI,20180419,9.63,9.8,9.3,9.4,230697
HAVI,20180418,9.21,9.68,9.21,9.24,32726
HAVI,20180417,9.61,9.61,9.19,9.21,131306
HAVI,20180416,9.5,9.8,9.5,9.57,41517
HAVI,20180413,9.8,9.95,9.3,9.4,52713
HAVI,20180412,9.44,9.9,9.2,9.82,91487
HAVI,20180411,9.3,9.5,9.18,9.46,74930
HAVI,20180410,9.35,9.5,9.2,9.2,72485
HAVI,20180409,9.3,9.5,9.25,9.48,9487
HAVI,20180406,9.45,9.64,9.26,9.3,34758
HAVI,20180405,9.56,9.96,9.35,9.4,51246
HAVI,20180404,9.5,9.61,9.35,9.4,6616
HAVI,20180403,9.42,9.9,9.42,9.72,5820
HAVI,20180328,9.45,9.45,9.42,9.42,4000
HAVI,20180327,9.43,9.94,9.4,9.62,17000
HAVI,20180326,9.52,9.95,9.4,9.4,18988
HAVI,20180323,9.42,10.34,9.3,9.49,111362
HAVI,20180322,9.73,9.73,9.32,9.4,24288
HAVI,20180321,9.86,9.87,9.81,9.87,2927
HAVI,20180320,10.12,10.12,9.81,9.99,6741
HAVI,20180319,9.95,10.12,9.9,10.12,1234
HAVI,20180316,10.02,10.02,9.73,9.73,10291
HAVI,20180315,10.06,10.24,10.0,10.02,10926
HAVI,20180314,10.28,10.28,9.75,10.08,13185
HAVI,20180313,10.08,10.3,9.96,10.28,9803
HAVI,20180312,10.08,10.3,9.71,9.95,22969
HAVI,20180309,10.3,10.32,10.02,10.26,17027
HAVI,20180308,10.58,10.58,10.12,10.3,6123
HAVI,20180307,10.02,10.5,10.02,10.1,44210
HAVI,20180306,10.08,10.2,10.0,10.0,42388
HAVI,20180305,10.02,10.1,10.0,10.08,19868
HAVI,20180302,10.0,10.06,10.0,10.06,6442
HAVI,20180301,10.0,10.1,10.0,10.08,23686
HAVI,20180228,10.2,10.36,10.2,10.2,6010
HAVI,20180227,10.36,10.36,10.04,10.18,12792
HAVI,20180226,10.66,10.66,10.28,10.36,10598
HAVI,20180223,9.96,10.68,9.85,10.02,47853
HAVI,20180222,10.3,10.3,9.81,9.84,9502
