<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OSE5510GI,20180504,965.48,969.09,957.62,963.75,0
OSE5510GI,20180503,965.48,969.09,957.62,963.75,0
OSE5510GI,20180502,970.71,973.6,964.4,965.48,0
OSE5510GI,20180430,981.88,987.69,966.94,970.71,0
OSE5510GI,20180427,971.3,1005.86,975.06,981.88,0
OSE5510GI,20180426,968.64,976.0,966.61,971.3,0
OSE5510GI,20180425,973.39,973.18,960.71,968.64,0
OSE5510GI,20180424,973.84,980.18,973.38,973.39,0
OSE5510GI,20180423,952.18,977.41,951.93,973.84,0
OSE5510GI,20180420,960.49,960.49,942.49,952.18,0
OSE5510GI,20180419,960.08,963.71,952.8,960.49,0
OSE5510GI,20180418,955.02,961.29,955.28,960.08,0
OSE5510GI,20180417,955.94,958.02,937.96,955.02,0
OSE5510GI,20180416,942.66,959.06,943.18,955.94,0
OSE5510GI,20180413,919.66,955.81,920.13,942.66,0
OSE5510GI,20180412,947.39,948.68,914.43,919.66,0
OSE5510GI,20180411,942.28,953.9,942.28,947.39,0
OSE5510GI,20180410,903.18,951.56,885.95,942.28,0
OSE5510GI,20180409,890.67,944.09,876.36,903.18,0
OSE5510GI,20180406,871.07,902.33,870.6,890.67,0
OSE5510GI,20180405,848.97,872.89,852.08,871.07,0
OSE5510GI,20180404,837.76,859.16,833.99,848.97,0
OSE5510GI,20180403,840.04,844.78,837.24,837.76,0
OSE5510GI,20180328,839.86,842.25,834.52,840.04,0
OSE5510GI,20180327,825.14,840.38,828.28,839.86,0
OSE5510GI,20180326,824.21,826.96,814.07,825.14,0
OSE5510GI,20180323,819.67,824.45,814.73,824.21,0
OSE5510GI,20180322,822.78,824.22,819.67,819.67,0
OSE5510GI,20180321,827.65,837.04,822.78,822.78,0
OSE5510GI,20180320,812.71,827.65,809.81,827.65,0
OSE5510GI,20180319,817.23,820.31,810.45,812.71,0
OSE5510GI,20180316,814.68,824.22,812.09,817.23,0
OSE5510GI,20180315,810.63,818.4,808.51,814.68,0
OSE5510GI,20180314,830.41,832.02,808.19,810.63,0
OSE5510GI,20180313,809.13,836.72,808.16,830.41,0
OSE5510GI,20180312,821.11,821.75,802.79,809.13,0
OSE5510GI,20180309,813.15,821.75,811.54,821.11,0
OSE5510GI,20180308,805.11,813.8,799.27,813.15,0
OSE5510GI,20180307,797.48,809.63,804.79,805.11,0
OSE5510GI,20180306,816.14,820.19,797.48,797.48,0
OSE5510GI,20180305,798.65,819.55,793.63,816.14,0
OSE5510GI,20180302,803.67,805.14,798.33,798.65,0
OSE5510GI,20180301,817.61,816.96,772.03,803.67,0
OSE5510GI,20180228,826.53,826.53,814.7,817.61,0
OSE5510GI,20180227,823.45,828.47,821.37,826.53,0
OSE5510GI,20180226,799.12,827.5,804.64,823.45,0
OSE5510GI,20180223,798.3,804.14,787.44,799.12,0
OSE5510GI,20180222,767.63,809.33,761.97,798.3,0
OSE5510GI,20180221,772.0,772.0,766.66,767.63,0
OSE5510GI,20180220,773.3,773.47,766.66,772.0,0
OSE5510GI,20180219,747.97,779.46,747.97,773.3,0
OSE5510GI,20180216,735.35,748.94,731.3,747.97,0
OSE5510GI,20180215,729.36,743.12,735.35,735.35,0
OSE5510GI,20180214,734.88,740.22,729.04,729.36,0
OSE5510GI,20180213,727.22,741.69,725.28,734.88,0
OSE5510GI,20180212,720.93,730.62,722.2,727.22,0
OSE5510GI,20180209,730.48,722.87,709.43,720.93,0
OSE5510GI,20180208,722.05,732.91,710.2,730.48,0
OSE5510GI,20180207,719.94,736.64,720.58,722.05,0
OSE5510GI,20180206,733.23,719.94,686.39,719.94,0
OSE5510GI,20180205,746.03,747.32,729.69,733.23,0
OSE5510GI,20180202,755.75,755.24,744.1,746.03,0
OSE5510GI,20180201,760.58,765.42,747.97,755.75,0
OSE5510GI,20180131,759.76,763.16,757.18,760.58,0
OSE5510GI,20180130,765.56,766.21,757.82,759.76,0
OSE5510GI,20180129,771.65,774.41,761.05,765.56,0
OSE5510GI,20180126,791.04,791.04,758.79,771.65,0
OSE5510GI,20180125,801.36,801.36,788.78,791.04,0
OSE5510GI,20180124,802.01,805.23,795.56,801.36,0
OSE5510GI,20180123,800.72,802.01,797.49,802.01,0
OSE5510GI,20180122,799.25,802.83,794.73,800.72,0
OSE5510GI,20180119,797.03,801.54,791.97,799.25,0
OSE5510GI,20180118,792.61,797.67,784.51,797.03,0
OSE5510GI,20180117,778.53,796.48,778.53,792.61,0
OSE5510GI,20180116,777.24,781.93,777.24,778.53,0
OSE5510GI,20180115,778.17,787.92,776.88,777.24,0
OSE5510GI,20180112,776.41,778.99,774.94,778.17,0
OSE5510GI,20180111,782.86,784.15,772.36,776.41,0
OSE5510GI,20180110,782.86,792.72,782.22,782.86,0
OSE5510GI,20180109,772.22,787.56,774.98,782.86,0
OSE5510GI,20180108,774.98,775.3,765.73,772.22,0
OSE5510GI,20180105,763.29,775.3,763.29,774.98,0
OSE5510GI,20180104,761.5,769.78,756.98,763.29,0
OSE5510GI,20180103,758.74,776.59,758.45,761.5,0
OSE5510GI,20180102,757.49,795.27,754.5,758.74,0
OSE5510GI,20171229,755.42,775.95,750.59,757.49,0
OSE5510GI,20171228,742.58,759.74,743.22,755.42,0
OSE5510GI,20171227,758.12,858.12,727.62,742.58,0
OSE5510GI,20171222,754.58,758.12,753.2,758.12,0
OSE5510GI,20171221,744.92,755.23,740.27,754.58,0
OSE5510GI,20171220,743.12,748.16,742.53,744.92,0
OSE5510GI,20171219,744.84,746.71,743.12,743.12,0
OSE5510GI,20171218,735.95,745.43,734.76,744.84,0
OSE5510GI,20171215,728.09,735.95,726.98,735.95,0
OSE5510GI,20171214,724.58,729.97,725.18,728.09,0
OSE5510GI,20171213,721.59,728.77,721.59,724.58,0
OSE5510GI,20171212,712.79,721.59,712.79,721.59,0
OSE5510GI,20171211,715.44,717.79,707.16,712.79,0
OSE5510GI,20171208,704.55,717.32,704.55,715.44,0
OSE5510GI,20171207,703.05,714.76,700.57,704.55,0
OSE5510GI,20171206,719.58,720.77,700.45,703.05,0
OSE5510GI,20171205,717.75,728.76,715.69,719.58,0
OSE5510GI,20171204,710.15,717.75,710.75,717.75,0
OSE5510GI,20171201,706.01,712.16,701.27,710.15,0
OSE5510GI,20171130,693.67,706.01,693.07,706.01,0
OSE5510GI,20171129,692.98,694.9,688.54,693.67,0
OSE5510GI,20171128,687.86,692.98,679.75,692.98,0
OSE5510GI,20171127,693.24,695.63,684.1,687.86,0
OSE5510GI,20171124,686.93,695.03,682.74,693.24,0
OSE5510GI,20171123,684.53,686.93,677.53,686.93,0
OSE5510GI,20171122,669.33,685.13,671.13,684.53,0
OSE5510GI,20171121,685.42,685.42,669.33,669.33,0
OSE5510GI,20171120,680.85,685.42,679.1,685.42,0
OSE5510GI,20171117,680.9,685.38,679.4,680.85,0
OSE5510GI,20171116,679.15,686.02,677.35,680.9,0
OSE5510GI,20171115,683.98,693.58,677.95,679.15,0
OSE5510GI,20171114,691.83,696.7,654.51,683.98,0
OSE5510GI,20171113,682.14,693.62,677.35,691.83,0
OSE5510GI,20171110,682.74,683.34,679.15,682.14,0
OSE5510GI,20171109,685.0,685.94,680.34,682.74,0
OSE5510GI,20171108,697.3,696.57,683.21,685.0,0
OSE5510GI,20171107,692.3,698.71,693.71,697.3,0
OSE5510GI,20171106,682.35,693.5,680.34,692.3,0
OSE5510GI,20171103,680.34,682.35,675.56,682.35,0
OSE5510GI,20171102,689.74,702.42,679.75,680.34,0
OSE5510GI,20171101,699.57,698.97,682.74,689.74,0
OSE5510GI,20171031,697.34,706.49,696.74,699.57,0
OSE5510GI,20171030,686.66,697.94,686.66,697.34,0
OSE5510GI,20171027,684.7,690.25,682.74,686.66,0
