<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OSESX,20180516,691.01,692.61,687.11,688.63,0
OSESX,20180515,691.01,692.61,687.11,688.63,0
OSESX,20180514,691.01,692.61,687.11,688.63,0
OSESX,20180511,691.01,692.61,687.11,688.63,0
OSESX,20180509,691.01,692.61,687.11,688.63,0
OSESX,20180508,691.01,692.61,687.11,688.63,0
OSESX,20180507,691.01,692.61,687.11,688.63,0
OSESX,20180504,691.01,692.61,687.11,688.63,0
OSESX,20180503,691.01,692.61,687.11,688.63,0
OSESX,20180502,679.85,691.97,679.63,691.01,0
OSESX,20180430,678.66,680.83,676.0,679.85,0
OSESX,20180427,679.01,683.05,677.33,678.66,0
OSESX,20180426,671.03,679.24,670.98,679.01,0
OSESX,20180425,681.11,681.1,670.6,671.03,0
OSESX,20180424,685.11,688.36,680.44,681.11,0
OSESX,20180423,680.61,688.21,680.35,685.11,0
OSESX,20180420,684.91,685.88,680.6,680.61,0
OSESX,20180419,685.15,694.14,684.04,684.91,0
OSESX,20180418,676.28,685.81,676.43,685.15,0
OSESX,20180417,663.15,676.67,663.23,676.28,0
OSESX,20180416,662.88,666.4,661.18,663.15,0
OSESX,20180413,658.59,664.64,658.68,662.88,0
OSESX,20180412,651.15,658.89,651.15,658.59,0
OSESX,20180411,653.98,656.42,647.98,651.15,0
OSESX,20180410,640.27,654.32,640.27,653.98,0
OSESX,20180409,640.42,644.32,636.44,640.27,0
OSESX,20180406,637.54,641.16,636.21,640.42,0
OSESX,20180405,623.68,637.59,623.63,637.54,0
OSESX,20180404,636.23,637.66,618.08,623.68,0
OSESX,20180403,640.63,640.69,634.91,636.23,0
OSESX,20180328,642.34,642.37,636.27,640.63,0
OSESX,20180327,640.48,646.43,640.44,642.34,0
OSESX,20180326,644.74,644.8,639.98,640.48,0
OSESX,20180323,644.6,645.68,632.84,644.74,0
OSESX,20180322,654.55,655.37,644.3,644.6,0
OSESX,20180321,654.37,655.63,649.23,654.55,0
OSESX,20180320,651.14,654.44,649.36,654.37,0
OSESX,20180319,658.23,659.11,650.62,651.14,0
OSESX,20180316,662.78,664.13,655.31,658.23,0
OSESX,20180315,667.23,669.71,661.15,662.78,0
OSESX,20180314,671.37,671.76,666.79,667.23,0
OSESX,20180313,673.21,675.12,670.78,671.37,0
OSESX,20180312,674.96,679.8,673.07,673.21,0
OSESX,20180309,668.19,674.97,668.2,674.96,0
OSESX,20180308,663.43,668.33,663.24,668.19,0
OSESX,20180307,665.18,664.07,660.95,663.43,0
OSESX,20180306,654.79,666.29,654.79,665.18,0
OSESX,20180305,647.98,655.99,647.41,654.79,0
OSESX,20180302,659.94,659.93,646.55,647.98,0
OSESX,20180301,667.8,667.84,659.39,659.94,0
OSESX,20180228,667.4,667.8,662.34,667.8,0
OSESX,20180227,665.2,667.42,664.45,667.4,0
OSESX,20180226,663.7,669.11,663.71,665.2,0
OSESX,20180223,658.71,664.21,658.77,663.7,0
OSESX,20180222,657.06,658.71,650.84,658.71,0
OSESX,20180221,651.65,657.06,651.44,657.06,0
OSESX,20180220,646.38,651.88,646.3,651.65,0
OSESX,20180219,642.5,648.81,642.52,646.38,0
OSESX,20180216,639.1,644.31,639.52,642.5,0
OSESX,20180215,633.22,643.63,633.26,639.1,0
OSESX,20180214,634.6,638.79,630.33,633.22,0
OSESX,20180213,637.61,641.86,633.46,634.6,0
OSESX,20180212,627.17,639.33,627.14,637.61,0
OSESX,20180209,637.68,637.52,620.31,627.17,0
OSESX,20180208,637.99,638.79,633.77,637.68,0
OSESX,20180207,629.28,639.77,629.28,637.99,0
OSESX,20180206,643.56,643.53,608.04,629.28,0
OSESX,20180205,657.06,657.13,640.86,643.56,0
OSESX,20180202,660.89,665.36,655.56,657.06,0
OSESX,20180201,663.31,666.15,659.08,660.89,0
OSESX,20180131,664.78,667.33,661.2,663.31,0
OSESX,20180130,674.74,675.13,663.11,664.78,0
OSESX,20180129,682.12,687.08,674.67,674.74,0
OSESX,20180126,688.37,688.55,682.12,682.12,0
OSESX,20180125,692.15,692.27,687.03,688.37,0
OSESX,20180124,694.8,696.71,691.74,692.15,0
OSESX,20180123,692.98,695.96,692.58,694.8,0
OSESX,20180122,689.37,694.05,689.11,692.98,0
OSESX,20180119,683.99,689.5,681.73,689.37,0
OSESX,20180118,683.19,687.2,683.01,683.99,0
