<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OSLDRX,20180503,60.78,61.26,60.64,61.20,0
OSLDRX,20180502,60.17,61.28,60.29,60.78,0
OSLDRX,20180430,60.04,60.81,59.91,60.17,0
OSLDRX,20180427,59.78,60.31,58.99,60.04,0
OSLDRX,20180426,57.65,59.99,57.75,59.78,0
OSLDRX,20180425,59.23,59.29,57.56,57.65,0
OSLDRX,20180424,58.73,59.28,58.45,59.23,0
OSLDRX,20180423,58.79,59.09,58.35,58.73,0
OSLDRX,20180420,60.18,60.67,58.50,58.79,0
OSLDRX,20180419,59.43,60.73,59.42,60.18,0
OSLDRX,20180418,58.62,59.63,58.63,59.43,0
OSLDRX,20180417,59.07,59.84,58.44,58.62,0
OSLDRX,20180416,59.08,59.62,58.64,59.07,0
OSLDRX,20180413,58.41,59.19,57.89,59.08,0
OSLDRX,20180412,58.01,58.47,57.88,58.41,0
OSLDRX,20180411,57.12,58.28,57.11,58.01,0
OSLDRX,20180410,56.48,57.36,56.34,57.12,0
OSLDRX,20180409,56.89,57.42,55.89,56.48,0
OSLDRX,20180406,57.17,57.62,56.57,56.89,0
OSLDRX,20180405,56.25,57.44,56.30,57.17,0
OSLDRX,20180404,57.47,58.24,55.75,56.25,0
OSLDRX,20180403,57.74,58.29,57.21,57.47,0
OSLDRX,20180328,57.90,57.97,56.57,57.74,0
OSLDRX,20180327,57.69,58.36,57.67,57.90,0
OSLDRX,20180326,57.42,58.12,56.81,57.69,0
OSLDRX,20180323,56.83,57.56,55.08,57.42,0
OSLDRX,20180322,57.72,57.77,56.28,56.83,0
OSLDRX,20180321,57.08,57.84,57.07,57.72,0
OSLDRX,20180320,56.59,57.27,56.59,57.08,0
OSLDRX,20180319,56.75,57.19,56.32,56.59,0
OSLDRX,20180316,56.28,56.75,55.96,56.75,0
OSLDRX,20180315,57.19,57.33,55.86,56.28,0
OSLDRX,20180314,56.87,57.56,56.56,57.19,0
OSLDRX,20180313,57.66,58.06,56.83,56.87,0
OSLDRX,20180312,57.91,58.29,57.38,57.66,0
OSLDRX,20180309,57.33,58.16,57.20,57.91,0
OSLDRX,20180308,57.48,57.71,57.06,57.33,0
OSLDRX,20180307,57.31,57.71,56.66,57.48,0
OSLDRX,20180306,56.28,57.33,56.17,57.31,0
OSLDRX,20180305,55.87,56.88,55.42,56.28,0
OSLDRX,20180302,56.83,56.88,55.55,55.87,0
OSLDRX,20180301,57.44,57.44,56.55,56.83,0
OSLDRX,20180228,56.40,57.47,56.14,57.44,0
OSLDRX,20180227,56.83,57.01,56.10,56.40,0
OSLDRX,20180226,57.48,57.96,56.79,56.83,0
OSLDRX,20180223,57.21,58.32,57.21,57.48,0
OSLDRX,20180222,56.82,58.45,56.71,57.21,0
