<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OSLSFX,20180503,1234.15,1261.24,1233.78,1250.65,0
OSLSFX,20180502,1232.59,1234.29,1212.61,1234.15,0
OSLSFX,20180430,1275.39,1275.18,1208.11,1232.59,0
OSLSFX,20180427,1260.43,1276.62,1260.40,1275.39,0
OSLSFX,20180426,1234.15,1262.55,1230.37,1260.43,0
OSLSFX,20180425,1222.04,1245.08,1214.10,1234.15,0
OSLSFX,20180424,1218.32,1227.40,1213.09,1222.04,0
OSLSFX,20180423,1193.96,1219.14,1190.85,1218.32,0
OSLSFX,20180420,1199.17,1209.21,1192.06,1193.96,0
OSLSFX,20180419,1215.52,1218.08,1198.01,1199.17,0
OSLSFX,20180418,1197.46,1227.02,1188.29,1215.52,0
OSLSFX,20180417,1202.87,1206.28,1184.66,1197.46,0
OSLSFX,20180416,1200.57,1204.01,1188.24,1202.87,0
OSLSFX,20180413,1190.72,1206.22,1180.88,1200.57,0
OSLSFX,20180412,1190.55,1197.05,1185.67,1190.72,0
OSLSFX,20180411,1171.97,1192.25,1167.23,1190.55,0
OSLSFX,20180410,1126.65,1171.97,1126.04,1171.97,0
OSLSFX,20180409,1119.83,1131.64,1117.25,1126.65,0
OSLSFX,20180406,1096.98,1122.04,1092.59,1119.83,0
OSLSFX,20180405,1082.16,1097.42,1082.79,1096.98,0
OSLSFX,20180404,1105.37,1107.83,1075.68,1082.16,0
OSLSFX,20180403,1070.93,1105.77,1063.22,1105.37,0
OSLSFX,20180328,1071.42,1075.58,1063.33,1070.93,0
OSLSFX,20180327,1058.51,1071.56,1058.83,1071.42,0
OSLSFX,20180326,1041.49,1059.20,1041.35,1058.51,0
OSLSFX,20180323,1027.95,1044.58,1002.36,1041.49,0
OSLSFX,20180322,1033.94,1041.05,1026.73,1027.95,0
OSLSFX,20180321,1033.66,1040.74,1029.58,1033.94,0
OSLSFX,20180320,1018.25,1040.04,1014.89,1033.66,0
OSLSFX,20180319,1018.12,1023.93,1005.70,1018.25,0
OSLSFX,20180316,1030.85,1037.83,1014.30,1018.12,0
OSLSFX,20180315,1041.87,1042.32,1027.45,1030.85,0
OSLSFX,20180314,1053.43,1061.86,1041.02,1041.87,0
OSLSFX,20180313,1069.98,1069.27,1053.43,1053.43,0
OSLSFX,20180312,1051.12,1072.96,1051.30,1069.98,0
OSLSFX,20180309,1050.46,1059.79,1044.85,1051.12,0
OSLSFX,20180308,1033.26,1052.73,1031.01,1050.46,0
OSLSFX,20180307,1016.50,1044.38,1025.06,1033.26,0
OSLSFX,20180306,1009.75,1023.02,1010.39,1016.50,0
OSLSFX,20180305,1000.60,1011.82,998.93,1009.75,0
OSLSFX,20180302,1017.60,1016.15,996.89,1000.60,0
OSLSFX,20180301,1016.53,1019.08,1001.99,1017.60,0
OSLSFX,20180228,1006.03,1022.56,997.95,1016.53,0
OSLSFX,20180227,1024.30,1026.23,999.53,1006.03,0
OSLSFX,20180226,1035.28,1041.58,1022.86,1024.30,0
OSLSFX,20180223,1008.19,1035.28,1006.82,1035.28,0
OSLSFX,20180222,979.75,1010.60,973.31,1008.19,0
OSLSFX,20180221,971.57,982.75,962.41,979.75,0
OSLSFX,20180220,972.54,981.60,970.24,971.57,0
OSLSFX,20180219,979.80,992.36,972.54,972.54,0
OSLSFX,20180216,956.78,979.97,950.11,979.80,0
OSLSFX,20180215,932.18,959.72,926.19,956.78,0
OSLSFX,20180214,940.49,941.75,927.03,932.18,0
OSLSFX,20180213,922.47,940.49,918.52,940.49,0
OSLSFX,20180212,924.34,925.91,911.91,922.47,0
OSLSFX,20180209,915.86,925.21,902.52,924.34,0
OSLSFX,20180208,886.78,917.23,884.65,915.86,0
OSLSFX,20180207,861.14,888.60,861.85,886.78,0
OSLSFX,20180206,876.66,875.39,844.54,861.14,0
OSLSFX,20180205,888.22,888.07,870.46,876.66,0
OSLSFX,20180202,867.75,891.91,866.14,888.22,0
OSLSFX,20180201,848.27,867.75,845.69,867.75,0
OSLSFX,20180131,844.57,863.57,843.79,848.27,0
OSLSFX,20180130,835.53,848.96,831.82,844.57,0
OSLSFX,20180129,852.08,853.78,835.53,835.53,0
OSLSFX,20180126,853.62,856.80,843.74,852.08,0
OSLSFX,20180125,855.25,860.42,850.17,853.62,0
OSLSFX,20180124,872.71,873.64,851.16,855.25,0
OSLSFX,20180123,867.29,874.31,866.61,872.71,0
OSLSFX,20180122,849.81,869.90,849.46,867.29,0
OSLSFX,20180119,845.41,860.09,843.57,849.81,0
OSLSFX,20180118,859.47,860.69,842.01,845.41,0
OSLSFX,20180117,884.05,884.81,856.98,859.47,0
OSLSFX,20180116,876.27,890.12,875.54,884.05,0
OSLSFX,20180115,878.32,881.26,872.82,876.27,0
OSLSFX,20180112,893.88,898.41,877.52,878.32,0
OSLSFX,20180111,907.08,912.19,889.01,893.88,0
OSLSFX,20180110,904.72,912.47,899.63,907.08,0
OSLSFX,20180109,899.69,906.93,898.49,904.72,0
OSLSFX,20180108,924.05,928.69,897.63,899.69,0
OSLSFX,20180105,901.62,928.06,902.05,924.05,0
OSLSFX,20180104,887.20,906.98,889.28,901.62,0
OSLSFX,20180103,901.91,906.05,886.09,887.20,0
OSLSFX,20180102,921.49,923.69,898.26,901.91,0
OSLSFX,20171229,921.08,922.93,914.23,921.49,0
OSLSFX,20171228,909.37,924.89,901.49,921.08,0
OSLSFX,20171227,893.97,909.64,892.90,909.37,0
OSLSFX,20171222,886.59,897.43,886.59,893.97,0
OSLSFX,20171221,886.39,890.65,880.65,886.59,0
OSLSFX,20171220,898.15,898.63,883.59,886.39,0
OSLSFX,20171219,912.69,912.97,895.47,898.15,0
OSLSFX,20171218,899.77,913.00,901.12,912.69,0
OSLSFX,20171215,901.26,911.97,890.17,899.77,0
OSLSFX,20171214,941.55,941.01,899.83,901.26,0
OSLSFX,20171213,928.73,946.10,927.53,941.55,0
OSLSFX,20171212,919.88,929.68,907.47,928.73,0
OSLSFX,20171211,914.56,922.85,902.38,919.88,0
OSLSFX,20171208,931.00,935.31,912.16,914.56,0
OSLSFX,20171207,947.80,949.34,930.09,931.00,0
OSLSFX,20171206,936.46,948.66,924.84,947.80,0
OSLSFX,20171205,946.66,947.02,932.17,936.46,0
OSLSFX,20171204,944.89,959.12,939.97,946.66,0
OSLSFX,20171201,940.89,946.50,927.18,944.89,0
OSLSFX,20171130,922.99,941.06,918.03,940.89,0
OSLSFX,20171129,939.53,946.14,922.45,922.99,0
OSLSFX,20171128,941.27,942.77,931.68,939.53,0
OSLSFX,20171127,943.55,948.78,938.28,941.27,0
OSLSFX,20171124,974.02,975.45,939.77,943.55,0
OSLSFX,20171123,985.92,986.58,973.91,974.02,0
OSLSFX,20171122,993.79,1007.50,982.56,985.92,0
OSLSFX,20171121,980.28,993.87,971.35,993.79,0
OSLSFX,20171120,969.20,981.88,956.52,980.28,0
OSLSFX,20171117,1004.31,1004.94,963.59,969.20,0
OSLSFX,20171116,1004.86,1011.26,998.01,1004.31,0
OSLSFX,20171115,986.25,1015.20,985.90,1004.86,0
OSLSFX,20171114,997.48,995.21,981.58,986.25,0
OSLSFX,20171113,984.86,999.35,980.61,997.48,0
OSLSFX,20171110,972.03,987.43,961.82,984.86,0
OSLSFX,20171109,1002.42,1002.83,964.88,972.03,0
OSLSFX,20171108,982.01,1007.29,981.26,1002.42,0
OSLSFX,20171107,997.06,997.11,976.36,982.01,0
OSLSFX,20171106,985.28,1053.92,896.79,997.06,0
OSLSFX,20171103,981.29,993.80,973.15,985.28,0
OSLSFX,20171102,1015.55,1009.54,979.38,981.29,0
OSLSFX,20171101,1010.53,1027.92,1010.64,1015.55,0
OSLSFX,20171031,1014.04,1013.82,1003.95,1010.53,0
