<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
OTELLO,20180503,19.88,20.65,19.88,20.55,24247
OTELLO,20180502,20.10,20.80,19.84,20.35,58658
OTELLO,20180430,18.92,20.75,18.92,20.55,155378
OTELLO,20180427,19.00,19.76,19.00,19.10,125497
OTELLO,20180426,19.50,19.50,18.80,19.00,104669
OTELLO,20180425,20.20,20.20,19.64,19.68,36075
OTELLO,20180424,19.72,20.15,19.32,19.94,78510
OTELLO,20180423,18.80,19.48,18.80,19.48,38303
OTELLO,20180420,19.40,19.70,18.50,18.68,109570
OTELLO,20180419,19.40,19.92,19.40,19.50,19446
OTELLO,20180418,19.70,20.35,19.38,19.96,70832
OTELLO,20180417,18.90,19.92,18.90,19.44,48817
OTELLO,20180416,19.70,19.86,18.88,18.88,78114
OTELLO,20180413,19.98,20.25,19.42,19.78,71446
OTELLO,20180412,19.50,21.40,19.50,20.85,72127
OTELLO,20180411,19.86,20.85,19.86,20.80,60103
OTELLO,20180410,20.50,20.50,19.86,20.15,35525
OTELLO,20180409,19.80,20.80,19.52,20.30,70720
OTELLO,20180406,18.38,20.10,18.18,20.10,59594
OTELLO,20180405,18.78,18.94,18.18,18.94,37018
OTELLO,20180404,20.00,20.05,18.02,18.46,140267
OTELLO,20180403,18.00,19.94,18.00,19.94,80529
OTELLO,20180328,18.40,18.42,18.18,18.42,39611
OTELLO,20180327,18.46,19.00,18.34,18.40,36406
OTELLO,20180326,19.38,19.74,18.98,19.00,72855
OTELLO,20180323,19.92,20.15,19.22,19.22,55048
OTELLO,20180322,19.76,20.00,19.60,19.92,63502
OTELLO,20180321,20.45,20.45,19.78,19.78,160589
OTELLO,20180320,20.00,20.70,19.98,20.45,139532
OTELLO,20180319,21.25,21.25,20.05,20.05,37102
OTELLO,20180316,21.05,21.30,20.40,21.30,100114
OTELLO,20180315,22.20,22.30,20.85,20.95,148760
OTELLO,20180314,22.20,22.50,22.10,22.35,33203
OTELLO,20180313,22.50,22.80,22.45,22.50,148472
OTELLO,20180312,22.50,22.55,22.30,22.50,176990
OTELLO,20180309,22.70,23.25,22.50,22.50,471356
OTELLO,20180308,22.00,22.55,21.85,22.50,110876
OTELLO,20180307,21.20,22.15,21.20,22.00,181357
OTELLO,20180306,21.80,22.65,21.55,22.20,581487
OTELLO,20180305,21.70,21.90,21.25,21.70,69673
OTELLO,20180302,22.50,22.50,21.55,21.60,116217
OTELLO,20180301,23.40,23.40,22.20,22.50,752401
OTELLO,20180228,24.75,24.75,23.30,23.60,456410
OTELLO,20180227,24.50,24.85,24.50,24.75,87686
OTELLO,20180226,24.10,24.50,24.05,24.50,45999
OTELLO,20180223,23.75,24.00,23.55,23.90,36808
OTELLO,20180222,23.75,23.90,23.60,23.85,46079
OTELLO,20180221,23.95,24.10,23.25,23.75,34305
OTELLO,20180220,24.00,24.00,23.25,23.55,31213
OTELLO,20180219,24.50,24.50,23.50,23.65,30667
OTELLO,20180216,24.00,24.20,23.50,24.00,49414
OTELLO,20180215,23.00,24.00,23.00,23.70,28121
OTELLO,20180214,22.50,23.65,22.50,23.55,51855
OTELLO,20180213,23.95,24.00,22.90,23.00,92357
OTELLO,20180212,24.40,24.40,23.20,23.65,51420
OTELLO,20180209,24.00,25.35,23.15,23.40,208288
OTELLO,20180208,23.00,29.80,23.00,29.80,300444
OTELLO,20180207,23.25,23.80,23.10,23.80,61271
OTELLO,20180206,22.50,23.45,21.90,23.25,111537
OTELLO,20180205,23.65,24.30,23.40,24.10,275987
OTELLO,20180202,24.20,24.30,24.00,24.30,56252
OTELLO,20180201,24.10,24.25,23.65,24.20,304230
OTELLO,20180131,23.75,24.25,23.70,24.10,91836
OTELLO,20180130,23.10,24.50,23.00,24.50,437349
OTELLO,20180129,23.50,23.95,23.10,23.10,146574
OTELLO,20180126,24.50,24.50,23.50,23.50,121748
OTELLO,20180125,24.80,24.80,24.35,24.50,105363
OTELLO,20180124,24.85,24.85,24.45,24.80,37399
OTELLO,20180123,24.70,25.05,24.65,24.70,69118
OTELLO,20180122,24.80,25.50,24.65,24.70,70922
OTELLO,20180119,24.70,25.65,24.65,25.65,81884
OTELLO,20180118,25.20,25.20,24.70,24.70,24445
OTELLO,20180117,24.70,25.10,24.30,24.55,173253
OTELLO,20180116,24.50,25.65,24.45,25.65,70245
OTELLO,20180115,24.80,25.60,24.80,25.50,105952
OTELLO,20180112,25.60,25.70,24.60,24.75,225610
OTELLO,20180111,25.60,25.80,25.30,25.55,105029
OTELLO,20180110,25.35,26.40,25.35,25.95,33014
OTELLO,20180109,26.25,26.70,26.20,26.40,142604
OTELLO,20180108,25.30,26.35,24.95,26.30,309135
OTELLO,20180105,26.00,26.25,25.25,25.25,197354
OTELLO,20180104,26.25,26.55,25.50,26.05,337426
OTELLO,20180103,26.50,26.70,26.15,26.20,131940
OTELLO,20180102,26.20,26.40,25.95,26.20,189954
OTELLO,20171229,25.60,26.30,25.40,26.20,158825
OTELLO,20171228,24.70,25.70,24.60,25.70,202079
OTELLO,20171227,24.70,25.00,24.70,24.90,88309
OTELLO,20171222,25.50,25.70,24.10,24.70,288588
OTELLO,20171221,26.90,26.90,26.30,26.50,159538
OTELLO,20171220,25.20,26.90,25.20,26.50,261190
OTELLO,20171219,24.70,25.20,24.70,25.10,114790
OTELLO,20171218,24.90,25.00,24.70,24.80,122870
OTELLO,20171215,24.60,24.90,24.40,24.90,210593
OTELLO,20171214,24.80,24.80,23.90,24.30,190980
OTELLO,20171213,24.80,24.80,24.30,24.60,136378
OTELLO,20171212,23.50,24.80,23.50,24.80,235639
OTELLO,20171211,22.80,23.40,22.80,23.40,651014
OTELLO,20171208,22.90,22.90,22.70,22.80,63585
OTELLO,20171207,22.60,22.90,22.60,22.80,64919
OTELLO,20171206,22.70,22.70,22.50,22.50,82735
OTELLO,20171205,22.70,22.90,22.60,22.90,86485
OTELLO,20171204,22.50,22.90,22.50,22.90,221539
OTELLO,20171201,22.50,23.20,22.50,23.00,98250
OTELLO,20171130,22.30,23.10,22.30,22.40,884759
OTELLO,20171129,22.50,23.00,22.50,22.90,60139
OTELLO,20171128,22.80,23.00,22.40,22.90,190217
OTELLO,20171127,22.70,22.70,22.30,22.70,231836
OTELLO,20171124,22.20,23.20,21.90,22.80,686224
OTELLO,20171123,23.50,23.50,21.80,22.10,447862
OTELLO,20171122,24.40,24.40,23.60,23.80,165881
OTELLO,20171121,23.90,24.60,23.70,24.00,380328
OTELLO,20171120,24.00,24.60,23.60,23.80,89283
OTELLO,20171117,24.50,24.50,23.20,24.50,213141
OTELLO,20171116,23.30,24.80,23.30,24.50,181309
OTELLO,20171115,23.80,23.80,23.10,23.80,310577
OTELLO,20171114,23.30,24.00,23.20,23.60,343862
OTELLO,20171113,23.40,23.40,22.90,23.00,78061
OTELLO,20171110,23.60,23.90,23.00,23.30,112815
OTELLO,20171109,24.00,24.30,23.60,23.60,193998
OTELLO,20171108,24.00,24.20,23.90,24.00,82707
OTELLO,20171107,24.20,24.30,23.90,24.10,162528
OTELLO,20171106,23.30,24.50,23.30,24.10,534290
OTELLO,20171103,23.40,23.60,23.30,23.40,184675
OTELLO,20171102,23.20,23.50,22.80,23.20,68625
OTELLO,20171101,23.30,23.40,23.10,23.20,73815
OTELLO,20171031,23.40,23.50,23.30,23.40,729306
OTELLO,20171030,23.50,23.60,23.30,23.40,68453
OTELLO,20171027,23.50,23.50,23.20,23.40,85637
OTELLO,20171026,23.50,23.70,23.40,23.70,120101
OTELLO,20171025,23.00,23.50,23.00,23.50,123836
OTELLO,20171024,23.00,23.10,22.90,23.00,100977
OTELLO,20171023,23.40,23.40,23.00,23.00,110139
OTELLO,20171020,23.10,23.40,22.80,23.10,97720
OTELLO,20171019,23.00,23.20,22.60,23.10,78367
OTELLO,20171018,22.90,23.10,22.40,22.90,107056
OTELLO,20171017,22.50,23.00,22.50,22.90,54201
OTELLO,20171016,22.50,23.00,22.40,22.70,216663
OTELLO,20171013,23.00,23.00,22.40,22.70,159347
OTELLO,20171012,22.40,22.90,22.40,22.60,110585
OTELLO,20171011,23.00,23.10,22.40,22.40,96410
OTELLO,20171010,23.10,23.50,23.10,23.10,149660
OTELLO,20171009,22.60,23.20,22.60,23.20,77376
OTELLO,20171006,23.00,23.20,22.50,22.80,723841
OTELLO,20171005,22.90,23.00,22.50,23.00,54090
OTELLO,20171004,23.20,23.20,22.70,22.90,62352
OTELLO,20171003,22.90,23.10,22.70,23.00,72168
OTELLO,20171002,22.80,23.30,22.60,22.70,133224
OTELLO,20170929,22.70,22.80,22.30,22.80,643657
OTELLO,20170928,23.20,23.20,22.60,22.70,289209
OTELLO,20170927,23.10,23.50,23.10,23.10,95240
OTELLO,20170926,23.10,23.50,23.10,23.20,87809
OTELLO,20170925,23.40,23.60,23.00,23.60,95286
OTELLO,20170922,23.30,23.50,22.90,23.40,170223
OTELLO,20170921,23.50,23.60,23.30,23.40,52672
OTELLO,20170920,23.40,23.70,23.40,23.50,57456
OTELLO,20170919,23.50,23.70,23.40,23.40,113133
OTELLO,20170918,23.80,23.80,23.30,23.50,142624
OTELLO,20170915,23.90,23.90,23.60,23.80,607271
OTELLO,20170914,24.00,24.10,23.60,23.80,93642
OTELLO,20170913,23.80,23.90,23.50,23.80,154938
OTELLO,20170912,23.50,23.90,23.40,23.90,1152045
OTELLO,20170911,23.80,23.90,23.40,23.60,99860
OTELLO,20170908,23.90,24.00,23.50,23.80,176732
OTELLO,20170907,24.20,24.20,23.40,23.90,153124
OTELLO,20170906,25.00,25.00,23.90,24.10,165351
OTELLO,20170905,24.50,25.00,24.30,24.80,198911
OTELLO,20170904,23.80,24.50,23.80,24.50,143560
OTELLO,20170901,23.50,24.00,23.30,24.00,259313
OTELLO,20170831,23.30,24.00,23.30,24.00,889385
OTELLO,20170830,23.20,23.70,23.20,23.60,168895
OTELLO,20170829,24.00,24.00,23.20,23.20,429758
OTELLO,20170828,23.50,24.30,23.40,23.60,734456
OTELLO,20170825,24.60,25.30,22.60,23.50,1032972
OTELLO,20170824,30.00,30.00,24.60,24.60,1988200
OTELLO,20170823,30.40,31.90,30.40,31.30,182400
OTELLO,20170822,31.80,32.10,30.40,30.40,133045
OTELLO,20170821,31.40,32.30,31.40,31.90,168654
OTELLO,20170818,32.00,32.00,31.60,31.60,41394
OTELLO,20170817,31.70,32.30,31.70,31.90,134882
OTELLO,20170816,31.70,32.30,31.10,32.00,120910
OTELLO,20170815,30.40,31.80,30.30,31.80,142285
OTELLO,20170814,29.90,30.50,29.80,30.40,80535
OTELLO,20170811,29.50,29.90,29.40,29.90,86971
OTELLO,20170810,30.00,30.60,29.90,29.90,98382
OTELLO,20170809,29.70,30.70,29.70,30.60,100394
OTELLO,20170808,29.70,30.50,29.70,30.00,110750
OTELLO,20170807,29.90,30.30,29.60,29.80,120922
OTELLO,20170804,30.40,30.60,29.70,29.70,170484
OTELLO,20170803,30.80,31.50,30.50,30.70,137424
OTELLO,20170802,31.20,31.50,30.70,30.70,183408
OTELLO,20170801,32.10,32.30,31.30,31.30,126703
OTELLO,20170731,30.30,32.50,30.30,32.50,252219
OTELLO,20170728,30.60,31.60,30.20,31.60,140509
OTELLO,20170727,31.50,31.50,30.50,30.50,64332
OTELLO,20170726,30.10,31.50,30.10,30.70,78454
