<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
PHO,20180504,29.0,29.45,28.65,28.95,35690
PHO,20180503,29.0,29.45,28.65,28.95,35690
PHO,20180502,28.4,29.4,28.15,29.0,29853
PHO,20180430,28.3,28.5,28.0,28.3,79262
PHO,20180427,29.1,29.1,28.2,28.4,32179
PHO,20180426,28.65,29.2,28.1,29.05,38166
PHO,20180425,28.8,29.3,28.55,28.7,26552
PHO,20180424,29.25,29.25,28.6,28.65,36760
PHO,20180423,29.4,29.8,29.0,29.3,28514
PHO,20180420,30.3,30.3,29.05,29.6,23429
PHO,20180419,28.95,30.3,28.9,30.3,65000
PHO,20180418,28.6,29.0,28.25,28.6,45761
PHO,20180417,28.8,28.8,27.7,28.25,37318
PHO,20180416,28.95,29.25,28.3,28.3,42368
PHO,20180413,29.4,29.4,28.7,28.85,24681
PHO,20180412,29.05,29.75,28.7,28.7,34423
PHO,20180411,30.45,30.45,28.85,28.85,43524
PHO,20180410,30.1,30.95,30.1,30.45,20141
PHO,20180409,29.8,31.0,28.95,30.3,102902
PHO,20180406,29.1,29.9,29.1,29.65,32305
PHO,20180405,27.35,29.7,27.0,29.7,116913
PHO,20180404,28.05,28.05,26.75,27.25,51927
PHO,20180403,27.0,28.25,27.0,28.05,44264
PHO,20180328,27.45,27.5,26.9,27.4,13349
PHO,20180327,28.1,28.1,26.95,27.1,30906
PHO,20180326,28.8,28.8,27.45,27.7,14261
PHO,20180323,27.1,28.35,27.0,27.9,28583
PHO,20180322,27.8,27.8,27.1,27.7,19020
PHO,20180321,27.45,27.9,27.0,27.55,54020
PHO,20180320,27.85,27.85,27.0,27.5,45617
PHO,20180319,28.9,28.9,27.6,27.85,74491
PHO,20180316,28.4,29.2,28.4,29.0,16130
PHO,20180315,28.7,28.85,28.2,28.3,37552
PHO,20180314,28.55,29.0,27.95,28.6,54052
PHO,20180313,29.2,29.2,28.5,28.55,55014
PHO,20180312,29.2,29.6,28.65,28.8,42716
PHO,20180309,29.8,29.8,28.75,29.3,68866
PHO,20180308,28.95,29.75,28.9,29.25,44110
PHO,20180307,27.55,29.2,27.55,29.05,57329
PHO,20180306,27.95,28.15,27.75,28.05,53723
PHO,20180305,27.9,28.05,27.1,27.9,73539
PHO,20180302,28.15,28.6,27.8,27.9,76963
PHO,20180301,28.75,29.0,28.15,28.35,41229
PHO,20180228,28.4,29.0,28.15,29.0,58089
PHO,20180227,29.4,29.4,27.25,28.7,116201
PHO,20180226,30.0,30.0,29.2,29.5,61001
PHO,20180223,30.95,30.95,29.3,30.0,119104
PHO,20180222,28.6,31.15,28.25,30.5,72365
PHO,20180221,29.3,29.3,28.0,28.95,95954
PHO,20180220,29.65,29.65,28.0,29.0,70321
PHO,20180219,30.3,31.0,28.8,29.65,152012
PHO,20180216,29.9,31.25,29.5,29.6,556730
PHO,20180215,26.65,28.2,26.55,28.1,79093
PHO,20180214,27.15,27.2,26.15,27.2,26067
PHO,20180213,27.0,27.25,26.4,27.15,33309
PHO,20180212,26.9,27.9,26.1,27.0,48062
PHO,20180209,24.65,25.9,24.65,25.9,42909
PHO,20180208,25.0,25.45,24.55,24.9,17384
PHO,20180207,24.8,26.2,24.8,24.95,25499
PHO,20180206,23.5,25.05,23.3,24.8,123564
PHO,20180205,24.9,24.9,23.5,24.0,106010
PHO,20180202,25.1,25.3,24.85,24.85,20448
PHO,20180201,25.4,25.5,24.9,25.0,55850
PHO,20180131,25.8,25.8,24.7,25.35,96872
PHO,20180130,26.45,26.7,25.35,26.0,65143
PHO,20180129,27.9,27.9,26.7,26.7,45104
PHO,20180126,27.8,28.3,27.55,27.55,40149
PHO,20180125,27.5,28.05,27.0,27.7,114467
PHO,20180124,26.0,27.9,25.9,27.3,73055
PHO,20180123,26.7,26.7,26.0,26.3,23494
PHO,20180122,26.8,27.05,26.2,26.3,33585
PHO,20180119,27.05,27.05,26.4,26.8,45694
PHO,20180118,26.95,27.2,26.5,27.05,44801
PHO,20180117,27.05,27.25,26.6,26.95,19098
PHO,20180116,26.95,28.0,26.7,27.15,27466
PHO,20180115,27.0,27.4,26.85,26.95,26908
PHO,20180112,27.0,27.25,26.6,27.1,52606
PHO,20180111,27.0,27.1,26.6,27.0,30695
PHO,20180110,27.3,27.4,26.7,27.1,51536
PHO,20180109,27.5,27.6,27.0,27.3,131087
PHO,20180108,27.0,27.7,26.9,27.5,67380
PHO,20180105,27.2,27.5,27.0,27.0,20674
PHO,20180104,27.8,27.95,26.6,27.65,107701
PHO,20180103,27.8,27.8,26.8,27.0,40729
PHO,20180102,27.3,28.9,26.7,28.0,78484
PHO,20171229,26.0,29.0,26.0,27.3,108731
PHO,20171228,25.7,26.4,25.7,26.2,40671
PHO,20171227,25.5,26.0,24.9,25.9,63705
PHO,20171222,25.4,25.6,25.1,25.4,42586
PHO,20171221,25.6,25.9,25.3,25.5,45977
PHO,20171220,25.4,26.1,25.3,25.6,37777
PHO,20171219,25.9,26.0,25.2,25.4,65008
PHO,20171218,25.5,26.3,25.4,26.0,85679
PHO,20171215,25.3,25.4,24.8,25.1,66398
PHO,20171214,23.5,25.3,23.3,25.3,139165
PHO,20171213,23.7,24.9,23.0,23.0,168793
PHO,20171212,24.4,24.4,23.6,23.7,55632
PHO,20171211,24.9,25.0,23.8,24.3,93638
PHO,20171208,24.8,25.5,24.4,24.6,130856
PHO,20171207,26.2,26.4,23.8,24.5,259948
PHO,20171206,26.3,26.3,25.6,25.6,22918
PHO,20171205,26.6,26.6,25.8,26.2,13873
PHO,20171204,26.8,27.1,26.0,26.4,31041
PHO,20171201,27.9,27.9,26.5,26.8,37951
PHO,20171130,27.5,27.5,26.5,26.5,64446
PHO,20171129,27.1,27.1,26.5,26.7,18432
PHO,20171128,26.2,27.1,25.8,27.1,42640
PHO,20171127,26.0,26.3,25.6,26.1,10735
PHO,20171124,26.6,26.6,25.8,26.0,41504
PHO,20171123,26.7,26.7,26.1,26.6,14454
PHO,20171122,26.9,26.9,26.1,26.7,9536
PHO,20171121,26.3,26.9,26.2,26.7,29914
PHO,20171120,26.1,26.1,25.2,26.1,20473
PHO,20171117,25.4,26.2,25.3,26.1,89979
PHO,20171116,24.9,25.4,24.8,25.4,41063
PHO,20171115,25.4,25.6,24.8,25.1,24817
PHO,20171114,25.9,25.9,24.8,25.2,75156
PHO,20171113,28.0,28.0,25.0,26.0,77796
PHO,20171110,27.3,27.7,26.4,26.8,47561
PHO,20171109,28.7,28.7,26.7,27.5,136463
PHO,20171108,29.7,29.7,26.7,28.2,537492
PHO,20171107,32.1,32.2,31.3,31.8,99894
PHO,20171106,32.9,32.9,31.3,32.1,144919
PHO,20171103,31.6,31.7,31.0,31.5,59222
PHO,20171102,33.0,33.9,31.5,31.6,420746
PHO,20171101,29.3,31.5,29.3,31.0,281737
PHO,20171031,29.4,29.4,28.2,29.3,33508
PHO,20171030,30.2,30.2,28.6,29.5,73436
PHO,20171027,30.3,31.1,30.1,30.2,26067
PHO,20171026,31.1,31.2,30.1,30.2,34980
PHO,20171025,30.4,31.0,30.0,31.0,33276
PHO,20171024,30.5,30.5,29.9,30.4,57547
PHO,20171023,31.5,31.6,29.9,30.3,108191
PHO,20171020,30.1,31.5,30.1,31.5,59521
PHO,20171019,31.3,31.5,29.6,30.1,71012
PHO,20171018,32.7,32.7,31.1,31.1,108782
PHO,20171017,30.9,31.1,29.8,30.5,53466
PHO,20171016,31.9,32.4,30.6,30.7,83555
PHO,20171013,32.1,32.7,31.7,32.0,110330
PHO,20171012,31.0,32.8,30.5,31.5,133848
PHO,20171011,29.9,30.5,29.0,30.5,143673
PHO,20171010,28.9,29.8,28.6,29.6,54546
PHO,20171009,28.1,29.0,28.1,28.8,60242
PHO,20171006,29.0,29.5,28.0,28.0,36893
PHO,20171005,29.7,29.7,28.0,29.5,72341
PHO,20171004,28.6,29.7,28.6,29.3,66946
PHO,20171003,29.6,30.0,28.4,28.6,105575
PHO,20171002,27.5,30.2,27.5,29.5,422648
PHO,20170929,26.8,27.2,26.4,27.2,53868
PHO,20170928,26.5,27.5,26.0,26.0,65297
PHO,20170927,25.8,26.5,24.9,26.4,180770
PHO,20170926,24.7,25.6,24.3,25.4,152559
PHO,20170925,23.7,25.4,23.7,24.7,96155
PHO,20170922,23.6,24.4,23.2,24.0,46821
PHO,20170921,22.9,24.4,22.7,24.4,73208
PHO,20170920,23.4,23.4,22.8,23.2,43118
PHO,20170919,23.2,23.6,23.1,23.4,33664
PHO,20170918,23.7,24.2,23.2,23.2,42224
PHO,20170915,23.8,24.4,23.8,23.8,69557
PHO,20170914,24.0,24.4,23.3,24.0,78419
PHO,20170913,23.5,24.0,23.2,24.0,42515
PHO,20170912,22.6,23.4,22.6,23.4,51599
PHO,20170911,22.9,22.9,22.3,22.9,37240
PHO,20170908,23.1,23.1,22.6,22.7,19657
PHO,20170907,23.0,23.3,22.7,22.7,75991
PHO,20170906,22.2,23.0,22.2,23.0,92301
PHO,20170905,22.2,22.4,21.7,22.2,47905
PHO,20170904,22.3,22.8,21.8,22.1,131127
PHO,20170901,22.9,23.0,22.0,22.2,314642
PHO,20170831,23.2,23.4,22.6,22.8,76376
PHO,20170830,23.2,23.2,22.5,22.9,45116
PHO,20170829,23.4,23.4,23.0,23.2,42515
PHO,20170828,23.0,23.8,23.0,23.4,43160
PHO,20170825,22.5,23.2,22.4,23.0,126268
PHO,20170824,22.9,22.9,22.2,22.6,61124
PHO,20170823,22.9,22.9,22.0,22.7,105424
PHO,20170822,23.9,24.1,21.5,22.6,447786
PHO,20170821,23.5,24.2,23.4,23.9,424576
PHO,20170818,23.5,24.5,23.3,23.4,493924
PHO,20170817,23.9,23.9,23.1,23.5,322132
PHO,20170816,24.4,24.7,23.7,23.9,70987
PHO,20170815,23.4,24.4,23.4,24.0,238380
PHO,20170814,23.5,23.6,23.2,23.4,366863
PHO,20170811,24.0,24.0,23.1,23.3,76950
PHO,20170810,24.5,24.5,23.8,24.0,43386
PHO,20170809,24.1,24.6,23.9,24.3,66590
PHO,20170808,24.9,24.9,24.1,24.1,15568
PHO,20170807,24.7,24.9,24.5,24.5,37390
PHO,20170804,24.0,24.3,23.9,24.2,53805
PHO,20170803,23.8,24.0,23.5,24.0,94604
PHO,20170802,23.5,24.0,23.2,23.4,42528
PHO,20170801,24.0,24.0,22.9,23.5,158940
PHO,20170731,24.7,25.6,23.0,23.5,290616
PHO,20170728,24.6,24.6,24.0,24.2,116981
PHO,20170727,24.5,24.8,24.4,24.5,39535
PHO,20170726,24.9,26.0,24.5,24.5,149456
PHO,20170725,26.6,27.1,25.0,25.0,114109
PHO,20170724,26.6,26.7,26.2,26.4,48849
PHO,20170721,27.1,27.5,26.3,26.6,95153
PHO,20170720,27.5,27.7,26.8,27.0,79596
PHO,20170719,28.4,28.4,26.7,26.9,77201
PHO,20170718,29.1,30.3,27.8,28.4,94593
PHO,20170717,26.5,29.4,26.5,28.6,384424
PHO,20170714,26.0,26.5,25.8,25.9,28329
PHO,20170713,25.9,26.2,25.6,26.0,122435
PHO,20170712,25.1,26.2,25.1,25.9,137617
PHO,20170711,25.0,26.2,24.0,25.1,288296
PHO,20170710,25.0,25.6,24.0,25.1,52059
PHO,20170707,25.9,25.9,24.9,25.9,44335
PHO,20170706,26.0,26.0,25.8,25.9,3610
PHO,20170705,25.7,26.4,25.5,25.5,48595
PHO,20170704,25.9,26.0,25.6,26.0,31959
PHO,20170703,26.5,26.7,25.8,25.9,43781
PHO,20170630,25.6,26.3,25.4,26.2,11122
PHO,20170629,26.0,26.6,25.7,25.8,60286
PHO,20170628,25.8,26.2,25.6,26.1,22633
PHO,20170627,26.0,26.3,25.6,25.7,22908
PHO,20170626,26.0,26.6,25.8,25.8,51470
PHO,20170623,25.6,26.1,25.6,25.6,16313
PHO,20170622,26.0,26.0,25.6,25.6,12618
PHO,20170621,26.9,26.9,25.9,25.9,18422
PHO,20170620,27.0,27.0,26.5,26.5,27434
PHO,20170619,26.2,27.0,25.4,27.0,30521
PHO,20170616,26.0,26.2,25.5,26.0,45080
PHO,20170615,26.3,26.3,25.2,25.2,47845
PHO,20170614,25.5,26.2,25.5,25.5,23054
PHO,20170613,25.7,26.0,25.5,25.6,17183
PHO,20170612,26.4,26.4,25.7,25.7,89813
PHO,20170609,25.6,26.5,25.5,25.9,48185
PHO,20170608,27.0,27.0,25.8,26.0,77847
PHO,20170607,26.2,27.5,26.2,26.8,57567
PHO,20170606,27.7,27.7,26.3,26.4,55344
PHO,20170602,26.9,27.5,26.4,27.3,115804
PHO,20170601,27.9,28.5,25.5,26.7,803716
PHO,20170531,30.0,30.5,27.8,28.0,209386
PHO,20170530,32.0,32.8,29.9,30.2,164321
PHO,20170529,32.5,32.5,31.3,31.9,12440
PHO,20170526,33.0,33.0,31.0,31.6,35068
PHO,20170524,32.6,33.0,32.1,32.5,5655
PHO,20170523,33.7,33.7,31.2,32.6,29566
PHO,20170522,33.1,34.0,33.1,33.7,55767
PHO,20170519,31.3,32.9,30.9,32.7,50403
PHO,20170518,30.9,32.6,29.0,30.5,170587
PHO,20170516,35.5,35.5,30.6,31.0,198939
PHO,20170515,39.3,39.3,34.4,35.2,198933
PHO,20170512,34.3,39.0,34.3,37.2,272127
PHO,20170511,32.1,32.4,31.8,32.3,15193
PHO,20170510,30.9,32.0,30.2,31.9,65124
PHO,20170509,34.4,34.4,29.3,30.2,685217
PHO,20170508,34.7,35.9,32.6,33.0,54694
PHO,20170505,36.9,37.8,33.9,34.6,102943
PHO,20170504,35.3,37.0,35.3,36.1,8880
PHO,20170503,35.3,35.5,34.8,35.3,30153
PHO,20170502,37.0,38.0,33.9,34.9,75919
PHO,20170428,37.8,37.8,36.5,37.0,34233
PHO,20170427,37.1,37.5,36.2,37.0,48304
PHO,20170426,35.5,38.0,35.0,37.0,143265
PHO,20170425,35.9,35.9,33.5,34.7,12584
PHO,20170424,32.2,35.5,32.0,35.0,72815
PHO,20170421,31.3,32.0,30.0,32.0,29610
PHO,20170420,31.6,31.9,30.5,31.1,13117
PHO,20170419,32.9,33.6,30.3,30.7,56189
PHO,20170418,33.6,33.6,31.7,32.4,26501
PHO,20170413,33.3,33.4,32.7,33.4,18314
PHO,20170412,33.3,33.4,32.7,33.4,18314
PHO,20170411,32.7,33.2,31.4,33.2,32618
PHO,20170410,30.2,32.7,30.0,32.4,42695
PHO,20170407,29.7,30.6,29.0,30.3,166571
PHO,20170406,24.0,28.8,24.0,27.5,389955
PHO,20170405,35.2,35.2,33.6,34.5,4833
PHO,20170404,34.4,35.6,32.8,35.3,19124
PHO,20170403,34.4,34.5,33.8,34.4,7486
PHO,20170331,35.4,35.4,33.8,34.9,35490
PHO,20170330,35.0,35.0,34.1,35.0,13795
PHO,20170329,34.7,34.7,34.0,34.6,8790
PHO,20170328,33.8,34.8,33.4,34.3,18185
PHO,20170327,33.8,33.8,33.4,33.6,2501
PHO,20170324,34.3,34.3,33.5,33.9,8248
PHO,20170323,33.9,34.3,33.5,34.3,15312
PHO,20170322,33.1,33.9,31.6,33.8,59135
PHO,20170321,33.8,33.9,33.2,33.8,23334
PHO,20170320,33.8,34.3,33.6,33.7,12051
PHO,20170317,33.9,34.8,33.0,33.8,38182
PHO,20170316,34.0,34.9,34.0,34.7,7223
PHO,20170315,35.0,35.3,34.3,34.5,12617
PHO,20170314,36.7,36.9,33.6,34.8,123662
PHO,20170313,37.6,38.5,36.6,36.7,17828
PHO,20170310,37.3,38.0,36.8,37.9,17406
PHO,20170309,36.5,37.2,36.1,37.1,6631
PHO,20170308,36.1,37.6,36.1,37.1,11660
PHO,20170307,34.5,37.9,33.8,37.6,46807
PHO,20170306,35.9,35.9,34.7,34.7,6310
PHO,20170303,36.0,36.5,34.7,35.8,28766
PHO,20170302,36.2,36.5,35.9,36.0,34016
PHO,20170301,35.3,36.3,35.3,36.0,17853
PHO,20170228,35.9,35.9,35.0,35.8,55863
PHO,20170227,36.6,36.6,35.1,35.8,33263
